,title,company,salary,summary
0,nieuwCreative,IBM,,"Play a crucial role in the creative execution for our clients - from pitches to project delivery.Collaborate with our strategists, designers, UX’ers, PM’s and…"
1,nieuwManagementassistent,ROC TOP,€3.132 per maand,Voor 20-24 uur per week.Voor de looptijd van schooljaar 21-22.Je bent van nature nieuwsgierig naar de interne klant en bent altijd op zoek naar vernieuwende…
2,nieuwFashion & Branding Coordinators,Hogeschool van Amsterdam,€5.027 per maand,"As a coordinator, you are responsible for the organization of education within your department.This includes planning, communication, administrative tasks, and…"
3,Office manager,Q42,,"Dingen waar je een glimlach van krijgt.Net zoals wij blije nerds zijn, ben jij een heerlijk positieve aanwezigheid."
4,Manager AI - Artificial Intelligence,KPMG,,Risicobeheersing van nieuwe technologieën van klanten.Algoritmes en data analyses onder de loep nemen.Kennis van data gerelateerde opdrachten.
5,Operations Support,Careers at Growth Tribe,,OPERATIONS SUPPORT @ GROWTH TRIBE is a combination of sales support and customer service.The job is about *solving our customer's questions and requests…
6,Intern AI Fintech Lab,ING,,"The lab’s mission is to carry out world-class research on artificial intelligence, data analytics and software analytics in the context of financial technology."
7,Processing AI Consultant,Accenture,,"Built and delivered on the foundation of Accenture's unparalleled AI expertise, data services, IP and ecosystem partners, our scalable, modular solutions…"
8,Crediteurenadministrateur a.i.,Alterim BV,,Het scannen en verifiëren van inkoopfacturen;Het coderen en boeken van inkoopfacturen m.b.t. kosten;Het boeken en matchen van inkoopfacturen m.b.t. goederen;
9,Soft Goods Developer A.I. 6 months,Joolz,,"Being in the position of soft goods developer you are end responsible for the development of new soft goods for our pushchairs, new looks and soft goods…"
10,nieuwAssociate Partner - Talent Development,IBM,,"Candidates for this role should have sales and delivery experience with Talent Development, must be client-facing and able to present proposals, with proven…"
11,Postdoc AI at Work,Vrije Universiteit Amsterdam,€5.211 per maand,"The candidate will be based at the KIN Center for Digital Innovation, School of Business and Economics at the Vrije Universiteit."
12,Document Reviewer (Agent),Mitek Systems,,Checking ID documents for administrative and legal accuracy;1st line identity check on authenticity features;Proper processing of the above tasks.
13,"Specialty Seller – Applications, Data & AI",Kyndryl,,Please be aware Kyndryl will continue to use some IBM systems for a certain period after spin-off.This means when you sign up to either the IBM or Kyndryl…
14,Customer Happiness Specialist,Amberscript,,"On top of that, you will be closely collaborating with all departments to build support policies, incident management processes, exchange knowledge and signal…"
15,Back End Developer,Quin,€85.000 per jaar,"Relocation assistance from start to finish.Help us build the future of healthcare.No small feat, because we need to develop a ‘brainy’ (AI-driven) app that…"
16,Postdoc AI at Work,Vrije Universiteit Amsterdam,€5.211 per maand,"The candidate will be based at the KIN Center for Digital Innovation, School of Business and Economics at the Vrije Universiteit."
17,Data Science Traineeship,Young Mavericks,,"Young Mavericks helpt organisaties bij datagedreven vraagstukken.Van strategisch uitgestippelde doelstellingen, probleemstellingen definiëren, data prepareren…"
18,nieuwFashion & Branding Coordinators,Hogeschool van Amsterdam,€5.027 per maand,"As a coordinator, you are responsible for the organization of education within your department.This includes planning, communication, administrative tasks, and…"
19,Senior AI & Data Scientist in Life Sciences,Sia Partners,,You will execute project assignments in modeling and digital transformation (business/IT analysis and partial coding) environments with a good deal of business…
20,Document Reviewer (Agent),Mitek Systems,,Checking ID documents for administrative and legal accuracy;1st line identity check on authenticity features;Proper processing of the above tasks.
21,Head of External Communication,Signify,,Build a strong and positive Share of Voice (SOV) and create awareness for the Signify brand in key corporate media titles.
22,Software test engineer | Medisch adviesplatform | AI,Layer,€70.000 per jaar,Start-up | Eigen applicatie | Opzetten test automation | Informeel team | Artificial Intelligence | Parttime of fulltime.
23,Director HR Digital,PwC,,"Firstly, assisting clients to make strategic decisions about how to support their businesses with digital HR tooling and helping them to implement it."
24,Junior Strategy Consultant,Schiphol,€4.100 - €5.750 per maand,"Deze afdeling bestaat uit vijf business platforms (Commercial, Operations, Assets, Security, Employee), gedragen door een aantal enabling afdelingen (CIO Office…"
25,Junior Front-end Developer,The Selection Lab,€3.000 per maand,Het uitdenken van de (code) architectuur.Het kiezen van juiste de library en het juiste framework.Het optimaliseren van je eigen code.
26,nieuwAnaplan Model Builder,QWIC,,"Een scale-up als QWIC biedt enorme kansen voor het effectief inzetten van data.Etc. Verder, wil R&D dieper inzicht in het gebruik van de fietsen en de…"
27,Werkstudent Financial Crime Analytics,Deloitte,,Op deze manier word je betrokken bij verschillende werkzaamheden en krijg je meteen verantwoordelijkheid.Naast het ontwikkelen van inhoudelijke kennis is er…
28,Event Operations Manager (interim/zzp),RAI Amsterdam,,Jouw job in 1 zin.Als Event Operations Manager a.i. ben je tijdelijk op projectbasis onderdeel van één van onze eigen beursteams en verantwoordelijk voor de…
29,Werkstudent CORE,Deloitte,,"Je houdt je bezig met risicomanagementopdrachten vanuit zowel een monitoring, als transformatie perspectief.Je houdt je bezig met het analyseren welke risico's…"
30,Legal Operations Support Officer,De Brauw Blackstone Westbroek,,"We promote the use of legal tech and data tools to work smarter, not harder, and improve client services.As a Legal Operations Support Officer you will be the…"
31,Junior Strategy Consultant,Schiphol,€4.100 - €5.750 per maand,"Deze afdeling bestaat uit vijf business platforms (Commercial, Operations, Assets, Security, Employee), gedragen door een aantal enabling afdelingen (CIO Office…"
32,Operations Specialist Translations,Amberscript,,"As an Operations Specialist Translations, you will set up the translation offering within Amberscript from A to Z. Meaning that you will be responsible for…"
33,Senior AI & Data Scientist in Life Sciences,Sia Partners,,You will execute project assignments in modeling and digital transformation (business/IT analysis and partial coding) environments with a good deal of business…
34,nieuwAccountbeheerder International Accounts,Dell Technologies,,But our customers are our heartbeat and deserve human interaction that is special and unique to their technological needs.Commuting Allowance and Bike Plan.
35,Head of External Communication,Signify,,Build a strong and positive Share of Voice (SOV) and create awareness for the Signify brand in key corporate media titles.
36,Software test engineer | Medisch adviesplatform | AI,Layer,€70.000 per jaar,Start-up | Eigen applicatie | Opzetten test automation | Informeel team | Artificial Intelligence | Parttime of fulltime.
37,Consultant Hydrogen,Sia Partners,,This ensures a highly dynamic job with plenty of opportunities to learn and develop personally.You have completed your Master’s Degree.
38,nieuwBusiness IT consultant,Atos,,"Het werken in multidisciplinaire teams aan uitdagende (internationale) projecten, waarin je uitstekende kansen hebt om in je rol door te groeien."
39,nieuwWorkday Absence & Time Tracking Consultant,IBM,,"Our team takes on the challenge of designing, developing and re-engineering highly complex application components and integrating software packages using…"
40,nieuwSAP S/4HANA Associate Partner (Delivery),IBM,,"As a Business Development & Client Transformation Executive, you will lead IBM’s consistent growth by bringing to the table your Industry domain knowledge,…"
41,Financial Services Analyst - Strategy & Consulting,Accenture,,"You help leading (international) organizations within Financial Services to solve their most complex business problems, whilst continuously developing your…"
42,Junior Data Scientist,Dirk,€2.829 - €4.040 per maand,"Een (retail) wereld waarin de hoeveelheid data exponentieel toeneemt, waarin technologische innovaties elkaar in rap tempo opvolgen, waarin markten…"
43,"Data & AI Advisory Consultant, Netherlands",Avanade,,"In the digital age, there’s no time for that linear process.As a Consultant/Senior Consultant, you will collaborate with senior leadership and participate on…"
44,Enterprise Sales Specialist - Data & AI,Microsoft,,We work with customers to leverage data to help them achieve their business priorities and help guide customer’s journey through Analytics-led Azure Data…
45,QA Engineer,Amberscript,,We are looking for a Quality Assurance (QA) engineer to develop and execute exploratory and automated tests to ensure product quality.
46,Intern or Co-Op,Skyborn Robotics,,Our interns are given projects and mentors that fit their background and interests.During this time the student will work as a member of a cross-functional…
47,Account Executive- Benelux,ThoughtSpot,,We are looking for an experienced* Enterprise* *Account Executive.The right candidate for this position will have a demonstrated history of success and quota…
48,nieuwInternal Control Internship,Signify,,Support the Internal control professionals on Quarterly reporting to senior management.Prepare and review the quarterly financial statements.
49,CTO,Amberscript,,"The mission for the CTO is to successfully lead the technical team of Amberscript in building high quality products on time and budget, proposing and…"
50,Customer Service Manager a.i.,JUUNI,,Zo nodig ook stevig op kunt treden.
51,Senior AI Consultant,Atos,,"As a Senior AI Consultant, you will be a delivery lead who helps to shape AI use-cases, AI solutions, and AI programs for the client."
52,Junior Consultant Artificial Intelligence,Deloitte,,"Als Junior Consultant Artificial Intelligence pas je jouw analytische en technische (codeer-)vaardigheden toe om modellen te bouwen, data te verzamelen en te…"
53,Practical Internship Internal Communication,ING,,"You will boost the visibility of the tribe Digital Sales & Customer Interactions to strengthen recognition, culture and identity."
54,Business Transformation Consultant: Digital Marketing,IBM,,"Helps Clients across the full marketing spectrum from the determination and articulation of their market position and related brand image, the identification…"
55,nieuwBusiness Controller ACTA,Vrije Universiteit Amsterdam,€5.922 per maand,Voor de bedrijfs-administratieve en rapportage processen maakt ACTA gebruik van de systeemlandschap van de VU (SAP).
56,Data Engineering Traineeship,Young Mavericks,,"Young Mavericks helpt organisaties bij datagedreven vraagstukken.Van strategisch uitgestippelde doelstellingen, probleemstellingen definiëren, data prepareren…"
57,Penetration Tester / Ethical Hacker with progamming skills,BreachLock,,You want to work with global leaders in Cyber Security.Have track record that proves you have invested time in research and learning about security via:…
58,nieuwBusiness development intern,Syntho,,Actively generate new leads via various (smart) techniques (like LinkedIn (group) targeting).Actively approach persons who engage with Syntho via our LinkedIn…
59,Junior Data Scientist,DekaMarkt,€2.829 - €4.040 per maand,"Een (retail) wereld waarin de hoeveelheid data exponentieel toeneemt, waarin technologische innovaties elkaar in rap tempo opvolgen, waarin markten…"
60,Manager Sales Support - EMEA,Harman International,,"Our headphones, portable speakers and home entertainment systems will become your area of expertise.As a Manager Sales Support – EMEA, you will be responsible…"
61,"Creativity, Innovation & Entrepreneurship - Internship",Accenture,,"You’re familiar with the venture or startup design process and methodologies such as lean startup, blue ocean strategy, business model innovation, etc."
62,Java Software Architect,Luminis,€29 per uur,As Senior software architect you will be actively involved in the next step Luminis Amsterdam will take.In addition to having a large amount of experience and…
63,QA Engineer,Quin,€80.000 per jaar,Test code that impacts millions of lives.Full-time/part-time · Amsterdam.+ Work shoulder to shoulder (we draw the line at 1.5 meters) with developers and the…
64,Vice President of Sales - Nordics and Benelux,C3 AI,,"C3 AI is looking for a Vice President of Sales in Netherlands.The Vice President will be responsible for new customer acquisition, sales strategy and execution…"
65,Associate - Digital,McKinsey & Company,,"You will work with C-suite executives and senior managers, problem-solve on key issues as well as provide actionable recommendations leveraging your…"
66,Front-end Developer,PARKEAGLE,,"You will be responsible for building the ‘client-side’ of our web applications.For these clients we optimize parking capacity, counting cars, do temporary…"
67,Sales Specialist,IBM,,"As a Sales in IBM you will engage with clients and partners to demonstrate how IBM solutions can support their key business challenges such as; AI, Data,…"
68,nieuwInterim incasso medewerker,Career Control,,Men probeert het verschil te maken op basis van een unieke combinatie tussen innovatieve diensten en expertise.Het treffen en opvolgen van betalingsregelingen.
69,nieuwRadiotherapeut oncoloog (fellowship),Antoni van Leeuwenhoek Ziekenhuis,,"Het cluster Radiotherapie (RT) van het Antoni van Leeuwenhoek (AVL) zoekt een enthousiaste radiotherapeut-oncoloog (0,8 – 1,0 FTE) voor de periode van 1 jaar."
70,Administrateur a.i.,Page Personnel,,"Je verwerkt gegevens van financiële aard in de financiële administratie (declaraties, facturen, boekingen);Je beantwoordt (telefonisch) vragen van debiteuren;"
71,Stagiair/Trainee Digital Business Development,Borges,,"Have a background in both business (entrepreneurship, strategy, …) and technology (coding, engineering, …).Built a business case, both on the back of a napkin…"
72,Teammanager Mortgages Origination (Circle Lead) | Area Retai...,ING,,Area Retail Operations Mortgages - Amsterdam.Binnen Area Retail Operations Mortgages behandelen we nieuwe hypotheekaanvragen en klantverzoeken die betrekking…
73,Master thesis project in applying model metric uncertainty,ING,,"The Wholesale Banking Advanced Analytics team is a large team of data scientists, data engineers, software developers and many more, that are focused on…"
74,Back End Developer,Quin,€85.000 per jaar,"Relocation assistance from start to finish.Help us build the future of healthcare.No small feat, because we need to develop a ‘brainy’ (AI-driven) app that…"
75,AWS Consultant,Sentia,,"A driven Consultant with a passion for AWS, or someone who’s ready to make the move to AWS.20% (Re)Designing AWS environments."
76,Junior Data Scientist,Detailresult Groep,€2.829 - €4.040 per maand,"Een (retail) wereld waarin de hoeveelheid data exponentieel toeneemt, waarin technologische innovaties elkaar in rap tempo opvolgen, waarin markten…"
77,Associate Partner- Retail Industry,IBM,,"IBM Global Business Services (GBS) has established a global team of Retail thought leaders and experts in the areas of Marketing, Multi-Channel Retailing,…"
78,Cloud Engineer,Quin,€85.000 per jaar,Relocation assistance from start to finish.You bring a broad interest in data security and data protection and you’re not afraid to coach others on these…
79,Senior Consultant Energy and Utilities,Sia Partners,,"You will execute project assignments, including intelligent data structuring, data analysis, benchmarks, people interviews, workshop animation, process mapping,…"
80,MBA Internship (Marketing),Slimmer AI,,MBA Internship | 3 Months | Marketing*.Develop a business school strategy to help Slimmer AI find top talent and ideas via interaction with top European…
81,NextGen Sales Academy - Associate Inside Sales (Belux Market...,Dell Technologies,,"Perform outbound sales activities such as cold calling, lead follow-up, sales qualifications and offer extension to new and/or existing B2B enterprise customers…"
82,Software Engineer,Pegasystems,,"It leverages big data analysis and artificial intelligence (AI) to allow companies to anticipate customer needs, predict their behavior and, ultimately, improve…"
83,Enterprise Account Executive,DataSnipper,,"You will identify, negotiate and close deals.Your efforts will drive customer satisfaction and happiness.Identifying, negotiating, and closing deals."
84,Meewerkstage UX/UI designer - Step on the Box (MAASTRICHT OF...,Soapbox,,Je zorgt samen met ons team van creatives voor knallende concepten en hoge kwaliteit UX/UI-designs.Als stagiair(e) CMD ben je onderdeel van team Step on the…
85,NextGen Sales Academy - Associate Inside Sales (Belux Market...,Dell Technologies,,"Perform outbound sales activities such as cold calling, lead follow-up, sales qualifications and offer extension to new and/or existing B2B enterprise customers…"
86,Software Engineer,Pegasystems,,"It leverages big data analysis and artificial intelligence (AI) to allow companies to anticipate customer needs, predict their behavior and, ultimately, improve…"
87,Enterprise Account Executive,DataSnipper,,"You will identify, negotiate and close deals.Your efforts will drive customer satisfaction and happiness.Identifying, negotiating, and closing deals."
