title,company,location,country,working model,salary,summary
Senior Data Analytics & Automation Specialist,Abbott Laboratories,Abbott Park,USA,onsite,,"Building advanced technical analytics skill in predictive modeling and machine learning.As a Data and Automation Specialist, you will play an integral role in…"
Senior Data Scientist,"TeraRecon, Inc",Acton,USA,onsite,,"The location of the position is flexible within the United States or Canada, with the ability to work remotely from home or from one of our offices in Fremont,…"
Game QA Tester,Penumbra US,Alameda,USA,onsite,,"Work under the direction of the Game QA Lead to provide test support for two dozen experienced game designers, artists, and engineers."
UX Designer,Abbott Laboratories,Alameda,USA,onsite,,"Interaction Design - Sketching, concept creation and wire framing, producing sitemaps and user flows, creating clickable prototypes."
USDA-ARS SCINet Postdoctoral Fellowship in Predicting Struct...,U.S. Department of Agriculture (USDA),Albany,USA,onsite,,Experience in 3D structural modeling of synthetic and/or natural biomolecules.Proficiency in Linux and/or other state-of-the-art computational programming…
Associate Camera Designer,Blizzard Entertainment,New York,USA,onsite,,Assist with technical implementation of cutscenes and real-time cinematic content.Share knowledge and collaborate with technical Leads to improve the quality…
"Software Engineer, Tools - Diablo",Blizzard Entertainment,New York,USA,onsite,,"Support the project by answering users’ questions, fixing bugs, and collaborating with leadership to put the focus where it’s needed most."
"Associate in Instructional Services (Mathematics 7-12), Box...","Education Department, State",New York,USA,onsite,,Reassignment: Candidates must have one year of permanent competitive or 55b/c service as an Associate in Instructional Services (Mathematics 7-12).
"Associate in Instructional Services (Mathematics 7-12), Box...","Education Department, State",New York,USA,onsite,,Reassignment: Candidates must have one year of permanent competitive or 55b/c service as an Associate in Instructional Services (Mathematics 7-12).
newMultimedia Production Representative 2,"General Services, Office of",New York,USA,onsite,,Review technical riders and advance technical equipment and services with contracted performing artists management and successful third-party technical services…
Graphic Artist,"Senate, NYS",New York,USA,onsite,,"In addition to the requirement of a Bachelor’s Degree, technical expertise is required with Adobe Creative Suite – primarily InDesign, Illustrator, and…"
newFine Arts - Lead Teacher (22-23 SY),KIPP Foundation,New York,USA,onsite,,"Use data to inform instructional decisions.The Lead Teacher’s role holds the primary responsibility for developing and implementing the curriculum, school…"
Technical Artist,"Systems Planning and Analysis, Inc.",Alexandria,USA,onsite,,"Systems Planning and Analysis, Inc. (SPA) delivers high-impact, technical solutions to complex national security issues."
newNaval Design Architect,Serco North America,Alexandria,USA,onsite,,"Provide concept and feasibility design studies addressing whole ship sizing and performance analyses, requirements validation, and design optimization."
Process & Design Engineer - Entry Level,Brown & Caldwell,Alexandria,USA,onsite,,"Two to three years of professional experience with evidence of increasing responsibility in the design of water and wastewater facilities, preferred, but not…"
QA engineer,Electronic Team,Alexandria,USA,onsite,,"We plan, analyze, design, implement, test, maintain and support our products in order to meet the highest expectations and demands of our customers."
Makerspace Director,Harvard University,Allston,USA,onsite,,"Identify potential partners of artists, designers, expert makers, software, computation, robotics and tech experts, fabrication and machine specialists to…"
Show Director (Casual-Temporary); Disney Live Entertainment,Walt Disney Imagineering,Anaheim,USA,onsite,,"Demonstrated knowledge of creative writing, understanding of the craft of stage performance, musical theater, immersive experiences, atmosphere entertainment…"
Conversational AI Developer,West Coast University,Anaheim,USA,onsite,,"Experience working on chatbots, telephony systems, or other conversational AI applications Preferred: Working knowledge with Google Cloud Platform or Microsoft…"
Technical Game Designer,Rockstar Games,Andover,USA,onsite,,As part of the Design/Scripting team you will be using an in-house scripting language to code missions and/or gameplay systems.
Engineering Aide - Design/Product Development,Vicor Corporation,Andover,USA,onsite,,Will interface with internal organizations regarding product related issues.Responsible for generating the documentation package for all products designed.
Senior Data Scientist - AI Offers,Schneider Electric,Andover,USA,onsite,,"Fluency in programming skills such as Python, R, or other equivalent languages.Bachelor’s or Master’s degree in computer science, Statistics or Mathematics,…"
Sr. UX Designer – AI Platform,Schneider Electric,Andover,USA,onsite,,"Industry experience as a user experience designer, interaction designer, information architect, or similar design-related role."
Sr. UX Designer – AI Platform,Schneider Electric,Andover,USA,onsite,,"Industry experience as a user experience designer, interaction designer, information architect, or similar design-related role."
newUX Designer,Schneider Electric,Andover,USA,onsite,,"Gather and evaluate user requirements in collaboration with product managers and engineers.Conducts user interviews, concept walk-throughs, and usability…"
Environment Artist,Rockstar Games,Andover,USA,onsite,,"Participate in R&D, problem solving artistic solutions to technical problems.Mid-level candidates are suggested to have 2+ years as a 3D artist within gaming…"
Cleared Hardware Design Engineer (All Levels),Kepora LLC,Annapolis Junction,USA,onsite,,Troubleshoot issues ranging from system design artifacts to customer hardware not performing as expected.Utilize knowledge and experience to troubleshoot and…
UX Designer (VSP),Clarity Innovations,Annapolis Junction,USA,onsite,,"Working closely with our engineering and product teams, this person will be responsible for UX, design, and research on one of our core teams."
Antenna Design Engineer: TS/SCI Poly,CACI,Annapolis Junction,USA,onsite,,Conducts advanced studies and research on the latest RF designs and innovations to improve on the design and performance of related equipment.
