,title,company,salary,summary
0,nieuwData analyst,Start People Amsterdam,€2.500 - €3.500 per maand,"You have knowledge about data analyses and data processing;As a data analyst at Vattenfall, you will work within the Transaction and Position Management (TPM)…"
1,Business & Data Analyst,RIPE NCC,€44.000 - €60.000 per jaar,"Collaborate with other analysts to collect and interpret large data sets, both internal and external, as well as identify knowledge gaps and research priorities…"
2,Jr. Data Analist,DPG Media,,"Als data analist bij Aldipress heb je een breed werkterrein.Je hebt tussen 0-3 jaar werkervaring op het gebied van data management, data analyse en."
3,Data Analyst,Θέσεις Εργασίας,,The ideal candidate is strong in their craft and is experienced in using data to create insights for stakeholders across various functions such as big data and…
4,Data Analyst – Tableau,CarNext.com,,4+ years of experience as data analyst ;Statistical knowledge and data modelling is required;Doing business and data analysis that support the business ;
5,Technical & Support Data Analyst,KPMG,€30 per uur,"Your role would primarily involve in data extraction, validation and processing using in-house KPMG data analytical tools, thereby supporting the audit…"
6,Quality Analyst Amsterdam,TikTok,,Conduct root cause data analysis and summary.Ability to digest large data sets/policies in a cohesive and actionable manner.Bachelor’s degree or above.
7,Data Analyst,Optiver,,"Streamline data pipelines, conducting modelling and make visualisations.Analyse and transform terabytes of raw market and trading data."
8,Solution Analyst - Sustainability Insights,McKinsey & Company,,"SSA develops proprietary models and data foundations on optimal decarbonization pathways of countries, sectors, companies and even individual products or…"
9,nieuwEMEA Network Analyst - Amsterdam,"JPMorgan Chase Bank, N.A.",,Assume responsibility of reviewing and upholding data integrity for Network population in wider CBI reports.Degree level qualification and relevant experience…
10,nieuwDATA ANALIST,SnelStart,€2.645 - €4.848 per maand,"Er is hier ontzettend veel mogelijk op het gebied van data analyse en data science.Nadat de data is opgeleverd door onze data engineers ben jij, samen je…"
11,Data Science intern,Orderchamp,,"Understand our data, analyze behaviour and build algorithms to improve performance;Previous involvement in algorithm development and data analysis, preferably…"
12,Data Analyst,Bestseller,,Managing data systems and writing technical requirements.Leading new analysis initiatives to get more from our data.50% discount on all BESTSELLER brands.
13,nieuwBusiness Data Analyst,Elevate Direct,,Analysis business requirements and associated data.Ensure data definitions are clearly understood by project stakeholders.
14,Data Analyst,Lemonade Insurance Company,,"Our ideal candidate is adept at modeling complex data, uncovering patterns, and delivering data-driven insights."
15,nieuwBusiness Analyst,Suitsupply,,"3+ years experience in a similar analyst role.Create documentation for business use cases, process- and or data flows.40% discount on all Suitsupply products."
