,title,company,salary,summary
0,Customer Data Engineer,Matrixian Group,€25 per uur,"Knowledge of data modeling and data warehousing concepts.Collaborate with domain experts, analysts and data scientists to solve data challenges."
1,Data Engineer - Banking,CGI Inc,,Design and build modern data pipelines and data streams.Design and build data service APIs.Opportunities for leveraging Microsoft Azure data and analytics…
2,Data Engineer,Klue,€65.000 - €110.000 per jaar,We’re a team of highly skilled software engineers and data scientists based out of Amsterdam and Vancouver.A set of automated pipelines for data collection and…
3,nieuwData Engineer,Harver,,"Collaborate with data engineers, data scientists, and product management teams for the design, delivery and maintenance of our ML applications;"
4,Data Engineer,KPMG,€30 per uur,As an Data Engineer you will play a vital role in the digitizing the audit through in-depth data understanding and data preparation to support the auditor's…
5,Data Center Engineer,Adyen,,"Ensuring repeatability across our global data centers.Work on various projects, ranging from rolling out completely new installations to maintaining current…"
6,nieuwSenior Data Engineer,Mollie,,"You will support our software developers, data analysts, and data scientists on data initiatives and will create standardized blueprints to enable them to…"
7,Junior Data Engineer,Accenture,,"You will support software developers, database architects, data analysts and data scientists on data initiatives and will ensure optimal data delivery…"
8,Data Engineer (Scala),CarNext.com,,"Contribute to designing data models.You’re an experienced Data Engineer with strong Scala and PySpark skills, who loves to build the best data pipeline and…"
9,Data Engineer,ChargePoint,,"Your job will be to augment the data from vehicles and charge stations with external data sources (weather, altitude, traffic) and support the Data Scientist in…"
10,Scientific data engineer,Vrije Universiteit Amsterdam,€5.211 per maand,"They work for example with administrative or commercial data, media content, historical and archival data, biometric data, and geospatial data."
11,"nieuwFPGA Engineer to 160,000 Euros",BizTek Recruitment Ltd,€80.000 per jaar,4+ years of experience working as a FPGA/ASIC design engineer.This proprietary trading company operates in Real Time dealing with huge quantities of data and…
12,Data Center Engineer,Optiver,,"Installing and cabling switches, servers, and appliances in our on-site data center.Taking pride in maintaining a consistent and clean cable management…"
13,Data Engineer,HEMA,,"Experience in building data pipelines to collect, transform, and load data from various sources (e.g. REST, Kafka) into data lakes and/or databases."
14,Data QA Engineer,VanMoof,,Providing a high level of data quality awareness across multiple staff profiles e.g. data engineers and data analysis from teams across the company.
15,Cloud Engineer,Quin,€85.000 per jaar,You bring a broad interest in data security and data protection and you’re not afraid to coach others on these topics.Help us build the future of healthcare.
16,nieuwResearch Engineer Digital Data Donation,Universiteit van Amsterdam,€5.230 per maand,It is based on individuals’ rights to download and port their data from any organization which stores user data.Research Engineer Digital Data Donation.
17,Azure Data Engineer,MSF-Holland,€3.488 - €4.980 per maand,"As an Azure data engineer at MSF you will be responsible for unlocking, structuring and preparing data for numerous stakeholders."
18,Data Engineer,Suitsupply,,Collaborate with other data engineers and analysts to provide solutions tailored to business stakeholders needs.This job might be for you if you have:
19,Data Engineer,Sam Media,,Work with data analysts and data scientists to strive for greater functionality of our data systems.Improve our data ingestion platforms.
20,Junior Data Engineer,IntoData,,Als junior data engineer ben je flexibel en communicatief.Als junior data engineer kom je op verschillende plaatsen terecht:Wat wij van jou vragen.
21,Data Engineer,SAMBA TV,,"As data is ultimately our business, you will not only work on our pipeline jobs, which process and deliver data at scale, but must truly get deep with that data…"
22,Data Engineer,Miele-X,,At least 5 years experience as a data engineer.Good knowledge of data warehousing.Good knowledge of data engineering standards.To as many people as possible.
23,nieuwDATA ANALIST,SnelStart,€2.645 - €4.848 per maand,"Nadat de data is opgeleverd door onze data engineers ben jij, samen je collega-data analisten, verantwoordelijk voor het analyseren, presenteren en voorspellen…"
24,nieuwProcess Engineer,Bluewater Energy Services,,"Computer literacy for relevant process simulation programs, discipline calculations, document processing, spreadsheets and data management."
25,"Staff Manufacturing Engineer, Data Centers",Google,,We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them.
26,Data Engineer,Lemonade Insurance Company,,"At least 3 years of experience in data engineering in the big data domain.Experience building and optimizing data pipelines, architecture, and data sets."
27,Junior HSE Engineer,Fluor Corporation,,"Participate in surveys, audits, evaluations, inspections, and investigations of incidents and activities to monitor and track HSE standards, programs and goals…"
28,AWS Data Engineer,PVH,,"Develop, maintain and optimize the data lake for data retrieval, storage and distribution within and across other data platforms and/or applications."
29,Data Engineer,Young Mavericks,€3.200 - €4.000 per maand,Als data engineer vervul je een belangrijke rol in de groei van onze organisatie.Als data engineer bij Young Mavericks werk je aan opdrachten voor…
30,Data Engineer,De Nederlandsche Bank,€3.300 - €5.500 per maand,Als Data engineer lever je een bijdrage aan de implementatie van nieuwe datamodellen en functionaliteit om de data te kunnen bewerken.
31,DATA ENGINEER,de Bijenkorf,,Wij zoeken allereerst data enthousiastelingen.Als Junior Data Engineer bij de Bijenkorf word je onderdeel van één van de grootste en meest data-geïnformeerde…
32,Data Engineer,CareXS,,Work with domain experts to assist with the creation of their data products and support their data needs.Design and implement scalable data pipelines while…
33,Senior Data Engineer,WeTransfer,,"Design reliable data ingestion and transform pipelines that can handle large data volumes.Build and maintain our observability data stack, so data is delivered…"
34,nieuwDATA ENGINEER: Real Time Financial Trading Systems,BizTek Recruitment Ltd,€160.000 per jaar,"Working closely with Quantitative Traders and Fundamental Analysts, you will ultimately be responsible for data availability.BONUS UP TO 100% of Basic!"
35,Backend Engineer,Klue,€65.000 - €110.000 per jaar,"Specifically, we build an ecosystem of microservices and data pipelines to automatically extract insights about competitors from public and internal data…"
36,Data Engineer,Bovemij,,"Het verzamelen en transformeren van data;Van verzekeringen tot financieringen, van data tot online portalen.Het team bestaat uit 7 medewerkers en samen ben je…"
37,nieuwData Scientist,APG,€5.956 per maand,"Doorontwikkelen van de data science capability.Deze multidisciplinaire product teams bevatten afhankelijk van het product engineers, testers, metadata…"
38,Data Engineer,Victa,,Als Data Engineer houd jij je bezig met de implementatie van (complexe) data blending en data preparation trajecten.
39,Data Engineer,Sentia,,Are you the one that creates the needed scripts and API calls to gather the data into a data lake; and builds report or dashboards to help out your colleagues?
40,Data Engineer,Bestseller,,"On a typical day, our data engineers are developing new integrations in python, provisioning infrastructure via terraform, writing custom Airflow operators and…"
41,Senior Data Engineer,APG,€7.220 per maand,Ten minste vijf jaar aantoonbare werkervaring met data modelling en data querying.In deze functie richt je je vooral op de ontwikkeling van data pipelines voor…
42,Azure Data Engineer,Artsen Zonder Grenzen,,"As an Azure data engineer at MSF you will be responsible for unlocking, structuring and preparing data for numerous stakeholders."
43,Data Engineer - Fintax,ABN AMRO Bank,,You are data savvy and have experience in data engineering.You are proficient in technical data modeling.You are an experienced designer of data solutions.
44,QA Engineer | Medische branche | Data,Layer,€50.000 per jaar,"Als stack gebruikt dit bedrijf Angular, Reactjs , SQL en voor data en BI Python.Dit bedrijf heeft als doel ziekenhuizen en de medische branche te helpen met…"
45,nieuwDev Engineer,ING,,"Depending in which squad (collection, processing or presenting layer) the team is responsible for designing, developing, delivering, testing and maintaining…"
46,Big Data organisatie | Infrastructure Engineer,Layer,€75.000 per jaar,Je zal werkzaam zijn in een team van 7 engineers.Hiervan zijn er al drie senior engineers bijna 30 jaar in dienst.
47,Group Data Engineer,Stage Entertainment,,"Act as point of contact with other data-oriented functions (e.g., CRM, digital marketing) to share data and ensure campaign response data is being socialized…"
48,nieuwQEHS Engineer (Launch),Syncreon,,Gather data from customer and internal sources as input for problem solving and communicate/report to appropriate personnel.Willingness to travel in EMEA.
49,Software & Data engineer Artificiële Intelligentie (AI) Infr...,Amsterdam UMC,€2.966 - €4.707 per maand,1 dag per week (vrijdag’s) werk je samen met andere data scientist & data engineers binnen het Data Science Center.Waar en met wie werk je samen.
50,nieuwNetwork Engineer,ServiceNow,,"Perform ongoing analysis of the data in CMDB and the monitoring systems to ensure hygiene, alert thresholds, and validate alarms are present in the NOC Console."
51,Transmissions Engineer,Disney Streaming,,"Some knowledge of elastic search, real-time analytics/visualizations or similar data analytic tools.Engineers also monitor and analyze the delivery of all A/V…"
52,nieuwOn-Board Computer and Data Systems Engineer,HE Space Operations,,"Platform data handling functions related to security, data authentication, encryption, compression, machine learning and artificial intelligence;"
53,Medior Data Engineer,InnSpire,€5.000 - €9.000 per maand,"Data modellering (in R) en het ontsluiten van data uit databases, data warehouses en data lakes door middel van API’s en ETL tooling als Elastic, Airflow,…"
54,DevOps Engineer,Quin,€85.000 per jaar,"You’ll work closely with our product teams, AI specialists, and data scientists in a true microservice fashion.Full-time / Part-time · Amsterdam."
55,nieuwData Engineer,EY,,"Daarbij komen alle mogelijke facetten van data & analytics bij kijken: Denk aan data engineering, dashboarding, process mining, data science, machine learning,…"
56,nieuwNOC Engineer,Castor Networks,,"As a NOC Engineer you monitor and manage all production systems and services, taking steps to improve performance, reliability or uptime."
57,Data Engineer,Hot ITem,,"We hebben het hele spectrum van het Artificial Intelligence werkveld in huis; business consultancy, data science en big data engineering."
58,Senior Data Engineer,Tiqets,,"Take ownership of large production data systems to support a variety of growing data needs.Deep knowledge of SQL fundamentals, and solid understanding of best…"
59,Bioinformatician / Data engineer for data-integration in onc...,NKI-AVL,€36 per uur,We are looking for a bioinformatician or a data engineer with a strong interest in software development & operations (DevOps) to facilitate data-integration in…
60,Data Engineer,Hot ITem,,"We hebben het hele spectrum van het Artificial Intelligence werkveld in huis; business consultancy, data science en big data engineering."
61,Data Engineer,Lemonade Insurance Company,,"At least 3 years of experience in data engineering in the big data domain.Experience building and optimizing data pipelines, architecture, and data sets."
62,Data Engineer,Miele-X,,At least 5 years experience as a data engineer.Good knowledge of data warehousing.Good knowledge of data engineering standards.
63,Data Analyst,Θέσεις Εργασίας,,The ideal candidate is strong in their craft and is experienced in using data to create insights for stakeholders across various functions such as big data and…
