,title,company,salary,summary
0,International Trainee - Data Scientist,Vattenfall,,The sub-team you will be working in consists of data scientists and data engineers with a strong knowledge of our customers and the energy market.
1,Data Scientist,Optiver,,Perhaps you'll develop machine learning-based strategies using historical data.The ability to present complex ideas with data to expedite decision making.
2,Data Scientist - QuantumBlack,McKinsey & Company,,You will work on the frameworks and libraries that our teams of data scientists and data engineers use to progress from data to impact.
3,Senior Data Scientist,Mollie,,Contribute to the development of our reporting environment and data lake.Contribute to knowledge sharing sessions and initiatives to improve ways of working…
4,Data Scientist,Adidas,,The Data Scientists in the Global Operations Advanced Analytics team will support the development of data science methods for specific use cases across the full…
5,nieuwData Scientist,APG,€5.956 per maand,"Doorontwikkelen van de data science capability.Als data scientist ben je creatief, innovatief, gedreven, nieuwsgierig en sociaal, communicatief zeer vaardig."
6,Data Scientist,Dept,,"Segmenting customer groups based on behavioural data.Have at least 2,5 years working experience in a data science role;Are an expert in Python (MUST);"
7,Data Scientist,Sijthoff Media,,Ook ben je inzetbaar als medior onderzoeker bij data-intensieve onderzoeksprojecten.Je hebt enige jaren werkervaring en beschikt over een kwantitatieve…
8,"Staff Data Scientist, Freemium",Spotify,,You’re capable of and have experience mentoring more junior data scientists to set them up for success.Perform analyses on data sets to extract meaningful…
9,nieuwScientist I,Givaudan,,"This data is used to develop flavor creations.This includes sample preparation, instrumental analysis and data interpretation."
10,"nieuwData Engineer, Inventory & Logistics Operations Group Digita...",IKEA,,"On a day-to-day basis, you engage in activities such as solution design, building data extraction and transformation pipelines, dimensional modelling and…"
11,nieuwRisk Data Scientist,Sia Partners,,"As a risk data scientist you will be working on various client projects as well as on building our own Sia AI solutions, together with our French Data…"
12,nieuwData Scientist,EY,,Je zeer data en insight driven gaat opereren.Je maakt gebruik van de nieuwste machine learning technieken en big data stack platforms.
13,nieuwData Scientist,Orange Quarter,,"You will be performing research and analysis on complex and varied data sources, blending data sets to create insights for example IoT data and satellite data…"
14,Junior Decision Scientist,Adidas,,"Experience finding, cleaning and transforming large data sets to build reports, dashboards and / or data assets.Fluent in English both verbally and written."
15,Jr. Scientist – Molecular Virology,uniQure,,"Accurately collecting, managing, analyzing and documenting experimental data.The junior scientist will join the BPU team to support the generation and analyses…"
16,nieuwData Scientist,C.H. Robinson,,Train and mentor our data scientists to ensure optimal technical skill development.Familiarity with data fundamentals including SQL.
17,Data Scientist - Insights,Catawiki,,You're a SQL Ninja who is not afraid of handling large volumes of data.Work with cross functional teams to find trends and opportunities in the data and make…
18,nieuwData Science Trainee,AFM,€2.949 per maand,Voor je opdracht heb je een interne opdrachtgever en in je werkzaamheden word je persoonlijk begeleid door een ervaren data scientist.
19,Data Scientist,DPG Media,,Heb je 2-3 jaar werkervaring als data scientist.Deze functie valt in het subteam Data Science dat bestaat uit 13 data scientisten.
20,Senior Data Scientist,Adidas,,A data scientist is a specialist who applies its expertise in statistics and building machine learning models to make predictions and answer key business…
21,Full Stack Data Scientist,Cloudflight,,Design and implement tailor-made Machine Learning solutions specific to our customers – from a first PoC and MVP to fully scalable applications operated in…
22,Data Scientist,Intelligence to Integrity,,"Ervaring met verwerken / analyseren medische (declaratie) data.Wij zijn i2i, een jonge, ambitieuze, en doelgerichte organisatie gevestigd in Amsterdam."
23,Data Scientists - FinTech - 100% Remote,Inter Quest Talent Solutions,€40.000 - €80.000 per jaar,"As a data scientist, you ‘re working in a team of engineers, product managers and scientists to balance data, responsibility towards our customers and our…"
24,Internship - Data Scientist Quality ‏ (middle February | 1st...,Henkel,,Analyzing data and drawing conclusion.Handling and visualization of big data of different sources.Experiences with databases and data analysis as well as SQL …
25,nieuwData Scientist Human Resources,ABN AMRO Bank,,"Completed a data scientist related study (e.g., econometrics, data mining, statistics) at a univeristy.Experience with data management, dashboarding, survey…"
26,Senior Data Scientist Financial Planning and Analysis,Philips,,Develop and coach financial analysts and junior data scientists to use the right analytic techniques and tools developed by the CoE to benefit from best…
27,(Junior) Data Scientist,IG&H,,"You’re resourceful in finding additional data sources and recoding variables.As a Data Scientist you’ll delight our clients by transforming giant, complex…"
28,nieuwData Scientist - Pon Datalab,Datalab,€3.300 - €4.000 per maand,Je hebt een eerste kennismaking met twee (senior) data scientists;Jij pakt het project op samen met een senior data scientist en dankzij jouw hulp weet de…
29,Data Scientist,ING,,We are looking for experienced data scientists to help us build the next generation of customer interaction experience at ING.
30,nieuwData Engineer,Harver,,"Collaborate with data engineers, data scientists, and product management teams for the design, delivery and maintenance of our ML applications;"
31,nieuwData Scientist E-Commerce,etos,€4.500 per maand,"Door jouw slimme data strategie help je klanten de producten te vinden die ze nodig hebben.Je haalt uit onze enorme berg aan data, samen met het Etos Data…"
32,"Data Scientist Amsterdam, Netherlands Information Technology",Philip Morris International,,"Interact not only with other fellow data scientists and business partners, but also with data engineers, DevOps, data architects, security and privacy experts,…"
33,Customer Data Engineer,Matrixian Group,€25 per uur,"Collaborate with domain experts, analysts and data scientists to solve data challenges.Knowledge of data modeling and data warehousing concepts."
34,Data Scientist,Infosys,,Should have core data science skills including Machine Learning and Statistics.Data Scientist with overall 8-10 years of experience including 2-3 years of…
35,nieuwData Scientist,InterQuest,,"Understand our business and its processes through our data.Promote data literacy across the company, organize and hold workshops."
36,Marketing Data Scientist,Harnham,€55.000 - €65.000 per jaar,Provide clients with actionable data-driven insight regarding the marketing strategy and campaigns.Working as a Data Scientist within a wider cross-functional…
37,Data Science Intern,Atradius,,Knowledge of SQL for data query.Has a 'storytelling' ability through data to translate results into actionable insights and/or interventions.
38,Data Scientist - Chemometrics,Shell,,"Delivery and impact: you’ll be designing bespoke statistical process control systems for fault detection and diagnosis, creating innovative solutions using data…"
39,Data Engineer,Klue,€65.000 - €110.000 per jaar,We’re a team of highly skilled software engineers and data scientists based out of Amsterdam and Vancouver.A set of automated pipelines for data collection and…
40,(Junior) Bio-informatician,MIMETAS,,"Establishing data generation and analysis methodologies for biological data;You will work with high-content microscopic data, cell based assay and data from…"
41,Data Scientist,Liberty Global,,"Demonstrable data analytic experience and strong Experience as a data scientist, working in an agile delivery environment.Fluent spoken and written English."
42,Senior Data Scientist,Θέσεις Εργασίας,,"The Data team comprises analysts, applied scientists, and engineers with a mandate to enable all corners of the company to exploit data models & customer…"
43,(Junior) Data Scientist,IG&H Consulting & Interim,,"You’re resourceful in finding additional data sources and recoding variables.As a Data Scientist you’ll delight our clients by transforming giant, complex…"
44,Senior Data Scientist,Philips,,Experience articulating business questions and using quantitative techniques to arrive at a solution using available data.
45,(Junior) Data Scientist,Linden-IT,,Tijdens je eerste maand bij Linden-IT nemen we je mee in de wereld van Data en zorgen we ervoor dat je er klaar voor bent om als data scientist aan de slag te…
46,Senior Data Scientist: Forecasting,Just eat Takeaway.com,,Be an active participant in the community for data scientists and engineers & drive guidelines and best practices throughout the community.
