,title,company,salary,summary
0,Machine Learning Engineer,Mollie,,End to end Pipelines: Demonstrate and end-to-end understanding of Applications (not just limited to Machine learning algorithms) being created.
1,nieuwMachine Learning Engineer,PVH,,Mine the data from internal and external sources.Help building and deploying robust and future proof Data Science models.
2,Machine Learning Engineer @Xccelerated,Xebia,€25 per uur,"You work together with data scientists and engineers in a team to build production-ready, scalable machine learning systems."
3,Machine Learning Engineer/DevOps Engineer,Sia Partners,,Infrastructures & Services adapted to Machine Learning : technological watch and implementation of solutions useful to Data Scientists in learning and making…
4,Machine Learning Engineer,Skyborn Robotics,,Skyborn Robotics is looking for an engineer to develop machine learning algorithms for our robotic systems.The ideal candidate keeps up-to-date with industry…
5,Machine Learning Engineer,Hot ITem,,"Our data engineers and data scientists focus on productionizing valuable machine learning & AI solutions, and developing and deploying Machine Learning models."
6,Junior Machine Learing Engineer,Otrium,,Experience with the machine learning stack in Python.Experience in Object-Oriented Programming and know that machine learning projects don’t only live in…
7,Machine Learning Engineer,Xebia,,"Testing, scaling, refactoring and security is your responsibility.As such, you have a good understanding of software engineering."
8,nieuwData Scientist / Machine Learning Engineer,RTL Nederland,,"Experience with the full machine learning lifecycle.Then deliver a solution, often with machine learning.You start with understanding the problem and digging…"
9,Machine Learning Engineer - Web Core ML Personalisation - Ac...,Booking.Com,,"Push for improvements, scaling and extending machine learning tooling and infrastructure, collaborating with central teams.Document and share the findings."
10,nieuwPostdocs Econometrics Methods and Data Science,Vrije Universiteit Amsterdam,€4.474 per maand,"Teaching experience, evidenced by good evaluations; having taught machine learning courses is a plus, but not required."
11,Machine Learning Engineer (Remote),Harnham,€80.000 - €100.000 per jaar,An excellent understanding and proven commercial experience of using Data Science techniques such as modeling & machine learning.
12,"nieuwWireless Machine Learning Researcher - Qualcomm Research, Am...",Qualcomm Technologies Netherlands B.V.,,"Experience using machine learning tools and packages (PyTorch, TensorFlow, Jax).Eager to apply machine learning to the latest research challenges in wireless…"
13,Machine Learning Engineer,Orange Quarter,,"Working with major public and private organisations in energy, transport and telco to name a few, helping them get their data science solutions into production,…"
14,Junior Machine Learning / Data Engineer,DPG Media,,"Op basis van deze data, grondige analyses, clustering, predictieve modellen, machine learning e.a. technieken bouwen we aan advertentie oplossingen op maat."
15,Data Scientist,Knab,,Apply statistical and machine learning techniques to develop and improve both financial and non-financial models.Take ownership of your personal development.
16,Onderzoeker Machine Learning voor de Ziekte van Huntington,LUMC,€4.615 per maand,Je hebt ook een sterke interesse in het toepassen van machine learning algoritmen op biomedische data.Je hebt affiniteit met translationeel onderzoek naar…
17,Machine Learning specialist!,StarApple,€2.700 - €4.000 per maand,Het zijn termen welke je tegenwoordig steeds meer tegenkomt in de wereld van Data!Als Data Scientist ben je binnen het Risk management team verantwoordelijk…
18,Internship opportunities: Health Intelligence - Machine Lear...,Microsoft,,"Develop novel machine learning models and algorithms.Design, implement and evaluate machine learning experiments."
19,Healthcare Data Scientist,AWS EMEA SARL (Netherlands),,"Strong working knowledge of deep learning, machine learning and statistics.Experience with statistical modelling/machine learning."
20,AI/Machine Learning Product Manager (possible remote),IHS Markit,,"Lead strategic customer beta engagements, framing a feedback environment and communicating learnings on early releases of products."
21,Research Internship – Machine Learning,Irdeto,,Familiarity with the fundamentals of machine learning.It is therefore important to investigate attacks on machine learning systems and to design corresponding…
22,Machine learning engineer,NPO,€3.197 per maand,"3+ jaar ervaring met machine learning frameworks zoals Sklearn, Tensorflow, Pytorch of Keras;Als machine learning engineer maak je deel uit van het team Data…"
23,"Group Product Manager, Fraud",Θέσεις Εργασίας,,"Experience shipping solutions based on machine learning.Trust is fundamental to the Beat marketplace, and the Fraud, Safety & Identity teams are ensuring that…"
24,nieuwOperations Research Scientist,Amzn Dev Ctr (Netherlands) B.V,,"Statistical analysis, machine learning and data-modeling in a database environment a plus.Masters in Operations Research, Statistics, Applied Mathematics,…"
25,Data Scientists - FinTech - 100% Remote,Inter Quest Talent Solutions,€40.000 - €80.000 per jaar,"As part of large business with a long history of providing customer credit, with a track record in responsible credit scoring over the last years."
26,nieuwData Scientist,PVH,,"With 9 fully-equipped Ecommerce bays running on the latest tech, 2 Editorial Studios with drive-in capacity, a Still Life Studio, Equipment Room, Sample…"
27,Machine Learning Engineer,Capgemini,,"Je hebt minimaal 3 jaar ervaring met het toepassen van machine learning algoritmes binnen grote organisaties;Je gebruikt populaire programmeertalen, zoals R en…"
28,Business Analyst (Marketplace),Orderchamp,,"Using machine learning to match retailers with suppliers; data, recommendations, social interaction, etc;To help build the future of B2B Commerce."
29,AML Specialist - Compliance,Adyen,,Build on continuously improving the AML/CFT Framework of Adyen which includes business rules and machine learning models by using a data driven approach.
30,Traineeship Data,Hermes Partners,€3.000 per maand,"Je komt te werken binnen een data/IT afdeling.Ook ga je data programmeren en/of data analyseren, maak je voorspellende modellen en onderhoud je contact met de…"
31,Coffee Specialist Amsterdam,Nespresso,€1.600 per maand,"Jouw deskundigheid heeft niet alleen betrekking op onze koffiesmaken, machines en accessoires.Vroeger maakte je een kan koffie voor het hele gezin of het hele…"
32,nieuwAnaplan Model Builder,QWIC,,"Een scale-up als QWIC biedt enorme kansen voor het effectief inzetten van data.Etc. Verder, wil R&D dieper inzicht in het gebruik van de fietsen en de…"
33,nieuwPostdocs Econometrics Methods and Data Science,Vrije Universiteit Amsterdam,€4.474 per maand,"Teaching experience, evidenced by good evaluations; having taught machine learning courses is a plus, but not required."
34,Growth Data Intern,Orderchamp,,"Using machine learning to match retailers with suppliers; data, recommendations, social interaction, etc.;Innovative online B2B marketplace to bring brands and…"
35,Brand Success Manager - Benelux,Orderchamp,,"Using machine learning to match retailers with suppliers; data, recommendations, social interaction, etc.;To help build the future of B2B Commerce."
36,Junior Consultant Artificial Intelligence,Deloitte,,"Kennis van statistische methoden, machine learning en/of AI-technieken;Selecteer, bouw, finetune en test (machine learning) modellen;"
37,Senior Trader - Amsterdam,XR Trading LLC,,Practical experience in applying advanced machine learning techniques to trading problems.This Senior Trader would partner with highly motivated individuals…
