,title,company,salary,summary
0,nieuwJunior Software Developer - Frontend,Adidas,,Passion for software engineering and development and willingness to learn new technologies.Work in collaboration with your team assisting in the design of…
1,nieuwFront-end Developer,Matrixian Group,€3.500 - €4.000 per maand,"You are self-starting, responsible and like to take ownership.2-3year proven track-record in front-end web development.Advanced knowledge of van PHP / NodeJs."
2,Junior Front-end Developer,Label A,€2.400 - €2.700 per maand,"Bij Label A ga je werken aan maatwerk (web) applicaties voor klanten zoals Rocycle, Van Oord en FIGO.Je bent onderdeel van het hechte Front-end team en werkt…"
3,Back End Developer,Quin,€85.000 per jaar,+ Discuss architectural topics with fellow developers.+ Roughly 3-5 years of ‘hardcore’ software development experience.
4,Junior Front-End Developer,Deloitte,,"Als Junior Front-End Developer maak je deel uit van ons Advertising, Marketing & Commerce team.Onze projecten variëren van brand- of customer experience…"
5,Front-end Developer,Luminis,€29 per uur,"Do you master multiple JavaScript frameworks and the associated tools to build, test and develop?Contribute to the entire innovation process, from the first…"
6,nieuwMid-level front-end developer,Incentro,€3.000 - €4.750 per maand,"An IT-related HBO/WO diploma;3 years of relevant work experience;W3 standards (CSS3, HTML5 & Javascript);Javascript frameworks (Angular, React, Vue & Node.js…"
7,Backend Developer,bGrid solution,€28 per uur,"We have a strong focus on cloud development, we are on Azure.We also look for solid development practices such as code reviews & testing, git and branching…"
8,nieuwFull Stack Developer - ETOS,albert-heijn,€64.000 per jaar,"With a small inhouse team we take care of all aspects of ecommerce software support and development; from Etos's business wishes and functional requirements,…"
9,Amsterdam - Junior Software Developer Fraud Prevention,ROMEO BV,,"Analyse abuse cases, identify patterns and improve our automated detection.Follow 'fraud trends' in the market and deliver the best solutions."
10,Software Developer,R2Group BV,€70.000 - €75.000 per jaar,NET software developer you participate in multiple projects.NET software developer has the right technological knowledge and communication skills.
11,nieuwFrontend React Developer,R2Group BV,,"You will, among other things, work with the team on a project to turn the current way of our visualization solution into a strong platform that can fully…"
12,Front-end developer.,MyParcel,€3.215 - €7.040 per maand,Je hebt enkele jaren ervaring als Front-end of Full Stack Developer.Het is handig als je al kennis van docker hebt.Wij groeien en jij groeit met ons mee.
