,Unnamed: 0,title,company,location,salary,summary
0,0,Conversational AI Designer,Uniphore,"Bengaluru, Karnataka",,Experience creating multiple demos or prototypes showcasing the bleeding edge capabilities of conversational design.Write effective and natural dialogues.
1,1,Senior Product Manager - Conversational AI,Walmart Global Tech India,"Bengaluru, Karnataka",,"Previous experience with chatbots, conversational AI, data science, natural language processing (NLP), or natural language understanding (NLU) is a plus."
2,2,"AI Consultant, Google Cloud Professional Services",Google,"Bengaluru, Karnataka",,"Experience in a statistical programming language like R or Python and applied machine learning techniques (e.g., dimensionality reduction strategies,…"
3,3,D&AM- Predictive Modeling / AI - ML-LSA/SSA,Deloitte,"Bengaluru, Karnataka",,Certification in SAS or SQL Server or Other relational databases or big data platforms.Develop business and industry knowledge in one or more industries.
4,4,newTalent Acquisition Specialist,Interactions,"Bengaluru, Karnataka",,"In doing this via our conversational AI engine, our customers benefit from dramatically improved customer experience and increased customer engagement, while…"
5,5,AI Consultant,Wells Fargo,"Bengaluru, Karnataka",,"Bachelors or Master's degree in business, economics or quantitative fields like computer science and engineering or equivalent."
6,6,AI/ML Developer,EY,"Bengaluru, Karnataka",,"Presents insights and trends for product and/or pricing changes or improvements.Deep learning, natural language processing and generation and Mathematics,…"
7,7,Technical Architect_ Conversational AI,Quantiphi Analytics,"Bengaluru, Karnataka",,"Strong understanding of the NLP space (natural language understanding, sentiment analysis, personality insight etc.), conversational interfaces, and leveraging…"
8,8,AI/ML Engineer,EY,"Bengaluru, Karnataka",,"MS or PhD in CS, EE or related disciplines.You’ll dive into natural language, time series and image data no one has ever examined before."
9,9,CV-Engineering,iMerit,"Remote in Bengaluru, Karnataka",,"Experience using computer vision, deep learning and deep reinforcement learning, or natural language processing in a production environment."
10,10,Digital_Associate 2_Data Science_Bangalore,PwC,"Bengaluru, Karnataka",,"Desired Languages (If blank, desired languages not specified).Education (if blank, degree and/or field of study not specified)."
11,11,"CRL2.0 EY GDS - IA- Process Mining (Celonis, ProcessGold)",EY,"Bengaluru, Karnataka",,Js/Java or web technologies will be added advantage.Working knowledge in excel and macrosknowledge of any automation process or techniques.
12,12,newAnalyst-Data Science,Accenture,"Bengaluru, Karnataka",,"You may have limited exposure with clients and/or Accenture management.You will be required to utilize the existing frameworks, standards, patterns to create…"
13,13,Software Engineer 2,Microsoft,"Bengaluru, Karnataka",,Undergraduate or Graduate degree in Computer Science or related Engineering discipline.Experience with complex single page applications using React or Angular.
14,14,Customer Service Executive (US Accent),Skit.ai,"Bengaluru, Karnataka",,"Details of the type of employment you are or may be looking for, current and/or desired salary and other terms relating to compensation and benefits packages,…"
15,15,Customer Service Executive (US Accent),Skit.ai,"Bengaluru, Karnataka",,"Details of the type of employment you are or may be looking for, current and/or desired salary and other terms relating to compensation and benefits packages,…"
16,16,A&A -Data Scientist - AI POD,Deloitte,"Bengaluru, Karnataka",,You should also possess a proven track record of delivering & managing multiple Data Science projects through its complete lifecycle starting from defining the…
17,17,Customer Support Engineer,Purplegrids,"Bengaluru, Karnataka",,Proven customer service skills with attention to detail.Impeccable follow-through and commitment to quality customer service.Graduate in Masters/Bachelor’s.
18,18,Senior Content Designer,Intuit,"Bengaluru, Karnataka",,"Transform complex accounting jargon into conversational, approachable language.5+ years of experience in content design, content strategy, or related field."
19,19,CN - Strategy - MC - High Tech - Semiconductor - 09,Accenture,"Bengaluru, Karnataka",,Basic understanding of robotics operating system .ROS. robotic programming on Fanuc KUKA ABB or equivalent brands • Knowledge of industrial controls like PLC or…
20,20,Content Designer II,Expedia Group,"Bengaluru, Karnataka",,At least 2-4 years related professional experience as a content designer or content strategist.Bachelor's degree in a related field; or equivalent related…
21,21,"Software Engineer, Dashboards",Google,"Bengaluru, Karnataka",,5 years of relevant experience in software and/or dashboard development.Master's degree in Computer Science/Engineering or a related field.
22,22,AI / ML Dev (Application Development),Morgan Stanley,"Bengaluru, Karnataka",,Practical knowledge of Natural Language Processing (NLP) and/or Neural network implementation.Proficiency in data analysis using complex and optimized SQL and …
23,23,Product Designer,sybill,"Remote in Bengaluru, Karnataka",,"Undergraduate degree in a related field (Design, HCI, Applied Psychology) or with graduate level training is a plus."
24,24,D&AM- National -LSA/SSA,Deloitte,"Bengaluru, Karnataka",,Certification in SAS or SQL Server or Other relational databases or big data platforms.Develop business and industry knowledge in one or more industries.
25,25,Hiring For Python Developer,Gnani.ai,"Bengaluru, Karnataka",,Design and develop natural language processing systems.Use effective text representations to transform natural language into useful features.
26,26,"Cloud Technical Solutions Engineer, AI/ML, Google Cloud",Google,"Bengaluru, Karnataka",,"1 year of experience in machine learning, recommendation systems, natural language processing, speech recognition, computer vision, or production deployment of…"
27,27,ML Engineer,EY,"Bengaluru, Karnataka",,Strong command on verbal and written English language.Building AI solutions would involve the use and creation of AI and ML techniques including but not…
28,28,Applied Research Engineer – AI / ML,Bosch Group,"Bengaluru, Karnataka",,"Evaluate new and existing IR, NLP, ML and AI algorithms, using standard datasets or our own data collections and strategies when necessary."
29,29,D&AM- Cloud Data-LSA/SSA,Deloitte,"Bengaluru, Karnataka",,Certification in SAS or SQL Server or Other relational databases or big data platforms.Build business and industry knowledge in one or more industries.
30,30,Data Engineer,Interactions,"Bengaluru, Karnataka",,"As a member of one of our Technology teams, you will contribute to building solutions that use natural language processing, cognitive computing, and artificial…"
31,31,"Software Engineer, Systems Power and Performance",Google,"Bengaluru, Karnataka",,5 years of experience in power or performance modeling or systems performance analysis.Experience with Programming language such as Python.
32,32,"Senior Product Manager - Tech, Alexa AI Knowledge",ADCI - Karnataka,"Bengaluru, Karnataka",,"Expertise with voice products or Q&A systems (e.g. speech recognition, natural language understanding, knowledge graphs) and challenges with non-latin script…"
33,33,Senior editor and content strategist - Manager (DI),Deloitte,"Bengaluru, Karnataka",,"Experience in a publishing/media house or with corporate thought leadership and global, cross-industry content is preferred."
34,34,"Principal Data Scientist, AI-ML, D&T",West Pharmaceutical Services,"Bengaluru, Karnataka",,"Knowledge of working with R, Anaconda environment or Jupyter notebooks or related tools.Exposure to Web services, micro-services, and REST."
35,35,DevOps Engineer,Interactions,"Bengaluru, Karnataka",,"As a member of one of our Technology teams, you will contribute to building solutions that use natural language processing, cognitive computing, and artificial…"
36,36,Database Administrator,Interactions,"Bengaluru, Karnataka",,"Scripting experience with bash, Perl or Python.Bachelor’s Degree in Computer Science or equivalent.In doing this via our conversational AI engine, our…"
37,37,USI R&FA | EH | MRM- Manager,Deloitte,"Bengaluru, Karnataka",,Certification in SAS or SQL Server or Other relational databases or big data platforms.Work with team members to build analytics solutions and present them to…
38,38,Staff Product Manager,Freshworks,"Bengaluru, Karnataka",,"Experience in data visualization and reporting using open source libraries/packages and third party tools (Tableau, Power BI or similar)."
39,39,UX Writer,Trinkerr Learning Technologies,"Bengaluru, Karnataka",,"Collaborate with UX designers, product teams, and researchers to craft and hone language across a variety of contexts from UI components, to conversational…"
40,40,Project Manager,Purplegrids,"Bengaluru, Karnataka",,"Worked as BA / PM or similar role in a product company (Preferred) or a services company.Familiarity with chatbots, voice enabled devices, or other…"
41,41,MS_ESP-IS-HSW_ToolDevelopment_2022,Bosch Group,"Bengaluru, Karnataka",,You will be part of Hardware Related Software (HSW) team.Tech / M. Tech in Computer Science.Good knowledge and working experience in Tool design and…
42,42,CN - Strategy - ACE - CS&S - Conversation Design - 09,Accenture,"Bengaluru, Karnataka",,"These services help our clients become living businesses by optimizing their marketing, sales and customer service strategy, thereby driving cost reduction,…"
43,43,Backend Developer,Vonage,"Bengaluru, Karnataka",,Exposure to Machine learning or Natural Language Processing Experienced with transactional payments or e-commerce industry.
44,44,Client Technology - AI/ML Engineer,EY,"Bengaluru, Karnataka",,"MS or PhD in CS, EE or related disciplines.The successful candidate will be part of a team building innovative AI solutions that rely on AI and ML techniques…"
45,45,Talent Acquisition Specialist,Trifacta,"Bengaluru, Karnataka",,"3+ years of experience with full-cycle recruiting and or talent management in tech, SAAS start-ups.Certiﬁed as a LinkedIn Recruiter or 3+ years experience…"
46,46,Data Scientist - I/II,sharechat,"Bengaluru, Karnataka",,"BTech, MS degree or Ph.D degree in Computer Science or a related discipline.Apply state of the art in the relevant research domains to make significant…"
47,47,"Software Engineer - NLP, Chatbot, Microservices",Amex,"Bengaluru, Karnataka",,Build conversational AI using Natural language.Design and develop Micro services architecture for chatbots / chatbot integrations.
48,48,UX Researcher,Indihood,"Bengaluru, Karnataka",,"Expert level conversational skills in a Indian language.Experience driving a shipped feature, release or product."
49,49,"Support Engineer, Alexa AI-Natural Understanding (Level 5)",ADCI - Karnataka,"Bengaluru, Karnataka",,Experience scripting in modern program languages.Experience in Unix or Linux OS.4+ years of development or technical support experience.
