,Unnamed: 0,title,company,location,salary,summary
0,0,Creative Developer,Sosolimited,"Remote in Boston, MA 02114",,"As a creative developer, youâll be working with a team of designers, coders, and project managers to create award-winning digital installations and…"
1,1,newFront-end Web Designer/Developer,Harvard University,"Hybrid remote in Cambridge, MA",,"Join a small team of designers, developers, editors, and marketing specialists to help design and build high-quality websites and applications."
2,2,Advanced Game Designer,WarnerMedia,"Needham, MA",,"Games development studio focused on creating free-to-play games for mobile platforms.Help define the product vision with compelling game loops, systems, deep…"
3,3,HTML Email Specialist,Edelman Financial Engines,"Boston, MA 02203 (Central area)",,An Email HTML Specialist is responsible for collaborating with internal partners to build quality emails that are sent to thousands of clients.
4,4,"newProgram Coordinator, Digital Engagement & Web Development",Northeastern University,"Boston, MA",,"The Program Coordinator, Digital Engagement and Website Development reports to the Senior Associate Director, Digital and Social Engagement, and plays an…"
5,5,Marketing Webmaster Associate,Commonwealth Care Alliance,"Boston, MA 02108 (Downtown Crossing area)",,"Create detail coding instructions for developers.Coordinate with designers, developers and agency partners for more involved website changes."
6,6,Web & Visual Designer (Marketing),IMMERSIVE GAZE,"Boston, MA",,"E / MCA degree in Computer Science, Engineering or a related stream.3+ years of software development experience.Minimum of 4 live project roll outs."
7,7,Senior UI / Graphics Designer / Developer,Moxie Systems Inc,"Southborough, MA",,Relocation/Travel packages are also available for skilled and committed candidates.Utilize communication skills and expertise in information architecture to…
8,8,Front-end UX/UI Web Designer,TakeTours.com,"Arlington, MA",,"Manage prepayment account orders & prepayment & accounting record.Monitor online accounting request (Live Help, Online Request, Emails)."
9,9,Engineering Technical Writer - Computer Vision,MathWorks,"Hybrid remote in Natick, MA 01760",,"Ability to develop and document simple, creative demonstrations of practical solutions in various industries.A recent graduate in engineering or science with a…"
10,10,Web Infrastructure Developer - Digital Marketing,Veeva Systems,"Boston, MA",,"Work cross-functionally with IT, Marketing, and Front-end developers.The Infrastructure Web Developer is an integral member of Veeva’s Digital Marketing team."
11,11,"newStudentUniverse - SEO & Analytics Manager - Boston, MA",StudentUniverse,"Remote in Boston, MA",,We are believers in travel experiences; that they can teach students things they cannot learn in the classroom.Expertise in A/B and other testing methods.
12,12,"Senior Software Engineer, Data Science - Creative Guidance",Klaviyo,"Remote in Boston, MA",,Klaviyo operates a real-time data platform coded in Python built for massive scale on Amazon Web Services (AWS).
13,13,Creative Technologist - Wayfair Next,Wayfair,"Boston, MA",,"Not just an engineering and creative mindset, but an entrepreneurial mindset.Participate in the tech & creative community by publishing blogs/papers,…"
14,14,newEUC OCTO Architect/Evangelist - Opportunity for Working Remo...,VMware,"Remote in Boston, MA",,"The successful candidate is someone able to engage and influence a varied audience, including C-level, managerial, technical staff, and industry experts, as…"
15,15,"Software Development Manager, AWS Cryptography","Amazon Web Services, Inc.","Boston, MA",,7+ years of experience working directly within engineering teams.Experience partnering with product OR program management teams.
16,16,"Technical Marketing Engineer, Staff - Software Business Tran...",Juniper Networks,"Westford, MA 01886",,"Juniper’s Software Business Transformation team is seeking a highly motivated, technical team member to drive the technical marketing activities of the software…"
17,17,Senior Engineering Technical Writer - Embedded Systems,MathWorks,"Hybrid remote in Natick, MA 01760",,The hybrid model provides the advantage of having both in-person time with colleagues and flexible at-home life optimizations.Experienced in C/C++ programming.
18,18,"Senior Software Engineer, Search Interpretation",Wayfair,"Boston, MA",,We are looking for experienced engineers with a creative mindset.We strive to translate the customer’s vocabulary to our product catalog and provide her with…
19,19,Freelance WordPress Designer/Developer (Boston Local),The Record Co.,"Boston, MA 02118 (North Dorchester area)",,"Building that community requires inclusivity, integrity, and radical hospitality.Reports to: *Executive Director (currently directing marketing on interim…"
20,20,Senior Staff Machine Learning Engineer Manager,Wayfair,"Boston, MA",,"The most complex and business critical Data Science models deliver fast, scalable, easily accessible, and reliable comparisons between large numbers of products…"
21,21,Technical Game Designer,Rockstar Games,"Andover, MA",,As part of the Design/Scripting team you will be using an in-house scripting language to code missions and/or gameplay systems.
22,22,Front-End Dev/Graphic Designer,Overdrive Interactive,"Boston, MA",,Must have a website documenting your work.A degree in design or related field.Agency and/or comparable experience.Strong communication skills and work ethic.
23,23,Automotive Social Media Marketing and Web Development,Forte's Parts Connection Inc.,"Framingham, MA 01702",,We need someone to lead marketing efforts to find and connect with new customers.Pay will be determined based on automotive AND marketing experience!
24,24,Senior Email Developer,Plymouth Rock Assurance,"Boston, MA 02111 (Leather District area)",,"The ideal candidate has an extensive knowledge of Salesforce Marketing Cloud, email service provider integration and in-depth awareness of email marketing…"
25,25,"Senior WordPress Developer, Marketing & Communications, Inte...",Boston University,"Boston, MA 02215 (Kenmore area)+1 location",,"We are looking for a Senior WordPress Developer to dive into the development and deployment of both websites built with our content management system, as well…"
26,26,Senior Software Engineer - Security Evangelist,Aviatrix,"Remote in Boston, MA",,"Understand and analyze emerging security threats to Aviatrix products and services, determine applicability to identify services and proactively recommend and…"
27,27,iOS Audio/Video Engineer at Interactive Music App,Recruiting From Scratch,"Remote in Medford, MA 02155+3 locations",,"Collaborate with a small, tight knit team to develop a modern consumer mobile app.Create a realtime, interactive mobile music experience with video streaming,…"
28,28,"Product Owner, Content Search",Sitecore,"Boston, MA",,Developing long-term vision and strategy for differentiated content search and personalization experiences using AI and machine learning.
29,29,Software Engineer - Security Evangelist,Aviatrix,"Remote in Boston, MA",,"Understand and analyze emerging security threats to Aviatrix products and services, determine applicability to identify services and proactively recommend and…"
30,0,Creative Developer,dogstudio,"Chicago, IL",,"You will do math, write shaders, animate vertices and paint pixels and most probably drink local beers while laying down on a lion's pelt."
31,1,Creative Coder,Perkins+Will,"Chicago, IL 60611 (Near North area)",,"Bonus points if your experience has crossed over into physical computing, robotics, or IoT.Qualified candidates should possess strong time management skills…"
32,2,"Creative Technologist, Creative Shop Labs",Meta,"Chicago, IL 60606 (The Loop area)",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
33,3,Front-End Designer - Web / Mobile - Full-Time or Part-Time,Elks National Foundation,"Hybrid remote in Chicago, IL",,"Develop and enhance the user interface of The Elks.org website – both mobile and desktop - including the creation of graphics, style sheets, navigational menus,…"
34,4,Mid-level Web Developer & SEO Expert,Neiger Design,"Evanston, IL 60201 (Downtown area)",,"In this position your primary responsibility will be supporting the design, development, and maintenance of website projects.A proven track record with SEO."
35,5,Creative Technologist,Epsilon,"Chicago, IL 60601 (The Loop area)",,"The Creative Technologist (CT) is responsible for being a true innovator and automator, elevating the technical vision, execution, and strategy within the…"
36,6,newEUC OCTO Architect/Evangelist - Opportunity for Working Remo...,VMware,"Remote in Chicago, IL",,"The successful candidate is someone able to engage and influence a varied audience, including C-level, managerial, technical staff, and industry experts, as…"
37,7,Motion Graphics Artist,3Q Digital,"Hybrid remote in Chicago, IL 60602",,"As a Motion Graphics Artist, you will be responsible for collaborating with the creative team on the execution of creative assets, from initial concept to final…"
38,8,Digital Analyst,American Medical Association,"Chicago, IL 60611 (Near North area)",,"As a Digital Analyst you will be responsible for measuring on-site customer behavior, as well as analyzing and interpreting complicated sets of data to empower…"
39,9,"Customer Lifecycle Marketing Manager, WordPress VIP",Automattic Careers,"Remote in Chicago, IL",,This role will be responsible for architecting initiatives that establish customer relationships and inspire advocacy across WordPress VIP and Parse.ly.
40,10,Platform Demo Engineer,Salesforce,"Chicago, IL 60654 (River North area)",,"This is a fast-paced role on the Platform Product Marketing team passionate about building innovative product demonstrations, designing customer-facing…"
41,11,Application Development Lead - Digital Experience Solutions,Northern Trust Corp.,"Chicago, IL 60603 (The Loop area)",,The Senior Application Development Leader will assist in the execution of the strategic vision of Northern Trust Asset Management’s Marketing Distribution…
42,12,Squarespace & Wordpress Web Designer,Just Coast,"Chicago, IL 60641 (Belmont Gardens area)",,Squarespace & Wordpress proficiency and extensive knowledge.Ability to create basic one-page sites and more in-depth e-commerce sites.
43,13,Creative Software Engineer,We Are Envoy,"Chicago, IL",,"As a Creative Software Engineer, you will contribute to the design and implementation of interactive experiences that use technology in unique ways."
44,14,Digital Designer/Email Developer - 22-00848,"Evergreen Technologies, LLC.","Hybrid remote in Darien, IL+4 locations",,"A great eye for detail, demonstrate creative and innovative problem solving.Be able to make production related edits to existing creative."
45,15,Digital Designer/Email Developer - 22-00848,"Evergreen Technologies, LLC.","Hybrid remote in Darien, IL+4 locations",,"A great eye for detail, demonstrate creative and innovative problem solving.Be able to make production related edits to existing creative."
46,16,Web Designer / Wordpress Expert / SEO,"SEOLEVELUP, LLC Website Design SEO Company","Oakbrook Terrace, IL 60181",,"Work closely and cohesively with clients, web developers, content writers, marketing, and other contributors to ensure project release on-time."
47,17,iOS Audio/Video Engineer at Interactive Music App,Recruiting From Scratch,"Remote in Chicago, IL 60601+2 locations",,"Collaborate with a small, tight knit team to develop a modern consumer mobile app.Create a realtime, interactive mobile music experience with video streaming,…"
48,0,Web Designer / Web Developer / HTML5 Developer: 1099,Artisan Crew Engineering (ACE),"Los Angeles, CA",,"Illustrator, Design for web, Photoshop, Flash, InDesign, HTML, CSS, Dreamweaver, Mac & Windows OS, MS Office etc."
49,1,Game Designer,TRIPP,"Los Angeles, CA",,"Create, test, and tune gameplay balance throughout the product life-cycle.Create and run global live events and new game content."
50,2,Front-End Web Designer & Developer,DRUM WORKSHOP INC,"Hybrid remote in Los Angeles, CA",,Collaborate with the team to realize creative ideas and campaigns.Develop and support marketing creative concepts and implementation.
51,3,Web Designer/Developer (Union Rescue Mission),Union Rescue Mission,"Los Angeles, CA 90013 (Downtown area)",,"The Web Designer/Developer will be responsible for revamping website, improving donor experience and integrations for digital and local event campaigns across…"
52,4,"Creative Technologist, Creative Shop Labs",Meta,"Los Angeles, CA 90066 (Del Rey area)",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
53,5,Associate Creative Technologist - Twitter Next Lab,Twitter,"Los Angeles, CA",,"Participate in brainstorming sessions, providing technical as well as creative inputs.As an Associate Creative Technologist, you combine technical know-how…"
54,6,Game Designer - Weapons (Apex Legends),Electronic Arts,"Los Angeles, CA",,Apex Legends is looking for a Game Designer who will help us create exciting and innovative new weapons and loot.Understanding of game feel and polish.
55,7,"Product Marketing Manager, Developer Platform Integrity",Facebook App,"Los Angeles, CA",,"This role will be responsible for driving market requirements into product planning to inform the development of tools, surfaces and systems that developers use…"
56,8,Technical Director - Game Team,SKYDANCE,"Los Angeles, CA 90036 (Mid Wilshire area)",,"Lead a team of engineers as part of a cross-disciplinary game development team.Coordinate with Creative Director, Art Director, Senior Producer and other…"
57,9,Unreal Engine Technical Director,The Third Floor,"Los Angeles, CA 90036 (Mid Wilshire area)",,"Excellent communication skills at all levels, both on a technical and creative basis.The Third Floor is looking for an Unreal Engine TD for an immersive…"
58,10,Full Stack Web Technical Lead - Project Delivery Specialist,Deloitte,"Los Angeles, CA 90013 (Downtown area)",,As an experienced Technical Lead you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of…
59,11,"Software Engineer II - Developer Connections, Creative Depar...",Riot Games,"Los Angeles, CA 90064 (Sawtelle area)",,"In this role, you will work with your fellow engineers and product leaders to assess the technical needs of Riot's creative and game teams and help deliver a…"
60,12,Game Designer,Tencent,"Los Angeles, CA",,"Design peripheral systems of the product, including but not limited to around game system, progression system, social module and monetization, etc."
61,13,"newTechnical Game Designer II - Teamfight Tactics, Live",Riot Games,"Los Angeles, CA 90064 (Sawtelle area)",,"Work with a diverse team of developers to keep Teamfight Tactics healthy, fun, and balanced for our whole audience.Familiarity with the auto-battler genre."
62,14,"Associate Technical Director, Gameplay",Survios,"Remote in Los Angeles, CA 90016",,"Survios currently has an opening for a talented Associate Technical Director, Gameplay, working with Unreal Engine 4."
63,15,Assistant Technical Director,Framestore,"Los Angeles, CA 90048 (Mid City West area)",,"Provide direct technical assistance to creative departments; i.e. Animation, Compositing, FX, etc.Framestore staff have the option to split their work time…"
64,16,newiOS Audio/Video Engineer at Interactive Music App,Recruiting From Scratch,"Remote in Los Angeles, CA 90013",,"Collaborate with a small, tight knit team to develop a modern consumer mobile app.Create a realtime, interactive mobile music experience with video streaming,…"
