,Unnamed: 0,title,company,location,salary,summary
0,0,Digital Design Engineer,,北京市,,"digital designengineer, you... DSP design experience � Experience of complex digital design..."
1,1,Research Engineer in Recommendation 推荐算法工程师,,北京市,,"product design to continuously... interesting engineering, product and design challenges. We're..."
2,2,Physical Design Engineer,,北京市,,"design, development... Physical DesignEngineer is working... physical design of SoC..."
3,3,Design Engineer (Local contract) - ACOEM,,北京市,,"design general rules, etc… in order to develop optimized design... design or aircraft design..."
4,4,PA Design Engineer,,北京市,,"design, verification and maintenance. What you will do Design... Carry out all design activities..."
5,5,最新FPGA Design Engineer,,北京市,,Deliver design specification... algorithm design knowledge High speed digital design knowledge...
6,6,最新Manufacturing Design Engineer - Softgoods,,北京市,,"Product DesignEngineering and Industrial Design to assess product... Engineering, Chemical Engineering..."
7,7,最新Software Engineer-Bing Team - All Levels,,北京市,,"an engineer, you will play a critical role... team. You will need to understand the design, code..."
8,8,Hardware/ Design Engineer,,北京市,,"Sourcing / Engineering for cost reduction ideas & drive productivity, support redesign electronic..."
9,9,最新SMTS Silicon Design Engineer,,北京市,,join our team. SOC Design Verification Engineer THE ROLE: CDC RTG... engineer... work on design...
10,10,最新Software Engineer - McKinsey Digital,,北京市,,"through design and development... engineering topics... system architecture, detailed design..."
11,11,最新MTS Silicon Design Engineer,,北京市,,Design Verification Engineer - Performance THE ROLE: CDC RTG GPU SOC team is looking for DV engineer...
12,12,IP Subsystem Design Engineer,,北京市,,"Design and Application Engineer... Architecture design, module design, test bench design, and test..."
13,13,Master Digital Design Engineer,,北京市,,"design, architecture design, hardware design, software design... high-speed design and timing..."
14,14,Digital Design Engineer,,北京市,,Digital DesignEngineer CITY... design is a big plus. • Experience in power management chip design...
15,15,Golang Engineer (Beijing),,北京市,,strong Software Engineer to design and develop software for its... API Design & Implementation...
16,16,Mechanical Design Engineer,,北京市,,design/产品架构设计 -Confirm that production design fulfills... 计开发 -Existing designs improved/现有...
17,17,Frontend Engineer,,北京市,,"front-end engineers in China to promote engineering best practices... design, architecture, and design..."
18,18,Graduate Building Sustainability Engineer- BJ,,北京市,,"countries, the firm’s designers, engineers, architects, planners... MEP for sustainable design..."
19,19,Digital Radio Algorithm Design,,北京市,,"radio algorithm engineer, you... solutions. Mainly focus on design, implement and debug algorithm..."
20,20,Mechanical Design Engineer,,北京市,,design/产品架构设计 -Confirm that production design fulfills... 计开发 -Existing designs improved/现有...
21,21,Sr. Application Support and Testing Engineer (Beijing),,北京市,,driving and performing engineering best practices to initiate... programs. Design and develop...
22,22,Shock/Vibration and Package Design Engineer,,北京市,,"Hardware Engineering Country... Vibration Package design team, the engineer... responsible..."
23,23,Analog Design Engineer,,北京市,,Circuit DesignEngineer... worldwide design teams and responsible... Design full custom...
24,24,Graduate Structural Engineer,,北京市,,"firm’s designers, engineer... Structural Engineering, Civil Engineering or Mechanics Engineering..."
25,25,IC Design Engineer_New Graduator Hiring_2022,,北京市,,1.MCU Product Development 2.IP Design 3.Solution Development
26,26,Software Development Engineer 2-Bing ASK Team,,北京市,,Development Engineer 2 (NLP... passionate and experienced engineers to help us on our mission...
27,27,Analog Design Engineer,,北京市,,an Analog DesignEngineer based... kinds of design tools to design and verify analog IC design...
28,28,最新SI Front Desk Engineer (Customer Support Engineer) Engine,,北京市,,providing engineering assistance... support engineering issues on all programs Provide Engineering...
29,29,Front - End Software Engineer - China Academy,,北京市,,"You will design and develop... Related skills in graphic design, UI/UX design is a plus Knowledge..."
30,30,最新Digital HW Design Engineer,,北京市,,"Digital HW DesignEngineer... design, architecture design, hardware design, software design..."
31,31,Analog Design Engineer,,北京市,,"IC circuit design, simulation and verification Design analog... circuits design experience..."
32,32,Firmware Design Engineer,,北京市,,an excellent Firmware DesignEngineer for NVIDIA FW PHY Group... Engineering / Electrical Engineer...
33,33,Field Design Engineer,,北京市,,an experienced engineer to help... Description The Field DesignEngineering team is looking...
34,34,"Software Engineer, Mobile App 移动软件开发工程师",,北京市,,"hardware engineers, application/UI software engineers, QA/Validation, and designers Following..."
35,35,HVDC Simulation Model Design Engineer,,北京市,,"innovation... engineering... participate in HVDC control design, system performance tuning..."
36,36,Software Engineer - Answers Ranking (AR) team,,北京市,,"motivated engineer... excellent architecture, design, coding... C++/Java - Great design, problem..."
37,37,Software Engineer (.Net Core) - Beijing,,北京市,,"support. Our engineers are hands... producers, QA engineers and release engineers to own your solution..."
38,38,Sustainability Engineer,,北京市,,"Sustainability Engineer. As Sustainability Engineer, you... life cycle (design, component..."
39,39,最新Manufacture Engineer,,北京市,,product designengineering teams... support. Developing engineering design concepts for components...
40,40,Backend Design Engineer,,北京市,,designengineer... participating... development of Design... design · Electronic Design...
41,41,Process Engineer,,北京市,,"Industrial Engineering or related... experience in production, engineering or troubleshooting of PC..."
42,42,Research Hardware Development Engineer MSRA - Full Time - Un...,,北京市,,hardware engineers to develop... focused on future datacenter designs. Responsibilities • Drive...
43,43,Antenna Design Engineer (J31657),,北京市,,matching load design and source... wave-to-wave conversion design 3. Proficient in electromagnetic...
44,44,"Solns Engineer, Entry - Entry - G11874",,北京市,,influence future product design that meets customer needs. May... solutions engineering assignments...
45,45,Software Engineer II – Azure HDInsight Frontend,,北京市,,customers: Design and build... Engineering/Mathematics 3+ years of industry software engineering...
46,46,Compact Hydarulic Design Engineer_紧凑液压研发工程师,,北京市,,valve design and product... above in hydraulic engineering or mechanical engineering èŽ·å¾—æ...
47,47,Mechanical Design Engineer,,北京市,,Job ID: 1743 Mechanical DesignEngineer Barco designs technology... Mechanical design for modules...
