,Unnamed: 0,title,company,location,salary,summary
0,0,Instructional Support Specialist,New York University,"New York, NY 10012 (Greenwich Village area)",,"Primarily provides on-site and remote consultation, training, and professional development for teachers, therapists, and administrators working in ASD Nest…"
1,1,newGlobal Cleanliness Learning Facilitator II (JFK),Delta,"New York, NY",,"Degree or experience with instructional design methodology, adult learning theory/education, and learning industry best practices."
2,2,"Program Manager, Learning and Development, Engineering Leade...",Google,"New York, NY (Chelsea area)",,"Understanding of instructional design methodologies, tools, and techniques.Master's degree in organization development, psychology, instructional design, adult…"
3,3,"Program Manager, Learning and Development, Google Play Partn...",Google,"New York, NY (Chelsea area)",,"Align talent objectives and business strategies with curriculum development and instructional design.Collaborate with the team on instructional design,…"
4,4,newLearning Experience Designer Lead (Remote),Anthem,"Remote in Syracuse, NY",,"The Learning Experience Designer Lead is responsible for analyzing, designing, building, and implementing business-aligned, integrated learning solutions using…"
5,5,Senior Meetings Services Assistant,United Nations,"New York, NY",,"As lead Meetings Services Assistant, ensures that all logistic arrangements, required services (including accessible services), and personnel are available for…"
6,6,Program Facilitator/Training Lead,Federal Reserve Bank of New York,"Hybrid remote in New York, NY",,"Act as lead facilitator for a variety of bank-wide learning programs.Proficiency in instructional design methods (ADDIE, HPI), eLearning applications."
7,7,newManager II Learning (Remote),Anthem,"Remote in Syracuse, NY",,"Oversees the formulation of teaching outlines, instructional methods, and/or teaching aids.The Manager II Learning is responsible for ensuring successful…"
8,8,Educational Technologist,New York University,"New York, NY 10012 (Greenwich Village area)",,The selected candidate must have a bachelor's degree and 3 years of relevant experience designing and implementing interactive experiences for hybrid and/or…
9,9,"K-2 Literacy Educational Consultant, FULL TIME (10-month)","Teaching Matters, Inc.","New York, NY 10115 (Morningside Heights area)",,Prepare early literacy team leaders to ultimately lead continuous improvement efforts by using data that leads to deep analysis and identification of…
10,10,Part-Time Virtual Social-Emotional Learning Teacher,Together Education,"New York, NY",,"We're looking for a Part-Time Virtual Social-Emotional Learning Teacher who will lead student, educator, and professional sessions helping individuals identify…"
11,11,Curriculum Developer/Trainer and Lead LMS Administrator,Research Foundation of The City University of New...,"New York, NY",,Demonstrated implementation of instructional design methodologies in developing courses and related classroom materials.
12,12,Fellow Success Lead,Pursuit,"Hybrid remote in New York, NY",,"In conjunction with other Core Leaders, you'll also plan, support, and even lead purposeful events and training that build culture and capacity for learning…"
13,13,Assistant Professor,State University of New York at Fredonia,"Fredonia, NY 14063",,"The Fredonia School of Music invites applications for an Assistant Professor of Class Piano (tenure track) to coordinate and teach in the class piano program,…"
14,14,Director of Operations,Democracy Prep Public Schools,"Remote in New York, NY 10035",,Author and lead professional development sessions and training for operations staff that drive the vision and goals of the network operations team.
15,15,Sales Enablement Lead,Gtmhub,"Remote in New York, NY",,"You must have a minimum of 2 years experience in a similar role.This crucial member to the Sales Enablement team will be working closely with Field Sales,…"
16,16,Elementary Lead Teacher (Available Immediately),"Public Prep Network, Inc.","New York, NY+1 location",,is intended to describe the type of work being performed by a person assigned to this position. It is not an exhaustive list of all duties and…
17,17,Pedagogical Specialist,Columbia University,"New York, NY",,Manages the documentation and digitization of all curricular modules to ensure effective development and maintenance of DDC’s instructional archive.
18,18,Market Trainer,"Aflac, Incorporated",New York State,,"Excellent verbal/written and presentation skills, a working knowledge of instructional design, and experience with training needs analysis."
19,19,"Supervisor, Plant Training Programs",Ball Corporation,"Middletown, NY 10940",,"Broad training in a related field usually acquired through college level education or work-related experience; adult education, instructional/curriculum design."
20,20,Part-Time Virtual Social-Emotional Learning Teacher,Together Education,"New York, NY",,"We're looking for a Part-Time Virtual Social-Emotional Learning Teacher who will lead student, educator, and professional sessions helping individuals identify…"
21,21,newDirector of Curriculum and Instruction for Columbia Universi...,Columbia University,"New York, NY",,Develops and leads facilitated discussions related to service member and veteran transition.In addition to overseeing several of the Center’s signature online…
22,22,Training Lead - FSI,"Amazon Web Services, Inc.","New York, NY",,"8+ years of experience in training, instructional design, and developing learning content.Industry certifications in instructional design, curriculum…"
23,23,"Associate in Instructional Services (Mathematics 7-12), Box...","Education Department, State","Albany, NY 12234 (North Albany-Shaker Park area)+1 location",,Reassignment: Candidates must have one year of permanent competitive or 55b/c service as an Associate in Instructional Services (Mathematics 7-12).
24,24,newLearning Infrastructure Analyst,Anthem,"New York, NY 10006 (Financial District area)",,"Tests new systems, functionality and leads implementation.Seeks and supports new approaches, practices, and processes to improve the efficiency of training…"
25,25,newAssistant Principal-OWNCS 2,OWN - Our World Neighborhood Charter Schools,"Howard Beach, NY 11414",,"Evaluation of instructional programs and school procedures.Curriculum development, and management of instructional programs."
26,26,22/23: Executive Principal (AHS),Arlington Central School District,"Lagrangeville, NY",,Experience as lead Principal in a high school house system preferred.Demonstrate a thorough understanding of data analysis protocols and effectively use data…
27,27,newTraining Coordinator (US - Remote),JLL,"Remote in New York, NY",,"2 years of instructional design experience.Maintain and communicate standards, processes and templates for instructional design work and project plan tasks."
28,28,"K-2 Literacy Educational Consultant, FULL TIME (10-month)","Teaching Matters, Inc.","New York, NY 10115 (Morningside Heights area)",,Prepare early literacy team leaders to ultimately lead continuous improvement efforts by using data that leads to deep analysis and identification of…
29,29,Senior Meetings Services Assistant,United Nations,"New York, NY",,"As lead Meetings Services Assistant, ensures that all logistic arrangements, required services (including accessible services), and personnel are available for…"
30,30,"VP, Content Strategy",Noodle,"Remote in New York, NY 10003",,"Strategically, NLP enables our university partners to enter the non-degree space every time they launch a degree program.Mac is our computer of choice."
31,31,"newOnline Course Instructor (Seminars on Science, Education)",American Museum of Natural History,"New York, NY 10024 (Upper West Side area)",,Communicate with the Online Course Scientist regarding general instructional issues and specific learners.Online Course Instructors agree to lead a Seminars on…
32,32,newPTA Adjunct Faculty,Bryant & Stratton College,"Syracuse, NY 13203 (Near Northeast area)",,Serve as the lead instructor for lab and lecture sections Physical Therapist Assistant courses.Facilitate student progress in achieving theory and performance…
33,33,Lead Learning and Development Specialist-A&A Curriculum Deve...,Deloitte,"New York, NY+11 locations",,"Support and collaborate with project teams, which may include Development Specialists and Peers, Subject Matter Resources, Delivery Managers, vendors, and India…"
