,Unnamed: 0,title,company,location,salary,summary
0,0,Senior Product Designer,Microsoft,北京市,,products for markets around the world... UX Designer you will play a critical role... product...
1,1,最新PA Designer,Ericsson,北京市,,Responsible for Ericsson RBS product PA(Power Amplifier) design... level Support production when...
2,2,"Product Designer, Growth",Duolingo,北京市,,us as a ProductDesigner in our... our products. Work collaboratively with other designers to develop...
3,3,Creative Designer - McKinsey Academy,McKinsey & Company,北京市,,shared to product and content... product experience highly preferred Experience mentoring designer...
4,4,最新Sr. Vehicle Designer,Tesla,北京市,,experience in production automotive design... combination of advanced and production design...
5,5,最新Industrial Designer,Tesla,北京市,,make our products happen. Tesla... non-conventional automotive product development philosophy of high...
6,6,Product designer-Studio 8,Microsoft,北京市,,"motivated, and innovative ProductDesigner in our Beijing studio... other designers and product..."
7,7,Innovative Social Product Designer,Byte Dance,北京市,,"industry Products, regularly summarize and analyze the design trends of industry products. What we..."
8,8,Product Designer-Live Internationalization-Beijing,Byte Dance,北京市,,"related operations and product UX design 2. Yes Full-link... overseas products, good..."
9,9,Product Designer-Live International Chemical-Revenue,Byte Dance,北京市,,"current product has a good... Possess the ability to Good product thinking, strong user insight..."
10,10,Douyin Product Designer - Creation,Byte Dance,北京市,,"key projects 2. Work... design team and product team to conceive, control the needs from..."
11,11,Douyin Product Designer -Social,Byte Dance,北京市,,related product... support... product social functions 2. Conceive and create with product...
12,12,Principle Product Designer - Ads & Personalisation (Multiple...,Grab,北京市,,"UX designers, researchers, visual designers, product managers... relevant ad products across our..."
13,13,Product Owner - China Academy,McKinsey & Company,北京市,,instructional designer to produce... product features based on competitive analysis in terms of product...
14,14,Douyin Product Designer -Search Directions,Byte Dance,北京市,,"Douyin's search product business... experience of Douyin search products Qualifications 1, 3 years..."
15,15,33672-Video Product Visual Designer,Tencent Holdings Limited,北京市,,required for product operation... insights for video product... guide product design forward...
16,16,Douyin Product Designer- Music,Byte Dance,北京市,,"independent products or complex... product experience, Experience in social, video and music product..."
17,17,最新Interaction Designer - Happiness,Byte Dance,北京市,,experience... product 2. Optimize the product requirements... use... product 3. Analyze...
18,18,31677-Advanced Product Experience Designer,Tencent Holdings Limited,北京市,,"1. Responsible for Tencent Product experience design work... service To B products, study user..."
19,19,Product Motion Designer,Byte Dance,北京市,,"design for products 2. Have... product 3. Participate... analyze product data, user..."
20,20,Graphic Designer,Tesla,北京市,,Graphic Designer in Tesla... Work cross-functionally with designers of other disciplines Work...
21,21,Douyin Product Designer -Creator Services,Byte Dance,北京市,,"products and cutting-edge design expressions, and jointly promote product experience and product..."
22,22,Fragrance Product Designer/Evaluator,Procter & Gamble,北京市,,career as a Fragrance productdesigner/evaluator who develops... Fragrance ProductDesigner...
23,23,Short Video Product Designer - TikTok,Byte Dance,北京市,,"product discussions in advance, and build a complete product design plan 3. Sort out the product..."
24,24,Product Designer - Search Business,Byte Dance,北京市,,"industry Products, regularly summarize and analyze the design trends of industry products. What we..."
25,25,Volcano Engine - Product Designer -AI/AR/VR,Byte Dance,北京市,,"product... design innovation, and provide customers and users with complete innovative product..."
26,26,UX Designer,Zuora,北京市,,product experiences across the globe. We are looking... passionate and innovative designer who...
27,27,VR Product Experience Designer - Pico,Byte Dance,北京市,,up all stages... product from... software product design 2. Experienced as a full-link designer...
28,28,Douyin Product Designer - E-commerce search direction,Byte Dance,北京市,,"Douyin e-commerce search product business, from a design... able to manage product experience..."
29,29,Designer Operations Intern,Byte Dance,北京市,,productdesigner... home... retention of designers 3. Handle the basic work of designer...
30,30,Douyin Product Designer - Account Direction,Byte Dance,北京市,,"complete product design plan... analyzing product design trends, actively launching product..."
31,31,最新Mechanical Structure Designer,Ericsson,北京市,,"Baseband products, including... mass production. Cooperate... global Ericsson R&D designer..."
32,32,UX Designer II_ Data Cloud studio,Microsoft,北京市,,"product. Demonstrate ability to work confidently with Program Management, Development, Product..."
33,33,Platform Product Designer- Internationalization,Byte Dance,北京市,,"output product design... PaaS/tool product design, experience in desktop product design 2..."
34,34,Platform Product Designer - Douyin,Byte Dance,北京市,,"team, love product experience... external products, good product thinking and logic, clear product..."
35,35,Short Video Product Designer- Ecommerce Growth,Byte Dance,北京市,,"product design of Douyin product... trend of product design, actively initiate product exploration..."
36,36,Senior Product Designer- Live,Byte Dance,北京市,,"all product... byte series... perspective and product thinking, can participate in product pre..."
37,37,Visual Designer,Byte Dance,北京市,,"requirements of product operation... business department... design, production and control..."
38,38,Platform Product Designer - Life Service-Beijing,Byte Dance,北京市,,"product texture, Output product... SaaS / tool product design experience, and desktop product design..."
