,Unnamed: 0,title,company,location,salary,summary
0,0,new3D Junior Artist,ADCI - Karnataka,"Bengaluru, Karnataka",,"A three-dimensional artist, or 3D artist, works in media production and creates elements for 3D images, games and movies."
1,1,newJunior 2D Game Artist (Casual Games),Kwalee,"Bengaluru, Karnataka",,Troubleshooting any art issues from a creative and technical standpoint.Taking responsibility for the art on multiple small casual mobile game projects.
2,2,newAdmissions Team Member,LISAA School of Design,"Bengaluru, Karnataka",,"LISAA School Of Design, Bangalore and CREO Valley the organization, (literally meaning the Valley of Creativity) was found with a vision of imparting education…"
3,3,newCampaign Intern - SheSpark,Adobe,"Bengaluru, Karnataka",,Work closely with the Quality Assurance team to ensure professional delivery of technical implementations.Work with Clients to assess requirements.
4,4,"Mgr, Technical Support",Adobe,"Bengaluru, Karnataka",,"You will provide senior level mentorship for technical issues, regional support initiatives and resolution management."
5,5,Technical Artist / Unity,Playdawn Consulting,"Remote in Bengaluru, Karnataka",,"Start up | Bengaluru | Full-time.They have been VC-funded by Lumikai, in addition to prominent angels from companies like Nodwin Games,InMobi and Epic Games."
6,6,Technical Artist,GSN Games,"Bengaluru, Karnataka",,"A mind for both artistic and technical workflows.Ability to proactively identify technical constraints while conceptualizing, and executing solutions through…"
7,7,newComputer Scientist,Adobe,"Bengaluru, Karnataka",,Lead the technical design and implementation strategy for major systems and components of the Adobe Experience Platform.BTech/MTech/MS in Computer Science.
8,8,Environment Artist,Rockstar Games,"Bengaluru, Karnataka",,"Participate in R&D, problem solving artistic solutions to technical problems.Mid-level candidates are suggested to have 2+ years as a 3D artist within gaming…"
9,9,newCustomer Engineering Trainer,Adobe,"Bengaluru, Karnataka",,We want to provide the best customer support in the business!The Technical Support Engineer Trainer role is essential to Adobe Commerce Customer Engineering…
10,10,TCS Academy - Rotoscope,TCS Academy,"Bengaluru, Karnataka",,Intensive training using industry standard software tools (provided) while using our high-quality training materials.
11,11,Technical Support Engineer 3,Adobe,"Bengaluru, Karnataka",,"CS degree or highly technical background, ability to troubleshoot code and optimize data pipelines, potentially build tooling.On Demand Deal Set-Up."
12,12,newLayout Artist,Mikros,"Bengaluru, Karnataka",,"Good level of prior work experience as a 'Layout artist'.They are the stylistic and technical eye of the entire scene, as well as choreographers of character…"
13,13,3D Game Artist,Spheres Digital Private Limited,"Bengaluru, Karnataka",,"Must have a strong understanding of animation pipelines, production methods and a strong management style with excellent artistic & technical skills."
14,14,Technical Artist (Mobile Shooter on Unity),LILA Games,"Bengaluru, Karnataka",,Experience on at least 3 mobile game titles full life cycle and as a technical artist.Develop and maintain tools to help designers and artists bring their…
15,15,3D Visualiser,INTERIOSPLASH,"Bengaluru, Karnataka",,"Producing technical drawings and elevations (AutoCAD, 3DS Max, Cinema 4D) Developing designs for pitch documents / presentations."
16,16,Unreal Technical Artist,Technicolor,"Bengaluru, Karnataka",,The Technical Artist will assist teams of artists in tackling projects and be equipped to provide support on complicated technical issues within Unreal.
17,17,"MAC Cosmetics - Make Up Artist - Nykaa Lavelle Road, Bangalo...",The Estée Lauder Companies,"Bengaluru, Karnataka",,"While a qualification in make-up artistry/previous retail make up experience is preferred, we welcome applicants with amateur level experience who are able to…"
18,18,newAssociate Technical Consultant,Adobe,"Bengaluru, Karnataka",,Ability to articulate and convey technical concepts to a mixed audience of senior technical and business executives.This is a hands-on development role.
19,19,Environment Asset Artist - Games,Technicolor Games,"Bengaluru, Karnataka",,"Any of the following technical skills is a bonus:Excellent artistic eye for proportions, shape language, composition, and lighting."
20,20,Technical Artist,Nukebox Studios,"Bengaluru, Karnataka",,Should support the art team with troubleshooting and technical assistance.Experience with asset optimization for overall game efficiency and cater to technical…
21,21,TCS Academy - Compositing,TCS Academy,"Bengaluru, Karnataka",,"This course is a guide to realistic, VFX-style compositing for both CG and live-action films.Intensive training using industry standard software tools …"
22,22,Character Asset Artist - Games,Technicolor Games,"Bengaluru, Karnataka",,"Excellent artistic eye for human proportions, shape language, composition, and lighting.Create photo realistic/ Stylized real-time game character models…"
23,23,Technical Artist,Technicolor Creative Studios,"Bengaluru, Karnataka",,Write documentation working with the technical directors to educate artists and establish best practices.Adhere to the studio policies and guidelines while…
24,24,Lighting Artist - Games,Technicolor Games,"Bengaluru, Karnataka",,Senior artists are responsible for completion of sequences/complex shots assigned to them by the lead artists within the timeframe given and with the expected…
25,25,Blendshape Artist,Playdawn Consulting,"Bengaluru, Karnataka",,"Have a deep knowledge of anatomy and Facial Action Coding System (FACS), sculpting assets and enhancing photogrammetry data in order to improve end results for…"
26,26,Technical Artist - Games,Technicolor Games,"Bengaluru, Karnataka",,"Develop pipelines, write and support technical documentation;Accept and control the quality of technical art components;"
27,27,Senior Technical Artist,Zynga,"Temporarily Remote in Bengaluru, Karnataka",,"The Senior Technical Artist will be working with a team of Designers, UX, Concept Artists, Animators, Producers and Software Engineers to develop beautiful and…"
28,28,3D Character Artist,Spheres Digital Private Limited,"Bengaluru, Karnataka",,"Must have a strong understanding of animation pipelines, production methods and a strong management style with excellent artistic & technical skills."
29,29,TCS Academy - 3DDMP/Environments,TCS Academy,"Bengaluru, Karnataka",,Intensive training using industry standard software tools (provided) while using our high-quality training materials.
30,30,Previz Artist,Mikros Animation,"Bengaluru, Karnataka",,Proven ability to assist newer artists that are working alongside them.High consistent standard of quality and speed.
31,31,3D Junior Artist,ADCI - BLR 14 SEZ,"Bengaluru, Karnataka",,"A three-dimensional artist, or 3D artist, works in media production and creates elements for 3D images, games and movies."
32,32,FX Artist- Mill,The Mill,"Bengaluru, Karnataka",,"The ideal candidate should be able to solve problem and work within a given framework, while creating efficient technical workflow and troubleshoot solutions…"
33,33,"Bobbi Brown - Make Up Artist - Sephora Phoneix Market City,...",The Estée Lauder Companies,"Bengaluru, Karnataka",,"While a qualification in make-up artistry/previous retail make up experience is preferred, we welcome applicants with amateur level experience who are able to…"
34,34,TCS Academy - Character Artist (Games),TCS Academy,"Bengaluru, Karnataka",,"Basic knowledge of human anatomy, clothing workflow and facial expression.Basic knowledge of texturing, both realistic and organic."
35,35,TCS Academy - Texturing,TCS Academy,"Bengaluru, Karnataka",,A course of 10 weeks to get you up to the standard required to deliver first class VFX.Intensive training using industry standard software tools (provided)…
36,36,Academy Trainers,TCS Academy,"Bengaluru, Karnataka",,"Guide and coach students in creating quality work.Learn the pipeline tools, procedures and implementations quickly and stay updated."
37,37,Technical Content Artist (3D Max Modelling),Rockstar Games,"Bengaluru, Karnataka",,"This is a full-time permanent position based out of Rockstar's unique game development studio in Bangalore, India.Process 3D assets through the game pipeline."
38,38,Technical Artist (All Levels),Rockstar Games,"Bengaluru, Karnataka",,The candidate could potentially be involved in a wide variety of technical tasks related to Art.Bring innovation and resolution to technical problems and…
39,39,3D Architectural Visualiser,Essential Group,"Bengaluru, Karnataka",,Working closely with architectural and design teams to plan and visualize projects.Presenting and explaining visuals to colleagues.
40,40,newTechnical Consultant,Adobe,"Bengaluru, Karnataka",,Provide guidance during new client onboarding & IP ramp-up process.Alert strategic clients to blocks and recommendations for corrective action.
