,Unnamed: 0,title,company,location,salary,summary
0,0,newSr. UX Designer,THE TSAC,"Bengaluru, Karnataka","₹16,00,000 - ₹32,00,000 a year",Design and manage all interaction design activities including visual design co-ordination with global designers.CORE UX EXP - 5 YRS *.
1,1,"newUX Designer, Google Assistant",Google,"Bengaluru, Karnataka",,"Bachelor's degree in Human Computer Interaction, Design, UX, a related field, or equivalent practical experience.8 years of experience in UX Design."
2,2,UX Designer,medwhiz Educare pvt ltd,"Bengaluru, Karnataka","₹3,82,811 - ₹15,58,776 a year","*Minimum 1+ years of proficient in working with Figma, Adobe XD, Sketch and/or equivalent prototyping tools*.*Taking design briefs to understand requirements*."
3,3,UX Designer,f1studioz,"Bengaluru, Karnataka","₹5,00,000 - ₹12,00,000 a year",UX Designers at f1 should combine innovation and technology in a creative way to help the Client & Internal team craft competitive products.Plus to have a B.
4,4,UX Designer,AntWak,"Remote in Bengaluru, Karnataka","₹15,00,000 - ₹16,00,000 a year","Work closely with designers and engineers to conceptualize the interface & visual style, define the art pipeline, define the experience and create fun,…"
5,5,UX Designer,Unikwan Innovations,"Bengaluru, Karnataka","₹7,00,000 a year",A part of the bandwidth would be required for mentoring junior designers and contributing to the process as a whole.UI/UX Design: 2 years (Preferred).
6,6,Product Designer,Growth Bird,"Bengaluru, Karnataka","₹10,00,000 - ₹15,00,000 a year","You’ll collaborate with the Design Lead, Content Writer, Tech Team, Clients to create delightful and impactful experiences."
7,7,UI/UX Designer,Pi Academy,"Remote in Bengaluru, Karnataka","₹30,000 - ₹50,000 a month","Work Timings: *Saturday to Thursday (Friday day Off) 10 am to 7 pm (GMT, UK Time Zone).Conducting user research and testing."
8,8,newUX Designer,GSK,"Bengaluru, Karnataka",,"Experience of working collaboratively with colleagues in an agile based team, as the role will be working in multidisciplinary teams (you’ll work closely with…"
9,9,UX Designer,Siemens Technology and Services Private Limited,"Bengaluru, Karnataka",,Apply design thinking to deliver end-to-end user experience solutions with a focus on user needs and business goals.
