,title,company,location,salary,summary
0,Learning Data Analyst,Philips,Eindhoven+1 plaats,,Understanding of data warehousing and ETL techniques a plus.Submit monthly Key Performance Indicator (KPI) data for Q&R Analytics.
1,Digital Data Analyst B2B,Philips,Thuiswerken in Eindhoven,,"Experience with data analysis and A/B-testing tools, combined with strong quantitative analytics skills;These insights will help you as a Digital Analyst and…"
2,nieuwData analyst/visualizer,ASML,Veldhoven+3 plaatsen,,"The mission of the data analyst is to draw fact-based conclusions based on available data.Knowledge of data cleaning, modelling and transformation;"
3,Data analyst,Prodrive Technologies,Postcode 5692 in Son,,"As data analyst you work on data collection, data mining, preprocessing and analysis.When working as a data analyst you take the responsibility to improve the…"
4,Digital Data Analyst,Sligro,Postcode 5466 in Veghel+1 plaats,,Je zoekt de samenwerking op met verschillende data analisten en onze data scientist om nog betere klant-inzichten te realiseren;
5,nieuwSecurity Analyst,DLL Group,Eindhoven+1 plaats,,"The role supports the continual improvement of Security Monitoring, responding to alerts and data collected for investigation and identifying process…"
6,Data analyst planning and forecasting,EyeOn,Postcode 5735 in Aarle-Rixtel,,Data analyst planning and forecasting.Translating planning challenges into data science solutions;You keep a sharp analytical eye on both the business…
7,nieuwData Analyst,DIFFUTHERM,Postcode 5527 in Hapert,,Jij bent in het bezit van een afgeronde Hbo/Wo als Technisch Bedrijfskunde of gelijkwaardig door ervaring.Je kunt goed overweg met computersystemen zoals ERP…
8,Data Analyst,TMC,Eindhoven+1 plaats,,"Find and combine (structured and unstructured) data.Knowledge of data cleaning, modelling, and transformation.As a Data Analyst you take responsibility to:"
9,Data Analyst II,Thermo Fisher Scientific,Eindhoven,,"Analyze data to determine the root cause of issues (e.g. business process issues, data quality, etc.).Various data mining and modelling activities."
10,Analyst – Supply chain network design,EyeOn,Postcode 5735 in Aarle-Rixtel,,You support data collection and you work towards a complete data of sufficient quality to assess the current state supply chain.
11,nieuwData Engineer,FarmTrace,Boxmeer,,"Collaborate with domain experts, analysts, and backend engineers to solve data challenges.An understanding of data warehousing concepts and design patterns."
