,title,company,location,salary,summary
0,Software engineer DataCap,HighTechTalents,Postcode 5617 in Eindhoven,€28 per uur,"Participating in the Man of the Day schedule, along with other ops and software engineers;A responsibility with impact, which you will shape as a software…"
1,Data Analytics Engineer,VDL ETG Technology & Development,Eindhoven,,Recognize patterns between factory data and field data as input for improvement projects.At least 3 years of experience in complex data analysis.
2,International Field Service Engineer,GEA Group,Postcode 5221 in Den Bosch,,"Enters data regarding work reports, time-sheets, material consumption, logbook, and installed base.The Field Service Engineer is responsible for the correct…"
3,nieuwData Engineer,FarmTrace,Boxmeer,,"Collaborate with domain experts, analysts, and backend engineers to solve data challenges.An understanding of data warehousing concepts and design patterns."
4,Data Engineer,Nippur,Oirschot+1 plaats,€3.500 - €5.500 per maand,Laat dit nu juist uitdagingen zijn waar onze data engineers het warm van krijgen.Je bent goed in het analyseren van data en begrijpt wat data scientists nodig…
5,QA Engineer,World of Content,Thuiswerken in Postcode 5211 in Den Bosch,€2.800 - €4.500 per maand,"Furthermore, you automate the manual testing as much as possible and collect comprehensive and relevant data for problem investigation."
6,Data Engineer,Ahrend,Postcode 5492 in Sint-Oedenrode,,Als Data Engineer ben jij dé specialist op het gebied van data- en informatiestromen binnen onze productie organisatie.
7,Data Software Engineer,TomTom,Thuiswerken in Eindhoven,,"Work together in a team of researchers and engineers designing and developing models, methods and tooling to support the quality assurance of map making based…"
8,Development Engineer,Malvern Panalytical Ltd,Eindhoven+1 plaats,,"Data driven smooth transfer of the technology into production.You own the selection of promising new materials and processes, define and."
9,Netwerk Engineer (Freelance),i-Linked,Eindhoven,€70 - €80 per uur,Je monitort actief de omgeving en verhelpt en voorkomt incidenten.Je bent bij voorkeur CCNA of CCNP gecertificeerd.32 - 40 uur per week.
10,Data Engineer,Infiniot,Postcode 5656 in Eindhoven+1 plaats,,Zo combineer je data warehouses met event & real-time data uit sensoren in bijvoorbeeld het energienet.Als Data Engineer beschik je over de benodigde ervaring…
11,Data Engineer,UiPath,Eindhoven,,"Interest in abstract data modelling.Skilled at working with large datasets, quickly detecting and resolving data-related issues."
12,nieuwData Engineer,ASML,Veldhoven,,At least 3 years of experience as (big) data engineer.Design and implement data access interfaces (APIs for read/write data).A keen eye for detail.
13,Service Engineer,"Applied Micro Electronics ""AME"" BV",Postcode 5633 in Eindhoven,,Professional BI tools and data management systems;As a Service Engineer you are responsible for analyzing and repairing complex returned products and/or parts.
14,Antenna Test Engineer,Euflex,Eindhoven,,"Support the data processing for measurement (in MATLAB, Mathematica or equivalent);Their mission is to design and deliver high-performance antenna systems that…"
15,Test Development Engineer,"Applied Micro Electronics ""AME"" BV",Postcode 5633 in Eindhoven,,"Professional BI tools and data management systems;As a Medior Test Development Engineer, you develop advanced electronic test solutions for varying customers…"
16,Field Service Engineer 50,Philips,Eindhoven+1 plaats,,Being responsible for patiënt data in a hospital environment working close to the patient.Troubleshoot Hard/Software / IT infrastructure to ensure acceptable…
17,nieuwMENU ENGINEER,Appèl,Thuiswerken in Den Bosch,,"Een gave, nieuwe functie als menu engineer;Appèl biedt een dynamische functie als sustainable menu engineer binnen de afdeling Inkoop op het hoofdkantoor in…"
18,Opto-mechatronics engineer,Prodrive Technologies,Postcode 5692 in Son,,"Therefore you, as an opto-mechatronics engineer, will be responsible for designing systems that combine these three fields: optical, mechanical and electronical…"
19,System development engineer,Siemens Healthineers Nederland B.V.,Eindhoven,,"Analysis large data sets based on advanced processing.Strong analytical skills, experience in statistical data analysis and/or modelling preferred."
20,nieuwProduct Engineer,KMWE,Eindhoven,,Als Product Engineer ben je verantwoordelijk voor het efficiënt en effectief realiseren van producten.Je draagt zorg voor een correcte werkvoorbereiding van…
21,Fresh Graduated Field Engineer,Signify,Thuiswerken in Eindhoven,,We’re looking for a Field Service Engineer who’ll be responsible for understand customer needs & resolve issues using technical knowledge.
22,Data Engineer,Brand Loyalty Group,Den Bosch,,5+ years of experience as a data engineer;Experience in working with Azure data platform components and SQL and/or SSIS is a big plus;
23,Integrated Supply Chain (ISC) Early Professional Program,Philips,Eindhoven+2 plaatsen,,"Digital savvy, good knowledge of data analysis and interpretation for informed decisions.Using data-driven analytical rigor and/or six sigma and/or lean…"
24,SENIOR DATA ENGINEER,TMC,Eindhoven+1 plaats,,Develop automated data pipelines from a wide range of data sources using an AWS and Informatica-based technology stack with an emphasis on automation and scale;
25,DevOps Engineer | Eindhoven or Delft | Salary up to €70k,Layer,Thuiswerken in Eindhoven,€70.000 per jaar,"CI/CD | C++, C# or Java | Scripting | High tech | Lease car / mobility allowance | Vast study budget + 5 paid training days | Excellent pension scheme | 50/50…"
26,Hue Data Scientist/Data Engineer,Signify,Eindhoven,,"Able to use a wide set of tools for data mining, processing and analysis.You will collaborate and mentor engineers and researchers to help them improving their…"
