,title,company,location,salary,summary
0,Data Scientist Performance Modeling,Lightyear,Helmond,,Do you want to be responsible and work on data-based models describing the effect of design choices on the real-world driving performance and market…
1,Data Designer,Philips,Eindhoven,,"The Data Enabled Design team, a group of data designers with expertise on data visualization, user experience research and prototyping with/around data and AI."
2,Biomedical Scientist,Philips,Hybrid remote in Eindhoven+1 plaats,,Bioinformatics data analysis skills preferably with RNAseq data.Manage secure data transfer of analyzed RNA sequencing data.
3,Data Scientist,World of Content,Thuiswerken in Postcode 5211 in Den Bosch,€3.000 - €5.000 per maand,"Minimal 2 years experience with data analysis, traditional data processing and statistics.Do you enjoy solving data issues by modelling algorithms and do you…"
4,Data & AI Research Scientist,Philips,Eindhoven+2 plaatsen,,Conducting exploratory healthcare data analysis challenges to better understand propositions and end user insights in the markets;
5,nieuwAI Scientist,TMC,Eindhoven,,"Analyze data to discover patterns, find opportunities, and develop and apply innovative ML algorithms.You are expected to build innovative AI solutions that…"
6,nieuwDATA SCIENTIST (3 YEARS OF EXPERIENCE),TMC,Eindhoven+2 plaatsen,,Knowledge of data mining and statistics in problem solving frameworks.Knowledge of industry adopted data mining standards (CRISP-DM).
7,Data Scientist,Nippur,Oirschot+1 plaats,€3.000 - €5.500 per maand,Dat ze hierbij kunnen rekenen op onze data engineers en data architecten.De Nippur data science-projectaanpak (gebaseerd op CRISP-DM) laat zien hoe wij een…
8,Data Scientist,Infiniot,Postcode 5656 in Eindhoven+1 plaats,,"Je hebt minimaal 1-2 jaar werkervaring in data analyse, data mining, datakwaliteit en data management.Als Data Scientist zul je datasets analyseren, complexe…"
9,nieuwPrincipal Data Scientist,NXP Semiconductors,Eindhoven,,"You will perform direct outreach to technical developers, citizen data scientists, data scientists and leaders in the business teams, providing them with the…"
10,Clinical Development Scientist,Philips,Eindhoven+1 plaats,,"Collect, appraise, and analyze clinical data pertaining to a (medical) product.Trained and experienced in medical writing; systematic review, and clinical data…"
11,Research Scientist - Experimental psychology,Philips,Hybrid remote in Eindhoven+1 plaats,,Experience in using data-driven methods to model and influence human behavior is a pre.Keeping up with the newest scientific insights in the domains of…
12,Data scientist (forecasting and planning),EyeOn,Postcode 5735 in Aarle-Rixtel,,"Experience with processing and analyzing data (eg. SQL, Hadoop, Spark, Kubernetes);As Data scientist forecasting and planning you help companies make better…"
13,Hue Data Scientist/Data Engineer,Signify,Eindhoven,,"Able to use a wide set of tools for data mining, processing and analysis.You will join a talented cross-functional team that is responsible for developing new…"
14,Research Scientist AI,TMC,Eindhoven,,You are expected to build innovative AI solutions that together with engineers and system developers can be deployed as real-time solutions to provide customer…
15,nieuwSenior HR Data Scientist,ASML,Veldhoven+1 plaats,,Act as mentor/coach to junior data scientists.Identify relevant data sets and flag opportunities to create “new” data and/or improve data capturing.
16,Method Development Scientist Bioanalysis,Charles River Laboratories,Postcode 5374 in Schaijk,,You provide interpretation of the data and report the results to your internal and external clients.The Bioanalysis Group is specialized in analysis of…
17,Data scientist inventory management,EyeOn,Postcode 5735 in Aarle-Rixtel,,The Data scientist inventory management has a key role in EyeOn’s data science and solutions team.Your role as Data scientist inventory management.
18,Senior Data Scientist & Analytics Translator,DEMCON,Eindhoven,,"As a data scientist, you actively contribute to the current and future applications of Artificial Intelligence."
19,Data Scientist S&SC,ASML,Veldhoven+1 plaats,,"Generate, own and manage the S&SC data model as the one source of truth based on trusted and actual data and align with the data architects."
20,Senior Scientist Compute Architectures,Philips,Eindhoven,,"Confirmed experience in real-time and resource constraint system design with a focus on machine learning, data science and signal processing;"
21,Data Scientist,Squadra Machine Learning Company,Oss+1 plaats,,"Je hebt ervaring in het toepassen van big data-oplossingen in de praktijk.Je bent in het bezit van een WO-diploma in richting van kunstmatige intelligentie,…"
22,nieuwData Engineer,ASML,Veldhoven,,Design and implement data access interfaces (APIs for read/write data).Developing distributed data processing pipelines for complex datasets (Big Data 5Vs) by…
23,Digital Data Analyst,Sligro,Postcode 5466 in Veghel,,Je zoekt de samenwerking op met verschillende data analisten en onze data scientist om nog betere klant-inzichten te realiseren;
24,Research Scientist - Light Sources,ASML,Veldhoven+1 plaats,,"Your job will be to invent and investigate promising concepts for light sources, both experimentally, through detailed data analysis and modeling, and…"
25,Data Scientist - Intern/Graduate,REV'IT! Sport International B.V.,Postcode 5342 in Oss,,"You will work on building single source of truth (Data layer), enhancing data collection procedures that are relevant for building the analytics system."
26,Regional Chemistry Consultancy & Audit Senior Scientist,MARS,Postcode 5460 in Veghel,,"Provides consultancy support to regional stakeholders (e.g., Factories, Product Development, Global Innovation Centers, SQA), with experimental design and data…"
27,Data Scientist - Computer Vision,Harnham,Eindhoven+1 plaats,€30.000 - €50.000 per jaar,"Be part of something big, as a data scientist you will be working on developing complex Computer Vision analytical algorithms using Python and R. You will also…"
28,Project Leader - Senior Scientist Solid state,Ardena,Thuiswerken in Postcode 5349 in Oss,,"This includes implementing experiments in the laboratory, collecting and interpreting data, deciding on follow-up experiments and, finally, writing a report for…"
29,Data Scientist,Baker McKenzie,America,,"Solid experience performing data science activities, including data discovery, data cleaning, model selection, validation, and deployment."
30,Junior Cloud Engineer,NXP Semiconductors,Thuiswerken in Eindhoven,,"Supporting and setting up global Cloud solutions to enable Machine-Learning, AI, and Edge Computing for NXP business lines and IT."
31,Full Stack Developer Hue,Signify,Eindhoven+1 plaats,,You’ll design and implement streaming data pipelines with real time analytics.You’ll build new full-stack features on our big Hue data platform.
