,title,company,location,salary,summary
0,Backend Developer,World of Content,Thuiswerken in Postcode 5211 in Den Bosch,€2.800 - €4.500 per maand,"After work, you read the Best Buy guide on Tweakers and see that PHP 8 finally supports union types.You have a bachelor's degree or equivalent experience."
1,Software Developer,Otherside Software,Thuiswerken in Postcode 5232 in Den Bosch,€5.500 per maand,Onze software helpt bedrijven bij het registreren en beheren van verzuim.De daarvoor benodigde software wordt in-house ontwikkeld op het Microsoft platform (…
2,C# Machine Software Developer,CodeImpact,Veldhoven,,Ensure adequate fit of software deliverables in the YieldStar software platform.Contribute to the continuous improvement of our Agile software development for…
3,Software Developer Automotive,Capgemini Engineering,Thuiswerken in Eindhoven+3 plaatsen,,Experience in software simulation and software/hardware integration.Knowledge of automotive digital communication technologies (CAN/Lin/Flexray) and familiar…
4,nieuwBackend C# Developer,mylermedia.nl,Thuiswerken in Den Bosch,,Je hebt uitgebreide kennis van object georiënteerd ontwerpen en ontwikkelen op basis van best practice.Je hebt voldoende technische kennis om haalbaarheid van…
5,Front-end developer,World of Content,Thuiswerken in Postcode 5211 in Den Bosch,€2.800 - €4.500 per maand,You are taking initiative to move the platform forward.Or perhaps you will work on the backend yourself to develop into a Full Stack Engineer.
6,Cloud software developer,HighTechTalents,Postcode 5617 in Eindhoven,,"As a Cloud Software Developer will build great software using Amazon Web Services, share knowledge and find new ways to solve problems together."
7,Backend Developer Python,Coosto,Hybrid remote in Eindhoven,,Werken als backend developer bij Coosto kan zowel in Eindhoven of Alicante.Deze partnerorganisatie is een dataleverancier die wereldwijd actief is in het…
8,Software Developer,Building Heroes,Eindhoven,,Doordat jij daadkrachtig optreedt en in staat bent om snel te schakelen maak jij dit project tot een groot succes.Jaarlijks 25 vakantiedagen en 13 ADV dagen;
9,Software Developer,Cadmes,Den Bosch,,Full-time · 's-Hertogenbosch - Nederland.Onze missie is om bedrijven in een snel veranderende industrie succesvol te laten zijn met behulp van automatisering-…
10,Creative Full-stack Developer,Accenture,Eindhoven,,"Experience with/Interest in embedded software and electronics is a plus.Simply put, as full-stack developer, you'll develop exciting new products for a wide…"
11,Software Developer (m/f/d) C#,FEV Netherlands B.V.,Helmond,,You are responsible for the further development of existing individual software.You support the establishment of software development standards for the FEV…
12,Full Stack Developer Hue,Signify,Eindhoven+3 plaatsen,,"You're passionate about software engineering, big data and getting things right and you're eager to learn whatever necessary to tackle problems head-on."
13,Python Developer,Techonomy,Eindhoven,,Te coderen in Python en hebt de ambitie om verder te groeien als backend ontwikkelaar.Zo ontwikkelen we high-end applicaties voor onder andere Ministerie van…
14,EXPERIENCED SOFTWARE DEVELOPER,InfoBridge,Postcode 5232 in Den Bosch,,"And finally, you have a real passion for building cool, user-friendly software and write and speak fluent English.You have good skills in ASP."
15,Python Software Developer,Capgemini Engineering,Thuiswerken in Eindhoven+1 plaats,,"You translate user stories in efficient software solutions.You will work on building new software development platforms, high level control software, user…"
16,Software developer,Intermesh,Postcode 5222 in Den Bosch,,"Ervaring met PHP, MySQL en Javascript.Goede beheersing van de Engelse taal.Een uitdagende baan met volop kansen om je te ontwikkelen."
17,nieuw.NET Developer – Software House – ‘s-Hertogenbosch,Noir Consulting,Den Bosch,€4.000 - €6.000 per maand,"NET 5, C#, MVC, JavaScript, RESTful APIs, Programmer, Engineer, Architect, .NET Developer candidates who are experts with JavaScript, to join their dynamic…"
18,Software developer,Driessen,Hybrid remote in Postcode 5708 in Helmond,€45.000 - €65.000 per jaar,"Met onze software faciliteren we het arbeidsverloop van onze flexibele medewerkers (uitzendkrachten).Na elke sprint volgt een release, die gaat zoveel mogelijk…"
19,nieuwFront-end designer,Shoxl,Eindhoven,,"Kom dan eens praten met Shoxl.Je bent uitstekend thuis in HTML5, CSS3 en Javascript en de belangrijkste frameworks."
20,Back-end developer (PHP),Fruitcake,Sint-Oedenrode,,"Uitgebreide kennis van en ervaring (vanuit werk of hobby) met PHP (Object Oriented, PHP 5.3+) en MySQL.Goede beheersing van de Nederlandse en Engelse taal …"
21,Creative Full-stack Developer,Accenture,Eindhoven,,"Experience with/Interest in embedded software and electronics is a plus.Simply put, as full-stack developer, you'll develop exciting new products for a wide…"
22,Software Developer Vision Algorithms,Techniquals,Eindhoven,,They work according to the Scrum principle: in multidisciplinary teams that deliver working software in short periods of two weeks.They are based in Eindhoven.
23,Junior Software Developer,TOPdesk,Tilburg,,Meer dan 10 miljoen mensen maken dagelijks gebruik van TOPdesk software.Jij vertaalt de wensen van klanten naar een goed werkende oplossing binnen het product.
24,Java Developer,Cegeka,Eindhoven,€3.800 - €6.000 per maand,Je hebt ervaring met software architectuur bijv.Je hebt minimaal 2 jaar aantoonbare ervaring als Java developer.
25,Front-end developer,Webwonders,Eindhoven,,"Samenwerken met ons team van developers, designers en marketeers.Een developer die zonder aarzelen een design omzet in Html, Css en JavaScript."
26,Java Developer,Ctac IP XV Retail,Den Bosch,,"For example, you can attend knowledge sessions, obtain certificates and take training courses so that you can stay at the forefront of knowledge and innovation."
27,Front-end Developer,Komma Web & Branding Agency,Postcode 6021 in Budel+1 plaats,€3.000 - €4.500 per maand,"Ook werk je deels aan de achterkant van zowel websites als webshops, en aan een grote diversiteit softwaresystemen."
28,Back-end developer,Komma Web & Branding Agency,Postcode 6021 in Budel,€3.000 - €4.500 per maand,Je bent actief betrokken bij de projecten van je collega’s en ondersteunt ze waar nodig.Je barst dan ook van de creatieve ideeën en inspiratie om alles steeds…
29,Front end developer,Oddessey Solutions,Postcode 5617 in Eindhoven,,"Een fulltime functie (36-40 uur).Je hebt uitgebreide kennis van HTML, Javascript, CSS en bij voorkeur ook van React of PHP."
30,Junior Software Developer,Whyellow,Postcode 5651 in Eindhoven,,"NET core/C#, Angular, MongoDB, native mobile (swift/java) en NativeScript/Xamarin.Samenwerken in een jong en dynamische organisatie van +/- 35 man en vrouw…"
31,Softwareontwikkelaar,AniMedic,Postcode 5232 in Den Bosch,,Je ontwikkelt en onderhoudt (web)applicaties voor onze klanten.Je onderhoudt contacten met klanten en collega’s en weet discreet om te gaan met vertrouwelijke…
32,"Junior java developer, interested in modelling",Capgemini Engineering,Thuiswerken in Eindhoven,,"Have a background in in software engineering and knowledge of traditional software engineering techniques and methods.Knowledge of Java (C++, nice to have)."
33,Junior Software Developer,ISAAC Software Solutions,Eindhoven,,"Als Junior Software Developer bij ISAAC werk je in één of meerdere multidisciplinaire klantteams met 4 tot 8 developers, een architect en projectmanager."
34,Embedded Software Developer IoT,Signify,Eindhoven+2 plaatsen,,A Bachelor or MSc in computer science / software development.Develop software on various platforms for the purpose of technology/architecture/use case…
35,nieuwFrontend Developer,Building Materials Distribution NL,Eindhoven,,Het maakt je trots als je ziet hoe zij jouw software gebruiken.Als rasechte frontend developer vind je het werken met nieuwe technieken belangrijk en ben je…
36,Software Developer,GAC Business Solutions,Oirschot,,Werken bij dé leverancier van Microsoft Dynamics 365 software en hierdoor de kans om blijvend voorop te lopen.
37,Java Developer,Ctac IP XV Retail,Den Bosch,,"For example, you can attend knowledge sessions, obtain certificates and take training courses so that you can stay at the forefront of knowledge and innovation."
38,nieuwC++ Software Developer,Kind Technologies,Postcode 5657 in Eindhoven,,8 or more years experience in industrial automation as a C++ developer;You have experience with technical software documentation that is involved in the entire…
39,Junior Software Developer Cards,De Volksbank,Den Bosch,€2.870 - €4.415 per maand,"Als junior software developer ontwerp, bouw, test, beheer en documenteer je software, die ervoor zorgt dat onze klanten kunnen betalen en geld op kunnen nemen."
40,Frontend-developer generieke componenten,De Volksbank,Den Bosch,€3.265 - €5.022 per maand,Als Frontend-developer bij het Frontend Platform ben je verantwoordelijk voor het maken van de tools en componenten die door de Frontend Community binnen De…
41,Software Developer,Blueriq,Thuiswerken in Den Bosch,,"Onze software developers werken ofwel aan het Blueriq platform, ofwel aan oplossingen met het Blueriq platform op projecten.Kennis van Typescript en Angular."
42,Junior software developer,Driessen,Hybrid remote in Postcode 5708 in Helmond,€31.000 - €45.000 per jaar,"Met onze software faciliteren we het arbeidsverloop van onze flexibele medewerkers (uitzendkrachten).Na elke sprint volgt een release, die gaat zoveel mogelijk…"
43,Frontend Developer,Social Deal,Den Bosch,,Je werkt user stories uit en maakt conceptuele designs.Je prioriteert je eigen werk in samenspraak met je team en met de Product Owner.
44,Full-Stack Developer,Capgemini Engineering,Thuiswerken in Eindhoven+1 plaats,,"Experience with research, software design and implementation according to defined guidelines, testing, integration and delivery."
45,Medior Software Developer,Whyellow,Postcode 5651 in Eindhoven,,"Gebruikmakend van de laatste technieken zoals; Microsoft .net core/C#, Angular, MongoDB, native mobile (swift/java) en NativeScript/Xamarin."
46,Front end developer,Oddessey Solutions,Postcode 5617 in Eindhoven,,"Een fulltime functie (36-40 uur).Je hebt uitgebreide kennis van HTML, Javascript, CSS en bij voorkeur ook van React of PHP."
47,Junior Full Stack Developer,ASML,Veldhoven+1 plaats,,"Actively involved in the software community (e.g., articles published, part of software groups in the region).Java server technologies (Spring or similar)."
48,Software Recruitment Event / Back-end Developer,TMC,Eindhoven,,"You will be working on complex software projects for complex systems, developing new features, proof of concepts and production software."
49,Full Stack Developer,Building Materials Distribution NL,Eindhoven,,Het maakt je trots als je ziet hoe zij jouw software gebruiken.Als rasechte full stack developer vind je het werken met nieuwe technieken belangrijk en ben je…
50,Software Developer Cards,De Volksbank,Den Bosch,€2.870 - €4.415 per maand,"Als software developer ontwerp, bouw, test, beheer en documenteer je software, die ervoor zorgt dat onze klanten kunnen betalen en geld op kunnen nemen."
51,BACKEND DEVELOPER (M/W/D),Canyon Bicycles,Eindhoven,,"WOFÜR WIR DEINE UNTERSTÜTZUNG BRAUCHEN.HTML, CSS, Datenbanken, Java oder C#, JavaScript / Typescript.Designpatterns, wie z. B. MVC oder MVVM."
52,Java back-end developer,ISAAC Software Solutions,Eindhoven+1 plaats,,Als Java Developer bij ISAAC werk je in één of meerdere – afhankelijk van jouw voorkeur en omvang van projecten – in multidisciplinaire klantteams met circa…
53,Front-end Developer,Capgemini Engineering,Thuiswerken in Eindhoven+1 plaats,,"You mainly come into contact with technical applications, in which setting up a software architecture also plays a role."
54,Software Developer,Goossens Wonen & Slapen,Veghel+1 plaats,,Minimaal 5 jaren relevante werkervaring in een soortgelijke functie.Ervaring in Agile / Scrum werken en kennis van Databases en SQL.
55,Software developer,Driessen,Hybrid remote in Postcode 5708 in Helmond,€45.000 - €65.000 per jaar,"Met onze software faciliteren we het arbeidsverloop van onze flexibele medewerkers (uitzendkrachten).Na elke sprint volgt een release, die gaat zoveel mogelijk…"
56,Java Algorithms Developer,MCA Engineering,Eindhoven,,"Review algorithm descriptions form a software point of view, identify risks or issues that might occur when transferring a mathematical model into software."
57,Vacature Java en / of C# .NET Software Developer,Uitdagende ICT,Eindhoven,,"Wij zoeken voor een jong, innovatief IT bedrijf in Eindhoven enthousiaste software developers die mee willen ontwikkelen aan vernieuwende en creatieve IT…"
58,Developer Technical software,ENTER Group,Eindhoven,€2.500 - €4.500 per maand,Integrate software components and third-party software.ENTER employs experienced software architects as well as junior software engineers.
