,title,company,location,salary,summary
0,"EC2 Spot Specialist SA, WWSO, Compute, AMER","Amazon Web Services, Inc.","Boston, MA",,"2+ years of design, implementation, or consulting experience in applications or infrastructures.4+ years within specific technology domain areas (e.g. software…"
1,"Embedded Optimization Specialist, Human-Centered AI",Toyota Research Institute,"Cambridge, MA 02139 (Kendall Square area)",,Develop and deploy optimization algorithms for real-time control.Assist in the development of code-generation tools for optimization solvers.
2,newLead Data Collection Specialist,Leidos,"Boston, MA 02203 (Central area)+1 location",,The Leidos Security Enterprise Solutions (SES) organization is seeking a motivated and talented Lead Data Collection Specialist to join our data science team…
3,AI/ML Specialist Solutions Architect,"Amazon Web Services, Inc.","Remote in Boston, MA",,"3+ years of design, implementation, or consulting experience in applications or infrastructures.8+ years within specific technology domain areas (e.g. software…"
4,Content Marketing Specialist - Remote,Cogito Corporation,"Remote in Boston, MA",,Cogito performs in-call voice analysis and delivers real time guidance to agents and unprecedented insights to managers to an impressive portfolio of Fortune…
5,RPA Developer - Solution Specialist - Location Open,Deloitte,"Boston, MA 02116 (Back Bay area)+1 location",,Translate business requirements and processes into technical requirement and configuration settings specific to Cognitive Robotics Automation solutions.
6,Lead Clinical Research Specialist,The MITRE Corporation,"Bedford, MA",,The Lead Clinical Research Specialist will be responsible for individual contribution and small team leadership of clinical research efforts including but not…
7,Research Expert for Alternative Host Processing,Sartorius,"Remote in Marlborough, MA",,"In the Research Expert for Alternative Host Processing role, you will pursue alternative hosts, such as microbial or fungal systems for efficient and…"
8,"Development Lead Specialist, Deloitte Technology Academy",Deloitte,"Boston, MA 02116 (Back Bay area)",,"As a Specialist, you will actively support projects aligned to one or more DTA threads while driving connection across the broader team."
9,newSenior Digital Marketing Specialist,PTC Inc.,"Boston, MA 02210 (South Boston area)",,"We are seeking a Senior Marketing Specialist to help develop, execute and optimize inbound and outbound campaign strategy designed to create full funnel leads…"
10,Senior Product Specialist - Hux,Deloitte,"Boston, MA 02116 (Back Bay area)",,"We're combining data, decisioning and real-time delivery to build and manage customer data ecosystems that enable our clients to acquire, engage and retain…"
11,Technical Account Specialist,Spacemaker,"Boston, MA",,Overall responsibility for the customer’s Spacemaker experience from onboarding to renewal leveraging a deep understanding of Spacemaker’s value proposition and…
12,"Principal Specialist, AI/ML Frameworks","Amazon Web Services, Inc.","Boston, MA",,"7+ years of business development, product management, management consulting, strategic partnerships, or enterprise sales experience."
13,Principle Regulatory Affairs Specialist,Philips,"Remote in Cambridge, MA 02141",,"Advise internal stakeholders (marketing, manufacturing, R&D, etc.).Regarding current/pending guidance, regulations, Agency/industry initiatives, etc."
14,"Senior Sales Specialist , Analytics - Northeast","Amazon Web Services, Inc.","Boston, MA",,7+ years of Enterprise technology-related sales or business development experience.5+ years of direct field experience working with enterprise analytic…
15,AI/ML Specialist Solutions Architect,"Amazon Web Services, Inc.","Remote in Boston, MA",,"3+ years of design, implementation, or consulting experience in applications or infrastructures.8+ years within specific technology domain areas (e.g. software…"
16,Amazon Connect Specialist Senior,Deloitte,"Boston, MA 02116 (Back Bay area)",,Do you like helping customers implement innovative AI driven cloud based omni channel contact centers and solve technical problems?
17,TMT/Telecommunications Cloud Transformation Specialist Maste...,Deloitte,"Boston, MA 02116 (Back Bay area)",,"Telecom Networks Cloud Operations Transformation Specialist Master.Our Telecommunications, Media and Technology (TMT) industry clients include some of the most…"
18,Cloud Software Engineer Specialist,Accenture,"Boston, MA",,"A leading partner to the world’s major cloud providers, including AWS, Azure, and Google, and ranked #1 for cloud-native engineering talents."
19,Research Expert for Alternative Host Processing,Sartorius,"Remote in Marlborough, MA",,"In the Research Expert for Alternative Host Processing role, you will pursue alternative hosts, such as microbial or fungal systems for efficient and…"
20,"Senior Sales Specialist , Analytics - Northeast","Amazon Web Services, Inc.","Boston, MA",,"As a specialist sales representative for this fast growing, exciting space you will have the opportunity to help drive the growth and shape the future of an…"
21,Cloud/AI Analytics Architect - Specialist Master,Deloitte,"Boston, MA 02116 (Back Bay area)+1 location",,Analytics Architect Responsible for working with various business and technology teams to deploy cloud-based data platforms.
22,newSenior Digital Marketing Specialist,PTC Inc.,"Boston, MA 02210 (South Boston area)",,It's fun to work in a company where people truly BELIEVE in what they're doing!We're committed to bringing passion and customer focus to the business.
23,Principle Regulatory Affairs Specialist,Philips,"Remote in Cambridge, MA 02141",,"Effective Tuesday, January 4, 2022, all U.S.-based employees are required to be fully vaccinated against COVID as a condition of employment at Philips*."
24,Lead Clinical Research Specialist,The MITRE Corporation,"Bedford, MA",,"Why choose between doing meaningful work and having a fulfilling life?At MITRE, you can have both.That's because MITRE people are committed to tackling our…"
