,title,company,location,salary,summary
0,"Prin AI/ML Specialist, WWSO Americas AI/ML Geo BD Specialist...","Amazon Web Services, Inc.","Chicago, IL",,10+ years of technology related sales or business development experience.BA/BS degree or equivalent experience required.
1,"Specialist, Federal Data Modeler",KPMG,"Chicago, IL 60601 (The Loop area)",,Collaborate with multi-disciplinary and cross-functional teams to translate business objectives into artificial intelligence approaches and objectives; Strong…
2,"newClinical Specialist, ESD",FUJIFILM,"Chicago, IL 60601 (Loop area)",,FUJIFILM Healthcare Americas Corporation is a leading innovator in diagnostic and enterprise imaging solutions designed to meet the evolving needs of healthcare…
3,newData Visualization Specialist - Northern Trust Asset Managem...,Northern Trust Corp.,"Hybrid remote in Chicago, IL 60603",,"Northern Trust Asset Management (NTAM) Marketing is seeking an experienced, creative and innovative data visualization specialist to develop informational…"
4,Artificial Intelligence Specialist,Accenture,"Chicago, IL",,"The Artificial Intelligence Specialist will provide strategy, architecture, and guidance to govern the product development activities for the enhancement,…"
5,"newAnalytics Specialist, US Central Area","Amazon Web Services, Inc.","Chicago, IL",,"10+ years of experience with go to market strategy, enterprise sales, or program/product/technical product management experience."
6,Data & AI - Data Fabric Sales Specialist - Midwest,IBM,"Chicago, IL 60290",,"These country teams have client relationship managers who lead integrated teams of consultants, solution specialists and delivery professionals to enable…"
7,"Sales, Markeitng & Business Development Specialist- Remote",Spectrum Communications & Consulting Inc.,"Remote in Chicago, IL",,The base salary plus commission and Incredible benefits.Our top performing sales team members that started in this role and have grown into Account Executives.
8,AI/ML Specialist Solutions Architect,"Amazon Web Services, Inc.","Remote in Chicago, IL",,"3+ years of experience in design/implementation/consulting for Machine Learning/AI/Deep Learning solutions.To enable large-scale use cases, design ML pipelines…"
9,Technology Specialist - REMOTE,Deloitte,"Remote in Chicago, IL 60606",,"By joining our team, you can help clients achieve impact and value from their investments in both people and technology that support enterprise-wide operations,…"
10,Military Tuition Specialist,National University,"Chicago, IL",,"Process student Tuition Assistance (TA) vouchers upon receipt.Utilize TA military invoicing portals including but not limited to: ArmyIgnited (Army), AI Portal…"
11,"Development Lead Specialist, Deloitte Technology Academy",Deloitte,"Chicago, IL 60606 (The Loop area)",,"As a Specialist, you will actively support projects aligned to one or more DTA threads while driving connection across the broader team."
12,Sr. IT Specialist - Data Operations,Abbott Laboratories,"Chicago, IL",,"This is a hands-on role where the individual will be responsible for the business requirement analysis, data profiling, data strategy, data modeling and design,…"
13,"Industrial Manufacturing Solutions Specialist, AWS Strategic...","Amazon Web Services, Inc.","Chicago, IL",,"* 10+ years’ experience in infrastructure and application architecture, DevOps, or software engineering.Practical experience for system integration delivery…"
14,Google Cloud Architect Specialist Master,Deloitte,"Chicago, IL 60606 (The Loop area)",,"In partnership with other leaders in the firm, you will focus on developing, selling and delivering leading edge cloud solutions using Google Cloud and, as a…"
15,VASO SALES SPECIALIST,Vaso Corporation,"Chicago, IL 60623 (Little Village area)",,The Vaso Sales Specialist (VSS) – Mammography works with each of the VasoHealthcare Account Managers (VAM) in their territory to meet or exceed the assigned…
16,"Full Stack Development, Specialist Master - Applied AI",Deloitte,"Chicago, IL 60606 (The Loop area)",,"At Deloitte you will manage and deliver components of client engagements that identify, design, and implement technology and creative business solutions for…"
17,"Development Lead Specialist, Deloitte Technology Academy",Deloitte,"Chicago, IL 60606 (The Loop area)",,"As a Specialist, you will actively support projects aligned to one or more DTA threads while driving connection across the broader team."
18,"Director, Risk Modeling & Analytics Specialist",UBS,"Chicago, IL",,"Oversee AML model development and optimization across multiple lines of business (including correspondent banking, private and investment banking) and multiple…"
19,"HCLS AI/ML Specialist, BDSI, WWSO Americas AI/ML Geo BD Spec...","Amazon Web Services, Inc.","Chicago, IL",,10+ years of technology related sales or business development experience.BA/BS degree or equivalent experience required.
20,Senior Payroll & HRIS Specialist,Reveal-Brainspace,"Chicago, IL 60606 (Loop area)",,"As a cloud-based software provider, Reveal offers the full range of processing, early case assessment, review, infrastructure and artificial intelligence…"
21,Google Cloud Architect Specialist Master,Deloitte,"Chicago, IL 60606 (The Loop area)",,"In partnership with other leaders in the firm, you will focus on developing, selling and delivering leading edge cloud solutions using Google Cloud and, as a…"
22,IPS Client Success - Account Management Advisory Specialist,JLL,"Chicago, IL",,Responsible for the success of IPS North American Markets’ key account management advisory support.Coordination with our IPS regional account leads to support…
23,Technology Specialist - REMOTE,Deloitte,"Remote in Chicago, IL 60606",,"By joining our team, you can help clients achieve impact and value from their investments in both people and technology that support enterprise-wide operations,…"
24,"AMER AI/ML Specialist Central, WWSO Americas AI/ML Geo BD Sp...","Amazon Web Services, Inc.","Chicago, IL",,10+ years of technology related sales or business development experience.BA/BS degree or equivalent experience required.
25,Amazon Connect Specialist Leader,Deloitte,"Chicago, IL 60606 (The Loop area)",,If you are a highly technical person and can dive deep and build complex AWS optimized architectures and assist Clients in building and deploying Amazon Connect…
26,Amazon Connect Specialist Senior,Deloitte,"Chicago, IL 60606 (The Loop area)",,If you are a highly technical person and can dive deep and build complex AWS optimized architectures and assist Clients in building and deploying Amazon Connect…
27,TMT/Telecommunications Cloud Transformation Specialist Maste...,Deloitte,"Chicago, IL 60606 (The Loop area)",,"We are poised to help clients shape their evolving business models, scale and transform their operations, modernize their processes and technologies, and…"
28,MuleSoft Developer - Solution Specialist,Deloitte,"Chicago, IL 60606 (The Loop area)+2 locations",,"Understand Business Requirements, perform impact analysis and assess technical challenges/feasibility in achieving required business outcome."
29,Cloud Software Engineer Specialist,Accenture,"Chicago, IL",,"To accelerate our customer's transformation leveraging cloud, we combine world-class learning and talent development expertise; deep experience in cloud change…"
30,"Full Stack Development, Specialist Master - Applied AI",Deloitte,"Chicago, IL 60606 (The Loop area)+2 locations",,"At Deloitte you will manage and deliver components of client engagements that identify, design, and implement technology and creative business solutions for…"
31,Professional Services Regional Manager,Neo4j,"Remote in Chicago, IL",,Collaborating with other Neo4j departments to meet overall business and customer outcome goals.Through the delivery of consulting and training services.
32,Salesforce Technical Architect-Specialist Master,Deloitte,"Chicago, IL 60606 (The Loop area)",,Customer & Marketing is creating a new model for a new age-we're an agency and a consultancy.A Specialist Master at Deloitte has deep expertise in a subject…
33,Salesforce Specialist Master (Technical),Deloitte,"Chicago, IL 60606 (The Loop area)",,Customer & Marketing is creating a new model for a new age-we're an agency and a consultancy.A Specialist Master at Deloitte has deep expertise in a subject…
34,newAnalytics Specialist - People Analytics Group,Seyfarth,"Chicago, IL 60606 (The Loop area)",,As an Analytics Specialist in the People Analytics group you will be responsible for supporting key client relationships within the People Analytics Practice…
