,title,company,location,salary,summary
0,Office of AI Scholarship - QuantumBlack,McKinsey & Company,London,,These tools draw on the latest insights from our client work and research & development efforts and deliver solutions as part of delightful experiences.
1,AI Specialist - Research Scientist,Meta,London,,"Individuals in this role are expected to be recognized experts in identified research areas such as artificial intelligence, machine learning, computational…"
2,newPartner Technical Specialist - AI Applications -Supply Chain,IBM,London,,"These country teams have client relationship managers who lead integrated teams of consultants, solution specialists and delivery professionals to enable…"
3,Junior Legal and Product Specialist,Robin AI,Hybrid remote in London,,"Robin AI is an exciting, venture-backed technology start-up using software, artificial intelligence and human intelligence to make contracts simple."
4,newStorage Brand Technical Specialist - Data & AI,IBM,London,,"These country teams have client relationship managers who lead integrated teams of consultants, solution specialists and delivery professionals to enable…"
5,newProject Specialist,Vodafone,London,,"You will be responsible for delivering small projects or work packages for customers, either independently or as part of a larger project or programme."
6,newData AI Sales Specialist,IBM,London,,"These country teams have client relationship managers who lead integrated teams of consultants, solution specialists and delivery professionals to enable…"
7,Brand Partner Specialist: AI Apps Portfolio,IBM,London,,"These country teams have client relationship managers who lead integrated teams of consultants, solution specialists and delivery professionals to enable…"
8,AI/ML Fellowship,GSK,London,,"In addition, the researcher will learn about the pharmaceutical industry and software engineering, and translate their research into tools that aid discovery…"
9,Data & AI Technical Sales Specialist,IBM,London,,"These country teams have client relationship managers who lead integrated teams of consultants, solution specialists and delivery professionals to enable…"
10,AI Chatbot Specialist (Build & Conversation Design),Vodafone,Hybrid remote in London,,"You will be part of our TOBi Chatbot team, and be responsible for translating customer insights into engaging customer chatbot journeys using the IBM Watson…"
11,AI Chatbot Specialist,Computacenter,Hatfield AL10,,We’re looking for a talented individual who has a strong understanding of all things digital and believes in the power of chatbots to transform the way we…
12,Business Psychologist UK - INTERNSHIP,Assessfirst,Remote in London SW1A,,Work alongside behavioural scientists and machine learning specialists in predicting human potential and performance by developing new AI-based solutions;
13,newChargeback and Recoveries Specialist,Lendable,Remote in London EC2A,,"London, Fraud and Financial Crime Team.Backed by top investors including* Balderton Capital* and *Goldman Sachs*.How you’ll impact those objectives*."
14,AI Specialist - Software Engineer,Meta,London,,The ideal candidate will have industry experience working on a range of problems.Apply relevant AI and machine learning techniques to build intelligent rich…
15,IT Support Specialist,Cervest,Remote in London,,Cervest is building the world's first open access AI-powered Climate Intelligence platform.We're a Certified B Corporation with a vision to build a climate…
16,Startup Specialist SA - AI/ML,AWS EMEA SARL (UK Branch),London,,"Background in any of the following: Cloud Architecture, DevOps, Software Development, Infrastructure Architecture, ML Engineering or Data Science."
17,Digital Document Services Specialist - London,"JPMorgan Chase Bank, N.A.",London,,Digital Document Services (DDS) provides a wide range of capabilities spanning the document lifecycle.Our services address industry wide document challenges in…
18,"newCustomer Engineer Specialist, Machine Learning",Google,London,,Experience as a technical sales engineer in a cloud computing environment or in a customer-facing role.Experience with cloud-based machine learning solutions…
19,Partner Technical Specialist - Data & AI,IBM,London,,The IBM Ecosystem team needs Data & AI pre-sales specialists like you to join our diverse team in the UK and Ireland.Are you craving to learn more?
20,Applied AI/ML Associate - Digital Private Markets (in CIB),"JPMorgan Chase Bank, N.A.",London,,"The small, pragmatic cross-disciplinary team building the product brings together data scientists, finance specialists, former entrepreneurs, product managers,…"
21,Product Support Specialist,Pulsar Platform,Remote in London,,"Based: Head Office, London, with home working considered.WHO WE’RE LOOKING FOR.We are looking for a Product Support Specialist to join the Product team in our…"
22,Customer Support Specialist,ThoughtRiver,London,,"We are an experienced team that is reducing time to signature for general counsel, their sales and procurement teams and service providers."
23,Integration Specialist,Behold.ai,London,,"We are looking for a motivated, skilled and experienced customer facing Integration Specialist to work with both UK & USA teams on the integration and…"
24,Software Development Internship - 2022 UK Summer Internship...,Verisk,London,,"At the heart of what we do is help clients manage risk.Verisk (Nasdaq: VRSK) provides data and insights to our customers in insurance, energy and the financial…"
25,Brand Sales Specialist - Data & AI,IBM,London,,"At IBM, work is more than a job - it's a calling: To build.To think along with clients and sell.Not just to do something better, but to attempt things you've…"
26,newConsumer Relations Specialist (6 Months FTC),Red Bull,London,,"Red Bull UK are currently recruiting for a Consumer Relations Specialist to join our communications team based in London, UK.Areas that play to your strengths."
27,newDirector - Analytics & AI,Capgemini Invent,London,,In the A&AI team we are Capgemini specialist business analytics and strategic modelling capability.Who you’ll be working with:An overview of the role:
28,newCognos Analytics Specialist,IBM,London,,Would you like to work in a fun and experimental studio atmosphere?Do you want to help us transform the way IBM engages with its Business Partners?
29,UKI AI Apps Brand Sales Specialist,IBM,London,,"These country teams have client relationship managers who lead integrated teams of consultants, solution specialists and delivery professionals to enable…"
30,"Automation & RPA, AI, Analytics Graduate",Atos,London,,"Everybody’s talking about intelligent automation.As a consultant in this constantly evolving area, you’ll also enjoy unrivalled challenges and work alongside…"
