,title,company,location,salary,summary
0,Industry Specialist – Manufacturing,Microsoft,"New York, NY",,Engages in conversations with customers aligned to their industry to introduce how other workloads could enable digital transformation areas that is aligned…
1,"AI/ML Specialist, BDSI, BDSI","Amazon Web Services, Inc.","New York, NY",,10+ years of technology related sales or business development experience.BA/BS degree or equivalent experience required.
2,"AI Management Specialist - Metrics, MIS, Financials","JPMorgan Chase Bank, N.A.","New York, NY",,"The mission of the AI Transformation & Engagements team is to enable at-scale development, testing, deployment, and continuous integration and delivery of AI/ML…"
3,HPC Specialist,New York University,"New York, NY 10012 (Greenwich Village area)",,The HPC Specialist is responsible for supporting the teaching and research computing needs of NYU scholars and the NYU High Performance Computing (HPC) systems…
4,Data Scientist II - Algorithmic Justice Specialist,ACLU,"Remote in New York, NY 10004+1 location",,"Knowledge of concepts such as AI/ML auditing, algorithmic impact assessments, explainability, transparency, recourse, robustness, human-ai interaction, and/or…"
5,AI Specialist - Research Scientist,Facebook App,"New York, NY",,"Individuals in this role are expected to be recognized experts in identified research areas such as artificial intelligence, machine learning, computational…"
6,Storage Brand Partner Specialist,IBM,"New York, NY 10001 (Chelsea area)+2 locations",,"These country teams have client relationship managers who lead integrated teams of consultants, solution specialists and delivery professionals to enable…"
7,Scientific Informatics Specialist,Accenture,"New York, NY",,"Leveraging digital technologies such as automation, artificial intelligence, Internet of Things, analytics and cloud, in combination with a fundamental redesign…"
8,Sales Solution Specialist - Data & AI,Microsoft,"New York, NY",,"By applying to this role, you will be considered for multiple opportunities within Microsoft across the United States."
9,Private Equity Product Specialist,Bank of America,"New York, NY",,"Gather market information & perform more complex product analyses on assigned products, manage product profitability & monitor financial performance, make…"
10,Alternative Investments –Product Development and Management...,UBS,"New York, NY",,"Work on the development of new products by taking them through structuring, creation of operating model, launch and initial funding. ."
11,Data & AI Specialist,Microsoft,"New York, NY",,"By applying to this role, you will be considered for multiple opportunities within Microsoft across the United States."
12,Post Product Support Specialist,State Street,"New York, NY",,Post Production Senior Consultants get involved post go-live of the Charles River Investment Management Solution (CRIMS) implementation.
13,Principal AI/ML Specialist SA,"Amazon Web Services, Inc.","New York, NY+1 location",,Degree in machine learning or related technical disciplines or equivalent industry experience.Deep expertise and practical hands-on skills in multiple machine…
14,Hedge Fund Origination Product Specialist,Bank of America,"New York, NY",,The Hedge Fund Origination & Product Management Group strives to develop and maintain a comprehensive AI offering set across client demographics and delivery…
15,Global Black Belt Technical Specialist – Nuance Solutions,Microsoft,"New York, NY",,Your objectives as a Global Black Belt Technical Specialist – Nuance Solutions are to function as a worldwide subject matter expert (SME) on this specific…
16,Technology Specialist - REMOTE,Deloitte,"Remote in New York, NY",,"By joining our team, you can help clients achieve impact and value from their investments in both people and technology that support enterprise-wide operations,…"
17,Alternative Investments - Regional Sales Specialist,Bank of America,"New York, NY",,Merrill Lynch Alternative Investments is seeking an experienced sales professional to join the Alternative Investments distribution organization to focus on…
18,Artificial Intelligence Specialist,Accenture,"New York, NY",,"The Artificial Intelligence Specialist will provide strategy, architecture, and guidance to govern the product development activities for the enhancement,…"
19,Ultra-High Net Worth Internal Specialist,Bank of America,"New York, NY",,The Alternative Investment Sales Desk associate will provide support to Alternative Investment Specialists as well as Financial Advisors on suite of Alternative…
20,Alternative Investments Product Specialist,Bank of America,"New York, NY",,"Assist in the coordination of sales efforts for the Merrill Lynch Alternative Investments platform -including private equity, hedge funds, managed futures, real…"
21,newAlternative Investments Group - Advisor and Client Experienc...,"JPMorgan Chase Bank, N.A.","New York, NY",,"This will include communications with asset managers, internal investment specialists, and clients considering the use of an alternative asset manager within an…"
22,Data and Analytics Specialist [Hybrid],EquiLend,"New York, NY 10281 (Battery Park area)",,"As a Data and Analytics Specialist, your goal is to support the vision of the Global Head of the Division and help to drive product strategy, manage client…"
23,nwCSP Industry Technical Specialist,Intel,"New York, NY 10012 (Little Italy area)",,The Industry Technical Specialist is the technical counterpart to the Account Executive and is responsible for ensuring that all technical and architectural…
24,Alternative Investments Fund Administration Specialist,UBS,"New York, NY",,"Has experience with implementing operational efficiencies.Can collaborate well with different groups and teams Are • can understand complicated concepts,…"
25,newHealthcare Payer - Subject Matter Expert,Fractal.ai,"Remote in New York, NY",,This position is not offering sponsorship therefore you must be a US Citizen or Green Card Holder.The Healthcare Payer SME will work with a cross-functional…
26,Armed groups Expert,United Nations,"New York, NY",,The Group of Experts on the DRC established pursuant to Security Council resolution 1533 (2004) (“the Group”) consists of six experts with demonstrated…
27,IBM Z Mainframe Software Success Specialist,IBM,"New York, NY 10001 (Chelsea area)",,"These country teams have client relationship managers who lead integrated teams of consultants, solution specialists and delivery professionals to enable…"
28,Middle Office Specialist,UBS,"New York, NY",,"Support several Product classes: U.S Treasuries, Agencies, Treasury Bills, TIPS, Interest Rate Swaps, Options, Investment Grade & High Yield Corporate bonds,…"
29,"Associate Editor, P&C Specialist",Financial Times,"New York, NY (Midtown area)",,"Money-Media, a business division of the Financial Times, is looking for an associate editor for a growing publication covering the property and casualty…"
30,Practice Innovation Solutions Specialist,Cooley LLP,"New York, NY",,Cooley is seeking a Practice Innovation Solutions Specialist to join the Practice Innovation Services arm of the Knowledge Management team.
31,Data and Analytics Specialist [Hybrid],EquiLend,"New York, NY 10281 (Battery Park area)",,"As a Data and Analytics Specialist, your goal is to support the vision of the Global Head of the Division and help to drive product strategy, manage client…"
32,IBM Z Mainframe Software Success Specialist,IBM,"New York, NY 10001 (Chelsea area)",,"These country teams have client relationship managers who lead integrated teams of consultants, solution specialists and delivery professionals to enable…"
33,newISV Partner Specialist,IBM,"New York, NY 10001 (Chelsea area)",,"These country teams have client relationship managers who lead integrated teams of consultants, solution specialists and delivery professionals to enable…"
34,Machine Learning Operations Infrastructure Specialist,LSEG (London Stock Exchange Group),"New York, NY",,"Build and manage cloud infrastructure to support hosted AI/ML models.Develop, deploy and maintain tooling to support hosted AI/ML models and MLOps pipelines."
35,Data Specialist,New York Life Insurance Co,"New York, NY",,If you are ready for a challenging data specialist role in a fast-paced environment this position is for you.We are looking for a Data Specialist who possesses…
36,Lead Solution Sales Specialist- Data Mgmt.- North American F...,IBM,"New York, NY 10001 (Chelsea area)",,"These country teams have client relationship managers who lead integrated teams of consultants, solution specialists and delivery professionals to enable…"
