,title,company,location,salary,summary
0,newModality Application Specialist,Viz.ai,"Remote in San Francisco, CA+1 location",,As a Modality Application Specialist supporting the Viz Implementation team you will work closely with AI and Data teams to determine optimal scanner settings…
1,"Clinical Specialist, Google Health",Google,"San Francisco, CA",,"MD and completion of accredited residency in primary care, dermatology, or radiology.5 years of experience in clinical work after the completion of medical…"
2,Data Labeling Specialist,Phantom AI,"Burlingame, CA 94010",,Our main customers are Tier 1 automotive manufacturers who are focused on delivering level 2/3 solutions and in the future will deliver full autonomy.
3,SME - Computer User Support Specialist,NCI Information Systems Inc.,"San Francisco, CA 94102 (Downtown area)",,Monitors statistical records of all problems and conditions reported.Conducts detailed analysis and studies of communications requirements.
4,Clinical Specialist- Cardiovascular,Viz.ai,"Remote in San Francisco, CA+1 location",,"Viz.ai, located in San Francisco, Tel Aviv, Portugal and Amsterdam, pioneered the use of AI algorithms and machine learning to increase the speed of diagnosis…"
5,Regulatory Affairs Specialist - Labeling Specialist,Viz.ai,"San Francisco, CA",,"Viz.ai, located in San Francisco, Tel Aviv, Portugal and Amsterdam pioneered the use of AI algorithms and machine learning to increase the speed of diagnosis…"
6,newOperations Specialist,Spot AI,"Hayward, CA",,SpotAI's operations team is looking for an Operations Specialist to support the operations and sales teams in processing and shipping customer orders.
7,AI Applications Business Partner Sales Specialist - NorthWes...,IBM,"San Francisco, CA",,"These country teams have client relationship managers who lead integrated teams of consultants, solution specialists and delivery professionals to enable…"
8,Artificial Intelligence Specialist,Accenture,"San Francisco, CA",,"The Artificial Intelligence Specialist will provide strategy, architecture, and guidance to govern the product development activities for the enhancement,…"
9,Specialist- Rauschecker Lab,UC San Francisco Academic,"San Francisco, CA",,The research specialist will also develop a variety of analytical models to integrate this information into useful clinical predictions regarding a variety of…
10,AI Specialist - Software Engineer,Facebook App,"Burlingame, CA",,The ideal candidate will have industry experience working on a range of problems.Apply relevant AI and machine learning techniques to build intelligent rich…
