,title,company,location,salary,summary
0,"Program Manager, AWS AI/ML Worldwide Specialist Organization","Amazon Web Services, Inc.","Seattle, WA",,3+ years experience in program or project management.Experience using data and metrics to drive improvements.
1,"AI/ML Specialist, BDSI","Amazon Web Services, Inc.","Seattle, WA",,10+ years of technology related sales or business development experience.BA/BS degree or equivalent experience required.
2,"Manager, Specialist Sales - Data & AI - Retail & Consumer Go...",Microsoft,"Seattle, WA 98105 (Ravenna area)",,"Coaches their team and/or other teams (e.g., account team unit (ATU), specialist team unit (STU)) on identifying and engaging decision makers and stakeholders…"
3,Cloud Specialist - Data & AI,Microsoft,"Redmond, WA 98052 (Overlake area)",,"By applying to this role, you will be considered for multiple opportunities within Microsoft across the United States.Develops joint proposal with partners."
4,Scientific Informatics Specialist,Accenture,"Seattle, WA 98101 (Downtown area)",,"Leveraging digital technologies such as automation, artificial intelligence, Internet of Things, analytics and cloud, in combination with a fundamental redesign…"
5,Principal AI/ML Specialist SA,"Amazon Web Services, Inc.","Bellevue, WA",,Degree in machine learning or related technical disciplines or equivalent industry experience.Deep expertise and practical hands-on skills in multiple machine…
6,AI Sales - Technical Sales Specialist,Intel,"Seattle, WA 98101 (Downtown area)",,"Responsible for working with the cloud account teams to ensure Intel AI SW optimizations are implemented in cloud instances, guiding ISVs to the appropriate…"
7,"Accessibility Specialist - Alexa Accessibility, Alexa Access...",Amazon.com Services LLC,"Seattle, WA",,"As the Alexa Accessibility specialist within our Alexa For Everyone team, you will own and facilitate our cross-Alexa accessibility program."
8,AI Specialist - Research Scientist,Facebook App,"Seattle, WA",,"Individuals in this role are expected to be recognized experts in identified research areas such as artificial intelligence, machine learning, computational…"
9,"Development Lead Specialist, Deloitte Technology Academy",Deloitte,"Seattle, WA 98104 (Downtown area)",,"As a Specialist, you will actively support projects aligned to one or more DTA threads while driving connection across the broader team."
10,Artificial Intelligence Specialist,Accenture,"Seattle, WA 98101 (Downtown area)",,"The Artificial Intelligence Specialist will provide strategy, architecture, and guidance to govern the product development activities for the enhancement,…"
11,newMapping System Specialist,Cognizant,"Bothell, WA",,They work on issues submitted by end users of Maps or tests the location results of user queries submitted via Search (Web) or Maps interface.
12,AI Specialist - Software Engineer,Facebook App,"Bellevue, WA+2 locations",,The ideal candidate will have industry experience working on a range of problems.Apply relevant AI and machine learning techniques to build intelligent rich…
13,Cloud Software Engineer Specialist,Accenture,"Seattle, WA 98101 (Downtown area)",,"To accelerate our customer's transformation leveraging cloud, we combine world-class learning and talent development expertise; deep experience in cloud change…"
14,Sr. AI/ML Specialist Solutions Architect,"Amazon Web Services, Inc.","Seattle, WA+1 location",,"3+ years of design, implementation, or consulting experience in applications or infrastructures.8+ years within specific technology domain areas (e.g. software…"
15,"Senior GTM Specialist, Amazon Connect","Amazon Web Services, Inc.","Seattle, WA+2 locations",,"7+ years contact center software experience (sales, marketing, business development, product management).If you have the right blend of passion, enthusiasm,…"
16,"Sr WW ProdApps GTM Specialist, AWS Business Development","Amazon Web Services, Inc.","Remote in Seattle, WA",,"7+ years contact center software experience (sales, marketing, business development, product management).If you have the right blend of passion, enthusiasm,…"
17,"AI/ML Specialist, West","Amazon Web Services, Inc.","Bellevue, WA",,10+ years of technology related sales or business development experience.BA/BS degree or equivalent experience required.
18,Director - Cloud Solution Specialist,Microsoft,"Redmond, WA 98052 (Overlake area)",,"This is a unique opportunity for a bold, customer oriented, strategic thinker to help identify unique prospects and execute Microsoft cloud deals that drive…"
19,RPA Developer - Senior Solution Specialist - Location Open,Deloitte,"Seattle, WA 98104 (Downtown area)+1 location",,Translate business requirements and processes into technical requirement and configuration settings specific to Cognitive Robotics Automation solutions.
20,"Cognos and AI Applications, Advisory Data & AI Tech Speciali...",IBM,"Seattle, WA 98101 (Downtown area)",,"These country teams have client relationship managers who lead integrated teams of consultants, solution specialists and delivery professionals to enable…"
21,"AI/ML Specialist Solutions Architect , AI DevOps","Amazon Dev Center U.S., Inc.","Seattle, WA",,"3+ years of design, implementation, or consulting experience in applications or infrastructures.8+ years within specific technology domain areas (e.g. software…"
22,"AI/ML Specialist, Modernization","Amazon Web Services, Inc.","Seattle, WA",,10+ years of technology related sales or business development experience.BA/BS degree or equivalent experience required.
23,TMT/Telecommunications Cloud Transformation Specialist Maste...,Deloitte,"Seattle, WA 98104 (Downtown area)",,"We are poised to help clients shape their evolving business models, scale and transform their operations, modernize their processes and technologies, and…"
24,Google Cloud Architect Specialist Master,Deloitte,"Seattle, WA 98104 (Downtown area)",,"In partnership with other leaders in the firm, you will focus on developing, selling and delivering leading edge cloud solutions using Google Cloud and, as a…"
25,Solution Management Expert - Artificial Intelligence,SAP,"Remote in Bellevue, WA 98004",,Artificial Intelligence (AI) is the foundation for SAP's vision of helping businesses become an Intelligent Enterprise. 8+ years of related work experience.
26,Product Marketing Expert - Artificial Intelligence,SAP,"Remote in Bellevue, WA 98004",,Artificial Intelligence (AI) is the foundation for SAP's vision of helping businesses become an Intelligent Enterprise. Experience coaching team members.
27,"Sr. WW GTM Spec, IoT Solutions, WW IoT GTM Specialists","Amazon Web Services, Inc.","Seattle, WA",,"10+ years of business development, enterprise sales, strategic partnerships, or program/product management experience.BS in computer science, or engineering."
28,"Data Governance, Advisory Data & AI Tech Specialist - West:...",IBM,"Seattle, WA 98101 (Downtown area)+2 locations",,"These country teams have client relationship managers who lead integrated teams of consultants, solution specialists and delivery professionals to enable…"
29,"Full Stack Development, Specialist Master - Applied AI",Deloitte,"Seattle, WA 98104 (Downtown area)",,"At Deloitte you will manage and deliver components of client engagements that identify, design, and implement technology and creative business solutions for…"
30,"Data Governance, Advisory Data & AI Tech Specialist - West:...",IBM,"Seattle, WA 98101 (Downtown area)+2 locations",,"These country teams have client relationship managers who lead integrated teams of consultants, solution specialists and delivery professionals to enable…"
31,"Full Stack Development, Specialist Master - Applied AI",Deloitte,"Seattle, WA 98104 (Downtown area)",,"At Deloitte you will manage and deliver components of client engagements that identify, design, and implement technology and creative business solutions for…"
32,"Senior Program Manager, Compute Specialist Org","Amazon Web Services, Inc.","Seattle, WA",,3+ years of program management experience.3+ years of experience partnering effectively with geographically dispersed or ad-hoc teams.
33,Core Technology Operations - Application Lifecycle Managemen...,Deloitte,"Seattle, WA 98104 (Downtown area)",,"You will work with global functional and technical teams on engagements that leverage a high degree of automation, the latest technologies and cut across…"
34,"Sr. WW IoT GTM Specialist , WW IoT GTM Specialists","Amazon Web Services, Inc.","Seattle, WA",,"10+ years of business development, enterprise sales, strategic partnerships, or program/product management experience.BS in computer science, or engineering."
35,Core Technology Operations - Application Lifecycle Managemen...,Deloitte,"Seattle, WA 98104 (Downtown area)",,"You will work with global functional and technical teams on engagements that leverage a high degree of automation, the latest technologies and cut across…"
36,Solution Architect/Technical Sales Specialist: Microsoft,Capgemini,"Seattle, WA+1 location",,"Solution Architect/Technical Sales Specialist: Microsoft.With its strong 50-year heritage and deep industry expertise, Capgemini is trusted by its clients to…"
37,ENROLLMENT SPECIALIST,Seattle Indian Health Board,"Seattle, WA 98144 (Little Saigon area)",,Seattle Indian Health Board (SIHB) has an outstanding opportunity for an Enrollment Specialist.The Enrollment Specialist position supports SIHB efforts to…
38,QA and ML Data Labeling Specialist at Series A Startup,Recruiting From Scratch,"Remote in Seattle, WA 98105+1 location",,They are shifting the entire landscape of data protection technology through automation and machine learning.Develop and improve QA and data labeling workflows…
39,SUBSTANCE USE DISORDER PROFESSIONAL,Seattle Indian Health Board,"Seattle, WA 98144 (Little Saigon area)",,The Substance Use Disorder Professional (SUDP) is responsible for the delivery of effective SUD counseling services.Perform case management services as needed.
40,"Domain Expert, East/South East Asia",Dataminr,"Remote in Seattle, WA",,"Dataminr puts real-time AI and public data to work for our clients, generating relevant and actionable alerts for global corporations, public sector agencies,…"
41,"Domain Expert, MENA",Dataminr,"Remote in Seattle, WA",,"Dataminr puts real-time AI and public data to work for our clients, generating relevant and actionable alerts for global corporations, public sector agencies,…"
42,"Domain Expert, Cyber Risk",Dataminr,"Remote in Seattle, WA",,"Dataminr puts real-time AI and public data to work for our clients, generating relevant and actionable alerts for global corporations, public sector agencies,…"
