,title,company,location,salary,summary
0,newData Science Researcher,Shell,"Bengaluru, Karnataka",,"As Data Science Researcher, you will work hands-on across project teams focusing on research and implementation of Data Science models on different Shell Assets…"
1,newAI Engineer,Intel,"Hybrid remote in Bengaluru, Karnataka",,"Building high-performance Machine Learning applications.Building simulation solutions (platforms, and related infrastructure)."
2,newSystems Modelling Researcher,Shell,"Bengaluru, Karnataka",,Systems Modelling capability is a key enabler in multiscale modelling in computational science and responsible for providing critical input towards design and…
3,"Machine Learning Intern, Core ML",Skit.ai,"Temporarily Remote in Bengaluru, Karnataka",,"Its suite of speech and language solutions enable enterprises to automate their contact centre operations.Design, build and evaluate Machine Learning systems."
4,Student Intern – Access™,Altair Engineering,"Bengaluru, Karnataka",,"Access provides a simple, powerful, and consistent interface for submitting and monitoring jobs on remote clusters, clouds, and other resources, allowing…"
5,newSIEM - Admin,IBM,"Bengaluru, Karnataka",,Responsible for security researcher to provide insight and understanding of new and existing information security threats.
6,newUX Researcher,BeingUser,"Bengaluru, Karnataka",,"User Research, Usability testing, Product and Design Research.Glance is the world’s first screen zero platform, enabling consumers to experience the best of…"
7,newUX Researcher,Mantra Labs,"Bengaluru, Karnataka",,"Ideally, the candidate should have a minimum of a 6-year of experience in UX research and analysis of consumer-facing products."
8,Applied Machine Learning Researcher,Microsoft,"Bengaluru, Karnataka",,MCDS Research is a shared service within MCDS that drives impact and innovation using state-of-the-art Machine Learning (ML) and strives to push the boundaries…
9,Machine Learning Researcher,Skit.ai,"Temporarily Remote in Bengaluru, Karnataka",,"Along the way, you get to publish in prestigious ML conferences and work with a strong community of researchers from the field."
10,newResearcher High Performance Computing,Shell,"Bengaluru, Karnataka",,Shell is currently assembling a technical team of extremely talented and passionate computational scientists to realize the company’s full digital potential.
11,AI Academic Liaison and Research Evangelist,MathWorks,"Hybrid remote in Bengaluru, Karnataka",,"Engage with professors, researchers, and industry to advance the use of MATLAB for AI applications.You will draw on your technical and academia expertise, to…"
12,newSIOC: Security and Privacy consultant,IBM,"Bengaluru, Karnataka",,Collaborate with other cyber threat researchers based on subject matter expertise.Prior experience working as a cyber threat researcher or analyst.
13,Security Researcher,Siemens Technology and Services Private Limited,"Bengaluru, Karnataka",,"You will conduct research that will yield new insights, theories, analysis, data, algorithms, and help secure the systems and software."
14,Research Specialist,Accenture,"Bengaluru, Karnataka",,Develops structured research insights beyond the data.Is involved in writing articles / reports and/or preparation of client events/meetings.
15,Data Scientist,Microsoft,"Bengaluru, Karnataka",,"Excellent communication skills and the ability to collaborate in a multi-disciplinary team consisting of Service Engineers, Software Engineers, Program Managers…"
16,Research Associate Manager,Accenture,"Bengaluru, Karnataka",,Mentors more junior researchers and demonstrates ability to lead and support small project research teams.Manages projects and complex analysis independently.
17,DX/UX Researcher,Intel,"Bengaluru, Karnataka",,"The DX Researcher will be responsible for designing and executing research to identify software developer workflows, pinpoint opportunities to fulfil unmet…"
18,"Pre-Doctoral Researcher, University Graduate (Fixed-Term Con...",Google,"Bengaluru, Karnataka",,"As a Pre-Doctoral Researcher, you will collaborate with researchers, scientists and engineers at Google Research working on fundamental research and applied…"
19,Deep Learning Engineers - INTERNSHIP,Conxai Technologies GmbH,"Bengaluru, Karnataka",,"We are building the first NO-CODE AI PLATFORM for the construction industry, with the 3rd generation Explainable AI, that allows users to create complex use…"
20,newApplication Developer: Mobile,IBM,"Bengaluru, Karnataka",,"Collaborate with researchers, engineers and product managers throughout design process - from creating research protocols, personas, scenarios, information…"
21,Research Scientist,IBM,"Bengaluru, Karnataka",,"As a research scientist in the area of intelligent business process automation, you will explore problems related to Enterprise AI technologies for process…"
22,newDirector - Innovation and Design,WELLS FARGO BANK,"Bengaluru, Karnataka",,"Collaborates with researchers in academia to make bank ready for the future.Involve in idea management, rapid prototyping, startup partnership and other…"
23,newUser Researcher,IBM,"Bengaluru, Karnataka",,"Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…"
24,Developer Experience Researcher,Intel,"Bengaluru, Karnataka",,You must be hands-on and have the needed mix of UX skills and leadership qualities to enroll your technical colleagues in pursuing developer experience…
25,Data Scientist - AI Developer,SAP,"Bengaluru, Karnataka",,"By exploring unconventional ideas and developing inspiring proofs of concept, we push the state of the art in computer science and its applied fields to provide…"
26,AI Frameworks Validation Engineer,Intel,"Hybrid remote in Bengaluru, Karnataka",,"Optimizes code for various computing hardware backends, and interacts with machine learning and/or deep learning researchers, and utilizing experience with…"
27,Associate Analyst,Vectra,"Bengaluru, Karnataka",,Vectra's threat detections are powered by a deep understanding of attacker methods and problem-optimized AI algorithms.Open source development a plus.
28,Malware Researcher,cloudsek,"Remote in Bengaluru, Karnataka",,"XVigil - Our SaaS-based product XVigil, helps clients assess security in real-time from the perspective of an attacker, 24 hours a day, seven days a week."
29,Lead/Principle Machine Learning Engineer & Researcher,Square Root Consulting,"Bengaluru, Karnataka",,"As a Data Scientist & ML Engineer you will have the responsibility of creating and leveraging the state-of-the-art algorithms in machine learning, deep learning…"
30,Design Researcher,IBM,"Bengaluru, Karnataka",,Visualization is critical to discovering data-driven insights and effectively communicating that knowledge to others.Participate in the IBM Design Chapter.
31,Research Engineer,IBM,"Bengaluru, Karnataka",,"Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…"
32,Applied ML engineer,sybill,"Bengaluru, Karnataka",,"3+ years of experience as an ML engineer, data scientist, CV/NLP researcher, or in a related role.Sybill joins your calls with you and provides insights into…"
33,Research Software Engineer,IBM,"Bengaluru, Karnataka",,"Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…"
34,VoIP Engineer,Skit.ai,"Bengaluru, Karnataka",,"Diagnose, troubleshoot, resolve quality issues related to VoIP and telephony platforms and applications.Collaborate with the team to contribute on design and…"
35,Artificial Intelligence Researcher - Freshers,BigSpire Software,"Bengaluru, Karnataka",,"Skill Sets: Should have a good communication skills, knowledge in AI concepts and analytical skills Qualifications: Bachelor or Masters degree in Business…"
36,AI Data Foundation Research Engineer,Hewlett Packard Enterprise,"Bengaluru, Karnataka",,"We expect all our researchers to provide thought leadership and technical influence both internally and externally to HPE, as well as take innovative ideas and…"
37,Senior Threat Intelligence Analyst,ZeroFOX,"Bengaluru, Karnataka",,"Using our proprietary hybrid intelligence platform, we focus on analyzing the world of threat intelligence & vulnerabilities and providing detailed analysis and…"
38,AI/ML Specialist / Architect,Bosch Group,"Bengaluru, Karnataka",,Consumer Goods and Building Technology.The expectation is for the identified candidate to lead a group of AI/ML resources to bring the right fit methodologies…
