,title,company,location,salary,summary
0,newMIT-IBM Watson AI Lab Supplemental Researcher,IBM,"Cambridge, MA 02138 (West Cambridge area)",,"Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…"
1,Associate Director - Threat Intelligence Researcher - Remote,Novartis,"Remote in Cambridge, MA 02139",,"The Novartis Cyber Center is a cyber security research center, aims to provide the company’s security leadership with the most advanced analysis of cyber…"
2,AI Psychometric Researcher,Pearson,"Boston, MA 02133 (Back Bay-Beacon Hill area)",,Pearson is seeking a research scientist versed in psychometrics to support its automated scoring business.The position includes the opportunity to direct and…
3,newResearch Assistant II,Boston Children's Hospital,"Boston, MA",,"Attends courses, lectures and conferences to further own knowledge of research and laboratory techniques, consulting with other researchers and technicians to…"
4,Human-Centric AI Research Scientist,Toyota Research Institute,"Cambridge, MA 02139 (Kendall Square area)",,"You can identify, propose, and lead new research projects, working in collaboration with other researchers and engineers to complete it from initial idea to…"
5,"Lead, Machine Learning Engineering & AI Research",1910 Genetics,"Boston, MA",,"At 1910 Genetics, we put computation at the heart of drug discovery, blending expertise in computational chemistry, structural biology, pharmacology, genetics,…"
6,Postdoctoral Associate,MIT,"Cambridge, MA 02139 (MIT area)+1 location",,"Eligible candidates will be part of a postdoctoral cohort program for Black, Latino/a, Indigenous, and first-generation scholars with other researchers from UC…"
7,"Manager, Clinical AI/ML",Pfizer,"Cambridge, MA",,"Worldwide Research, Development, and Medical (WRDM) is recruiting a team experienced in clinical uses of artificial intelligence (AI), machine learning (ML) and…"
8,Research Scientist or Senior Research Scientist,Analog Devices,"Boston, MA",,"The Algorithmic Systems Group within Analog Garage creates advanced algorithms in the fields of signal processing, computer vision, machine learning, artificial…"
9,Data Scientist,"Amazon Dev Center U.S., Inc.","Boston, MA",,"You will be working in a fast-paced, cross-disciplinary team of researchers who are leaders in the field.Currently enrolled or recently completed a graduate…"
10,"Research Scientist, Vision",Facebook App,"Boston, MA",,"Experience holding a faculty, industry, or government researcher position.Individuals in this role are expected to be recognized experts in identified research…"
11,"Data Scientist - STEM Ideas Rotational Program - Boston, MA...",IDBS,"Boston, MA 02210 (South Boston area)",,"IDBS is a leading global provider of advanced software for research and development organizations to securely capture, manage, share, and exploit structured and…"
12,Software Engineer,Massachusetts General Hospital(MGH),"Boston, MA 02114 (West End area)",,"Providing support to neurology researchers to develop and implement data-analyses.This will foster collaborative infrastructure, tools for working with medical…"
13,"Director, AI Solutions Factory & Residency Program",Northeastern University,"Boston, MA",,"Will manage IEAI resources (data scientists and engineers) as well as researchers, postdocs and faculty across NU."
14,Research Scientist,Northeastern University,"Boston, MA",,"Experience managing and/or working with multiple researchers, technical staff, post-docs, and doctoral students in an interdisciplinary environment;"
15,SLAM and Perception Engineer,Adaviv,"Somerville, MA 02143",,Our data calibration and plant localization is one of the most important areas in our state-of-the-art Plant-level Intelligence Platform.
16,Experience Designer - Conversation Design,Bank of America,"Boston, MA 02110 (Downtown area)",,"The team is constantly iterating, solving problems, and working together to find ways all our digital platforms can empower customers to reach their financial…"
17,"AI/ML - ML Researcher (Speech Recognition), Siri and Languag...",Apple,"Cambridge, MA",,"You'll work with engineers and researchers combining rich industrial experiences, strong research background, and software engineering in a collaborative and…"
18,Data Engineer,Massachusetts General Hospital(MGH),"Boston, MA 02114 (West End area)",,"Providing support to neurology researchers to develop and implement data-analyses.This will foster collaborative infrastructure, tools for working with medical…"
19,Research Consultant,Medidata Solutions,"Boston, MA 02116 (South End area)",,"Drive problem-solving with product owners, researchers, data scientists, and other stakeholders to identify the analytics needed to answer client questions and…"
20,Data Scientist,Vectra AI,"Boston, MA",,Vectra's threat detections are powered by a deep understanding of attacker methods and problem-optimized AI algorithms.
21,newQuantitative Investment Sciences Associate,HarbourVest Partners,"Boston, MA 02111 (Downtown area)",,"As part of the Quantitative Investment Sciences (QIS) team, the QIS Associate will work closely with researchers and developers to conduct quantitative…"
22,"newVisiting Researcher, Statistics & Privacy",Facebook App,"Boston, MA",,"Challenges include machine learning from anonymous and aggregate signals, estimating the long-term value of an ad to a user, and developing robust estimators to…"
23,Artificial Intelligence Researcher,MIT Lincoln Laboratory,"Lexington, MA",,"The group’s speech and language processing research and development (R&D) efforts include automatic speech recognition, speaker recognition, language and…"
24,Program Manager II,Microsoft,"Boston, MA 02199 (Back Bay area)",,"As a product manager for Responsible AI tooling team, you will build state-of-the-art responsible AI tools with Microsoft and academic researchers, and…"
25,"AI/ML - Machine Learning Engineer, Siri and Language Technol...",Apple,"Cambridge, MA",,"You will be a part of a small, collaborative team of talented researchers and engineers responsible for improving Siri ASR accuracy and performance."
26,"Visiting Scholar Research Scientist, Robotics Research",Toyota Research Institute,"Cambridge, MA 02139 (Kendall Square area)",,"Collaborate with our diverse team of internal engineers and researchers.An ideal candidate has a strong track record of leading independent research efforts,…"
27,Deep Learning Research Fellow,Massachusetts General Hospital(MGH),"Charlestown, MA 02129",,"Work collaboratively with a highly motivated and collegial team of physicians, clinical researchers, computer scientists, and engineers to solve important…"
28,Research Scientist: AI and Machine Learning,Raytheon Intelligence & Space,"Cambridge, MA 02138 (Cambridge Highlands area)",,Our Analytics & Machine Intelligence team is looking for inquisitive and energetic researchers that seek to apply their knowledge of Artificial Intelligence and…
29,Data Science Engineer,MIT,"Cambridge, MA 02139 (MIT area)",,Responsibilities include helping researchers develop large-scale neural network models of perception and cognition; translating computational algorithms into…
30,"Technical Program Manager, AI Operations",Iterative Scopes,"Cambridge, MA",,"The Technical Program Manager, AI Operations is accountable for overseeing clinical operations activities for Iterative Scopes Research and Development projects…"
31,Research Faculty,Northeastern University,"Boston, MA",,"In response to the shortage of researchers trained in AI, Northeastern seeks research faculty at all levels from computer science and other fields related to…"
32,Associate Director of Research Development,Northeastern University,"Boston, MA",,"The individual will be an integral member of the team, helping researchers to (1) identify and analyze foundation, industry, and government funding…"
33,MAIDAP Data Scientist: Full Time Opportunities for PhD Gradu...,Microsoft,"Cambridge, MA",,"Located at the Microsoft New England Research and Development Center (NERD), the Microsoft AI Development Acceleration Program (MAIDAP) is hiring BS, MS, and…"
34,Artificial Intelligence and Robotics Technical Lead for Busi...,Aurora Flight Sciences,"Cambridge, MA 02138 (West Cambridge area)",,Collaborate with researchers and engineers at Aurora and Boeing to transfer knowledge and technology.The engineer will join Aurora’s business development…
35,Machine Learning HPC Specialist,The Trustees of Tufts College,"Remote in Somerville, MA 02144",,"In addition, the position will assess and implement new technologies to support researchers in all departments across the university who are developing data…"
36,Writer - IBM Research,IBM,"Cambridge, MA 02138 (West Cambridge area)",,"Provide guidance and support to marketing, communications, business development, and researchers.The writer bridges the gap between science and story."
37,newSenior Epidemiologist - Watson Health,IBM,"Remote in Cambridge, MA 02138+1 location",,"Collaborate with subject matter experts and teams of researchers, research leaders, programmers, analysts, and statisticians through the organization to design…"
38,Hardware Security Researcher,MIT Lincoln Laboratory,"Lexington, MA",,The Cyber-Physical Systems Group conducts research to understand the cybersecurity implications of these physical interfaces and develop prototypes that…
39,newData Engineer - Lab Informatics,"Flagship Pioneering, Inc.","Cambridge, MA 02142 (Kendall Square area)",,The company's platform incorporates AI/ML tools to learn the tRNA language and deliver diverse programmable molecules with broad therapeutic potential.
40,Principal Scientist,Charles River Analytics,"Cambridge, MA",,You will connect to and collaborate with researchers at top universities and research labs to create the next generation of AI technologies.
41,Product Marketing Associate,Aiforia Technologies Plc,"Boston, MA 02203 (Central area)",,"Aiforia is a forward-thinking, international company focused on improving the efficiency, consistency and quality of tissue diagnostics and medical image…"
42,"Customer Success Manager, Provider Network",Iterative Scopes,"Cambridge, MA+1 location",,"We’ve set out to drastically improve clinical decision making while meaningfully improving patient lives through better diagnosis, disease management, and…"
43,Postdoctoral Associate - Getz Lab,Broad Institute,"Cambridge, MA 02142 (Kendall Square area)+1 location",,"Present results to a variety of audiences, including non-computational researchers.We envision this team member taking a lead role in (i) examining genomic…"
44,newData Science Team Leader,Pagaya Investments,"Boston, MA",,"We’re looking for a technical leader who can direct data science projects, delegate tasks in order to manage team workloads and mentor junior researchers…"
45,AI/ML Research Scientist- Autonomous Systems,Aurora Flight Sciences,"Cambridge, MA 02138 (West Cambridge area)",,Collaborate with researchers and engineers at Aurora and Boeing to transfer knowledge and technology.Support the rapid development of innovative prototypes to…
46,Training Specialist,Iterative Scopes,"Cambridge, MA",,This role is critical in shaping the annotation strategy and developing artificial intelligence algorithms in the gastroenterology space to impact the next…
47,Principal Research SDE,Microsoft,"Cambridge, MA",,"This job requires a broad set of developer and program management skills.As a team member of Azure Cognitive Services, you will participate and initiate in…"
48,Product Owner,Medidata Solutions,"Boston, MA 02116 (South End area)",,"Medidata is leading the digital transformation of life sciences, creating hope for millions of patients.The role will define product requirements, support…"
49,Postdoctoral Research Associate,Northeastern University,"Boston, MA",,We are seeking a postdoctoral researcher who can immediately join an NSF Future of Work project on enabling human-machine teaming through intelligent extended…
50,Computer Vision - Applied Scientist,Amazon.com Services LLC,"Cambridge, MA",,"Graduate degree (MS or PhD) in Computer Science, Electrical Engineering, Mathematics or Physics.Minimum 3+ years of research experience or 2+ years of work…"
51,Autonomous System Designer,Aurora Flight Sciences,"Cambridge, MA 02138 (West Cambridge area)",,Collaborate with researchers and engineers at Aurora and Boeing to transfer knowledge and technology.The Autonomous System Designer brings years of experience…
52,Tech Staff,MIT Lincoln Laboratory,"Lexington, MA",,"The group’s research and development activities span a wide spectrum including concept development, advanced algorithms development, prototyping, experimental…"
53,newData Engineer - Lab Informatics,Alltrna,"Cambridge, MA",,The company's platform incorporates AI/ML tools to learn the tRNA language and deliver diverse programmable molecules with broad therapeutic potential.
54,"Data Scientist/Senior Data Scientist, AI/ML",ImmuneID,"Waltham, MA 02451",,"As a key member of the Science team, the successful candidate will contribute to the development and application of state-of-the-art machine learning and…"
55,Research Assistant/Associate/Full Professor - Institute for...,Northeastern University,"Boston, MA",,"Ability to serve as supervisor and instruct undergraduate, graduate students and junior researchers.For the ranks of Research Associate Professor and Research…"
56,"Research Director, Value Based Healthcare IT Transformation...","International Data Group, Inc.","Remote in Needham, MA 02494",,"Participate in survey design and analysis, collaborating with IDC’s primary researchers to develop, execute, and publish relevant survey findings."
57,Data Engineer (To Support Cancer Researchers),Dana-Farber Cancer Institute,"Remote in Boston, MA 02215",,"We are seeking intelligent, hard-working, and dynamic individuals to serve as Data Engineer within the AI Operations and Data Science Services group - a group…"
58,Software Engineer,Moderna,"Norwood, MA 02062",,"The Research & Clinical team is expanding a suite of custom applications focused on experiment design, data capture, and results analysis that will enable our…"
59,Principal Researcher,Microsoft,"Cambridge, MA",,"This job requires a broad set of developer and program management skills.As a team member of Azure Cognitive Services, you will participate and initiate in…"
60,"Principal Specialist, AI/ML Frameworks","Amazon Web Services, Inc.","Boston, MA",,"7+ years of business development, product management, management consulting, strategic partnerships, or enterprise sales experience."
61,newSenior Data Scientist,Northeastern University,"Boston, MA",,"This role collaborates with researchers and data scientists from various fields including Applied Analytics, Bioinformatics, Biotechnology, Computer Science,…"
62,"Senior User Experience Designer (Acorn AI, a Medidata Compan...",Medidata Solutions,"Boston, MA 02116 (South End area)",,"Medidata is leading the digital transformation of life sciences, creating hope for millions of patients.As a UX designer, you will support ongoing development…"
63,External Partnership Manager,Iterative Scopes,"Cambridge, MA",,This position will report to the Senior Vice President of Scientific and Regulatory Affairs and be critical to executing our medical and scientific strategies…
64,Senior Engagement Lead,Medidata Solutions,"Boston, MA 02116 (South End area)",,"Medidata is leading the digital transformation of life sciences, creating hope for millions of patients.In this role, you will engage with clients throughout…"
65,"Assistant Professor, Information Design and Data Visualizati...",Northeastern University,"Boston, MA",,Ideal candidates will be accomplished designers and researchers in graphic/information design and data visualization with interest and expertise in data driven…
66,Sr. Data Scientist,Peapod Digital Labs,"Hybrid remote in Quincy, MA 02169",,"You will have also to have access to word class academics though our partnerships and joint contracts with universities, as well as our staff of PhDs and…"
67,Associate Staff - Machine Learning Algorithm Developer,MIT Lincoln Laboratory,"Lexington, MA",,"We specialize in collecting and processing a wide range of data types — including radar, video, imagery, text, point cloud, transactional, and body-worn sensor…"
68,"Senior Consultant, Artificial Intelligence Strategic Growth...",Deloitte,"Boston, MA 02116 (Back Bay area)",,Support market facing activities including relations with market researchers and clients.This role is for a full-time AI SGO Senior Consultant who will play a…
69,Senior Engagement Consultant,Medidata Solutions,"Boston, MA 02116 (South End area)+1 location",,"Drive problem-solving with product owners, researchers, data scientists, and other stakeholders to identify the analytics needed to answer client questions and…"
70,Applied Scientist,"Amazon Dev Center U.S., Inc.","Boston, MA",,"Currently enrolled or recently completed a graduate degree program (either MS or PhD) in Electrical Engineering, Computer Science, Computer Engineering,…"
71,Sr. Software Engineer,Moderna,"Cambridge, MA 02139 (The Port area)",,"The Research & Clinical team is expanding a suite of custom applications focused on experiment design, data capture, and results analysis that will enable our…"
72,"Senior Applied Scientist, Alexa AI",Amazon.com Services LLC,"Cambridge, MA",,PhD degree with 4 years of applied research experience or a Masters degree and 6+ years of experience of applied research experience.
