,title,company,location,salary,summary
0,"Researcher, Disney Research Imagineering",Disney Research,"Glendale, CA",,"And is organized around core platforms that enable rapid integration, evaluation, communication and transfer of research concepts and results to the business."
1,Machine Learning Scientist - Remote,UnitedHealth Group,"Remote in Los Angeles, CA 90002+1 location",,"Our team conducts cutting-edge research in the health care space and incubates data-driven digital solutions which aim to improve patients’ health outcomes,…"
2,"Senior AI/ML Research Scientist, Disney Research Imagineerin...",Walt Disney Imagineering,"Glendale, CA",,"Artificial intelligence/Machine Learning/Data Analytics.And is organized around core platforms that enable rapid integration, evaluation, communication and…"
3,"System Administrator, Augmented Reality Data Capture Infrast...",Google,"Los Angeles, CA (Venice area)",,"Experience working with and communicating needs to hardware test engineers, hardware engineers, software engineers, and researchers to improve and maintain…"
4,Research Scientist,RWS,"Los Angeles, CA 90045 (Westchester area)",,"PhD or equivalent experience in computer science, engineering, statistics, machine learning, mathematics, or in another highly quantitative field."
5,Computer Vision - Applied Scientist,"Amazon Dev Center U.S., Inc.","Pasadena, CA+1 location",,"Currently enrolled or recently completed a graduate degree program (either MS or PhD) in Electrical Engineering, Computer Science, Computer Engineering,…"
6,Principal Research Scientist,System1,"Remote in Los Angeles, CA",,This is a senior individual contributor role focused on driving research and development of new cutting-edge machine learning and artificial intelligence…
7,Data Scientist - IS Clinical Research,Keck Medical Center of USC,"Los Angeles, CA 90015 (Downtown area)",,"The incumbent will work closely with USC researcher teams to design analysis specifications, including input data specifications, data cleaning, algorithms, and…"
8,Autonomous Vehicle Systems Optimization Lead,Deloitte,"Los Angeles, CA 90013 (Downtown area)",,Collaborate with AI applied researchers and leaders to build future-proof infrastructure using new technologies.
9,Information Scientist,RAND Corporation,"Los Angeles, CA",,"RAND conducts technical research across national/homeland security and socio-economic policy areas that leverages data science, examines communications…"
10,newPrincipal Research Scientist – Optics & Design Science,Northrop Grumman,"Manhattan Beach, CA 90266",,Experience as a researcher in Advanced Materials & Devices or closely related discipline.Experience as a researcher in topics such as: nanotechnology for…
11,Lead User Experience Researcher,SprintRay,"Los Angeles, CA 90065 (Mount Washington area)",,We have an amazing opportunity for a CX individual to work both with software and hardware products.This role will lead our product team in the methods of…
12,Research Engineer - Audio Algorithms,Oculus,"Los Angeles, CA 90230",,"We are developing all the technologies needed to enable breakthrough AR glasses and VR headsets, including optics and displays, computer vision, audio, graphics…"
13,Research Computer Scientist - Artificial Intelligence Divisi...,USC,"Marina del Rey, CA 90292",,Projects are critically accelerated by research programmers and Ph.D. and M.S. students.Serves as key research scientist and authority in specialized field(s)…
14,(Experience Strategy & Design Director – Service Design) Mar...,Anthem,"Woodland Hills, CA 91367",,"Discovery: generate deep customer insights about the targeted experience in cooperation with design and market researchers, data scientists, and others."
15,Artificial Intelligence for Planetary Science Discovery in L...,National Aeronautics and Space Administration...,"Pasadena, CA",,"The science targets selected for discovery should be motivated by current, relevant questions that advance our understanding of planet surface dynamics and…"
16,Micro/Nano Fabrication Engineer,California Institute of Technology,"Pasadena, CA 91125 (Pasadena area)",,"The engineer will interact daily with the device research & design team comprising the project PI, engineering staff, and academic researchers."
17,"Design Engineer, Snap Lab",Snapchat,"Los Angeles, CA 90291 (Venice area)",,Work with user researchers to test new ideas and iterate on feedback.Push the limits of AR on wearable devices and create innovative user experiences and…
18,"Applied Science Manager, AWS AI: Computer Vision","Amazon Dev Center U.S., Inc.","Pasadena, CA+1 location",,"Experience hiring, growing and retaining researchers.PhD in computer science, mathematics or related discipline with focus on computer vision or machine…"
19,"Senior Consultant, Artificial Intelligence Strategic Growth...",Deloitte,"Los Angeles, CA 90013 (Downtown area)",,Support market facing activities including relations with market researchers and clients.This role is for a full-time AI SGO Senior Consultant who will play a…
20,Lead Data Engineer,Disney Media & Entertainment Distribution,"Santa Monica, CA",,Our team is seeking a senior software developer for BI who will be an outstanding addition and leading development for data warehouse and business intelligence…
21,Silicon Partnership Manager,Oculus,"Los Angeles, CA 90230",,"Responsibilities include negotiating and driving development agreements to close, identifying new partners, and building strategic relationships with key…"
22,Senior Ultra-Low Temperature Physicist,California Institute of Technology,"Pasadena, CA 91125 (Pasadena area)",,"The successful candidate will interact daily with the project PI, and the device research & design team comprising the engineering staff, and academic…"
23,"Technical Product Manager, Employer Core",Rain Instant Pay,"Remote in Los Angeles, CA+1 location",,"Collaborate with engineers, data scientists, and user researchers to analyze patterns and trends and identify new opportunities to improve data ingestion and…"
24,Principal Machine Learning Engineer,Disney Streaming,"Remote in Burbank, CA",,"Responsible for providing an ontology for labeling, training, and implementing a new neural face model.Lead development of dataset augmentation to increase…"
25,Quantitative Researcher,Recruiting From Scratch,"Remote in Los Angeles, CA 90013+2 locations",,"Our client is looking for highly motivated and adaptable individuals to work with us in delivering on their vision.BA/MA, BS/MS, or PhD in a technical field."
26,Associate Researcher,Age of Learning,"Temporarily Remote in Glendale, CA 91203",,"Work with researchers to write reports, briefs, and conference papers.Support data analysis (quantitative and qualitative) in research studies in partnership…"
27,newSeeking: Director Of E-commerce - Huge Growth Opportunity!,TH Genesis,"El Segundo, CA 90245",,"This position will be working with, and managing copywriters, PPC managers, media buyers, email marketing specialists, researchers, and Project Managers."
28,newResearch Analyst,Ipsos North America,"Culver City, CA",,The intersection of tech and digital makes it possible to capture every aspect of the human experience.This can happen either passively through social and…
29,Data Analyst,Affine,"Los Angeles, CA",,"Affine has been a provider of analytical solutions, working with global organizations solving their strategic and day to day business problems."
30,newVP of Engineering,Aware Healthcare,"Remote in Los Angeles, CA",,"AJ Goldstein is the Founder and CEO of Aware Healthcare.Prior to Aware, AJ founded and ran a six-figure profitable AI consulting group called Conscious…"
31,Director of Perception/Prediction,Motional,"Santa Monica, CA 90401 (Downtown/Third Street Promenade area)",,"In this role you will shape the design of our Vision, Lidar, Radar, Tracking and Predictions systems and have a huge direct impact on the autonomy vehicle…"
32,Data Analyst,Affine,"Los Angeles, CA",,"Affine has been a provider of analytical solutions, working with global organizations solving their strategic and day to day business problems."
33,"Senior Privacy Engineer, Cybersecurity",Motional,"Santa Monica, CA 90401 (Downtown/Third Street Promenade area)",,You will use your expertise in privacy and your technical skills to build privacy into Motional's products.Stay abreast of the evolution of privacy regulations…
34,"Senior Software Engineer, Cybersecurity",Motional,"Santa Monica, CA 90401 (Downtown/Third Street Promenade area)",,"We're looking for a software engineer specialized in cybersecurity to partner with developers to help design, implement, and test secure solutions."
35,Senior Automated Driving Safety Engineer,Motional,"Santa Monica, CA 90401 (Downtown/Third Street Promenade area)",,The Automated Driving Safety Engineer will work across multiple sites as a strong contributor in the application of the global safety standards and requirements…
36,Sr. Accounting Manager,Citrine informatics,"Los Angeles, CA",,"The ideal candidate has a strong understanding of US GAAP, is comfortable preparing financial statements, is experienced with B2B enterprise-level SAAS revenue…"
37,Research Engineer (Computer Graphics) - US,Flawless AI,"Santa Monica, CA+5 locations",,"Good communication skills to collaborate in a team with researchers, ML engineers, and VFX artists.Demonstrable research experience (academic or industry) with…"
38,Associate Researcher,Age of Learning,"Temporarily Remote in Glendale, CA 91203",,"Work with researchers to write reports, briefs, and conference papers.Support data analysis (quantitative and qualitative) in research studies in partnership…"
39,newSeeking: Director Of E-commerce - Huge Growth Opportunity!,TH Genesis,"El Segundo, CA 90245",,"This position will be working with, and managing copywriters, PPC managers, media buyers, email marketing specialists, researchers, and Project Managers."
40,newResearch Analyst,Ipsos North America,"Culver City, CA",,The intersection of tech and digital makes it possible to capture every aspect of the human experience.This can happen either passively through social and…
41,Data Analyst,Affine,"Los Angeles, CA",,"Affine has been a provider of analytical solutions, working with global organizations solving their strategic and day to day business problems."
42,Solutions Engineer,Recruiting From Scratch,"Remote in Los Angeles, CA 90013+2 locations",,"Our client exists to change the face of analytics computing; to accelerate performance, scale, and simplicity for data-intensive applications."
43,newVP of Engineering,Aware Healthcare,"Remote in Los Angeles, CA",,"AJ Goldstein is the Founder and CEO of Aware Healthcare.Prior to Aware, AJ founded and ran a six-figure profitable AI consulting group called Conscious…"
44,Director of Perception/Prediction,Motional,"Santa Monica, CA 90401 (Downtown/Third Street Promenade area)",,"In this role you will shape the design of our Vision, Lidar, Radar, Tracking and Predictions systems and have a huge direct impact on the autonomy vehicle…"
45,"Senior Software Engineer, Cybersecurity",Motional,"Santa Monica, CA 90401 (Downtown/Third Street Promenade area)",,"We're looking for a software engineer specialized in cybersecurity to partner with developers to help design, implement, and test secure solutions."
46,"Senior Privacy Engineer, Cybersecurity",Motional,"Santa Monica, CA 90401 (Downtown/Third Street Promenade area)",,You will use your expertise in privacy and your technical skills to build privacy into Motional's products.Stay abreast of the evolution of privacy regulations…
47,Senior Automated Driving Safety Engineer,Motional,"Santa Monica, CA 90401 (Downtown/Third Street Promenade area)",,The Automated Driving Safety Engineer will work across multiple sites as a strong contributor in the application of the global safety standards and requirements…
48,"Research Scientist (Computer Graphics, PhD) - US",Flawless AI,"Santa Monica, CA+2 locations",,"Ph.D. or Postdoctoral researcher in Visual Computing, Computer Graphics, or related fields.Research experience with a strong publication record in major…"
49,Research Engineer (Computer Graphics) - US,Flawless AI,"Santa Monica, CA",,"Good communication skills to collaborate in a team with researchers, ML engineers, and VFX artists.Demonstrable research experience (academic or industry) with…"
50,Research Engineer (Computer Vision) - US,Flawless AI,"Santa Monica, CA",,Demonstrable 3+ years research experience (academic or industry) with Deep Learning and Computer Vision in at least five of the following:
51,Research Engineer (Audio-Visual Learning) - US,Flawless AI,"Santa Monica, CA",,"Good communication skills to collaborate in a team with researchers, ML engineers, and VFX artists.Demonstrable 3+ years research experience (academic or…"
52,Sr. Accounting Manager,Citrine informatics,"Los Angeles, CA",,"The ideal candidate has a strong understanding of US GAAP, is comfortable preparing financial statements, is experienced with B2B enterprise-level SAAS revenue…"
53,Associate Researcher,Age of Learning,"Temporarily Remote in Glendale, CA 91203",,"Work with researchers to write reports, briefs, and conference papers.Support data analysis (quantitative and qualitative) in research studies in partnership…"
54,newSeeking: Director Of E-commerce - Huge Growth Opportunity!,TH Genesis,"El Segundo, CA 90245",,"This position will be working with, and managing copywriters, PPC managers, media buyers, email marketing specialists, researchers, and Project Managers."
55,newResearch Analyst,Ipsos North America,"Culver City, CA",,The intersection of tech and digital makes it possible to capture every aspect of the human experience.This can happen either passively through social and…
56,Data Analyst,Affine,"Los Angeles, CA",,"Affine has been a provider of analytical solutions, working with global organizations solving their strategic and day to day business problems."
57,Solutions Engineer,Recruiting From Scratch,"Remote in Los Angeles, CA 90013+2 locations",,"Our client exists to change the face of analytics computing; to accelerate performance, scale, and simplicity for data-intensive applications."
58,newVP of Engineering,Aware Healthcare,"Remote in Los Angeles, CA",,"AJ Goldstein is the Founder and CEO of Aware Healthcare.Prior to Aware, AJ founded and ran a six-figure profitable AI consulting group called Conscious…"
59,Director of Perception/Prediction,Motional,"Santa Monica, CA 90401 (Downtown/Third Street Promenade area)",,"In this role you will shape the design of our Vision, Lidar, Radar, Tracking and Predictions systems and have a huge direct impact on the autonomy vehicle…"
60,"Senior Software Engineer, Cybersecurity",Motional,"Santa Monica, CA 90401 (Downtown/Third Street Promenade area)",,"We're looking for a software engineer specialized in cybersecurity to partner with developers to help design, implement, and test secure solutions."
61,"Senior Privacy Engineer, Cybersecurity",Motional,"Santa Monica, CA 90401 (Downtown/Third Street Promenade area)",,You will use your expertise in privacy and your technical skills to build privacy into Motional's products.Stay abreast of the evolution of privacy regulations…
62,Senior Automated Driving Safety Engineer,Motional,"Santa Monica, CA 90401 (Downtown/Third Street Promenade area)",,The Automated Driving Safety Engineer will work across multiple sites as a strong contributor in the application of the global safety standards and requirements…
63,"Research Scientist (Computer Graphics, PhD) - US",Flawless AI,"Santa Monica, CA+2 locations",,"Ph.D. or Postdoctoral researcher in Visual Computing, Computer Graphics, or related fields.Research experience with a strong publication record in major…"
64,Research Engineer (Computer Graphics) - US,Flawless AI,"Santa Monica, CA",,"Good communication skills to collaborate in a team with researchers, ML engineers, and VFX artists.Demonstrable research experience (academic or industry) with…"
65,Research Engineer (Computer Vision) - US,Flawless AI,"Santa Monica, CA",,Demonstrable 3+ years research experience (academic or industry) with Deep Learning and Computer Vision in at least five of the following:
66,Research Engineer (Audio-Visual Learning) - US,Flawless AI,"Santa Monica, CA",,"Good communication skills to collaborate in a team with researchers, ML engineers, and VFX artists.Demonstrable 3+ years research experience (academic or…"
67,Sr. Accounting Manager,Citrine informatics,"Los Angeles, CA",,"The ideal candidate has a strong understanding of US GAAP, is comfortable preparing financial statements, is experienced with B2B enterprise-level SAAS revenue…"
68,Associate Researcher,Age of Learning,"Temporarily Remote in Glendale, CA 91203",,"Work with researchers to write reports, briefs, and conference papers.Support data analysis (quantitative and qualitative) in research studies in partnership…"
69,newSeeking: Director Of E-commerce - Huge Growth Opportunity!,TH Genesis,"El Segundo, CA 90245",,"This position will be working with, and managing copywriters, PPC managers, media buyers, email marketing specialists, researchers, and Project Managers."
70,newResearch Analyst,Ipsos North America,"Culver City, CA",,"Ipsos is the world’s third largest market research company, present in 90 markets and employing more than 18,000 people.ISIN code FR0000073298, Reuters ISOS."
71,Solutions Engineer,Recruiting From Scratch,"Remote in Los Angeles, CA 90013+2 locations",,"This is an opportunity to work with the creators of the first auto-parallelization compiler technology, which has long been a “holy grail” for researchers…"
72,newVP of Engineering,Aware Healthcare,"Remote in Los Angeles, CA",,_TL;DR: Fast-growing early-stage mental health tech startup seeking an experienced engineering leader to build and lead Aware's engineering organization.
73,Director of Perception/Prediction,Motional,"Santa Monica, CA 90401 (Downtown/Third Street Promenade area)",,"The Motional team is made up of engineers, researchers, innovators, dreamers and doers, who together are creating a first-of-its-kind technology with the…"
74,Data Analyst,Affine,"Los Angeles, CA",,Affine Analytics (www.affineanalytics.com) is a privately owned Global Advanced Analytics and AI Service Provider.Track and report team hour.
