,title,company,location,salary,summary
0,AI Researcher - London,"JPMorgan Chase Bank, N.A.",London,,You will work on multiple research projects in collaboration with internal and external researchers and with applied engineering teams.
1,Full Time Opportunities - AI Researcher,Microsoft,Cambridge,,"Using a combination of high-throughput sequencing data, functional assays and state-of-the-art machine learning methods at scale, we are learning to decode the…"
2,Clinical Researcher,Behold.ai,London,,Location: London We are seeking a Clinical Researcher to join our organisation to work alongside our Clinical Research Lead to deliver ground-breaking…
3,"Associate Software Engineer, Explainable AI (XAI)","JPMorgan Chase Bank, N.A.",London,,"Provide real-time visualizations for analysis by traders, researchers and risk managers.Great interpersonal skills and able to interface with data scientists,…"
4,newAI Researcher - DRL for Power Markets,Shell,London,,We have an exciting position for an AI Researcher to join the Deep Reinforcement Learning (Deep RL) group which forms part of the GM-ship of Artificial…
5,Explainable AI Researcher - London XAI Centre of Excellence...,"JPMorgan Chase Bank, N.A.",London,,You will work on multiple research projects in collaboration with internal and external researchers and with applied engineering teams.
6,AI/ML Fellowship,GSK,London,,"In addition, the researcher will learn about the pharmaceutical industry and software engineering, and translate their research into tools that aid discovery…"
7,Social Media Researcher,Meltwater,London,,"As a Social Media Researcher, you will work at the cross line between Client Directors and Research Managers at Linkfluence."
8,newJunior UX Researcher,Sentieo,Remote in London,,Our Design & Insights team drives the experience vision to make Sentieo the most intuitive and attractive financial research platform on the market.
9,NLP Algorithm Researcher,BeyondMinds,London,,"M.Sc. degree in Computer Science, Engineering, Data Science, Bioinformatics, or a related discipline.Understanding of both classic and modern NLP techniques,…"
10,"Postdoctoral Researcher (AI), PhD University Graduate",Facebook App,London,,"Facebook is seeking a Postdoctoral Researcher to join Facebook AI Research (FAIR), a research organization focused on making significant progress in AI."
11,ESG Researcher,Richmond Global Sciences (RGS),London,,The successful candidate will research the social and environmental impacts of products in specific industries and design assessment frameworks to derive…
12,"Technical Program Manager, AI",Facebook App,London,,Experience working with external researchers and research institutions.Facebook is seeking a Technical Program Manager (TPM) with research/research-to…
13,newMachine Learning Researcher,Microsoft,Cambridge,,Undertake cutting-edge machine learning research to drive better human-in-the-loop systems.Write research code to test new approaches or develop novel…
14,AI Researcher (Fairness) - Executive Director / Vice Preside...,"JPMorgan Chase Bank, N.A.",London,,They pursue primary research in areas related to our research pillars as well as concrete problems related to financial services.
15,AI Specialist - Research Scientist,Meta,London,,"Experience holding a faculty, industry, or government researcher position.Individuals in this role are expected to be recognized experts in identified research…"
