,title,company,location,salary,summary
0,Researcher - Plaintext Group,Schmidt Futures,"New York, NY",,We are seeking “Computer Science + policy” researchers to help build a next-generation technical strategy group from the ground up to solve this by producing…
1,Research Scientist/Postdoctoral Researcher,New York University,"Brooklyn, NY",,Faculty in the Computer Science and Engineering Department (https://engineering.nyu.edu/academics/departments/computer-science-and-engineering) at NYU Tandon…
2,"AI/ML - Machine Learning Researcher, Information Intelligenc...",Apple,"New York, NY",,We are a group of engineers and researchers responsible for information intelligence at Apple.Demonstrated expertise in deep learning with publication record…
3,Quantitative Researcher,SEVEN EIGHT CAPITAL,"New York, NY",,BS / MS from top tier university with a focus on Statistics / Applied Math / Computer Science / Machine Learning & AI / Engineering.
4,Facebook AI Research Lead,Facebook App,"New York, NY+1 location",,"Directly support the research engineering, research science and product teams.Be part of AI org leadership reporting into VP of AI."
5,Quantitative Researcher,Hum Capital,"New York, NY",,Investors on Hum’s platform gain investment insights and a personalized deal flow built on company data they can trust.
6,"Human Effects UX Researcher , Human Effects",Amazon.com Services LLC,"New York, NY",,5+ years of hands-on experience conducting customer and market research in an applied setting.Passion and track record of using qualitative + quantitative data…
7,Senior UX Researcher,Shortcut,"Remote in New York, NY",,"Thousands of the fastest-growing software companies use Shortcut to plan and build software, including Glossier, Venmo, Daitaku, Scale AI, FullStory,…"
8,AI Research Natural Language Processing Scientist- Senior As...,"JPMorgan Chase Bank, N.A.","New York, NY+3 locations",,You will work on multiple research projects in collaboration with internal and external researchers and with applied engineering teams.
9,Something in Residence,Runway AI,"New York, NY",,"Open for creative collaborations with researchers and programmers.We are interested in all creative backgrounds from painting, music and literature to creative…"
10,AI Research Scientist,Meta,"New York, NY+3 locations",,"Experience holding a faculty, industry, or government researcher position.Meta is seeking Research Scientists to join fundamental and applied research teams,…"
11,Data Scientist,Amazon.com Services LLC,"New York, NY",,"You will be part of a small group tasked with implementation of sophisticated models on big data, and will contribute to the research community, by working with…"
12,"Quantum Research Scientist (Yorktown Heights, NY or San Jose...",IBM,"New York, NY 10001 (Chelsea area)",,"IBM Quantum is an industry first initiative to build universal quantum computers for business, engineering and science.12 weeks of paid parental bonding leave."
13,AI Engineer,Sony AI America Inc.,"New York, NY 10010 (NoMad area)",,Work closely with AI researchers and other programmers on ambitious demonstration projects.Write code to support research programs and contribute to our AI…
14,AI Researcher (Fairness) - Executive Director / Vice Preside...,"JPMorgan Chase Bank, N.A.","New York, NY",,They pursue primary research in areas related to our research pillars as well as concrete problems related to financial services.
15,Data Scientist,Amazon.com Services LLC,"New York, NY",,"You will be part of a small group tasked with implementation of sophisticated models on big data, and will contribute to the research community, by working with…"
16,"Research Engineer, AI (University Grad)",Facebook App,"New York, NY+1 location",,You will need to engage with research topics and cover new domains quickly; build deep expertise with Facebook data and tools; apply high standards to the…
17,Post Doc Researcher – FATE – Microsoft Research,Microsoft,"New York, NY+1 location",,The Postdoctoral Researcher will have the opportunity to pursue their own research agenda while interacting with prominent researchers and practitioners.
18,"Engineering Manager, Content Intelligence",Spotify,"Remote in New York, NY",,"Contribute to our team-wide product ideation in collaboration with other engineering leaders, engineers, researchers, product managers, and subject-matter…"
19,newCommunications and Marketing Manager - Hasso Plattner Instit...,Mount Sinai,"New York, NY",,Develop and implement a strategic communications plan whose objective is to elevate the visibility and impact of the research and researchers of the Department…
20,"newDirector, Data Scientist",Memorial Sloan Kettering Cancer Center,"New York, NY 10017 (Turtle Bay area)",,"A COVID-19 booster, after 2 doses of either the Pfizer or Moderna vaccine or one dose of the Johnson & Johnson vaccine, isn’t required at this time but is…"
21,Post Doc Researcher – Machine Learning (Interdisciplinary) –...,Microsoft,"New York, NY",,"Postdoc researchers receive a competitive salary and benefits, and are eligible for relocation benefits.As a postdoc, you define your own research agenda in…"
22,"Staff Machine Learning Engineer, Content Intelligence",Spotify,"Remote in New York, NY",,"We are looking for a Staff Engineer to help us define and build Spotify’s Music Knowledge Graph.The team is composed of product, machine learning, data and…"
23,Cryptography Research Engineer,Cape Privacy,"Remote in New York, NY",,Stay current on the latest multi-party computation research.Work with research team members to express MPC primitives as efficient algorithms for…
24,AI Researcher (Fairness) - Executive Director / Vice Preside...,"JPMorgan Chase Bank, N.A.","New York, NY",,They pursue primary research in areas related to our research pillars as well as concrete problems related to financial services.
25,Applied Scientist,"Amazon Dev Center U.S., Inc.","New York, NY+1 location",,"Currently enrolled or recently completed a graduate degree program (either MS or PhD) in Electrical Engineering, Computer Science, Computer Engineering,…"
26,Machine Learning Engineer II,Memorial Sloan Kettering Cancer Center,"New York, NY 10017 (Turtle Bay area)",,"Our AI/ML team brings together a world-class team of doctors, researchers, data scientists, and engineers to understand cancer to enable the best patient care…"
27,"Financial Analyst -Corporate Finance, Healthcare DX, Special...",Siemens Healthineers,"Tarrytown, NY 10591",,"As a Financial Analyst for NAM DX Finance, Specialty Segment, you will be responsible for:You will perform financial analysis and reporting for DX Specialty…"
28,"Conversation Designer, Assistant",Facebook App,"New York, NY",,"Collaborate with PMs, engineers, art team, researchers and content strategists to oversee the user experience of a product from conception until launch (and…"
29,Research Consultant,Medidata Solutions,"New York, NY 10014 (West Village area)",,"Drive problem-solving with product owners, researchers, data scientists, and other stakeholders to identify the analytics needed to answer client questions and…"
30,Data Scientist,Caden,"New York, NY 10013 (Tribeca area)",,Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
31,Applied Scientist,"Amazon Dev Center U.S., Inc.","New York, NY+1 location",,"Currently enrolled or recently completed a graduate degree program (either MS or PhD) in Electrical Engineering, Computer Science, Computer Engineering,…"
32,Principal UX Researcher (remote option available),ADP,"Remote in New York, NY 10011+2 locations",,You're on a constant mission to understand them better by analyzing research data and asking key questions that inform our product and design decisions.
33,Front-End Software Engineer,Cape Privacy,"Remote in New York, NY",,Collaborate with Product and UX design team on user interface specifications.Collaborate with software engineers on design and development of user interface…
34,AI Research Natural Language Processing Scientist- Senior As...,"JPMorgan Chase Bank, N.A.","New York, NY+3 locations",,You will work on multiple research projects in collaboration with internal and external researchers and with applied engineering teams.
35,"Senior User Experience Designer (Acorn AI, a Medidata Compan...",Medidata Solutions,"New York, NY 10014 (West Village area)",,"Medidata is leading the digital transformation of life sciences, creating hope for millions of patients.As a UX designer, you will support ongoing development…"
36,"newDirector, Data Scientist",Memorial Sloan Kettering Cancer Center,"New York, NY 10017 (Turtle Bay area)",,"A COVID-19 booster, after 2 doses of either the Pfizer or Moderna vaccine or one dose of the Johnson & Johnson vaccine, isn’t required at this time but is…"
37,newQuantum Qiskit Advocates Program Manager (Any US Location),IBM,"New York, NY 10001 (Chelsea area)",,"IBM Quantum is an industry first initiative to build universal quantum computers for business, engineering and science.12 weeks of paid parental bonding leave."
38,"Quantum Research Scientist (Yorktown Heights, NY or San Jose...",IBM,"New York, NY 10001 (Chelsea area)",,"IBM Quantum is an industry first initiative to build universal quantum computers for business, engineering and science.12 weeks of paid parental bonding leave."
39,Product User Experience Designer,NANOTRONICS IMAGING INC,"Brooklyn, NY 11205 (Fort Green area)",,"Partner with product managers, engineers, and researchers to define great experiences from initial concept through successful implementation."
40,newInnovation Manager,Medidata Solutions,"New York, NY 10014 (West Village area)",,"Medidata is leading the digital transformation of life sciences, creating hope for millions of patients.Our team is composed of PhD/Masters statisticians, data…"
41,newQuantitative Research - Volatility Systematic Trading - Vice...,"JPMorgan Chase Bank, N.A.","New York, NY",,The QR Systematic Trading group is looking for a quantitative researcher for the Equity Derivatives Flow business.
42,Machine Learning Engineer II,Memorial Sloan Kettering Cancer Center,"New York, NY 10017 (Turtle Bay area)",,"Our AI/ML team brings together a world-class team of doctors, researchers, data scientists, and engineers to understand cancer to enable the best patient care…"
43,"Data Science Director, Ads AI",Meta,"New York, NY",,"Drive product development with a team of world-class engineers, data scientists, researchers, and other functional experts."
44,"Director, Product",Kinship,"New York, NY (Astoria area)",,"Adopt-a-Pet, the destination for finding homes for homeless pets; we help animal shelters, humane societies, SPCAs, pet rescue groups, and pet adoption agencies…"
