,title,company,location,salary,summary
0,newDeep Learning/AI Scientist,Illumina,"Hybrid remote in San Francisco Bay Area, CA",,Hours are flexible and requests for full or partial remote working will be considered on a case-by-case basis.Expertise in genomics or statistics.
1,newStatistical Geneticist / Bioinformatics Scientist,Illumina,"Remote in San Francisco Bay Area, CA",,Hours are flexible and requests for full or partial remote working will be considered on a case-by-case basis.
2,"newUX Researcher (NY, San Francisco, San Diego, Tempe, Arlingto...",Amazon.com Services LLC,"Remote in San Francisco, CA+1 location",,"Mentor and support junior researchers, be mentored and coached by supportive design and product leaders.We are seeking a motivated and customer-obsessed UX…"
3,Compliance Analyst,"Grammarly, Inc.","Remote in San Francisco, CA 94104",,"To ensure that teams are able to overlap in their working hours and to meet face-to-face when needed, all team members need to live within three time zones of…"
4,Applied Researcher 1 - Ads,eBay Inc.,"San Francisco, CA",,"You will collaborate with researchers to invent, design and implement end-to-end reliable, scalable, efficient production services in Scala/Java, and Python (or…"
5,"Senior AI Scientist, Foundational Machine Learning Research...",Genentech,"Remote in San Francisco, CA",,"Mentor postdoctoral researchers, PhD interns, and full-time scientists.The successful candidate will primarily lead and execute a research program that…"
6,"Clinical Specialist, Google Health",Google,"San Francisco, CA",,"MD and completion of accredited residency in primary care, dermatology, or radiology.5 years of experience in clinical work after the completion of medical…"
7,Creative Developer,OpenAI,"San Francisco, CA",,Collaborate with technical researchers to understand how best to communicate their work to a broad audience.Are experienced in developing websites and creating…
8,"Principal Scientific Researcher, Cellular and Tissue Genomic...",Genentech,"Remote in San Francisco, CA",,The Cellular and Tissue Genomics Department is seeking a highly talented and motivated Principal Scientific Researcher to dissect cellular and tissue circuits…
9,UX Researcher,C3 AI,"Redwood City, CA",,"You have a passion for complex products and tools.You understand the mindset and tasks frequently performed by engineers, data scientists, and analysts."
10,"Engineering Manager, Browser Extensions","Grammarly, Inc.","Remote in San Francisco, CA 94104+1 location",,"To ensure that teams are able to overlap in their working hours and to meet face-to-face when needed, all team members need to live within three time zones of…"
11,Staff UX Researcher,Databricks,"Remote in San Francisco, CA 94105",,"As a User Experience Researcher, you will conduct rigorous, independent user research that drives critical business decisions.The impact you will have:"
12,"Software Engineer lll, User Experience Design, AI, Magenta",Google,"San Francisco, CA+1 location",,"Enable human-in-the-loop research by working with researchers to iteratively design, build, and deploy user interactions as platforms for new research on…"
13,IT Engineer,OpenAI,"San Francisco, CA",,Our Security team to secure and update our endpoints and corporate infrastructure.Our People team (HR and recruiting) to ensure a smooth and automated…
14,"Software Engineer, Machine Learning","Grammarly, Inc.","Remote in San Francisco, CA 94104+1 location",,"In this role, you will work with researchers, engineers, and linguists to create the next generation of writing and communication assistance tools."
15,Wearables Algorithms Research Engineer,Oculus,"Burlingame, CA",,"Lastly, you will also be responsible for the full-stack integration of your work onto our real-time SDKs and systems for the creation of compelling…"
16,"Conversation Designer, Assistant",Facebook App,"Burlingame, CA",,"Collaborate with PMs, engineers, art team, researchers and content strategists to oversee the user experience of a product from conception until launch (and…"
17,"Software Developer - Multiple Roles Available (jr, intermedi...",Kindred,"San Francisco, CA",,"You’ll collaborate cross-functionally with roboticists, software and machine learning developers, researchers, product managers, and mechanical engineers, to…"
18,"Sr. UX researcher (NY, San Francisco, San Diego, Tempe, Arli...",Amazon.com Services LLC,"Remote in San Francisco, CA",,"Mentor and support junior researchers, be mentored and coached by supportive design and product leaders.We are seeking a motivated and customer-obsessed UX…"
19,"Product Manager, Google Research",Google,"San Francisco, CA",,Bachelor's degree in a technical field or equivalent practical experience.7 years of experience in product management or a similar field.
20,Deep Learning Researcher,Dolby,"San Francisco, CA",,Dolby’s Applied AI group is looking for a Deep Learning researcher to contribute to Dolby’s focus on AI and machine learning for audio.
21,Solutions Engineer,"Grammarly, Inc.","Remote in San Francisco, CA 94104",,"Grammarly’s engineers and researchers have the freedom to innovate and uncover breakthroughs—and, in turn, influence our product roadmap."
22,"Staff Machine Learning Engineer, OPS",Standard Cognition,"Remote in San Francisco, CA",,"By replacing cash registers with computer vision-powered checkout, we’re creating a frictionless experience for shoppers."
23,"Software Engineer, Front-End","Grammarly, Inc.","Remote in San Francisco, CA 94104",,"Grammarly’s engineers and researchers have the freedom to innovate and uncover breakthroughs—and, in turn, influence our product roadmap."
24,Fellowship Program/ Machine Learning - AI/ML Engineer,GSK,"San Francisco, CA",,"To help us, we seek up to 10 passionate, early-careers researchers who wish to turn their talents to healthcare, learn about the pharmaceutical industry and…"
25,"newVisiting Researcher, Statistics & Privacy",Facebook App,"San Francisco, CA",,"Challenges include machine learning from anonymous and aggregate signals, estimating the long-term value of an ad to a user, and developing robust estimators to…"
26,"Software Applications Manager (San Fran Bay, CA area)",IBM,"San Francisco, CA",,To think along with clients and sell.Candidates are expected to manage a team of diverse software developers who carry out high-impact quantum theoretical and…
27,"UX Research Lead, Google Research",Google,"San Francisco, CA",,"Mentor and guide experienced user researchers from different technical backgrounds.In this role, you will manage and oversee the work of UX researchers as part…"
28,"newResearch Scientist, Computer Vision",Facebook App,"Burlingame, CA+5 locations",,"Experience holding a faculty, industry, or government researcher position.Individuals in this role are expected to be recognized experts in identified research…"
29,"Director of Design, Document Cloud Sign",Adobe,"San Francisco, CA",,"Adobe is looking for Director of Design for Sign, an e-signatures product in the Document Cloud portfolio.You will lead a group of passionate and hard-working…"
30,"Director of Design, Document Cloud Sign",Adobe,"San Francisco, CA",,"Adobe is looking for Director of Design for Sign, an e-signatures product in the Document Cloud portfolio.You will lead a group of passionate and hard-working…"
31,"Analytical Linguist, Statistical Analysis and System Evaluat...","Grammarly, Inc.","Remote in San Francisco, CA 94104",,"To ensure that teams are able to overlap in their working hours and to meet face-to-face when needed, all team members need to live within three time zones of…"
32,Software Engineer (Machine Learning),Anyscale,"San Francisco, CA",,"Work closely with the open source community (with ML researchers, ML engineers, data scientists) to scope and build new abstractions for scalable machine…"
33,"Software Engineer, Back-End","Grammarly, Inc.","Remote in San Francisco, CA 94104",,"Grammarly’s engineers and researchers have the freedom to innovate and uncover breakthroughs—and, in turn, influence our product roadmap."
34,Lead Clinical Researcher (Remote),Lyra Health,"Remote in Burlingame, CA 94010",,Lyra has developed innovative blended models of coaching and psychotherapy that combine leading clinical expertise with routine outcomes monitoring and engaging…
35,"Software Engineer Lead, Grammarly Business","Grammarly, Inc.","Remote in San Francisco, CA 94104",,"Grammarly’s engineers and researchers have the freedom to innovate and uncover breakthroughs—and, in turn, influence our product roadmap."
36,"Product Designer, Growth","Grammarly, Inc.","Remote in San Francisco, CA 94104",,Collaborate with researchers to deeply understand our users’ needs and drive user empathy and advocacy on the Grammarly Customer Support team.
37,"Sr Experience Designer, AI and Innovation",Adobe,"San Francisco, CA+2 locations",,"Think strategically with foundational expertise in systems design, shaping modern interfaces in the context of the Acrobat ecosystem."
38,Research Engineer - Audio Algorithms,Oculus,"San Francisco, CA 94109 (Western Addition area)",,"We are developing all the technologies needed to enable breakthrough AR glasses and VR headsets, including optics and displays, computer vision, audio, graphics…"
39,Senior/Principal Scientific Researcher: High-Dimensional Cel...,Genentech,"Remote in San Francisco, CA",,"This position requires working with multidisciplinary teams, including researchers and experts from Functional Genomics, AI/ML and data science, and disease…"
40,Senior NLP / ML Researcher,Nerdify,"San Francisco, CA",,"Lead research projects, mentor research engineers, and stay abreast of the latest technologie.Develop AI-platform tools by using a variety of NLP, Machine…"
41,"newSr Staff Designer, Document Cloud",Adobe,"San Francisco, CA",,Adobe Design is seeking a Senior Experience Designer to join our Document Cloud design team to build next-generation experiences for Adobe Sign using powerful…
42,"Sr Experience Designer, ML/AI for Video and Audio",Adobe,"Remote in San Francisco, CA",,"We work with researchers (or conduct our own), from customer discovery to usability testing.Experience working with design researchers or conducting your own…"
43,"Design Manager, Outcomes","Grammarly, Inc.","Remote in San Francisco, CA 94104",,You’ll partner with user experience researchers and product marketers to conduct interviews and user testing.You’ll partner with the rest of the Design team to…
44,newAI Engineer Associate,Volkswagen Group of America,"Belmont, CA 94002 (Downtown area)+1 location",,"This role will be tasked with applying machine learning/deep learning to the automotive industry.This position should be held by a Computer Science Engineer,…"
45,"Research Associate SAN FRANCISCO, CAPERFORMANCE INNOVATION –...",Tonal,"San Francisco, CA",,"Who We Are Tonal is the smartest home gym and personal trainer. It has completely revolutionized the way people work out at home, with its sleek design and…"
46,"Manager, Information Technology (IT)","Grammarly, Inc.","Remote in San Francisco, CA 94104",,Grammarly offers a remote-first hybrid working model. Team members can work primarily remotely. Teams will meet in person every quarter in one of Grammarly’s…
47,"Talent Sourcer (Remote, US)",Vivun,"Remote in Oakland, CA",,"Vivun is the world’s first AI-powered platform for PreSales, unlocking their strategic potential and driving product-field alignment between the technology,…"
48,Machine Learning Researcher,Obsidian Security,"Redwood City, CA 94063",,"Obsidian makes SaaS security simple with an innovative, data driven approach to protecting the SaaS space. The company was founded by veterans in endpoint…"
49,Chief of Staff (CTO Office),Automation Anywhere,"San Francisco, CA 94016",,"Chief of Staff (CTO Office) Automation Anywhere is a global leader in Robotic Process Automation (RPA), empowering customers to automate end-to-end business…"
50,"Peer Reviewers with expertise in biological, chemical, physi...","MIT Press and University of California, Berkeley","Berkeley, CA",,"PEER REVIEWERS WITH EXPERTISE IN BIOLOGICAL, CHEMICAL, PHYSICAL SCIENCES, AND ENGINEERING FOR RAPID REVIEWS: COVID-19 (RR:C19) MIT PRESS AND UNIVERSITY OF…"
51,Robotics Software Engineer - Multiple Roles: Intermediate an...,Kindred,"San Francisco, CA",,"At Kindred, we are on a mission to build human-like intelligence in machines. Since 2014, we've been paving the way for a world filled with more powerful and…"
52,Head of Trust & Safety Operations,OpenAI,"San Francisco, CA",,*About the Team* Trust and Safety is at the foundation of OpenAI’s mission. The goal of the Applied AI team is to turn OpenAI’s technology into useful products…
53,Trust & Safety Operations Engineer,OpenAI,"San Francisco, CA",,*About the Team* Trust and Safety is at the foundation of OpenAI's mission. OpenAI is pushing artificial intelligence to unprecedented scale. The Trust and…
54,AI Senior AI Engineer,Anthem,"San Francisco, CA 94111 (Chinatown area)",,Description SHIFT: Day Job SCHEDULE: Full-time Be part of an extraordinary team! We are looking for leaders at all levels of the organization who are…
55,"Postdoctoral Fellow, Centers for Therapeutic Innovation",Pfizer,"San Francisco, CA",,ROLE SUMMARY Pfizer’s Centers for Therapeutic Innovation (CTI) is an outward facing research unit that partners with leading academic researchers to…
56,"VP, Medical Affairs and Product Vigilance",InterVenn,"South San Francisco, CA 94080",,InterVenn Biosciences is pioneering the application of a new level of understanding of biology by accessing the third – next to nucleic acids and proteins…
57,"UX Researcher, Hardware SAN FRANCISCO, CAPRODUCT – PRODUCT D...",Tonal,"San Francisco, CA",,"Who We Are Tonal is the smartest home gym and personal trainer. It has completely revolutionized the way people work out at home, with its sleek design and…"
58,Senior Scientific Researcher,Genentech,"Remote in San Francisco, CA",,THE POSITION The Analytical Research department (AR) is striving to accelerate the discovery of new medicines by leveraging data generated by high-throughput…
59,"Software Engineer, ML Ops",OpenAI,"San Francisco, CA+2 locations",,"*About the Team* The Applied team safely brings OpenAI's technology to the world. We released the GPT-3 API and Codex, which powers GitHub's Copilot. There's…"
60,Senior NLP / ML Researcher,Nerdify,"San Francisco, CA",,"Lead research projects, mentor research engineers, and stay abreast of the latest technologie.Develop AI-platform tools by using a variety of NLP, Machine…"
61,"Technical Program Manager, Growth","Grammarly, Inc.","Remote in San Francisco, CA 94104+1 location",,"Grammarly’s engineers and researchers have the freedom to innovate and uncover breakthroughs—and, in turn, influence our product roadmap."
62,Robotics Software Engineer - Multiple Roles: Intermediate an...,Kindred,"San Francisco, CA",,"You’ll collaborate cross-functionally with roboticists, software and machine learning developers, researchers, product managers, and mechanical engineers, to…"
63,Head of Trust & Safety Operations,OpenAI,"San Francisco, CA",,Work with researchers and policy makers to improve the alignment of OpenAI models.The Trust and Safety Operations team builds the processes and capabilities to…
64,"Staff Machine Learning Engineer, OPS",Standard Cognition,"Remote in San Francisco, CA",,"By replacing cash registers with computer vision-powered checkout, we’re creating a frictionless experience for shoppers."
65,Product Manager - Automated Ordering,Afresh,"San Francisco, CA",,"You'll work closely with product design, user researcher, machine learning engineers, and iOS engineers to create a holistic experience that works end to end."
66,"newResearch Scientist, Computer Vision",Facebook App,"Burlingame, CA+5 locations",,"Experience holding a faculty, industry, or government researcher position.Individuals in this role are expected to be recognized experts in identified research…"
67,"Director, Product",Kinship,"San Francisco, CA 94118 (Inner Richmond area)",,"Adopt-a-Pet, the destination for finding homes for homeless pets; we help animal shelters, humane societies, SPCAs, pet rescue groups, and pet adoption agencies…"
68,"Software Engineer Lead, Grammarly Business","Grammarly, Inc.","Remote in San Francisco, CA 94104",,"Grammarly’s engineers and researchers have the freedom to innovate and uncover breakthroughs—and, in turn, influence our product roadmap."
69,"Product Manager, Artificial Intelligence/Machine Learning",Facebook App,"San Francisco, CA",,"Facebook Product Managers in Artificial Intelligence (AI)/Machine Learning (ML) work with teams of engineers, state-of-the-art machine learning experts from…"
70,ML Systems Engineer,Oculus,"Burlingame, CA",,Work closely with ML researchers to build a generalized framework for the full ML life cycle for the enhancement of Aria data.
71,"Manager, Information Technology (IT)","Grammarly, Inc.","Remote in San Francisco, CA 94104",,"This role will work with researchers, engineers, and linguists to create the next generation of writing and communication assistance tools."
72,Systems & Platforms Technology R&D Specialist,Accenture,"San Francisco, CA",,"You will be designing, building, and executing projects within the R&D group.This role is focused on building and implementing novel graph algorithms aimed to…"
73,Director of Design,Sirona Medical,"San Francisco, CA",,"Hiring, managing, and developing a talented team of product designers and design researchers.Your focus will be on building a design culture and building cross…"
74,"Communications Manager, Reality Labs Research",Meta,"Burlingame, CA 94010",,RL Research is building the future of connection within virtual and augmented reality.In this role you will drive proactive announcements on some of the…
75,AI Engineer,Volkswagen Group of America - Chattanooga...,"Belmont, CA+1 location",,"This role will be tasked with applying machine learning/deep learning to the automotive industry.This position should be held by a Computer Science Engineer,…"
76,DSP Embedded Engineer,Sigma Industry,"San Francisco Bay Area, CA",,Support ML Engineers and researchers with data access software and tooling.The Client's AR/VR Machine Learning team is looking for an experienced DSP and…
77,"Senior Business Development Manager, Machine Learning Start-...","Amazon Web Services, Inc.","San Francisco, CA",,"Serving as a technical evangelist and AI/ML subject matter expert within AWS and externally, and in particular to ML researchers-turned-founders."
78,Director of Technology,Rakuten Americas,"San Mateo, CA 94402 (Nineteenth Avenue area)",,Experience leading teams of Ph.D. researchers and wireless systems engineers.Rakuten Symphony is chartered to spearhead the global adoption of cloud-native…
79,Director of Design,Sirona Medical,"San Francisco, CA",,"Hiring, managing, and developing a talented team of product designers and design researchers.Your focus will be on building a design culture and building cross…"
80,"Communications Manager, Reality Labs Research",Meta,"Burlingame, CA 94010",,RL Research is building the future of connection within virtual and augmented reality.In this role you will drive proactive announcements on some of the…
81,Wireless Systems Engineer,Rakuten Americas,"San Mateo, CA 94402 (Nineteenth Avenue area)",,Experience working with teams of PhD researchers and systems engineers.Rakuten Symphony is chartered to spearhead the global adoption of cloud-native open RAN…
82,Postdoctoral Scholar - Center for Long-Term Cybersecurity (C...,University of California Berkeley,"Hybrid remote in Berkeley, CA 94720",,"Working on campus at UC Berkeley, the Postdoctoral Scholar will be exposed to a rich network of researchers across disciplines such as information and data…"
83,"Sr Product Designer, Auto & 3P, Amazon Music",Amazon.com Services LLC,"San Francisco, CA",,"Collaborate on and present work to a range of stakeholders – executives, engineers, product managers, business leaders, researchers, other UX and visual…"
84,"Manager, People Analytics - Skills Ecosystem",Meta,"San Francisco, CA 94105 (Financial District/South Beach area)",,"The ideal candidate will have a proven track record in managing a high performing team, developing strengths of individual contributors, strategic and tactical…"
85,Senior/Lead/Principal Data Scientist,Salesforce,"San Francisco, CA 94105 (Financial District/South Beach area)",,"As part of the team, you will play a key role in incorporating artificial intelligence into the CRM product portfolio."
86,"Security Engineer, Detection & Response",OpenAI,"San Francisco, CA",,"As a Security Engineer, you will join our OpenAI engineers and researchers in building, operating and securing transformational AI technologies."
87,newSoftware Engineer Tech Lead - Scalable Backend Systems,Oculus,"Burlingame, CA",,"Collaborate with product managers, ML researchers and ML engineers to design and integrate production grade training and inference pipelines based on modern…"
88,"Microbiology, Scientist",January,"San Carlos, CA 94070",,"Michael Snyder, January AI is the first “precision health” company that combines continuous glucose monitoring along with heart rate, sleep, activity and food…"
89,"Product Manager, Artificial Intelligence/Machine Learning",Facebook App,"San Francisco, CA",,"Facebook Product Managers in Artificial Intelligence (AI)/Machine Learning (ML) work with teams of engineers, state-of-the-art machine learning experts from…"
90,Chief of Staff (CTO Office),Automation Anywhere,"San Francisco, CA 94016",,"8-10+ years of relevant professional experience, including but not limited to Chief of Staff, program manager, researcher and/or partnering with senior…"
91,Trust & Safety Operations Engineer,OpenAI,"San Francisco, CA",,Work with researchers and policy makers to improve the alignment of OpenAI models.The Trust and Safety Operations team builds the tools and processes to…
92,Systems & Platforms Technology R&D Specialist,Accenture,"San Francisco, CA",,"You will be designing, building, and executing projects within the R&D group.This role is focused on building and implementing novel graph algorithms aimed to…"
