,title,company,location,salary,summary
0,"newLanguage Data Researcher, Alexa Communications AI",Amazon.com Services LLC,"Seattle, WA",,"Master’s degree in a related field, such as Linguistics, Cognitive Psychology, Computer-Mediated Communication etc."
1,Senior ML Researcher - App Store Search Ranking - AMP AI/ML,Apple,"Seattle, WA",,Applied researchers collaborate with engineers to constantly test customer facing changes to our underlying algorithms and models.
2,Business Support,Microsoft,"Bellevue, WA",,Microsoft Digital Transformation Studios (DTS) partners with Program Managers and Developers to solve business problems for customers and is part of a growing…
3,"Visiting Scientist, AI",Meta,"Seattle, WA 98109 (South Lake Union area)",,Currently holding a faculty or government researcher position.Term length would be considered on a case-by-case basis.Knowledge in a programming language.
4,Data Scientist - Shipping,eBay Inc.,"Bellevue, WA (Downtown area)",,"Collaborate with other researchers, engineers, and product teams to develop strategic and tactical enhancements to our shipping and trust platforms."
5,Economist,Amazon.com Services LLC,"Seattle, WA+1 location",,"The economist will have access to engineering and econometric tools, as well as Amazon's Scholar Residency Program, which consists of world-class academic…"
6,AI researcher,Qikspace,"Seattle, WA 98104",,"You will work as part of the core team finding new predictive models based on our AI engine, refining the presented solution sets based on vast amounts of…"
7,AI/ML,Apple,"Seattle, WA",,"Partner closely with machine learning engineers, data scientists, analysts, software engineers and researchers to build reliable, distributed data pipelines and…"
8,Principal Researcher,Microsoft,"Bellevue, WA+1 location",,You will also have a lot of opportunities to work with PhD students in the universities and other researchers in Microsoft Research to advance your research…
9,"Mktg Mngr, AI Employer Brand",Amazon.com Services LLC,"Seattle, WA",,"Train and prepare researchers and recruiters to represent the company at external events.7+ years of experience in marketing communications, product marketing…"
10,AI/ML - Data Engineer - Siri and Language Technologies,Apple,"Seattle, WA+1 location",,"Partner closely with machine learning engineers, data scientists, analysts, software engineers and researchers to build reliable, distributed data pipelines and…"
11,Post Doc Researcher - Human-Centered AI - Microsoft Research,Microsoft,"Redmond, WA 98052 (Overlake area)+7 locations",,"We are looking for researchers who can define their own research directions and develop ideas and collaborate with other researchers, engineers, and product…"
12,Cyber Threat Researcher,Microsoft,"Redmond, WA 98052 (Overlake area)+4 locations",,"Partner with engineers, data scientists, and security researchers across teams to identify investments to durably close protection gaps across the kill chain."
13,newSenior Researcher,Microsoft,"Bellevue, WA+5 locations",,Collaborate with world-class researchers and engineers to develop cutting-edge reinforcement learning algorithms to create innovative applications and solutions…
14,Senior User Experience Researcher - Digital & AI,Philips,"Hybrid remote in Bothell, WA",,As a senior leader on the Philips Oral Healthcare (OHC) Product Research Center (PRC) team you have the opportunity to provide mentorship and guide the strategy…
15,AI/ML,Apple,"Seattle, WA",,"Partner closely with machine learning engineers, data scientists, analysts, software engineers and researchers to build reliable, distributed data pipelines and…"
16,Principal Researcher,Microsoft,"Bellevue, WA+2 locations",,You will also have a lot of opportunities to work with PhD students in the universities and other researchers in Microsoft Research to advance your research…
17,Director of Responsible AI Practice,Microsoft,"Redmond, WA 98052 (Overlake area)",,"Applicants should have a desire to work in a highly interdisciplinary environment that includes researchers and practitioners from computer science, statistics,…"
18,Research Scientist,"Amazon Dev Center U.S., Inc.","Seattle, WA",,"You will be working in a fast-paced, cross-disciplinary team of researchers who are leaders in the field.Currently enrolled or recently completed a graduate…"
19,"Mktg Mngr, AI Employer Brand",Amazon.com Services LLC,"Seattle, WA",,"Train and prepare researchers and recruiters to represent the company at external events.7+ years of experience in marketing communications, product marketing…"
20,Senior ML Researcher - App Store Search Ranking - AMP AI/ML,Apple,"Seattle, WA",,Applied researchers collaborate with engineers to constantly test customer facing changes to our underlying algorithms and models.
21,"UX Researcher, Alexa AI","Amazon Data Services, Inc.","Bellevue, WA+4 locations",,"You’re a born collaborator, eager to work side-by-side with high performing multidisciplinary designers, product managers, researchers, ops coordinators, and…"
22,Senior User Experience Researcher - Digital & AI,Philips,"Hybrid remote in Bothell, WA",,As a senior leader on the Philips Oral Healthcare (OHC) Product Research Center (PRC) team you have the opportunity to provide mentorship and guide the strategy…
23,Researcher – Deep Learning – Microsoft Research,Microsoft,"Redmond, WA 98052 (Overlake area)",,"As a researcher in Microsoft Research, you lead your own research agenda and collaborate with other researchers, engineers, and product groups."
24,"Research Scientist, Computer Vision",Facebook App,"Seattle, WA+12 locations",,"Experience holding a faculty, industry, or government researcher position.Individuals in this role are expected to be recognized experts in identified research…"
25,Senior Operations Researcher - Transportation,REI,"Seattle, WA",,REI’s Enterprise Data Science team is seeking a Senior Operations Researcher with deep experience using Data Science and Optimization approaches to solve…
26,"Assistant General Counsel, Office of Responsible AI",Microsoft,"Redmond, WA 98052 (Overlake area)",,"In this role, you will advise on a broad range of cutting-edge legal issues for a team that is at the forefront of building a responsible AI program at scale…"
27,newSENIOR USER RESEARCHER,Microsoft,"Redmond, WA 98052 (Overlake area)+3 locations",,"We thrive to bring useful, usable, familiar and harmonious user experiences which will seamlessly blend into customer’s workflows."
28,"Program Manager, AI Talent Engagement",Amazon.com Services LLC,"Seattle, WA+1 location",,3+ years experience in program or project management.Experience defining program requirements and using data and metrics to determine improvements.
29,"Product Manager, Computer Science and Engineering Education",Google,"Seattle, WA (Fremont area)",,Bachelor's degree in a technical field or equivalent practical experience.7 years of experience in product management or a similar field.
30,Data Scientist,Amazon.com Services LLC,"Seattle, WA",,"The data scientist will have access to engineering and econometric tools, as well as Amazon's Scholar Residency Program, which consists of world-class academic…"
31,Field AI Engineer,Graphcore,"Seattle, WA",,Comfortable in a customer-facing environment and experience working with developers or researchers.Develop strong technical relationships with researchers and…
32,"Director of Public Policy, Office of Responsible AI",Microsoft,"Redmond, WA 98052 (Overlake area)",,"Applicants should have a desire to work in a highly interdisciplinary environment that includes researchers and practitioners from computer science, statistics,…"
33,Applied Scientist (Multimodal),"Amazon Dev Center U.S., Inc.","Bellevue, WA",,"PhD or equivalent Master's Degree plus 4+ years of experience in CS, CE, ML or related field.Experience programming in Java, C++, Python or related language."
34,"AI/ML - Sr. Machine Learning Researcher, MIND",Apple,"Seattle, WA+5 locations",,We are looking for outstanding researchers to work on ambitious artificial intelligence projects that will advance the field and shape intelligence in future…
35,AI/ML DATA SCIENTIST (PROJECT/TEMPORARY),University of Washington,"Seattle, WA 98195 (University District area)",,"Experience engaging with highly technical researchers across a variety of methodological fields, research domains, and computational platforms."
36,Principal Security Engineering Manager,Microsoft,"Redmond, WA 98052 (Overlake area)+3 locations",,"Customer Security Policy & Assurance, Digital Security & Resilience.The mission of Microsoft Digital Security & Resilience (DSR) is to enable Microsoft to…"
37,Senior Operations Researcher/Data Scientist - Supply Chain M...,REI,"Seattle, WA+1 location",,REI’s Enterprise Data Science team is seeking a Senior Operations Researcher with deep experience using Data Science and Optimization approaches to solve…
38,"Technical Program Manager, Hardware Deployment, Project Star...",Google,"Seattle, WA (Fremont area)",,"Bachelor's degree in Engineering, Technology, or equivalent practical experience.5 years of experience in technical program management."
39,"Frontend Engineer, Amazon SageMaker",Amazon.com Services LLC,"Seattle, WA",,Bachelor’s Degree in Computer Science or related field.Equivalent experience to a Bachelor's degree based on 3 years of work experience for every 1 year of…
40,"Research Advisor, Quantitative Evidence & Analysis",Amnesty International,"York, WA",,"Salary grade and benefits will vary country dependent.To help guide Amnesty International's use of quantitative evidence, data, and analysis; provide oversight…"
