,title,company,location,salary,summary
0,Conversational AI Lead,Deloitte,"Chicago, IL 60606 (The Loop area)",,Demonstrable experience designing and/or deploying voice and/or text-based conversational flows for virtual agents or virtual assistants.
1,Graphic Designer,LLT Group,"Remote in Chicago, IL",,"Our designers need to be willing to push creative outside the box regardless of project type or industry.Maintain brand standards, follow style guides, and…"
2,Senior Visual Designer (Remote),SnapTravel,"Remote in Chicago, IL",,5-7 (or more) years in-house or agency creative experience (Bonus points for working within a startup environment).
3,newLead User Experience Designer,Expedia Group,"Chicago, IL",,"Bachelor's or Equivalent Experience; Human-Computer Interaction, User Experience or related Design field or relevant experience professional experience."
4,Conversational AI / Chatbot Developer,Deloitte,"Chicago, IL 60606 (The Loop area)",,"Work with project leadership, project managers, conversational AI architects, developers, UX designers, product managers, and fellow designers to strategize,…"
5,AI Manager,National University,"Chicago, IL",,5 years’ experience designing and enhancing bots or other customer facing automated intelligence/machine learning and self-service experiences required.
6,Conversational AI Data Scientist - Manager,PRICE WATERHOUSE COOPERS,"Remote in Chicago, IL+1 location",,Analyse complex ideas or proposals and build a range of meaningful recommendations.Address sub-standard work or work that does not meet firm's/client's…
7,Senior Solutions Engineer - Remote US,Typeform,"Remote in Chicago, IL",,4 year degree or equivalent work experience required.2-4 Years Solution Engineering experience or consulting experience.
8,UX Designer,Maven Wave,"Remote in Chicago, IL+1 location",,Interest in conversational design; experience a plus.Collaborate closely with visual designers and developers to create well-integrated solutions.
9,Lead Content Designer,Expedia.com,"Chicago, IL",,"5-10 years related professional experience as a content designer or content strategist.Partner with your fellow designers to define the edges, depths, and…"
10,Principal Content Designer,Expedia.com,"Chicago, IL",,Platform or two-sided marketplace experience is a plus!5+ years of demonstrated experience in UX content strategy and/or product content design.
11,Content Designer III,Expedia.com,"Chicago, IL+1 location",,"Bachelor's degree or equivalent, as well as experience in core skills such as UX Writing, Content Audits and Analysis, Content Mapping and Modeling, Content…"
12,newChatbot Developer - Solution Specialist - Location Open,Deloitte,"Chicago, IL 60606 (The Loop area)",,"Bachelor's degree, preferably in Computer Science, Information Technology, Computer Engineering, or related IT discipline; or equivalent experience."
13,newMachine Learning/AI Developer,Deloitte,"Chicago, IL 60606 (The Loop area)+4 locations",,Familiarity with Kubeflow or mlflow.Familiarity with the latest Natural Language Processing or Computer Vision related algorithms.3+ years of IT experience.
14,Copywriter,Flowserve Corporation,"Chicago, IL 60684 (Near West Side area)",,"Transform technical jargon into conversational, approachable language.Experience in a global and/or manufacturing company."
15,Chatbot Administrator,TradeStation,"Chicago, IL 60606 (The Loop area)",,"2+ years of experience with natural language processing.2-4 years of financial services experience.We offer a collaborative and flexible work environment,…"
16,AI/ML Specialist Solutions Architect,"Amazon Web Services, Inc.","Remote in Chicago, IL",,5+ years professional experience in software development in languages related to ML like Python or R. Experience working with RESTful API and general service…
17,"Mining Industry, Analytics Consulting Manager",Accenture,"Chicago, IL",,"Minimum of 5 years developing & optimizing AI/ML models, in recommendation engine, natural language processing, computer vision and deep & classical machine…"
