,title,company,location,salary,summary
0,AI Conversation Designer,Disney Streaming,"Santa Monica, CA",,Knowledge of and experience with natural language understanding.You’ll collaborate with Product Managers to create delightful conversational experiences that…
1,"Language Engineer, Comms AI Language Understanding Experienc...",Amazon.com Services LLC,"Vernon, CA 90058",,"Experience in Perl, Python or another scripting language.Experience working with speech and text language data in multiple languages.A day in the life."
2,newBrand Designer (Remote),SnapTravel,"Remote in Los Angeles, CA",,"When in the office, enjoy daily snack services and unlimited coffee, tea, and other drinks.3-5 years in-house creative or agency creative experience (Bonus…"
3,Freelance Production Assistant,Spectrum,"Santa Monica, CA 90404 (Mid-City area)",,"Journalism or related field or comparable television work experience preferred.Ability to write news in conversational, broadcast style."
4,Senior Brand Designer (Remote),SnapTravel,"Remote in Los Angeles, CA",,5 (or more) years in-house or agency creative experience (Bonus points for working within a startup environment).
5,Conversational AI / Chatbot Developer,Deloitte,"Los Angeles, CA 90013 (Downtown area)",,"Work with project leadership, project managers, conversational AI architects, developers, UX designers, product managers, and fellow designers to strategize,…"
6,newAssociate Data Scientist,Blizzard Entertainment,"Irvine, CA 92618+1 location",,"Experience with cloud computing services like AWS (Amazon Web Service), Azure or Google Cloud.Experience with SQL or NoSQL databases."
7,newSenior Design Manager (North Italia),The Cheesecake Factory,"Calabasas Hills, CA 91301",,Bachelor’s Degree in Architecture or Design.Produce and/or manage the production of the highest quality design presentations for review and approval by…
8,"Jr. Software Developer, Alexa AI",Amazon.com Services LLC,"Santa Barbara, CA",,"Programming experience or coursework with at least one modern language such as Java, C++, or C# including object-oriented design."
9,Senior Chatbot Content Designer,Intuit,"San Diego, CA 92129 (Torrey Highlands area)",,"Strong ability to quantify the impact of proposed or implemented changes.Knowledge of Conversation Designer, Dialogue Flow, or other CUI authoring tools…"
10,"Principal Designer, UX",Ancestry,"Los Angeles, CA",,"10+ years of industry experience as a UX designer, interaction designer, or similar design-related role.Collaborate with other designers to maintain design…"
11,Customer Success Management Consultant,Accenture,"Los Angeles, CA 90013 (Downtown area)+1 location",,"Have hands on experience with artificial intelligence, machine learning and conversational design.Collaborate with visual designers and analytic teams to…"
12,Conversational AI Developer,West Coast University,"Anaheim, CA 92801 (West Anaheim area)",,"Experience working on chatbots, telephony systems, or other conversational AI applications Preferred: Working knowledge with Google Cloud Platform or Microsoft…"
13,"Applied Scientist, Alexa AI",Amazon.com Services LLC,"Manhattan Beach, CA+2 locations",,"Experience in building speech recognition and natural language processing systems.Experience programming in Java, C++, Python or related language."
14,newData Scientist,Core Digital Media,"Los Angeles, CA 90094 (Playa Vista area)",,"BS or higher degree in Applied Statistics, Applied Mathematics, Computational Sciences, or Physics.3+ years of working experience with SQL and one of python,…"
