,title,company,location,salary,summary
0,"Senior Consultant, Natural Language AI Services",AWS EMEA SARL (UK Branch),Hybrid remote in London,,"Drive the creation, adoption, and evolution of reusable customer offerings related to natural language-based solutions and conversational interfaces."
1,Conversation (AI) Designer - Fjord,Accenture,London,,"Your previous experience might include writing Written conversational tone of voice, or brand guidelines.Perhaps you’ve created skills for voice assistants…"
2,newConversational UX Designer,"JPMorgan Chase Bank, N.A.",London,,"Demonstrated experience designing conversational agents and/or voice-activated user interfaces.A background in interaction design for products or services,…"
3,frog - Midweight Service Designer,Capgemini Invent,London,,Design new services from scratch.Experience of service design work that goes beyond the strategy and includes piloting and taking services live would be nice…
4,AI Chatbot Specialist,Computacenter,Hatfield AL10,,Managing pre-sales requests and providing consultancy services.Conduct market research to determine the potential of products and services.
5,"Senior Product Manager - Conversational AI, Amex Digital Lab...",Amex,Hybrid remote in London,,"Passion for digital customer service and membership.Working knowledge of the Conversational AI & Messaging space, including natural language processing…"
6,Designer,Prophet,London,,"Formal design training from a college or university.Knowledge or experience with animation is a plus, but not required."
7,Junior Legal and Product Specialist,Robin AI,Hybrid remote in London,,"You may be searching for your first legal role out of university, or you may have had a couple of years of paralegal experience within law firms or companies."
8,Senior Content Designer,Unit4,London,,"Bachelor's degree in English, Psychology or related fields desired.Experience researching, designing and testing content experiences at a senior or lead level…"
9,London - Long Term Internship 2022 - Data & AI Lab,BNP Paribas,London,,"Strong knowledge of Machine Learning techniques (classification, regression, natural language processing via standard statistical models or neural network)."
10,"2022 Applied Science Internship - Machine Learning, Automate...",Amazon Dev Centre (London) Ltd,London,,"Experience programming in Java, C++, Python or related language.Enrolled in a PhD or Master's degree in Engineering, Computer Science, Machine Learning,…"
11,Senior Brand Designer - Remote Europe,Typeform,Remote in London,,"Experience of multi-channel marketing campaigns, for global SAAS or scale-up companies, or great startups.You'll report to our Sn."
12,"Knowledge Engineer, Alexa AI",Evi Technologies Limited,London,,"Bachelor’s degree (or equivalent), in a quantitative or analytical field.Identify new content opportunities and fill gaps in Alexa’s capabilities by localizing…"
13,Data Scientist,Ralph Lauren,London,,Luxury or fashion sensibility.Relevant experience in Data Science including applied statistics and machine learning techniques (supervised and unsupervised…
14,newMachine Learning Engineer,PwC,London,,Scale out natural language processing models that identify climate change disclosures so that they can make billions of predictions across annual reports.
15,Applied AI / ML Lead - Solutions for Digital & Platform Serv...,"JPMorgan Chase Bank, N.A.",London,,"Expertise with deep learning, tree-based ensembles and / or natural language processing (NLP).Strong ability to develop and debug in Python or similar…"
16,frog - Product Designer (Public Sector),Capgemini Invent,London,,Degree in Digital Product Design or a related design or behavioural science discipline.Document solutions to establish design language systems that influence…
17,AI/ML Embedded Engineer-2,GSK,Brentford,,"Masters or PhD in Computer Science or Applied Math, undergraduate studies in Computer Science and relevant graduate studies in the life sciences with a focus on…"
18,Tech Writer,Expedia Group,London EC1V,,"Write well with a solid foundation in the English language, including spelling, punctuation, and grammar.Work collaboratively with teams of product managers,…"
