,title,company,location,salary,summary
0,"newConversational Commerce Product Manager, Business Messaging",Google,"Hybrid remote in New York, NY",,Experience with messaging platform and/or conversational commerce.Bachelor's degree or equivalent practical experience.
1,newBrand Designer (Remote),SnapTravel,"Remote in New York, NY",,"When in the office, enjoy daily snack services and unlimited coffee, tea, and other drinks.3-5 years in-house creative or agency creative experience (Bonus…"
2,Senior Brand Designer (Remote),SnapTravel,"Remote in New York, NY",,5 (or more) years in-house or agency creative experience (Bonus points for working within a startup environment).
3,Conversational AI Lead,Deloitte,"New York, NY",,Demonstrable experience designing and/or deploying voice and/or text-based conversational flows for virtual agents or virtual assistants.
4,"Conversation Designer, Assistant",Facebook App,"New York, NY",,2+ years experience shipping conversational experiences or AI products.Experience shipping at least 1 conversational or AI product.
5,Trustworthy AI Research Scientist,IBM,"Yorktown Heights, NY+1 location",,"Proven publication track record at top machine learning, speech, vision, or natural language processing conferences and/or high-impact scientific journals."
6,AI Manager,National University,"New York, NY 10170 (Midtown area)",,5 years’ experience designing and enhancing bots or other customer facing automated intelligence/machine learning and self-service experiences required.
7,"Natural Language Processing Specialist (AI), University of F...",Greater New York Metropolitan Area Chapter,"New York, NY",,"The position works with library colleagues, researchers, and educators from throughout the University of Florida community to create, identify, and evaluate…"
8,Data Scientist II - Algorithmic Justice Specialist,ACLU,"Remote in New York, NY 10004+1 location",,"Experience conducting causal inference using natural experiments, administrative data, or other observational methods."
9,"newMarketing Writer, Strategic Products",Wix,"New York, NY+1 location",,"A proficient English speaker with a passion for storytelling.You have several years of professional writing experience, including writing email funnels."
10,newApplied Scientist- AWS AI,Amazon.com Services LLC,"New York, NY+14 locations",,"Experience in building speech recognition, machine translation and natural language processing systems (e.g., commercial speech products or government speech…"
11,Communications Designer,NBCUniversal,"New York, NY 10112 (Midtown area)",,"Bachelor’s degree or equivalent, preferably with a focus in Design, Marketing, or Visual Communications.Animation or edit experience (After Effects, Final Cut)…"
12,Software Development Engineer - AI Natural Language,Amazon.com Services LLC,"New York, NY+13 locations",,Programming experience with at least one software programming language.Bachelor's degree in Computer Science or Electrical Engineering.
13,newTechnical Project Manager-Digital Data and AI Engineering -...,"JPMorgan Chase Bank, N.A.","New York, NY",,Basic understanding of AI/ML concepts through experience or coursework.Technical background or familiarity working with engineers and data scientists towards…
14,Senior AI Services Solution Architect - AI@Edge,"Amazon Web Services, Inc.","New York, NY",,"10+ years' professional experience in software development in languages like Python, Java, or Scala.Experience with AWS SageMaker or other Data Science…"
15,eCornell STEM Instructional Designer,Cornell University,"Temporarily Remote in Ithaca, NY 14853+2 locations",,"As part of the university's comprehensive vaccination program , all Cornell employees are required to have and provide proof of an FDA-or WHO-authorized or…"
16,Sr. Software Engineer - AI Natural Language,Amazon.com Services LLC,"New York, NY+9 locations",,"3+ years of programming experience with at least one modern language such as Java, C++, or C# including object-oriented design."
17,AI/ML Startup Solutions Architect,"Amazon Web Services, Inc.","Remote in New York, NY+3 locations",,5+ years professional experience in software development in languages related to ML like Python or R. Experience working with RESTful API and general service…
18,"newAVP, Sales - KONTXT + Messaging",RealNetworks,"New York, NY 10018 (Clinton area)",,A Degreed professional with at least 5 years’ experience selling complex value-added services solutions.Identifying potential customers and partners for mobile…
19,"Senior Software Engineer, Machine Learning, Google Play",Google,"Hybrid remote in New York, NY+1 location",,"3 years of experience with ML/AI algorithms and tools, deep learning and/or natural language processing.Master's degree or PhD in Computer Science or related…"
20,Data Scientist,Caden,"New York, NY 10013 (Tribeca area)",,"5+ years of industry experience in applying AI/ML, preferably on well-known consumer data products or services."
21,AI/ML Research Scientist (Remote),Pryon Incorporated,"Remote in New York, NY",,"Expertise in one or more of Python, C++, or Java.Experience with one or more of TensorFlow, PyTorch, Theano, or other deep learning toolkit."
22,Web/Graphic Designer,InfinitePays,"Flushing, NY 11354",,"Bachelor’s degree or pursuing a degree in Computer Science, Graphic Design, Digital Arts, Visual Communication or related field (Required)."
23,"Research Engineer, Text-to-Speech and Evaluation",Google,"New York, NY (Chelsea area)",,"Master's degree in Computer Science, a related field, or equivalent practical experience.PhD in Computer Science, Psychology, Linguistics, or a related subject…"
24,Sr UX Designer,Colgate-Palmolive,"New York, NY 10022 (Midtown area)",,Team player who excels at collaboration and enjoys mentoring other designers.Bachelor's degree in design-related topic or equivalent years work experience.
