,title,company,location,salary,summary
0,newSr Content Designer [REMOTE],Braintrust,"Remote in San Francisco, CA",,(This is not a content marketing or SEO role.).We're looking for a motivated and experienced content designer to help us envision and deliver delightful…
1,Senior Brand Designer (Remote),SnapTravel,"Remote in San Francisco, CA",,5 (or more) years in-house or agency creative experience (Bonus points for working within a startup environment).
2,"Conversation Designer, Assistant",Facebook App,"Burlingame, CA",,2+ years experience shipping conversational experiences or AI products.Experience shipping at least 1 conversational or AI product.
3,newLead User Experience Designer,Expedia Group,"San Francisco, CA+1 location",,"Bachelor's or Equivalent Experience; Human-Computer Interaction, User Experience or related Design field or relevant experience professional experience."
4,Head of Product - Conversational AI for Customer Service,GotIt!,"San Francisco, CA",,"Experience in product management for customer service solutions.An ability to work well with designers, engineers, R&D staff, solutions engineers and data…"
5,newMachine Learning Engineer - Natural Language Understanding (...,"Zoom Video Communications, Inc.","Remote in San Francisco Bay Area, CA",,"Build productivity tools and services for Research teams.Undergraduate degree in Computer Science, Electrical Engineering or related degree."
6,AI Manager,National University,"San Francisco, CA 94114 (Castro-Upper Market area)",,5 years’ experience designing and enhancing bots or other customer facing automated intelligence/machine learning and self-service experiences required.
7,newSenior Data Scientist (Natural Language Processing),Slate Technologies,"San Francisco, CA 94104 (Financial District area)",,"Masters or bachelor's degree in computer science or related disciplines.Multi-Cloud experience and proficiency with providers AWS, GCP or Azure."
8,Visual Designer,Moveworks.ai,"San Francisco, CA",,"Evangelize our brand, both internally and externally, as we create a unique and compelling style all our own.Visualize highly technical concepts such as AI and…"
9,"Research Scientist, CGI Character Development",Google,"San Francisco, CA",,"Experience programming in C, C++, and/or Python.Knowledge of Human-Robot Interaction (HRI) or interactive virtual characters."
10,User Experience Designer,Walmart,"San Bruno, CA",,"2 years on 3D, AR, VR or blended reality.5 years’ experience in consumer UX Design, including 2 years on commerce or shopping UX."
11,Lead Content Designer,Expedia.com,"San Francisco, CA",,"Partner with fellow designers to define the edges, depths, and proposed solutions for customer and business problems.(This is not a content marketing role.)."
12,Customer Success Management Consultant,Accenture,"San Francisco, CA+1 location",,"Have hands on experience with artificial intelligence, machine learning and conversational design.Collaborate with visual designers and analytic teams to…"
13,Content Designer III,Expedia.com,"San Francisco, CA+1 location",,"Bachelor's degree or equivalent, as well as experience in core skills such as UX Writing, Content Audits and Analysis, Content Mapping and Modeling, Content…"
14,"Software Engineer, Front End",GameOn Technology,"Remote in San Francisco, CA",,"Experience working with AI, chatbots, or chat applications.We are looking for someone to help us define the relatively new and rapidly evolving space of…"
15,"Mining Industry, Analytics Consulting Manager",Accenture,"San Francisco, CA",,"Minimum of 5 years developing & optimizing AI/ML models, in recommendation engine, natural language processing, computer vision and deep & classical machine…"
16,"Senior Software Engineer, Machine Learning, AR",Google,"San Francisco, CA+2 locations",,"3 years of experience with ML/AI algorithms and tools, deep learning and/or natural language processing.Master's degree or PhD in Computer Science or related…"
17,"Principal Designer, UX",Ancestry,"San Francisco, CA 94107 (Mission Bay area)",,"10+ years of industry experience as a UX designer, interaction designer, or similar design-related role.Collaborate with other designers to maintain design…"
18,Senior User Experience Designer - Redwood Design System,Oracle,"Redwood City, CA 94065 (Marine area)+1 location",,BS or MS degree or equivalent experience relevant to functional area.Typically four years of software engineering or related experience needed.
19,Machine Learning Engineer,Square,"Redwood City, CA",,"Experience in natural language processing and deep learning.With Cash App, anyone can easily send, spend, or invest their money in stocks or Bitcoin."
20,Principal UX Designer,Oracle,"Redwood City, CA 94065 (Marine area)+1 location",,BS or MS degree or equivalent experience relevant to functional area.Typically seven years of software engineering or related experience needed.
21,AI/ML Engineer - Knowledge Graph,GSK,"San Francisco, CA",,"Proficiency in one or more programming languages, including Python, and knowledge of fundamental software engineering principles and NLP/machine learning design…"
22,Principal Content Designer,Expedia.com,"San Francisco, CA",,Platform or two-sided marketplace experience is a plus!5+ years of demonstrated experience in UX content strategy and/or product content design.
23,Senior Product Designer (Remote - US),LucidWorks,"Remote in San Francisco Bay Area, CA",,"Ability to troubleshoot using HTML, CSS and comparable languages is desirable.Lucidworks is seeking a pragmatic and passionate Senior Product Designer who can…"
24,Sr Manager-User Experience Designer,Charles Schwab,"Hybrid remote in San Francisco, CA",,Manage and guide designers to grow their individual needs and team’s capabilities/clout within the organization.Lead design reviews and drive decisions.
25,"Front End Engineer, Antares",Alexa Internet,"San Francisco, CA",,"Practical knowledge of 1 or more core languages (e.g. Java, C++, Python, Ruby, or Node.js).B.S./B.A. degree in Computer Science or Human-Computer Interaction …"
26,"Manager, Information Technology (IT)","Grammarly, Inc.","Remote in San Francisco, CA 94104",,"Has experience with AWS or other cloud offerings (GCP, Azure, etc.).This person will build and optimize machine learning pipelines while creating and…"
