,title,company,location,salary,summary
0,"Conversation Designer, Assistant",Facebook App,"Washington, DC",,2+ years experience shipping conversational experiences or AI products.Experience shipping at least 1 conversational or AI product.
1,Job Captain / Designer,McKissack & McKissack,"Washington, DC 20001 (Downtown area)",,"Participate and/or coordinate during all phases of Project delivery, ensuring the team stays on schedule and executes schematics that conform to the…"
2,"Machine Learning Engineer, Level III – Voice (Speech & NLP)...",Comcast,"Remote in Washington, DC 20005",,"We use advanced ML to build a conversationalvoiceassistantthattranscribes the user’s utteranceandunderstands theirintent, whether they are looking for the…"
3,Data Scientist,Deloitte,"Washington, DC+1 location",,Previous Federal Consulting and/or professional services experience.Must be legally authorized to work in the United States without the need for employer…
4,"Software Development Engineer, Alexa AI Local Information",Amazon.com Services LLC,"Washington, DC",,Programming experience with at least one software programming language.Master's Degree in Computer Science or related field.A day in the life.
5,newWorkforce Analytics Senior Consultant,Deloitte,"Washington, DC",,"5+ years of relevant consulting or industry experience.Must be legally authorized to work in the United States without the need for employer sponsorship, now…"
6,Data Scientist,IBM,"Washington, DC 20001 (Swampoodle area)+1 location",,"Experience and/or proficiency in Machine Learning, Artificial Intelligence, and/or Natural Language Processing.Required Technical and Professional Expertise."
7,Technical Engagement Analyst,Yext,"Washington, DC",,BA/BS degree or similar college level education.Takes pride in providing a high level of service and delivering consistent performance.
8,newTechnical Sales Engineer - AI Apps - Asset Management,IBM,"Washington, DC 20001 (Swampoodle area)",,Experience in reliability engineering or industrial maintenance services.Experience in the software industry with IBM Maximo as a pre-sales or software…
9,newWeb Developer,National Journal,"Hybrid remote in Washington, DC",,"Be well-informed about trends in software development tools, frameworks, programming languages, and workflow, and arrive with opinions you are eager to discuss."
10,Implementation Specialist,NICE CXone,"Remote in Washington, DC",,"2+ years-experience in an implementation / professional services / consulting role.Knowledge of data analysis, SQL, data structures and basic programming…"
11,Sales Engineer (Federal),Dataiku,"Washington, DC",,"Knowledge of Kubeflow, Airflow, or other orchestration tools.Knowledge of Stream Processing concepts and services including Kafka and Amazon SQS."
12,Lead Data Engineer - Patient Data / AI / ML,Change Healthcare,"Washington, DC",,"Programming experience in one or more modern programming languages such as Java, Python, Scala, or C++.Inspiring and empowering - possess influencing skills…"
13,"Director of Technology, Digital Strategy Implementation and...","Palladium Group, Inc.","Washington, DC",,"Must have at a minimum of ten (10) years of experience applying technology, strengthening cybersecurity and/or promoting digitalization within the development…"
14,"Senior Associate Modeler, AI / NLP",KPMG,"Washington, DC 20006 (Dupont Circle area)+1 location",,"At KPMG, any partner or employee must be fully vaccinated or test negative for COVID-19 in order to go to any KPMG office, client site or KPMG event."
15,Associate Technical Engagement Manager,Yext,"Washington, DC",,"Takes pride in providing a high level of service and delivering consistent performance.BA/BS degree in any subject area, or similar college level education."
16,newClient Engineering Sr. Cloud Engineer (REMOTE),IBM,"Remote in Washington, DC 20001",,"Engineer solutions in areas such as cloud foundation, cloud services, cloud management applications, machine learning, computational linguistics, natural…"
17,newSoftware Engineer (NLP) – Comcast Applied AI & Discovery,Comcast,"Washington, DC 20005 (Logan Circle area)",,Experience with REST web services and Micro service frameworks like Spring Boot.Experience with programming in Kotlin and/or Python.
18,newTechnical Specialist - Digital Business Automation (mid-Atla...,IBM,"Washington, DC 20001 (Swampoodle area)",,Experience with modern scripting languages.Working knowledge of directory services and permissions management.To think along with clients and sell.
