,title,company,location,salary,summary
0,Web Designer / Web Developer / HTML5 Developer: 1099,Artisan Crew Engineering (ACE),"Los Angeles, CA",,"Illustrator, Design for web, Photoshop, Flash, InDesign, HTML, CSS, Dreamweaver, Mac & Windows OS, MS Office etc."
1,Game Designer,TRIPP,"Los Angeles, CA",,"Create, test, and tune gameplay balance throughout the product life-cycle.Create and run global live events and new game content."
2,Front-End Web Designer & Developer,DRUM WORKSHOP INC,"Hybrid remote in Los Angeles, CA",,Collaborate with the team to realize creative ideas and campaigns.Develop and support marketing creative concepts and implementation.
3,Web Designer/Developer (Union Rescue Mission),Union Rescue Mission,"Los Angeles, CA 90013 (Downtown area)",,"The Web Designer/Developer will be responsible for revamping website, improving donor experience and integrations for digital and local event campaigns across…"
4,"Creative Technologist, Creative Shop Labs",Meta,"Los Angeles, CA 90066 (Del Rey area)",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
5,Associate Creative Technologist - Twitter Next Lab,Twitter,"Los Angeles, CA",,"Participate in brainstorming sessions, providing technical as well as creative inputs.As an Associate Creative Technologist, you combine technical know-how…"
6,Game Designer - Weapons (Apex Legends),Electronic Arts,"Los Angeles, CA",,Apex Legends is looking for a Game Designer who will help us create exciting and innovative new weapons and loot.Understanding of game feel and polish.
7,"Product Marketing Manager, Developer Platform Integrity",Facebook App,"Los Angeles, CA",,"This role will be responsible for driving market requirements into product planning to inform the development of tools, surfaces and systems that developers use…"
8,Technical Director - Game Team,SKYDANCE,"Los Angeles, CA 90036 (Mid Wilshire area)",,"Lead a team of engineers as part of a cross-disciplinary game development team.Coordinate with Creative Director, Art Director, Senior Producer and other…"
9,Unreal Engine Technical Director,The Third Floor,"Los Angeles, CA 90036 (Mid Wilshire area)",,"Excellent communication skills at all levels, both on a technical and creative basis.The Third Floor is looking for an Unreal Engine TD for an immersive…"
10,Full Stack Web Technical Lead - Project Delivery Specialist,Deloitte,"Los Angeles, CA 90013 (Downtown area)",,As an experienced Technical Lead you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of…
11,"Software Engineer II - Developer Connections, Creative Depar...",Riot Games,"Los Angeles, CA 90064 (Sawtelle area)",,"In this role, you will work with your fellow engineers and product leaders to assess the technical needs of Riot's creative and game teams and help deliver a…"
12,Game Designer,Tencent,"Los Angeles, CA",,"Design peripheral systems of the product, including but not limited to around game system, progression system, social module and monetization, etc."
13,"newTechnical Game Designer II - Teamfight Tactics, Live",Riot Games,"Los Angeles, CA 90064 (Sawtelle area)",,"Work with a diverse team of developers to keep Teamfight Tactics healthy, fun, and balanced for our whole audience.Familiarity with the auto-battler genre."
14,"Associate Technical Director, Gameplay",Survios,"Remote in Los Angeles, CA 90016",,"Survios currently has an opening for a talented Associate Technical Director, Gameplay, working with Unreal Engine 4."
15,Assistant Technical Director,Framestore,"Los Angeles, CA 90048 (Mid City West area)",,"Provide direct technical assistance to creative departments; i.e. Animation, Compositing, FX, etc.Framestore staff have the option to split their work time…"
16,newiOS Audio/Video Engineer at Interactive Music App,Recruiting From Scratch,"Remote in Los Angeles, CA 90013",,"Collaborate with a small, tight knit team to develop a modern consumer mobile app.Create a realtime, interactive mobile music experience with video streaming,…"
17,"Product Marketing Manager (Technical), Dev Tools (Infura)",Consensys,"Remote in Los Angeles, CA",,Collaborate with our developer evangelists to educate developers on our product capability and value via online and in-person events.
18,Technical Director for Oculus Quest Game (Wevr Labs),Wevr,"Remote in Los Angeles, CA",,"Supervise, review and confirm that game developers' strategies will achieve the creative game play required, in particular by vetting implementation strategies…"
19,Sr. Audio SW Engineer - LA Based,"Red Pill VR, Inc.","Los Angeles, CA",,You will report directly to the Head of Audio Engineering and your primary focus will be to develop a world leading modular audio signal analysis and processing…
