,title,company,location,salary,summary
0,Senior Creative Developer,Adobe,"New York, NY",,"When you stumble on a cool website, you immediately open the inspector.Craft and optimize our marketing websites, including https://frame.io and https://blog…"
1,"CIB - Sr. UI Developer / Creative Technologist, Associate","JPMorgan Chase Bank, N.A.","New York, NY",,"The Creative Technologist develops and refines tools essential to product development, design systems, communication and application development."
2,Creative Coder / Storyteller,Temboo,"New York, NY 10013 (Tribeca area)",,"Regularly creating content in many formats (articles, tutorials, blog posts, newsletters, social media, videos, hangouts, etc.)."
3,Email Marketing Developer [Contract/Remote],"Macmillan Publishing Group, LLC","Remote in New York, NY 10271",,"They will collaborate with internal business partners on delivering creative, on-brand messages to grow our email program.Knowledge of HTML and CSS."
4,Web Designer / Developer,HIYO DESIGN,"New York, NY 10038 (Financial District area)",,"We mostly work with Squarespace web designs, but ideally, you should have the background & experience to be able to rock a website using Squarepace, Shopify,…"
5,Lead Creative Technologist (Front-End),Hush Studios,"Brooklyn, NY",,10+ years of creative technology experience w/ fast-paced design agencies & clients.Work with creative & strategy teams to contribute quickly and iteratively…
6,newCreative Technologist,"JPMorgan Chase Bank, N.A.","New York, NY",,"8+ years' experience with creative technology, front-end development or related fields.Day-to-day, you'll collaborate closely with our design and product teams…"
7,Front-End Web Developer/Designer,Onjax,"Apalachin, NY 13732",,"This new team member will passionately craft powerful, yet simple to use, tools for the real estate professional.Deploy and ship well tested code frequently."
8,"Email Developer, Email Ops",The New York Times,"Temporarily Remote in New York, NY",,"You will join a team of qualified email operations specialists who support all marketing email programs at the New York Times, from Cooking to Events and beyond…"
9,"Software Development Engineer II, Campaign and Creative",Amazon.com Services LLC,"New York, NY+6 locations",,"1+ years of experience contributing to the system design or architecture (architecture, design patterns, reliability and scaling) of new and current systems."
10,Web Infrastructure Developer - Digital Marketing,Veeva Systems,"New York, NY",,"Work cross-functionally with IT, Marketing, and Front-end developers.The Infrastructure Web Developer is an integral member of Veeva’s Digital Marketing team."
11,"Music Operations Specialist, YouTube",YouTube,"New York, NY",,Bachelor's degree or equivalent practical experience.3 years of experience with MySQL/SQL or other relevant database systems and query structures.
12,Web Designer/Developer,Long Island University,"Brookville, NY 11548",,"In coordination with the lead web developer/designer, participate in the production of annual academic bulletins for each campus, including organization of…"
13,newDigital Senior Creative Technologist,Protiviti,"New York, NY",,At least three years experience working in creative/R&D/agency environments.Portfolio with examples of digital experiences or experiments that demonstrate your…
14,"Software Development Engineer, Amazon DSP Creative Experienc...",Amazon Advertising LLC,"New York, NY+4 locations",,You'll play a critical role in the design and implementation of a strategic product for advertisers to manage their ad creatives and campaign landing pages.
15,"Creative Technologist, Creative Shop Labs",Meta,"New York, NY",,"Continually seek new opportunities to unlock creative possibilities through your expertise.5+ years of experience in creative technology, or similar role."
16,Graphics/Multimedia Editor,The New York Times,"New York, NY",,Quick learner with creative ideas.The New York Times Magazine and The Times’s Digital News Design group are seeking a creative front-end developer/designer to…
17,"Sr. Email Developer , Amazon Ads",Amazon.com Services LLC,"New York, NY",,Knowledge of marketing fundamentals and the ability to apply them to create dynamic solutions in the email channel that are creative yet consistent.
18,Front-End Web Developer/Designer,Onjax,"Apalachin, NY 13732",,We are seeking a Front-End Web Designer/Developer who is motivated to combine the art of design with the art of programming.Skills We Are Looking For.
19,Web Designer,Hunter Douglas Inc.,"Remote in New York, NY 10011",,"Ability to work with a variety of individuals and present creative, fresh ideas.This creative expert will help drive design and technology solutions that…"
20,"newRuby on Rails Engineer, Podcast Analytics",Spotify,"Remote in New York, NY",,Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the…
21,Technical SEO Webmaster,NetCom Learning,"New York, NY 10018 (Clinton area)",,"As an exceptional Webmaster, you should have excellent technical skills and a good understanding of creative online marketing.Able to manage multiple websites."
22,"Head of Growth Engineering, Marketing Automation",Google,"New York, NY (Chelsea area)",,"At Google, engineers not only revolutionize search, they routinely work on scalability and storage solutions, large-scale applications and entirely new…"
23,"Partner Marketing Manager, Developer Platform [US Location F...",Twitter,"New York, NY",,Deep understanding the developer community a plus.The team is looking for a Partner Marketing Manager to support Twitter’s growing developer platform and the…
24,VFX Producer,CANDY,"New York, NY",,Ensure creative vision and production scope is satisfied in project delivery.Strong understanding of technology and able to speak to developers.
25,"Manager, Software Development, Brand Advertising and Shoppin...",Amazon.com Services LLC,"New York, NY",,7+ years of experience working directly within engineering teams.Experience partnering with product OR program management teams.
26,"Software Development Engineer, Amazon DSP Creative Experienc...",Amazon Advertising LLC,"New York, NY+4 locations",,You'll play a critical role in the design and implementation of a strategic product for advertisers to manage their ad creatives and campaign landing pages.
27,"Software Development Engineer, Podcast Ads(Full Stack, Remot...",Amazon Advertising LLC,"Remote in New York, NY+1 location",,Programming experience with at least one software programming language.1+ years of experience in software development.Your team trusts your work.
28,"Experienced Web Engineer, Podcast Creation Tools",Spotify,"Remote in New York, NY",,Use your great communication and collaboration skills to work with other front- and back-end developers to push our team forward technically.
29,Senior Product Manager - B2B Developer Platform,Atom Finance,"New York, NY",,"You have experience with developer documentation solutions such as README.com or equivalent.5+ years product management experience, with at least 3 years…"
