,title,company,location,salary,summary
0,Creative Developer,OpenAI,"San Francisco, CA",,"Manage the day-to-day of the openai.com website, which pushes a million monthly unique page views.Maintain and grow a library of UI components used across…"
1,"newCreative Coder, Block Brand + Purpose",Block,"San Francisco, CA",,We're looking for a creative coder to help bring the Block brand to life through creative interactive experiences.Participate in concept development iteration.
2,"Head of Builder Web Experience, AWS Developer Marketing","Amazon Web Services, Inc.","San Francisco, CA",,Accomplished range of skills from high level strategic thinking to creative and detailed execution.Create a content strategy that ensures highly credible and…
3,Digital Content Coordinator,Potato London Ltd,"San Francisco, CA",,In this role you will manage engagement between other stakeholders and management.You will be in charge of maintaining a content backlog and ensuring a…
4,"Creative Technologist, Creative Shop Labs",Meta,"San Francisco, CA 94105 (Financial District/South Beach area)",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
5,"Creative Software Engineer, Block Brand + Purpose",Block,"San Francisco, CA",,We're looking for a creative software engineer to help bring the Block brand to life through creative interactive experiences.Experience with WebGL and GLSL.
6,"Sr. Marketing Mgr, Game Developer Relations",Dolby,"San Francisco, CA",,"Host developers for demos of Dolby’s gaming products, both onsite and offsite.Create engaging sales materials, including pitch decks and demos, to drive…"
7,Senior Game Designer,Together Labs,"Redwood City, CA 94063",,Strong creative and conceptual skills.WithMe is looking for a game designer to join the team.This position is responsible for generating new social game…
8,Creative Technologist - Wayfair Next,Wayfair,"San Francisco, CA",,"Not just an engineering and creative mindset, but an entrepreneurial mindset.Participate in the tech & creative community by publishing blogs/papers,…"
9,"SDE - Podcast Search, Podcasts Search",Amazon.com Services LLC,"San Francisco, CA",,"As an engineer, you love challenging problems, defining roadmaps, collaborating with stakeholder teams to get things done, designing creative technical…"
10,"Sr. Producer, Mobile",Crunchyroll,"San Francisco, CA",,Coordinate with localization vendors and developers to ensure high quality translations while working with vendors to ensure the quality of outside results.
11,API Frameworks Technical Writer with Engineering Background,International Consulting Group Inc.,"San Francisco Bay Area, CA",,This project is to provide technical writing for API Frameworks.Candidates must be local to the San Francisco Bay Area.
12,"Product Marketing Manager, Developer Platform Integrity",Facebook App,"San Francisco, CA",,"This role will be responsible for driving market requirements into product planning to inform the development of tools, surfaces and systems that developers use…"
13,"Senior Visual Designer, Fitbit Device Software",Google,"San Francisco, CA",,"Bachelor's degree in Design, or equivalent practical experience.6 years of experience in Design.Experience collaborating with multidisciplinary User…"
14,Technical Director,Virtuos Games,"San Francisco, CA",,We are looking for a Technical Director who will set the standard for technical work within the studio and take responsibility for developing the skill set of…
15,Platform Demo Engineer,Salesforce,"San Francisco, CA 94105 (Financial District/South Beach area)",,"This is a fast-paced role on the Platform Product Marketing team passionate about building innovative product demonstrations, designing customer-facing…"
16,Motion Graphics Artist,3Q Digital,"Hybrid remote in San Francisco, CA 94107",,"As a Motion Graphics Artist, you will be responsible for collaborating with the creative team on the execution of creative assets, from initial concept to final…"
17,"Technical Lead, Software Engineer- Zoom Producer","Zoom Video Communications, Inc.","Remote in San Francisco Bay Area, CA",,"The position is responsible for Producer studio-related feature development for Zoom clients.As a Technical Leader, you will be tasked with using Javascript…"
18,"Senior Director, Site Reliability Engineer, YouTube",YouTube,"San Bruno, CA",,"Bachelor’s degree in Computer Science, related technical field, or equivalent experience.15 years of experience with system design, algorithms, data structures…"
19,"Creative Technologist, Block Brand + Purpose",Block,"San Francisco, CA",,We're looking for a creative technologist to help bring the Block brand to life through creative interactive experiences.Experience with WebGL and GLSL.
20,"Technical Director, Mobile Games",WarnerMedia,"San Francisco, CA",,"As a Technical Director, you will be responsible for various initiatives including evaluating new technology, developing and maintaining our game platform,…"
21,Game Designer,Together Labs,"Redwood City, CA 94063",,Strong creative and conceptual skills.WithMe is looking for a game designer to join the team.This position is responsible for generating new social game…
22,newEUC OCTO Architect/Evangelist - Opportunity for Working Remo...,VMware,"Remote in San Francisco, CA",,"The successful candidate is someone able to engage and influence a varied audience, including C-level, managerial, technical staff, and industry experts, as…"
23,"Design Technologist, Block Brand + Purpose",Block,"San Francisco, CA",,Evaluate and document any creative or engineering standards or patterns that could arise from your work.We're looking for a design technologist to help bring…
24,Senior Product Marketing Manager - Developer Marketing (Remo...,Genesys,"Temporarily Remote in Daly City, CA 94014",,Partner with product pros responsible for developer relations and engagement to help build the largest developer ecosystem in the CX space by driving awareness…
