,title,company,location,salary,summary
0,newGame Day/Events Audio Engineer,The Seattle Mariners Baseball Club,"Seattle, WA 98134 (Industrial District area)",,Reports To: Director Broadcast Operations & Engineering.Primary Objective: Responsible for Live Audio Mixing for game days and events at T-Mobile Park.
1,"Frontend Engineer, TikTok Ads Creative & Ecosystem",TikTok,"Seattle, WA",,"Design, develop, test and continuously improve TikTok creative related platforms.Collaborate with PM and R&D teams globally in a fast paced environment."
2,3D Toy and Game Designer,Funko,"Seattle, WA 98105 (Ravenna - U District area)",,"The 3D Designer generates 3D assets for a variety of product lines using Maya, 3DS Max, Zbrush, Blender, or other 3D modeling tools."
3,Game Developer Community Manager,Microsoft,"Redmond, WA 98052 (Overlake area)",,Be a voice of the game developer community within Microsoft.Be a resource to help developers navigate the Microsoft ecosystem.
4,Game Developer Editor in Chief,Microsoft,"Redmond, WA 98052 (Overlake area)",,The primary function of this role is to manage our developer website as a source of truth and storytelling platform and oversee the game developer content…
5,Information Developer/ Technical Writer - Remote,Siemens,"Remote in Bellevue, WA",,"Do you have a talent for learning complex processes and explaining them simply?This position covers the industry-leading, innovative Calibre IC verification…"
6,"Developer Community Manager, AWS Developer Marketing","Amazon Web Services, Inc.","Seattle, WA",,"Accomplished range of skills from high level strategic thinking to creative and detailed execution.As Developer Community Manager, you will be responsible for…"
7,"Design Technologist, Dev Tools, Shopping Design Tools Team",Amazon.com Services LLC,"Seattle, WA",,"We are a team focused on the CX and front-end of tools and services that are geared toward designers, developers, and other builders."
8,Associate Producer (Temp),WarnerMedia,"Kirkland, WA",,"An Associate Producer supports our team in the day-to-day organization, communication, and task management of targeted areas of game development."
9,Creative Producer - Graphic Design/Web Developer,Overlake Christian Church,"Redmond, WA 98052 (Sammamish Valley area)",,"Visually creative and technically proficient.Assisting Creative Director with creative concepts (church campaigns, building aesthetics, and."
10,Software Development Engineer in Test - Creative Tools (Seat...,TikTok,"Seattle, WA",,"TikTok Creative Tools contribute to content base evolution and determine users' consumption experience through content creation, recommendation and exploration,…"
11,"Live Service Game Designer (Systems, Content, Narrative)",BIGBOX VR,"Seattle, WA",,"Strong communicator who loves the iterative technical and creative process.You excel at thinking in spreadsheets to design systems for live service games, and…"
12,Web Designers/Programmers Developers,SeattleShoppingGuide.com,"Seattle, WA",,Web programmer with strong web development experience.BS Degree preferred but not required.Work related experience and skills can substitute for the degree.
13,"Front-End Engineer-II, Content Creator Tech org",Amazon.com Services LLC,"Seattle, WA",,"Successful candidates need to be creative, innovative, flexible, self-directed, able to design and write reliable, maintainable and high-performance code."
14,Web Designers/Programmers Developers,Seattle Shopping Guide,"Seattle, WA",,Web programmer with strong web development experience.BS Degree preferred but not required.Work related experience and skills can substitute for the degree.
15,Product Manager | Developer Platform,Qualtrics,"Seattle, WA 98101 (Downtown area)",,"Qualtrics is the technology platform that organizations use to collect, manage, and act on experience data, also called X-data™."
16,"Front-End Engineer-II, Content Creator Tech org",Amazon.com Services LLC,"Seattle, WA",,"Successful candidates need to be creative, innovative, flexible, self-directed, able to design and write reliable, maintainable and high-performance code."
17,"Product Marketing Manager, Developer Platform Integrity",Facebook App,"Seattle, WA",,"This role will be responsible for driving market requirements into product planning to inform the development of tools, surfaces and systems that developers use…"
18,newProduct Marketing Application Development Specialist,SAP,"Remote in Bellevue, WA 98004",,"As a product marketing manager for SAP BTP Application Development portfolio, you will be responsible for engaging low code and pro code developers across the…"
19,"Backend Engineer, TikTok Ads Creative & Ecosystem",TikTok,"Seattle, WA",,"Build the TikTok Ads Creative Ecosystem with creative auto generation, creative understanding and delivery optimization, partner business API, TikTok influencer…"
20,"Sr. Product Manager, AWS Developer Marketing","Amazon Web Services, Inc.","Seattle, WA",,Accomplished range of skills from high level strategic thinking to creative and detailed execution.Drive technical content development across teams (developer…
21,Associate Producer (Temp),WarnerMedia,"Kirkland, WA",,"An Associate Producer supports our team in the day-to-day organization, communication, and task management of targeted areas of game development."
22,"Sr. Paid Media Manager, AWS Developer Marketing","Amazon Web Services, Inc.","Seattle, WA",,"We’re looking for an experienced, results-driven paid media manager to support the Amazon Web Services (AWS) Developer Marketing team in developing and…"
23,Platform Demo Engineer,Salesforce,"Seattle, WA",,"This is a fast-paced role on the Platform Product Marketing team passionate about building innovative product demonstrations, designing customer-facing…"
24,Programmer Writer - Database Services,"Amazon Dev Center U.S., Inc.","Seattle, WA",,"Experience designing and delivering developer documentation.Ideally, you have a technical background that enables easy interaction with software developers and…"
25,"Camp&CreateSDEII - 2022, Campaign & Creative Services",Amazon Advertising LLC,"Seattle, WA",,"1+ years of experience contributing to the system design or architecture (architecture, design patterns, reliability and scaling) of new and current systems."
26,Gaming Technical Director,Microsoft,"Redmond, WA 98052 (Overlake area)",,"Strong creative problem solving and algorithm development skills.The Xbox Publishing Team responsible for Contraband, As Dusk Falls, Microsoft Flight Simulator…"
27,"Software Engineering Manager, AWS Cryptography",Amazon.com Services LLC,"Seattle, WA",,"You will work along side managers, developers, and researchers who are developing practical cryptography mechanisms to secure services in AWS."
28,Marketing Automation Engineer,"PitchBook Data, Inc.","Seattle, WA 98164 (Downtown area)",,"As PitchBook’s Software Engineer, Marketing you will be responsible for prospect movement through our Sales and Marketing funnel focused on lead routing, field…"
29,"Software Development Manager, AWS Cryptography","Amazon Web Services, Inc.","Seattle, WA",,7+ years of experience working directly within engineering teams.Experience partnering with product OR program management teams.
30,Sr. Technical Program Manager - Outbound Communications,Amazon.com Services LLC,"Seattle, WA",,"7+ years of experience working directly with engineering teams.Experience managing projects across cross functional teams, building sustainable processes and…"
31,Senior Software Engineer - Podcast Ads,Amazon.com Services LLC,"Seattle, WA",,"2+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems."
32,"Principal Product Manager - Technical, Computer Vision, Amaz...",Amazon.com Services LLC,"Seattle, WA",,"Bachelor’s degree in computer science, mathematics, systems engineering, MIS, or a related field.8+ years of product management experience."
33,Full Stack Web Technical Lead - Project Delivery Specialist,Deloitte,"Seattle, WA 98104 (Downtown area)",,As an experienced Technical Lead you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of…
34,Senior Creative Software Developer,Ripl,"Seattle, WA 98101 (Downtown area)",,"Working on new creative design ideas, including adding new effects and animations.Ripl (www.Ripl.com) is passionate about helping small businesses grow by…"
35,newMid/Senior Creative Developer,Accretive Technology Group,"Seattle, WA 98101 (Downtown area)",,"Develop creative assets using JavaScript, jQuery, React, Responsive HTML/CSS.They must be fluent in JavaScript, React & Responsive HTML/CSS."
36,Senior Staff Machine Learning Engineer Manager,Wayfair,"Seattle, WA 98178 (Rainier Beach area)",,"The most complex and business critical Data Science models deliver fast, scalable, easily accessible, and reliable comparisons between large numbers of products…"
37,Game Designer,Wizards of the Coast,"Renton, WA 98057",,"In this role, you'll help build the future of D&D by developing material for upcoming products.Design substantial portions of D&D products with guidance from…"
38,"Email HTML Developer, Contract (remote position)","Shaw Scott, Inc.","Remote in Seattle, WA 98112",,The Email Developer is responsible for the development of highly dynamic email marketing campaigns.This role will require deep knowledge of HTML/CSS and…
