,title,company,location,salary,summary
0,Associate R&D Imagineer - Creative Technologist,Walt Disney Imagineering,"Glendale, CA",,"Imagineering is the master planning, creative development, design, engineering, production, project management, and research and development arm of The Walt…"
1,"Technologist, Creative Technology",Snapchat,"Los Angeles, CA 90291 (Venice area)",,"General knowledge in creative software such as Lens Studio, Unity, Unreal Engine, Disguise, Notch, Touch Designer, Blender, Adobe Suite."
2,Associate Creative Technologist - Twitter Next Lab,Twitter,"Los Angeles, CA",,"Participate in brainstorming sessions, providing technical as well as creative inputs.As an Associate Creative Technologist, you combine technical know-how…"
3,"Creative Technologist, Creative Shop Labs",Meta,"Los Angeles, CA 90066 (Del Rey area)",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
4,"Senior Design Technologist, Brand Lab - Telco & Entertainmen...",Amazon.com Services LLC,"Santa Monica, CA 90404 (Mid-City area)",,"Experience with creative ideation and attending brainstorm sessions with internal and external partners.4+ years of experience as a front-end technologist,…"
5,Marketing Technologist,City National Bank,"Los Angeles, CA",,Proven track record of success delivering creative solutions to complex problems.The Marketing Technologist reports to the MarTech Manager and has expertise in…
6,Associate R&D Imagineer - Creative Technologist,Walt Disney Imagineering,"Glendale, CA",,"Imagineering is the master planning, creative development, design, engineering, production, project management, and research and development arm of The Walt…"
7,"Technologist, Creative Technology",Snapchat,"Los Angeles, CA 90291 (Venice area)",,"General knowledge in creative software such as Lens Studio, Unity, Unreal Engine, Disguise, Notch, Touch Designer, Blender, Adobe Suite."
8,Associate Creative Technologist - Twitter Next Lab,Twitter,"Los Angeles, CA",,"Participate in brainstorming sessions, providing technical as well as creative inputs.As an Associate Creative Technologist, you combine technical know-how…"
9,"Creative Technologist, Creative Shop Labs",Meta,"Los Angeles, CA 90066 (Del Rey area)",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
10,"Senior Design Technologist, Brand Lab - Telco & Entertainmen...",Amazon.com Services LLC,"Santa Monica, CA 90404 (Mid-City area)",,"Experience with creative ideation and attending brainstorm sessions with internal and external partners.4+ years of experience as a front-end technologist,…"
11,Marketing Technologist,City National Bank,"Los Angeles, CA",,Proven track record of success delivering creative solutions to complex problems.The Marketing Technologist reports to the MarTech Manager and has expertise in…
12,Associate R&D Imagineer - Creative Technologist,Walt Disney Imagineering,"Glendale, CA",,"Imagineering is the master planning, creative development, design, engineering, production, project management, and research and development arm of The Walt…"
13,"Technologist, Creative Technology",Snapchat,"Los Angeles, CA 90291 (Venice area)",,"General knowledge in creative software such as Lens Studio, Unity, Unreal Engine, Disguise, Notch, Touch Designer, Blender, Adobe Suite."
14,Associate Creative Technologist - Twitter Next Lab,Twitter,"Los Angeles, CA",,"Participate in brainstorming sessions, providing technical as well as creative inputs.As an Associate Creative Technologist, you combine technical know-how…"
15,"Creative Technologist, Creative Shop Labs",Meta,"Los Angeles, CA 90066 (Del Rey area)",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
16,"Senior Design Technologist, Brand Lab - Telco & Entertainmen...",Amazon.com Services LLC,"Santa Monica, CA 90404 (Mid-City area)",,"Experience with creative ideation and attending brainstorm sessions with internal and external partners.4+ years of experience as a front-end technologist,…"
17,Marketing Technologist,City National Bank,"Los Angeles, CA",,Proven track record of success delivering creative solutions to complex problems.The Marketing Technologist reports to the MarTech Manager and has expertise in…
18,Associate R&D Imagineer - Creative Technologist,Walt Disney Imagineering,"Glendale, CA",,"Imagineering is the master planning, creative development, design, engineering, production, project management, and research and development arm of The Walt…"
19,"Technologist, Creative Technology",Snapchat,"Los Angeles, CA 90291 (Venice area)",,"General knowledge in creative software such as Lens Studio, Unity, Unreal Engine, Disguise, Notch, Touch Designer, Blender, Adobe Suite."
20,Associate Creative Technologist - Twitter Next Lab,Twitter,"Los Angeles, CA",,"Participate in brainstorming sessions, providing technical as well as creative inputs.As an Associate Creative Technologist, you combine technical know-how…"
21,"Creative Technologist, Creative Shop Labs",Meta,"Los Angeles, CA 90066 (Del Rey area)",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
22,"Senior Design Technologist, Brand Lab - Telco & Entertainmen...",Amazon.com Services LLC,"Santa Monica, CA 90404 (Mid-City area)",,"Experience with creative ideation and attending brainstorm sessions with internal and external partners.4+ years of experience as a front-end technologist,…"
23,Marketing Technologist,City National Bank,"Los Angeles, CA",,Proven track record of success delivering creative solutions to complex problems.The Marketing Technologist reports to the MarTech Manager and has expertise in…
24,Associate R&D Imagineer - Creative Technologist,Walt Disney Imagineering,"Glendale, CA",,"Imagineering is the master planning, creative development, design, engineering, production, project management, and research and development arm of The Walt…"
25,"Technologist, Creative Technology",Snapchat,"Los Angeles, CA 90291 (Venice area)",,"General knowledge in creative software such as Lens Studio, Unity, Unreal Engine, Disguise, Notch, Touch Designer, Blender, Adobe Suite."
26,Associate Creative Technologist - Twitter Next Lab,Twitter,"Los Angeles, CA",,"Participate in brainstorming sessions, providing technical as well as creative inputs.As an Associate Creative Technologist, you combine technical know-how…"
27,"Creative Technologist, Creative Shop Labs",Meta,"Los Angeles, CA 90066 (Del Rey area)",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
28,"Senior Design Technologist, Brand Lab - Telco & Entertainmen...",Amazon.com Services LLC,"Santa Monica, CA 90404 (Mid-City area)",,"Experience with creative ideation and attending brainstorm sessions with internal and external partners.4+ years of experience as a front-end technologist,…"
29,Marketing Technologist,City National Bank,"Los Angeles, CA",,Proven track record of success delivering creative solutions to complex problems.The Marketing Technologist reports to the MarTech Manager and has expertise in…
30,Associate R&D Imagineer - Creative Technologist,Walt Disney Imagineering,"Glendale, CA",,"Imagineering is the master planning, creative development, design, engineering, production, project management, and research and development arm of The Walt…"
