,title,company,location,salary,summary
0,Lead Creative Technologist (Front-End),Hush Studios,"Brooklyn, NY",,10+ years of creative technology experience w/ fast-paced design agencies & clients.Work with creative & strategy teams to contribute quickly and iteratively…
1,"Creative Technologist, Creative Shop Labs",Meta,"New York, NY",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
2,Creative Technologist,"JPMorgan Chase Bank, N.A.","New York, NY",,"8+ years' experience with creative technology, front-end development or related fields.Day-to-day, you'll collaborate closely with our design and product teams…"
3,Senior Creative Technologist,Havas Group,"New York, NY",,"Builds strong relationships with creatives for collaboration on creative ideas.Plays a key role in evolving the agency creative vision, creating prototypes to…"
4,newDigital Senior Creative Technologist,Protiviti,"New York, NY",,"Portfolio with examples of digital experiences or experiments that demonstrate your skill as a creative technologist, with your role and technical constraints…"
5,Creative Product Technologist,MiQ Digital,"New York, NY",,"The ideal candidate will be comfortable in a hybrid position, spending their time developing custom dynamic creative executions and working with product…"
6,Web Design Technologist,Avenues: The World School,"New York, NY",,Location: Flexible (ET operating hours)*.Storytelling and visual design are your hallmark strengths and you are an expert user of design software (ideally…
7,Design Technologist,RISIRISA,"New York, NY",,"As a member of RISIRISA’s design team, you will be joining an interdisciplinary group of scientists, mathematicians, designers, and engineers that work with…"
8,Creative Technologist - Digital Experience Design - Senior,Gensler,"New York, NY 10020 (Midtown area)",,"Exceptional critical thinking and creative problem-solving skills.Collaborate with clients, design teams and other technologists on projects across multiple…"
9,Capgemini Invent- Design Technologist II,Capgemini Invent,"New York, NY",,"As a Design Technologist, you’ll use the latest tools and techniques to take projects from idea to reality.Worked on 1+ production applications using a major…"
10,"Design Technologist, Brand Innovation Lab",Amazon Advertising LLC,"New York, NY+4 locations",,"Familiar with creative ideation and brainstorm sessions with internal and external partners.2+ years of experience as a front-end technologist, engineer, or UX…"
11,Senior Design Technologist,frog,"New York, NY+1 location",,"As a Senior Design Technologist, you'll use the latest tools and techniques to take projects from idea to reality."
12,Senior Design Technologist (Front End Developer),frog,"New York, NY",,"As a Senior Design Technologist focusing on Front End Development, you'll use the latest tools and techniques to take projects from idea to reality."
13,Senior Design Technologist (Full Stack Developer),frog,"New York, NY",,"As a Senior Design Technologist focusing on Full Stack Development, you'll use the latest tools and techniques to take projects from idea to reality."
14,Creative Technologist,National Museum of Mathematics,"Remote in New York, NY 10010",,"You will be relied on to use problem-solving, creativity, and quick thinking to keep the Museum exhibits and IT infrastructure running smoothly and help prepare…"
15,"Design Technologist (STEM, Maker Education)",NORY,"New York, NY 10018 (Garment District area)",,"Imagine - you can design a dream STEM project that a group of 5-7yo children can work on for a week.In collaboration with our curriculum team, you will utilize…"
16,"Creative Technologist, Creative Shop Labs",Meta,"New York, NY",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
17,Creative Technologist,"JPMorgan Chase Bank, N.A.","New York, NY",,"8+ years' experience with creative technology, front-end development or related fields.Day-to-day, you'll collaborate closely with our design and product teams…"
18,Senior Creative Technologist,Havas Group,"New York, NY",,"Builds strong relationships with creatives for collaboration on creative ideas.Plays a key role in evolving the agency creative vision, creating prototypes to…"
19,newDigital Senior Creative Technologist,Protiviti,"New York, NY",,"Portfolio with examples of digital experiences or experiments that demonstrate your skill as a creative technologist, with your role and technical constraints…"
20,Creative Product Technologist,MiQ Digital,"New York, NY",,"The ideal candidate will be comfortable in a hybrid position, spending their time developing custom dynamic creative executions and working with product…"
21,Web Design Technologist,Avenues: The World School,"New York, NY",,Location: Flexible (ET operating hours)*.Storytelling and visual design are your hallmark strengths and you are an expert user of design software (ideally…
22,Design Technologist,RISIRISA,"New York, NY",,"As a member of RISIRISA’s design team, you will be joining an interdisciplinary group of scientists, mathematicians, designers, and engineers that work with…"
23,Creative Technologist - Digital Experience Design - Senior,Gensler,"New York, NY 10020 (Midtown area)",,"Exceptional critical thinking and creative problem-solving skills.Collaborate with clients, design teams and other technologists on projects across multiple…"
24,Capgemini Invent- Design Technologist II,Capgemini Invent,"New York, NY",,"As a Design Technologist, you’ll use the latest tools and techniques to take projects from idea to reality.Worked on 1+ production applications using a major…"
25,"Design Technologist, Brand Innovation Lab",Amazon Advertising LLC,"New York, NY+4 locations",,"Familiar with creative ideation and brainstorm sessions with internal and external partners.2+ years of experience as a front-end technologist, engineer, or UX…"
26,Senior Design Technologist,frog,"New York, NY+1 location",,"As a Senior Design Technologist, you'll use the latest tools and techniques to take projects from idea to reality."
27,Senior Design Technologist (Front End Developer),frog,"New York, NY",,"As a Senior Design Technologist focusing on Front End Development, you'll use the latest tools and techniques to take projects from idea to reality."
28,Senior Design Technologist (Full Stack Developer),frog,"New York, NY",,"As a Senior Design Technologist focusing on Full Stack Development, you'll use the latest tools and techniques to take projects from idea to reality."
29,Creative Technologist,National Museum of Mathematics,"Remote in New York, NY 10010",,"You will be relied on to use problem-solving, creativity, and quick thinking to keep the Museum exhibits and IT infrastructure running smoothly and help prepare…"
30,"Design Technologist (STEM, Maker Education)",NORY,"New York, NY 10018 (Garment District area)",,"Imagine - you can design a dream STEM project that a group of 5-7yo children can work on for a week.In collaboration with our curriculum team, you will utilize…"
31,"Creative Technologist, Creative Shop Labs",Meta,"New York, NY",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
32,Creative Technologist,"JPMorgan Chase Bank, N.A.","New York, NY",,"8+ years' experience with creative technology, front-end development or related fields.Day-to-day, you'll collaborate closely with our design and product teams…"
33,Senior Creative Technologist,Havas Group,"New York, NY",,"Builds strong relationships with creatives for collaboration on creative ideas.Plays a key role in evolving the agency creative vision, creating prototypes to…"
34,newDigital Senior Creative Technologist,Protiviti,"New York, NY",,"Portfolio with examples of digital experiences or experiments that demonstrate your skill as a creative technologist, with your role and technical constraints…"
35,Creative Product Technologist,MiQ Digital,"New York, NY",,"The ideal candidate will be comfortable in a hybrid position, spending their time developing custom dynamic creative executions and working with product…"
36,Web Design Technologist,Avenues: The World School,"New York, NY",,Location: Flexible (ET operating hours)*.Storytelling and visual design are your hallmark strengths and you are an expert user of design software (ideally…
37,Design Technologist,RISIRISA,"New York, NY",,"As a member of RISIRISA’s design team, you will be joining an interdisciplinary group of scientists, mathematicians, designers, and engineers that work with…"
38,Creative Technologist - Digital Experience Design - Senior,Gensler,"New York, NY 10020 (Midtown area)",,"Exceptional critical thinking and creative problem-solving skills.Collaborate with clients, design teams and other technologists on projects across multiple…"
39,Capgemini Invent- Design Technologist II,Capgemini Invent,"New York, NY",,"As a Design Technologist, you’ll use the latest tools and techniques to take projects from idea to reality.Worked on 1+ production applications using a major…"
40,"Design Technologist, Brand Innovation Lab",Amazon Advertising LLC,"New York, NY+4 locations",,"Familiar with creative ideation and brainstorm sessions with internal and external partners.2+ years of experience as a front-end technologist, engineer, or UX…"
41,Senior Design Technologist,frog,"New York, NY+1 location",,"As a Senior Design Technologist, you'll use the latest tools and techniques to take projects from idea to reality."
42,Senior Design Technologist (Front End Developer),frog,"New York, NY",,"As a Senior Design Technologist focusing on Front End Development, you'll use the latest tools and techniques to take projects from idea to reality."
43,Senior Design Technologist (Full Stack Developer),frog,"New York, NY",,"As a Senior Design Technologist focusing on Full Stack Development, you'll use the latest tools and techniques to take projects from idea to reality."
44,Creative Technologist,National Museum of Mathematics,"Remote in New York, NY 10010",,"You will be relied on to use problem-solving, creativity, and quick thinking to keep the Museum exhibits and IT infrastructure running smoothly and help prepare…"
45,"Design Technologist (STEM, Maker Education)",NORY,"New York, NY 10018 (Garment District area)",,"Imagine - you can design a dream STEM project that a group of 5-7yo children can work on for a week.In collaboration with our curriculum team, you will utilize…"
46,"Creative Technologist, Creative Shop Labs",Meta,"New York, NY",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
47,Creative Technologist,"JPMorgan Chase Bank, N.A.","New York, NY",,"8+ years' experience with creative technology, front-end development or related fields.Day-to-day, you'll collaborate closely with our design and product teams…"
48,Senior Creative Technologist,Havas Group,"New York, NY",,"Builds strong relationships with creatives for collaboration on creative ideas.Plays a key role in evolving the agency creative vision, creating prototypes to…"
49,newDigital Senior Creative Technologist,Protiviti,"New York, NY",,"Portfolio with examples of digital experiences or experiments that demonstrate your skill as a creative technologist, with your role and technical constraints…"
50,Creative Product Technologist,MiQ Digital,"New York, NY",,"The ideal candidate will be comfortable in a hybrid position, spending their time developing custom dynamic creative executions and working with product…"
51,Web Design Technologist,Avenues: The World School,"New York, NY",,Location: Flexible (ET operating hours)*.Storytelling and visual design are your hallmark strengths and you are an expert user of design software (ideally…
52,Design Technologist,RISIRISA,"New York, NY",,"As a member of RISIRISA’s design team, you will be joining an interdisciplinary group of scientists, mathematicians, designers, and engineers that work with…"
53,Creative Technologist - Digital Experience Design - Senior,Gensler,"New York, NY 10020 (Midtown area)",,"Exceptional critical thinking and creative problem-solving skills.Collaborate with clients, design teams and other technologists on projects across multiple…"
54,Capgemini Invent- Design Technologist II,Capgemini Invent,"New York, NY",,"As a Design Technologist, you’ll use the latest tools and techniques to take projects from idea to reality.Worked on 1+ production applications using a major…"
55,"Design Technologist, Brand Innovation Lab",Amazon Advertising LLC,"New York, NY+4 locations",,"Familiar with creative ideation and brainstorm sessions with internal and external partners.2+ years of experience as a front-end technologist, engineer, or UX…"
56,Senior Design Technologist,frog,"New York, NY+1 location",,"As a Senior Design Technologist, you'll use the latest tools and techniques to take projects from idea to reality."
57,Senior Design Technologist (Front End Developer),frog,"New York, NY",,"As a Senior Design Technologist focusing on Front End Development, you'll use the latest tools and techniques to take projects from idea to reality."
58,Senior Design Technologist (Full Stack Developer),frog,"New York, NY",,"As a Senior Design Technologist focusing on Full Stack Development, you'll use the latest tools and techniques to take projects from idea to reality."
