,title,company,location,salary,summary
0,"newDesign Technologist, Creative Marketing",Square,"San Francisco, CA+1 location",,"Take creative direction and expand on concept ideas for tactics, with a solid and active contribution in creative reviews.2+ years of relevant work experience."
1,"Creative Technologist, Creative Shop Labs",Meta,"San Francisco, CA 94105 (Financial District/South Beach area)",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
2,Creative Technologist - Wayfair Next,Wayfair,"San Francisco, CA",,"Not just an engineering and creative mindset, but an entrepreneurial mindset.Participate in the tech & creative community by publishing blogs/papers,…"
3,"Design Technologist, Devices",Amazon.com Services LLC,"San Francisco, CA+2 locations",,"As a trusted technologist in the UX team, you will be expected to provide early technology assessments to advise designers on what is possible in our production…"
4,"Creative Technologist, Block Brand + Purpose",Block,"San Francisco, CA",,We're looking for a creative technologist to help bring the Block brand to life through creative interactive experiences.Experience with WebGL and GLSL.
5,"Design Technologist, Block Brand + Purpose",Block,"San Francisco, CA",,We're looking for a design technologist to help bring the Block brand to life through creative interactive experiences.Experience with WebGL and GLSL.
6,Creative Technologist,InVision Communications Inc.,"Temporarily Remote in Walnut Creek, CA 94596",,Present to clients and prospects to promote InVision’s commitment to superior creative.EDUCATION/EXPERIENCE: This position requires a minimum of seven (7)…
7,Sr. Design Technologist,PlayStation Global,"San Francisco, CA",,Bridge our design and development teams by implementing prototype versions of new features and products using the same technologies used in the real products.
8,"newDesign Technologist, Creative Marketing",Square,"San Francisco, CA+1 location",,"Take creative direction and expand on concept ideas for tactics, with a solid and active contribution in creative reviews.2+ years of relevant work experience."
9,"Creative Technologist, Creative Shop Labs",Meta,"San Francisco, CA 94105 (Financial District/South Beach area)",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
10,Creative Technologist - Wayfair Next,Wayfair,"San Francisco, CA",,"Not just an engineering and creative mindset, but an entrepreneurial mindset.Participate in the tech & creative community by publishing blogs/papers,…"
