,title,company,location,salary,summary
0,newMarketing Technologist-Events,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"Helping to ramp up, train, support and mentor marketing technologists around the company.Microsoft’s Global Demand Center (GDC) is responsible for driving…"
1,"Design Technologist, UX, Shopping Design",Amazon.com Services LLC,"Seattle, WA+13 locations",,Evaluate and document any new creative and/or engineering standards or patterns that could arise from your work.Experience with retail and e-commerce design.
2,Senior Design Technologist,Zonar Systems,"Seattle, WA 98188",,Build a scaleable code-based design system and pattern library that has UX intention baked directly into it in the form of component granularity and code…
3,Sr. Design Technologist,eBay Inc.,"Bellevue, WA (Downtown area)",,"Qualifications6+ years of experience working as front-end developer, design technologist or similar role.In this position, you’ll have a significant impact on…"
4,"Sr. Product Manager - Tech, Video Advertising Supply team",Amazon Advertising LLC,"Seattle, WA",,We’re also looking for a technologist who is passionate about learning and identifying technical capabilities that enable the team to build systems for the long…
5,Design Technologist - SMB,Indeed,"Seattle, WA",,Design Technologists build experiments through the creation of tooling and code; identify and refine design concepts through technical and creative insight;…
6,newMarketing Technologist-Events,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"Helping to ramp up, train, support and mentor marketing technologists around the company.Microsoft’s Global Demand Center (GDC) is responsible for driving…"
7,"Design Technologist, UX, Shopping Design",Amazon.com Services LLC,"Seattle, WA+13 locations",,Evaluate and document any new creative and/or engineering standards or patterns that could arise from your work.Experience with retail and e-commerce design.
8,Senior Design Technologist,Zonar Systems,"Seattle, WA 98188",,Build a scaleable code-based design system and pattern library that has UX intention baked directly into it in the form of component granularity and code…
9,Sr. Design Technologist,eBay Inc.,"Bellevue, WA (Downtown area)",,"Qualifications6+ years of experience working as front-end developer, design technologist or similar role.In this position, you’ll have a significant impact on…"
10,"Sr. Product Manager - Tech, Video Advertising Supply team",Amazon Advertising LLC,"Seattle, WA",,We’re also looking for a technologist who is passionate about learning and identifying technical capabilities that enable the team to build systems for the long…
11,Design Technologist - SMB,Indeed,"Seattle, WA",,Design Technologists build experiments through the creation of tooling and code; identify and refine design concepts through technical and creative insight;…
12,newMarketing Technologist-Events,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"Helping to ramp up, train, support and mentor marketing technologists around the company.Are you a marketing technologist, an expert in implementing and…"
13,"Design Technologist, UX, Shopping Design",Amazon.com Services LLC,"Seattle, WA+13 locations",,Evaluate and document any new creative and/or engineering standards or patterns that could arise from your work.Experience with retail and e-commerce design.
14,Senior Design Technologist,Zonar Systems,"Seattle, WA 98188",,"Zonar Systems is looking for a vibrant, talented Design Technologist who’s interested in helping the UX team at Zonar grow our fledgling DesignOps practice."
15,"Sr. Product Manager - Tech, Video Advertising Supply team",Amazon Advertising LLC,"Seattle, WA",,We’re also looking for a technologist who is passionate about learning and identifying technical capabilities that enable the team to build systems for the long…
16,Sr. Design Technologist,eBay Inc.,"Bellevue, WA (Downtown area)",,"Qualifications6+ years of experience working as front-end developer, design technologist or similar role.Looking for a company that inspires passion, courage…"
17,Design Technologist - SMB,Indeed,"Seattle, WA",,Design Technologists build experiments through the creation of tooling and code; identify and refine design concepts through technical and creative insight;…
