,title,company,location,salary,summary
0,Creative Technologist,,London,,Contribute proactively to creative brainstorms and workshops.Support creative team with the “art of the possible”.
1,newPA to creative director/founder,,London,,"Experience within a busy creative environment.He leads a pioneering team of architects, designers, creative technologists, programmers, computational designers…"
2,Head of Production - Creative Lab EU - GBM,,London,,"Sell production as a creative resource and ensure production starts upstream.You will cultivate a collaborative environment in which producers, technologists,…"
3,Middle Creative,,Hybrid remote in London SE1,,25 days annual leave + 1 Volunteer Day.We have a flexible working policy with core working hours (10am – 4pm) and have launched our 2 Hybrid Working model.
4,newArchitectural technologist,,London,,"Our architectural expertise is dependent upon the adoption of a highly creative outlook, combined with a methodical and technically astute approach."
5,Software Engineering,,London,,"BS/BA degree or equivalent experience.Mastery of application, data, and infrastructure architecture disciplines."
6,Creative Technologist,,London,,The Creative Technologist is responsible for producing creative and innovative offerings in the healthcare space for Syneos Health EU Communications.
7,Architectural Technologist,,London E1,,You will have good technical skills and be able to work as part of a team efficiently.Working as an Architectural Technologist on UK and international projects…
8,Childrenswear Garment Technologist,,London,,"Understanding of production methods, production cycle and garment construction.Knowledge of global CHW safety requirements and legislation."
9,"Creative Technologist, Global Marketing Innovation",,London N1C,,Actively participate in creative brainstorm sessions related to social media platforms and artist campaigns.Proven track record in a similar role.
10,newRadiopharmacy - Quality Assurance Manager,,London EC1A,,The post-holder should possess creative problem solving skills and the motivation to adopt and drive change.The successful candidate will undertake and oversee…
11,"Editorial Intern, Strategist UK",,London,,The ideal candidate must be able to work 4 days per week (32 hours per week) for 3 months.Updating a selection of top-trafficked stories with alternative links…
12,newSenior architect/technologist,,London,,"Our architectural expertise is dependent upon the adoption of a highly creative outlook, combined with a methodical and technically astute approach."
13,Architectural Technician (London),,London,,"You will be expected to produce the technical documents required for Building Regulations, tender and construction and have experience of contract…"
14,"Senior Manager, Contact Centre Technologist, Deloitte Digita...",,London,,"Including: customer and channel strategy, customer experience design, designing new service capabilities and operations, mobile, online and contact centre…"
15,Client Services Assistant,,London,,Reports to Client Services and Traffic manager.Runners are required to support to our Client Services Manager in providing a high calibre hospitality service…
16,newfrog - Brand Designer,,London,,"Work closely with senior team members to execute the design craft and creative vision.You have a proven ability to produce cutting edge creative work, and a…"
17,Junior Art Director,,London SE1,,Demonstrates an interest in agency-wide projects outside the creative department.Navigate briefing sessions in a way that sets up the creative process for…
18,Design Operations Tool Manager,,London,,"Our growing 200+ Digital Experience Design team (DXD) includes UX and visual designers, service designers, researchers and creative technologists spread across…"
19,frog - Midweight Service Designer,,London,,"Frog partners with customer-centric enterprises to drive sustainable growth, by building and orchestrating experiences at scale, while harnessing the power of…"
20,Sponsorships and Events Manager - Chase UK,,London,,This role will have the advantage of working in a highly collaborative and agile marketing tribe and would appeal to someone used to working with multiple…
21,newLead Facilitator (ASE),,Hybrid remote in London,,"You will be supporting our clients to drive transformation across their business, coach and guide senior leaders to be bold, as well as playing an integral part…"
22,newEquities Technology Business Management Support - Associate,,London,,Primary function of the role is to provide comprehensive financial and strategic support to the Equities Technology organization.
23,Global Platform Lead (Asset Movements),,London,,You will lead a highly inspired and inquisitive team of technologists who are already developing and deploying applications to the highest standards.
24,Management Consultant - Operating Model Strategy - London,,London,,"By combining strategy, technology, data science, and creative design expertise with an inventive mindset, we partner with our clients to innovate and transform…"
25,Architectural Technologist,,Hybrid remote in London,,"We are offering a competitive salary plus generous benefits, and the opportunity to work on a variety of exciting projects in a wide range of sectors."
26,frog - MarTech Consultant,,London,,"Frog partners with customer-centric enterprises to drive sustainable growth, by building and orchestrating experiences at scale, while harnessing the power of…"
27,Strategists Wanted!,,London,,"Strong creative judgement and an opinion.RAPP is an integral part of Omnicom’s Precision Marketing Group, comprising 4,000 creatives, technologists,…"
28,Quantitative Analytics and Electronic Trading Associate - Ex...,,London E14,,"Working with quants and technologists from different teams, you will build on your computer science expertise to help move abstract mathematical ideas into…"
29,newMid-Level Creative,,London,,"You will work closely with a diverse and talented team of designers, strategists, film and content makers and technologists."
30,newInternal Communications Manager - Chase UK,,London,,Work closely with in-house and agency teams to produce creative assets.JPMorgan Chase's new digital bank in the U.K. is seeking an experienced and talented…
31,Financial Services Consultant - Non-Financial Risk & Regulat...,,London,,"By combining strategy, technology, data science, and creative design expertise with an inventive mindset, we partner with our clients to innovate and transform…"
32,Junior Product Designer - QuantumBlack Labs,,London,,"These tools draw on the latest insights from our client work and research & development efforts, and deliver solutions as part of delightful experiences."
33,"Software Architect, Global Banking Platform (London)",,London,,"With your deep knowledge of software design, analysis, development, testing, and operations, your will have technology leadership role to build and shape a high…"
34,Account Management,,London,,"RAPP is an integral part of Omnicom’s Precision Marketing Group, comprising 4,000 creatives, technologists, strategists, and data and marketing scientists…"
35,newInsight Consultant (Brand Strategy),,London,,"With external stakeholders – these may be other agencies (eg creative, design) or partners.The successful candidate will report into a Managing Consultant and…"
36,U.K. Market Lead of SME- Banking and Lending - Chase UK,,London,,"Defining market and revenue opportunities for a specific customer segment, market and/or product.Experience in developing and managing go-to-market plans."
