,title,company,location,salary,summary
0,Creative Technologist,Burberry,London,,Contribute proactively to creative brainstorms and workshops.Support creative team with the “art of the possible”.
1,Head of Production - Creative Lab EU - GBM,TikTok,London,,"Sell production as a creative resource and ensure production starts upstream.You will cultivate a collaborative environment in which producers, technologists,…"
2,PA to creative director/founder,Jason Bruges Studio,London,,"Experience within a busy creative environment.He leads a pioneering team of architects, designers, creative technologists, programmers, computational designers…"
3,Middle Creative,"The Ogilvy Group, LLC",Hybrid remote in London SE1,,25 days annual leave + 1 Volunteer Day.We have a flexible working policy with core working hours (10am – 4pm) and have launched our 2 Hybrid Working model.
4,Architectural Technologist,HLM Architects,London E1,,You will have good technical skills and be able to work as part of a team efficiently.Working as an Architectural Technologist on UK and international projects…
5,Creative Technologist,Syneos Health Commercial Solutions,London,,The Creative Technologist is responsible for producing creative and innovative offerings in the healthcare space for Syneos Health EU Communications.
6,Software Engineering,"JPMorgan Chase Bank, N.A.",London,,"BS/BA degree or equivalent experience.Mastery of application, data, and infrastructure architecture disciplines."
7,Childrenswear Garment Technologist,Burberry,London,,"Understanding of production methods, production cycle and garment construction.Knowledge of global CHW safety requirements and legislation."
8,newArchitectural technologist,Brewer Smith Brewer Group,London,,"Our architectural expertise is dependent upon the adoption of a highly creative outlook, combined with a methodical and technically astute approach."
9,newApplication Integration Engineer - Client Connectivity,Morgan Stanley,London,,EDUCATION LEVEL: Bachelor's Degree.JOB: Production Management and Operational Support.Client Connectivity Services is responsible for the global connectivity…
10,"Creative Technologist, Global Marketing Innovation",Universal Music Group,London N1C,,Actively participate in creative brainstorm sessions related to social media platforms and artist campaigns.Proven track record in a similar role.
11,Development Technologist,Bakkavor,London,"£28,000 a year",Innovate new products and processes in response to customer briefs to maintain and grow a creative catalogue of products for our customers.
12,newRadiopharmacy - Quality Assurance Manager,Barts Health NHS Trust,London EC1A,"£54,223 - £60,316 a year",The post-holder should possess creative problem solving skills and the motivation to adopt and drive change.The successful candidate will undertake and oversee…
13,newSponsorships and Events Manager - Chase UK,"JPMorgan Chase Bank, N.A.",London,,This role will have the advantage of working in a highly collaborative and agile marketing tribe and would appeal to someone used to working with multiple…
