,title,company,location,salary,summary
0,newCreative Technologist,,"New York, NY",,"8+ years' experience with creative technology, front-end development or related fields.Day-to-day, you'll collaborate closely with our design and product teams…"
1,Lead Creative Technologist (Front-End),,"Brooklyn, NY",,10+ years of creative technology experience w/ fast-paced design agencies & clients.Work with creative & strategy teams to contribute quickly and iteratively…
2,"CIB - Sr. UI Developer / Creative Technologist, Associate",,"New York, NY",,"The Creative Technologist develops and refines tools essential to product development, design systems, communication and application development."
3,Senior Creative Technologist,,"New York, NY",,"Builds strong relationships with creatives for collaboration on creative ideas.Plays a key role in evolving the agency creative vision, creating prototypes to…"
4,Creative Technologist,,"New York, NY 10019 (Midtown area)",,"We create, package and sell products with cutting-edge technology and proprietary platforms.Prototype and develop bespoke interactive stories—collaborating…"
5,"Creative Technologist, Creative Shop Labs",,"New York, NY",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
6,Web Design Technologist,,"New York, NY",,Location: Flexible (ET operating hours)*.Storytelling and visual design are your hallmark strengths and you are an expert user of design software (ideally…
7,Design Technologist,,"New York, NY",,"As a member of RISIRISA’s design team, you will be joining an interdisciplinary group of scientists, mathematicians, designers, and engineers that work with…"
8,Sr. Design Technologist (Interaction/AppFlow),,"New York, NY+4 locations",,"5+ years of experience as a front-end technologist, engineer, or UX prototyper.Bachelor's degree in design, human-computer interaction (HCI), design, or…"
9,Creative Product Technologist,,"New York, NY",,"The ideal candidate will be comfortable in a hybrid position, spending their time developing new rich media advertising formats and dynamic creative solutions…"
10,Creative Technologist - Digital Experience Design - Senior,,"New York, NY 10020 (Midtown area)",,"Exceptional critical thinking and creative problem-solving skills.Collaborate with clients, design teams and other technologists on projects across multiple…"
11,Capgemini Invent- Design Technologist II,,"New York, NY",,"As a Design Technologist, you’ll use the latest tools and techniques to take projects from idea to reality.Worked on 1+ production applications using a major…"
12,Senior Design Technologist,,"New York, NY+1 location",,"As a Senior Design Technologist, you'll use the latest tools and techniques to take projects from idea to reality."
13,Senior Design Technologist (Front End Developer),,"New York, NY",,"As a Senior Design Technologist focusing on Front End Development, you'll use the latest tools and techniques to take projects from idea to reality."
14,Senior Design Technologist (Full Stack Developer),,"New York, NY",,"As a Senior Design Technologist focusing on Full Stack Development, you'll use the latest tools and techniques to take projects from idea to reality."
15,"Design Technologist/Senior Design Technologist, Design Syste...",,"Remote in New York, NY 10007",,You will help level up the way designers and engineers work together and help evolve our Design System into a core part of our software toolkit.
16,"Design Technologist (STEM, Maker Education)",,"New York, NY 10018 (Garment District area)",,"Imagine - you can design a dream STEM project that a group of 5-7yo children can work on for a week.In collaboration with our curriculum team, you will utilize…"
17,"CIB - Sr. UI Developer / Creative Technologist, Associate",,"New York, NY",,"The Creative Technologist develops and refines tools essential to product development, design systems, communication and application development."
18,Senior Creative Technologist,,"New York, NY",,"Builds strong relationships with creatives for collaboration on creative ideas.Plays a key role in evolving the agency creative vision, creating prototypes to…"
19,Creative Technologist,,"New York, NY 10019 (Midtown area)",,"We create, package and sell products with cutting-edge technology and proprietary platforms.Prototype and develop bespoke interactive stories—collaborating…"
20,"Creative Technologist, Creative Shop Labs",,"New York, NY",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
21,Web Design Technologist,,"New York, NY",,Location: Flexible (ET operating hours)*.Storytelling and visual design are your hallmark strengths and you are an expert user of design software (ideally…
22,Design Technologist,,"New York, NY",,"As a member of RISIRISA’s design team, you will be joining an interdisciplinary group of scientists, mathematicians, designers, and engineers that work with…"
23,Sr. Design Technologist (Interaction/AppFlow),,"New York, NY+4 locations",,"5+ years of experience as a front-end technologist, engineer, or UX prototyper.Bachelor's degree in design, human-computer interaction (HCI), design, or…"
24,Creative Product Technologist,,"New York, NY",,"The ideal candidate will be comfortable in a hybrid position, spending their time developing new rich media advertising formats and dynamic creative solutions…"
25,Creative Technologist - Digital Experience Design - Senior,,"New York, NY 10020 (Midtown area)",,"Exceptional critical thinking and creative problem-solving skills.Collaborate with clients, design teams and other technologists on projects across multiple…"
26,Capgemini Invent- Design Technologist II,,"New York, NY",,"As a Design Technologist, you’ll use the latest tools and techniques to take projects from idea to reality.Worked on 1+ production applications using a major…"
27,Senior Design Technologist,,"New York, NY+1 location",,"As a Senior Design Technologist, you'll use the latest tools and techniques to take projects from idea to reality."
28,Senior Design Technologist (Front End Developer),,"New York, NY",,"As a Senior Design Technologist focusing on Front End Development, you'll use the latest tools and techniques to take projects from idea to reality."
29,Senior Design Technologist (Full Stack Developer),,"New York, NY",,"As a Senior Design Technologist focusing on Full Stack Development, you'll use the latest tools and techniques to take projects from idea to reality."
30,"Design Technologist/Senior Design Technologist, Design Syste...",,"Remote in New York, NY 10007",,You will help level up the way designers and engineers work together and help evolve our Design System into a core part of our software toolkit.
31,"Design Technologist (STEM, Maker Education)",,"New York, NY 10018 (Garment District area)",,"Imagine - you can design a dream STEM project that a group of 5-7yo children can work on for a week.In collaboration with our curriculum team, you will utilize…"
32,"CIB - Sr. UI Developer / Creative Technologist, Associate",,"New York, NY",,"The Creative Technologist develops and refines tools essential to product development, design systems, communication and application development."
33,Senior Creative Technologist,,"New York, NY",,"Builds strong relationships with creatives for collaboration on creative ideas.Plays a key role in evolving the agency creative vision, creating prototypes to…"
34,Creative Technologist,,"New York, NY 10019 (Midtown area)",,"We create, package and sell products with cutting-edge technology and proprietary platforms.Prototype and develop bespoke interactive stories—collaborating…"
35,"Creative Technologist, Creative Shop Labs",,"New York, NY",,"5+ years of experience in creative technology, or similar role.Portfolio of projects that demonstrate your skills as a technologist/developer."
36,Web Design Technologist,,"New York, NY",,Location: Flexible (ET operating hours)*.Storytelling and visual design are your hallmark strengths and you are an expert user of design software (ideally…
37,Design Technologist,,"New York, NY",,"As a member of RISIRISA’s design team, you will be joining an interdisciplinary group of scientists, mathematicians, designers, and engineers that work with…"
38,Sr. Design Technologist (Interaction/AppFlow),,"New York, NY+4 locations",,"5+ years of experience as a front-end technologist, engineer, or UX prototyper.Bachelor's degree in design, human-computer interaction (HCI), design, or…"
39,Creative Product Technologist,,"New York, NY",,"The ideal candidate will be comfortable in a hybrid position, spending their time developing new rich media advertising formats and dynamic creative solutions…"
40,Creative Technologist - Digital Experience Design - Senior,,"New York, NY 10020 (Midtown area)",,"Exceptional critical thinking and creative problem-solving skills.Collaborate with clients, design teams and other technologists on projects across multiple…"
