,title,company,location,salary,summary
0,"Design Technologist, UX, Shopping Design",,"Seattle, WA+14 locations",,Evaluate and document any new creative and/or engineering standards or patterns that could arise from your work.Experience with retail and e-commerce design.
1,Senior Design Technologist,,"Seattle, WA 98188",,Build a scaleable code-based design system and pattern library that has UX intention baked directly into it in the form of component granularity and code…
2,"Sr. Product Manager - Tech, Video Advertising Supply team",,"Seattle, WA",,We’re also looking for a technologist who is passionate about learning and identifying technical capabilities that enable the team to build systems for the long…
3,Design Technologist - SMB,,"Seattle, WA",,Design Technologists build experiments through the creation of tooling and code; identify and refine design concepts through technical and creative insight;…
4,"Design Technologist, UX, Shopping Design",,"Seattle, WA+14 locations",,Evaluate and document any new creative and/or engineering standards or patterns that could arise from your work.Experience with retail and e-commerce design.
5,Senior Design Technologist,,"Seattle, WA 98188",,Build a scaleable code-based design system and pattern library that has UX intention baked directly into it in the form of component granularity and code…
6,"Sr. Product Manager - Tech, Video Advertising Supply team",,"Seattle, WA",,We’re also looking for a technologist who is passionate about learning and identifying technical capabilities that enable the team to build systems for the long…
7,Design Technologist - SMB,,"Seattle, WA",,Design Technologists build experiments through the creation of tooling and code; identify and refine design concepts through technical and creative insight;…
8,"Design Technologist, UX, Shopping Design",,"Seattle, WA+14 locations",,Evaluate and document any new creative and/or engineering standards or patterns that could arise from your work.Experience with retail and e-commerce design.
9,Senior Design Technologist,,"Seattle, WA 98188",,Build a scaleable code-based design system and pattern library that has UX intention baked directly into it in the form of component granularity and code…
10,"Sr. Product Manager - Tech, Video Advertising Supply team",,"Seattle, WA",,We’re also looking for a technologist who is passionate about learning and identifying technical capabilities that enable the team to build systems for the long…
11,Design Technologist - SMB,,"Seattle, WA",,Design Technologists build experiments through the creation of tooling and code; identify and refine design concepts through technical and creative insight;…
12,"Design Technologist, UX, Shopping Design",,"Seattle, WA+14 locations",,Evaluate and document any new creative and/or engineering standards or patterns that could arise from your work.Experience with retail and e-commerce design.
13,Senior Design Technologist,,"Seattle, WA 98188",,Build a scaleable code-based design system and pattern library that has UX intention baked directly into it in the form of component granularity and code…
14,"Sr. Product Manager - Tech, Video Advertising Supply team",,"Seattle, WA",,We’re also looking for a technologist who is passionate about learning and identifying technical capabilities that enable the team to build systems for the long…
15,Design Technologist - SMB,,"Seattle, WA",,Design Technologists build experiments through the creation of tooling and code; identify and refine design concepts through technical and creative insight;…
16,"Design Technologist, UX, Shopping Design",,"Seattle, WA+14 locations",,Evaluate and document any new creative and/or engineering standards or patterns that could arise from your work.Experience with retail and e-commerce design.
17,Senior Design Technologist,,"Seattle, WA 98188",,Build a scaleable code-based design system and pattern library that has UX intention baked directly into it in the form of component granularity and code…
18,"Sr. Product Manager - Tech, Video Advertising Supply team",,"Seattle, WA",,We’re also looking for a technologist who is passionate about learning and identifying technical capabilities that enable the team to build systems for the long…
19,Design Technologist - SMB,,"Seattle, WA",,Design Technologists build experiments through the creation of tooling and code; identify and refine design concepts through technical and creative insight;…
