,title,company,location,salary,summary
0,DFT Engineer (Design For Testability),Sevitech Systems Pvt ltd.,"Remote in Bengaluru, Karnataka","₹15,00,000 - ₹50,00,000 a year","Analyze design and propose best compression technique.BTech. / M. Tech. with 3+ years of experience as a DFT Engineer,.Debug and resolve the DRC issues."
1,Remote - Experienced NETWIN Design Engineer,CCI Systems Private Limited,"Temporarily Remote in Bengaluru, Karnataka","₹3,00,000 - ₹9,50,000 a year","Cable TV, RF and Fiber (FTTx) design experience a must.Ambitious and personable people who have experience with FTTH and HFC design software."
2,newStaff Engineer - ASIC Design,Micron,"Bengaluru, Karnataka",,Be able to synthesis RTL design and analyze its timing report.Be able to write RTL code with System VerilogHDL.Experience with any Git framework.
3,newJunior Design Engineer 2-India,"Kennametal, Inc.","Bengaluru, Karnataka",,"With over 80 years as an industrial technology leader, Kennametal Inc. delivers productivity to customers through materials science, tooling and wear…"
4,newSolidWorks Design Engineer,V3 Technologies,"Peenya, Bengaluru, Karnataka","₹15,000 - ₹25,000 a month",Should be a Mechanical Engineer either DME or BE.Should have minimum one year experience in SolidWorks.Knowledge of 3D Modeling and Drawing creation with GD&T…
5,newDesign Engineer,GLOINNT,"Bengaluru, Karnataka","₹4,36,426 - ₹10,07,214 a year",Experience in design and sizing of Aircraft primary structural components and parts.Carry out Static calculations to assess design solutions using standard…
6,Design Engineer (CAD & CAM),Dynatech Tools and Devices,"Bengaluru, Karnataka","₹2,13,909 - ₹6,00,000 a year","Knowledge of MS Office and MS Excel.Job Types: Full-time, Regular / Permanent.Aerospace park, Bengaluru, Karnataka: Reliably commute or planning to relocate…"
7,newLogic Design Engineer,IBM,"Bengaluru, Karnataka",,3 to 8 years in the Logic design area.Drive design closure including test plan reviews and verification coverage.To think along with clients and sell.
8,newDesign Engineer,ANN Flud Dynamiks Pvt Ltd,"Bengaluru, Karnataka","₹15,000 a month","Job Types: Full-time, Regular / Permanent.Near Peenya 2nd Stage, Bangalore, Karnataka: Reliably commute or planning to relocate before starting work (Preferred…"
9,newEngineer - Transmission Design,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka",,Exposure to Lightweight design concepts and optimzation techniques.Electric Drive Unit - Houisng design and development activities.
10,Design Engineer - Mech,ABB,"Hybrid remote in Bengaluru, Karnataka",,Preparation of detailed drawings from preliminary design.Strong engineering background with knowledge of Sheet metal design & Busbar sizing.
11,Design Engineer,Reva project engineers,"Bengaluru, Karnataka","₹15,000 - ₹25,000 a month","Mechanical design: 1 year (Preferred).Experience in Creo Parametric, Solidworks and Autocad is preferable.Job Types: Full-time, Regular / Permanent."
12,Design Engineer,Schneider Electric,"Bengaluru, Karnataka",,"Experience in product design, production Engineering.Have manufacturing/tooling knowledge to deliver plastic parts design."
13,newJr. Design Engineer,Allied Moulded Enclosure Products India Pvt Ltd,"Bengaluru, Karnataka","₹3,00,000 a year",Allied’s global vision is to produce the highest quality products & deliver the highest level of customer service through its talented employee base.
14,Design Engineer: SPM/ Fixtures/ Robotics/ Machine Tools,Client of Automation Talent India,"Bengaluru, Karnataka","₹3,00,000 - ₹8,00,000 a year","Execute in depth engineering & analyses of design of child parts, sub-assemblies and structures, followed by simulation & analyses of complete machine."
15,newDesign Engineer (CAD),ALSTOM,"Bengaluru, Karnataka",,Should be capable of designing Auto-CAD/BIM drawings the various Telecom sub-systems for Urban/Mainline projects based on the project requirements.
16,Electrical Design Engineer,IC Pro Solutions,"Bengaluru, Karnataka",,Experience in Electrical design and development of control panel and Electrical architectures and troubleshooting electrical problems.
17,newSenior SPM Design Engineer,Syscon Instruments pvt ltd,"Bengaluru, Karnataka",,"Good understanding of overall design, conceptualization and Integration.Job responsibilities: Design of Special purpose machines, Audit the designs produced,…"
18,newDesign Engineer,cosmicnest Pvt Ltd,"Bengaluru, Karnataka",,"3-dimensional modeling by using Sketch-up, 3d max, v ray,.Job Types: Full-time, Regular / Permanent.Total work: 1 year (Preferred)."
19,Design Engineer,Endivite Technologies,"Bengaluru, Karnataka",,E1xperience on Electrical panel design and schematic Drawings using Solid works 2019 and Autocad software.Core (Technical / operational responsibilities e.g.…
20,Design Engineer,FBA CONSULTING ENGINEERS,"Basaveshwaranagar, Bengaluru, Karnataka",,"Experience - 5-10 years experience.Knowledge in Rivet & RCDC preferred.Job Types: Full-time, Contractual / Temporary.Total work: 5 years (Preferred)."
21,Technical design Assistant engineer -Excellent in Auto cad),Arvi Systems & Controls Pvt. Ltd,"Bengaluru, Karnataka",,Maintain updated project file of all the existing designs & new modifications and implementations.1.Collect the data of the new project (product) and prepare…
22,newNew Product Development Engineer- Chassis Design,Marutee Design and Engineering,"Bengaluru, Karnataka",,"Hands on knowledge in Casting, BIW, Sheetmetal Components design and their design guidelines.Knowledge of design processes, DFMEA."
23,"Design Engineer, Auto Cad Designer, automation",EBSL,"Bengaluru, Karnataka",,To make them easy to understand the designs.At least 3 5 years of experience in the calculations and design.Preparation of Layout and detail drawings.
24,Design Engineer,M/s Flutech Interiors India Pvt Ltd,"Bengaluru, Karnataka",,Designing the drawings for HVAC installation.Reading the BOQ descriptions and revising the drawings if required.Total work: 1 year (Preferred).
25,newIC Package Design Engineer,Intel,"Hybrid remote in Bengaluru, Karnataka",,Defines overall package performance and specification and realizes technology certification through layout design and test vehicle design.
26,OEM Design Engineer,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka",,"Equipment concept design and layout creation.Assembly equipment design, planning, installation & commissioning.Time Study using MTM."
27,Analog Design,Samsung Electronics,"Bengaluru, Karnataka",,"Transistor level circuit designs, block architectures, design partitioning and full chip.Experience working with production test engineers to firm up design…"
28,"newProject Executive, Real Estate",Google,"Bengaluru, Karnataka",,"Consult and analyze construction agreements, design/consulting engineer appointments, and procurement methodologies.Experience in leading multi-cultural teams."
29,Design Engineer,Bharat Glass & Crockeries,"Bengaluru, Karnataka",,With Minimum Experience of 5- 7 years.Also We are looking for minimum of 1 year experience fresh Solid work Candidates.Total work: 5 years (Preferred).
30,newSERDES RTL/Logic Design Engineer,Intel,"Hybrid remote in Bengaluru, Karnataka",,"Test design using formal verification tools and functional verification environment.?Good knowledge of digital logic design, IP/SoC architecture and…"
31,Design Engineer,777Trinity Technologies,"Bengaluru, Karnataka","₹4,50,000 - ₹5,50,000 a year","Job Types: Full-time, Permanent.Job Types: Full-time, Regular / Permanent.Wiring Harness: 2 years (Preferred).UG NX: 2 years (Preferred)."
32,Automotive Design Engineer,Anthropos Consulting LLP,"Bengaluru, Karnataka","₹2,37,222 - ₹7,06,420 a year","Components and Assembly design knowledge Creo Surface modeling, GD &T.Should be able to work independently, generate concepts, develop manufactural designs &…"
33,NPME (Electrical System Engineer/ Electrical Design Engineer...,PERINT SYSTEMS,"Bengaluru, Karnataka","₹1,75,000 - ₹7,00,000 a year","2 or more years manufacturing/design engineering experience, or equivalent.Engineering Change Order/Number creation is part of the role, providing design…"
34,"Electromechanics/Electrotechnology, Design Engineer",Schneider Electric,"Bengaluru, Karnataka",,"Expertise in design of sheet metal and plastic part design.Need to source candidates who have relevant experience in new product design, who can create design…"
35,Design Engineer,QuEST Global Engineering,"Bengaluru, Karnataka",,"Modeling of Metallic , Sheet Metal , Composite and Manual drawing parts and Assemblies.B.E/B.Tech/BS-Aerospace Engineering."
36,PCB Layout Engineer,Intel,"Bengaluru, Karnataka",,Creates Logical Symbols Land pattern footprints of all types of electronic components mechanical parts Sockets mechanical drawings and other PCB related parts…
37,"Staff Engineer, Product Design Engineering",Western Digital,"Bengaluru, Karnataka",,"Serves as the central resource with design, process, manufacturing, test, quality and marketing as the product(s) move to production and distribution."
38,newPCB Design Engineer,Rehob Technologies,"Bengaluru, Karnataka","₹10,000 - ₹15,000 a month","Looking for Electrical/Electronic Engineers, Diploma holders (Fresher) for Design Engineer Trainee position at Bangalore Location."
39,newHardware/Board Design Engineer,Intel,"Hybrid remote in Bengaluru, Karnataka",,"Board design engineers at Intel have a great opportunity to enhance their skills in board and system design.Knowledge of Signal Integrity, Power Integrity, VR…"
40,Electrical Design Engineer,buildAhome,"Bengaluru, Karnataka",,"Preparing BOQ for MEP designs, periodic site visits.Lighting requirement calculations and earthing calculations for electrical systems and for lightning…"
