,title,company,location,salary,summary
0,"Senior Software Engineer, Front End",Google,"Chicago, IL (West Town area)",,"We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking…"
1,Design/Standardization Engineer,ENSPIREA,"Evanston, IL 60201 (Downtown area)",,"Provide automated design process consulting and engineering services: to create 3D models and templates using CATIA V5, write VBA programs and macro for…"
2,Design Engineer,CNH Industrial,"Burr Ridge, IL+1 location",,"Support the design of agricultural planting equipment with timely, efficient, and cost-effective designs and have specific accountability for assigned…"
3,Manufacturing Integration Engineer (Manufacturing Design),Molex,"Lisle, IL 60532",,Identify and lead any prototype work required in early design stage to verify use of new technology or concepts in product or process design to reduce risk and…
4,"Senior Staff Engineer, RFIC Design",pSemi,"Arlington Heights, IL",,Product Documentation: Document all relevant product and design information to educate others on novel design techniques and provide guidance on product usage.
5,"Front End Engineer, Design Systems",ActiveCampaign,"Chicago, IL 60602 (The Loop area)+1 location",,"Background in not only design systems but also visual design, interaction design and experience strategy.Highly proficient in translating a static design and…"
6,Electrical Design Engineer - December 2021 or May 2022 Start...,IMEG Corp.,"Chicago, IL+1 location",,"Assist with documenting design decisions, meetings, and instructions from client promptly while monitoring project design progress;"
7,"Staff Engineer, RFIC Design",pSemi,"Arlington Heights, IL",,Product Documentation: Document all relevant product and design information to educate others on novel design techniques and provide guidance on product usage.
8,Sr. Metrology Engineer - Gage Design,GE Appliances,"Chicago, IL 60620 (Auburn Gresham area)",,"Leverage dimensional engineering practices to predictively optimize product quality design to achieve world class fit, finish, and craftsmanship."
9,Front-End Developer,ArtVersion,"Remote in Chicago, IL+1 location",,"Work with strategy and creative teams from the start of a design to production and launch.Involved in site architecture, strategy, and planning."
10,I&C Design Engineer 2A - Dresden,Constellation,"Warrenville, IL 60555",,Preparation and approval of design outputs and plant changes in accordance with approved processes and design requirements.
11,Driveline Electrification Integration Design Engineer,CNH Industrial,"Burr Ridge, IL",,Drive DFMEA and design reviews.Collaborate with driveline and product engineering teams to integrate component and sub-system designs into the vehicle master…
12,Wireless Power Electromagnetics Design Engineer,nucurrent,"Chicago, IL 60661 (West Loop Gate area)",,Experience with electric motor and/or electric machine design.Translate customer requirements into magnetic parameter constraints for proper coil design and…
13,"Senior Engineer, RFIC Design",pSemi,"Arlington Heights, IL",,Product Documentation: Document all relevant product and design information to educate others on novel design techniques and provide guidance on product usage.
14,"Design Electrical Engineer 1 - Warrenville, IL",Constellation,"Warrenville, IL 60555+1 location",,Preparation and approval of design outputs and plant changes in accordance with approved processes and design requirements.
15,newDesign Engineer,Molex,"Lisle, IL 60532",,2 years of product design experience in Automotive.5 years of product design experience in Automotive.Assist the front-end product team in coming up with…
16,Front End Developer - Nationwide Opportunities,"Amazon Web Services, Inc.","Chicago, IL+1 location",,Experience with responsive web design.Proficient in a broad range of software design approaches and common UX patterns.
17,Design/Standardization Engineer,ENSPIREA,"Evanston, IL 60201 (Downtown area)",,"Provide automated design process consulting and engineering services: to create 3D models and templates using CATIA V5, write VBA programs and macro for…"
