,title,company,location,salary,summary
0,"Level Designer / Scripter, Games Studio",Netflix,"Los Angeles, CA",,Strong game design and communication skills.Assisting with and owning various level designs.This requires a deep understanding of not only design principles…
1,Game Designer (Singleplayer Incubation Team),Electronic Arts,"Los Angeles, CA+1 location",,Experience in rapid prototyping and iterative design.Communicate system designs to teammates in an audience-appropriate way.
2,Design Engineer/SolidWorks Modeler,Toughbuilt,"Los Angeles, CA 90001",,They must show a history of designs that have gone into production.We are currently looking for highly skilled full-time SolidWorks modelers with experience…
3,Game Designer,TRIPP,"Los Angeles, CA",,"Create, test, and tune gameplay balance throughout the product life-cycle.Create and run global live events and new game content."
4,Hardware Design Engineer,Micro/sys,"Los Angeles, CA",,Responsible for component-level design and verification of embedded microcomputers.Strong knowledge of Intel x86 PC/AT architecture required.
5,"OSP Design Engineer I, II, III",AFL Telecommunications LLC,"Los Angeles, CA",,"Knowledge and understanding of various broadband network designs and architecture.Knowledge & experience in AutoCAD, MicroStation, GIS or client proprietary…"
6,Assistant Engineer II Design (Electrical),The Metropolitan Water District of Southern...,"Los Angeles, CA 90012",,"Relevant Experience is defined as: electrical engineering work experience in fields of electrical equipment design, testing, and data collection; facility…"
7,Website Developer,UCLA,"Los Angeles, CA",,Basic experience using design software such as Adobe Photoshop and Dreamweaver.Minimum 3 years of experience in building responsive website pages and designs…
8,SENIOR GAME DESIGNER,The Rogue Initiative,"Los Angeles, CA",,Own your vision from paper design to final gameplay.Strong technical design skills and experience with Unreal Engine 4.
9,newSenior RFIC Design Engineer (100% remote),"Encore Semi, Inc.","Remote in Los Angeles, CA 90012+3 locations",,This role requires solid intuitive and mathematical understanding of transistor-level circuit design and layout issues that drive analog/RF performance.
10,Technical & Systems Game Designer (New Game Incubation Team),Electronic Arts,"Los Angeles, CA",,"The phrase, ""High autonomy, high responsibility, with low oversight"", appeals to you.As part of the Game Design team, invent, then implement gameplay systems…"
11,"newProduct Design Engineer, Reality Labs",Oculus,"Los Angeles, CA 90230",,5+ years of industry experience in mechanical design.Experience with products requiring cosmetic surface treatments and interfacing with industrial design…
12,IC Design Engineer,Silvus Technologies,"Los Angeles, CA",,*Minimum Experience: *Hands on experience with design of analog circuit blocks.Candidates with a Bachelor’s Degree and relevant IC design experience will be…
13,Design Engineer – Interior Systems – Steering wheel and driv...,Czinger,"Los Angeles, CA",,Experience in component design release.Experience with electro-mechanical designs.Minimum of 4 years working in automotive of aerospace design engineering.
14,Web Designer / Web Developer / HTML5 Developer: 1099,Artisan Crew Engineering (ACE),"Los Angeles, CA",,"Illustrator, Design for web, Photoshop, Flash, InDesign, HTML, CSS, Dreamweaver, Mac & Windows OS, MS Office etc."
15,Fluid Systems Design Engineer,Czinger,"Los Angeles, CA+1 location",,Experienced with component design release and configuration management.Automotive HVAC and/or refrigeration components design experience is highly desirable.
16,Game Designer - Game Team,SKYDANCE,"Los Angeles, CA 90036 (Mid Wilshire area)",,"Innovation in game design, technology and storytelling is the passion that drives our agile studio of dedicated and talented game creators."
17,Front-End Web Designer & Developer,DRUM WORKSHOP INC,"Hybrid remote in Los Angeles, CA",,"3+ years demonstrated experience in web design.Have a flair for intuitive layout and innovative design?Collaborate on the design of wireframes, web flows and…"
18,Hardware Design Engineer,AMP - Auto Motive Power,"Los Angeles, CA 90089",,"Experience with high voltage high current circuit design is preferred.Support design validation tests and end-of-line tests.BE, ME, or Ph.D. in EE."
19,Design Engineer,Degenkolb Engineers,"Hybrid remote in Los Angeles, CA 90071",,We’re currently seeking a talented structural engineer to join our team at Degenkolb.Careers at Degenkolb are ideal for engineers with a strong background in…
20,Web Developer,The sulfur group,"Los Angeles, CA",,Experience designing and developing responsive design websites.The Sulfur Group is powered by design.A portfolio of responsive web design work is required for…
21,QA Engineer,Rain Instant Pay,"Remote in Los Angeles, CA",,"Experience with design validation like metrics, components and accessibility thinking.Experience in web app testing using different browsers and responsive web…"
22,Validation Engineer (Design Group),Barry Wehmiller Companies Inc,"Los Angeles, CA",,You will be surrounded by exceptional talent who will support your development as both a world-class engineer and a highly effective leader.
23,Solutions Design Engineer - Distribution & Warehousing (REMO...,Ryder System,"Remote in Los Angeles, CA 90006+2 locations",,Support technical review presentations and design validation meetings.Key activities include: - Specialize in a single design discipline - Use advance…
24,Web Designer/Developer (Union Rescue Mission),Union Rescue Mission,"Los Angeles, CA 90013 (Downtown area)",,"7-10+ years marketing and design experience.Revamp and expand our existing websites, landing pages and email designs to boost customer experience, improve…"
