,title,company,location,salary,summary
0,"Audio Engineer, Freakonomics Radio",SiriusXM,"New York, NY 10017 (Midtown area)",,"Contribute to the creative aspects of the shows, including sound design, scoring, and the development of new ideas for creative sound-scaping."
1,"Flutter Product Manager, iOS and Design Agencies",Google,"Hybrid remote in New York, NY",,"Collaborate with design agencies and developers.Familiarity with design agency/client relationships.Experience driving product direction, go-to-market…"
2,newControls Actuation Design Engineer - Entry Level,Raytheon Missiles & Defense,"New York, NY 10025 (Upper West Side area)+1 location",,"Experience with design, building or testing control actuation systems.A minimum of two (2) years of experience in engineering design."
3,Junior Web Developer,Crunchapps,"New York, NY 10014 (West Village area)",,"Graphic design experience strongly preferred.1+ years experience with website design.Great HTML and CSS skills, experience developing web sites without…"
4,Sr. Audio Engineer - Pineapple Studios,"Audacy, Inc.","New York, NY 10014 (SoHo area)",,"Mentoring and training junior engineers.Leadership skills to mentor assistant engineers, apprentices and interns.Such as Zoom and Riverside."
5,Technical Design & Draft Engineer II,Disney Streaming,"New York, NY",,"A design and drafting engineer’s role is largely based in documentation, organization, system design and communication.Information gathering for design builds."
6,Software / Web Developer,Source Enterprises,"New York, NY 10036 (Midtown area)",,Some of our former interns (on the software development side as well as graphic design and marketing dept.).Not only will you learn skills that will last you a…
7,"Data Center Electrical Engineer, Design and Construction",Google,"New York, NY (Chelsea area)",,"Own and manage all power system issues during concept design, detailed design, procurement, bidding, manufacturing, delivery, and installation on site."
8,Audio/Video Recording Engineer,The Juilliard School,"New York, NY 10023 (Upper West Side area)",,"Technical expertise with recording equipment, including microphones commonly used in classical recording, high-quality microphone preamps, signal flow, gain…"
9,"Manager, Audio-Visual Production Engineer",National Football League,"New York, NY 10154 (Midtown area)",,Review project designs interpret blueprints and construction drawings.This includes significant remote event AV production design and management.
10,"Product Design Engineer, Reality Labs",Oculus,"New York, NY 10013 (Chinatown area)",,"4+ years of product design and development experience of handheld and/or wearable high volume consumer electronics, including complex subsystems and/or full…"
11,"Design Engineer (Traffic Engineering, Traffic Data Collectio...",TechniQuest Corporation,"New York, NY 10019 (Midtown area)",,"Prepare Traffic Signing, Striping & Pavement Marking design plans.Prepare MOT, TMP and Detour Plans for design projects.Perform traffic analysis and modeling."
12,Jr Web Developer,Trailblaze Growth Advisors,"New York, NY",,"Experience, understanding and enthusiasm for UI/UX web design.Designing, developing, and testing WP and other CMS platforms."
13,Design Engineer,Alloy,"New York, NY",,"You will help tighten the feedback loop between product, design, and engineering by pushing our design system forward visually and interactively."
14,newVirtual Design and Construction Engineer,Skanska,"New York, NY",,"The successful applicant will work with the VDC Team directing day-to-day management of digital-based processes to enhance design, construction and building…"
15,newAerodynamic Design Engineer - Mid Career,Raytheon Missiles & Defense,"New York, NY 10025 (Upper West Side area)+1 location",,"About Us: At Raytheon Missiles & Defense, you have the opportunity to try new things and make a bigger difference across a broader end-to-end solution, a…"
16,newECAD Senior Design Engineer- Remote,Raytheon Missiles & Defense,"Remote in New York, NY 10025",,"About Us: At Raytheon Missiles & Defense, you have the opportunity to try new things and make a bigger difference across a broader end-to-end solution, a…"
17,AV Systems Design Engineer,Extron,"New York, NY",,"Office: Extron USA Location: Manhattan, NY / New Jersey / New York, NY Department: Sales AV SYSTEMS DESIGN ENGINEER Company Overview Extron is a leading…"
18,Engineer II-Technical Design (US Remote),Windstream Communications,"Remote in New York, NY",,"“Windstream is considered an essential business and we are HIRING NOW. As our company responds to COVID-19, the safety and wellbeing of our employees,…"
19,newCustomer Experience Architect - Design Partner Program - Opp...,VMware,"Remote in New York, NY",,Design Partner Program – Customer Experience Architect VMware’s key customers use digital transformation projects to modernize application development…
