,title,company,location,salary,summary
0,Design Engineer,FloStor Engineering,"San Francisco, CA",,"Responsibilities include defining system requirements, developing material handling layouts (including, but not limited to, conveyors, rack systems and work…"
1,Podcast Engineer SFNext,Hearst Media Services,"San Francisco, CA 94103 (South Of Market area)",,"Edit, sound-design, mix and master episodes.We are seeking someone who will bring high-quality production values and creativity to our podcast offerings,…"
2,GUI Designer/Developer,Makani Networks,"San Francisco, CA",,Work with engineers who are responsible for the backend control to ensure a well architected front-end design and implementation.
3,"Prototyping Engineer, Creative Design (XR/Robotics)",Amazon.com Services LLC,"San Francisco, CA",,Experience working with industrial design and UX teams.3+ years of professional experience in electronics device prototyping and/or experiential design.
4,"Business Operations Associate (Engineering, Product, & Desig...",SoFi,"Remote in San Francisco, CA 94129",,SoFi is looking for a highly organized and proactive Operations Associate to manage key programs and processes and support overall operations for the…
5,Plumbing Engineer or Designer,Tetra Tech,"San Francisco, CA",,3+ years of REVIT and AutoCAD design software experience.5-15 years of MEP industry plumbing design experience required.EIT or PE a plus.
6,Design Engineer,Modern Treasury,"San Francisco, CA",,Experience with user-interface design and design systems.Strong design fundamentals including inclusive design principles and accessibility compliance.
7,Restoration Design Engineer,Environmental Science Associates,"San Francisco, CA 94104 (Financial District/South Beach area)",,Has led multidisciplinary design teams to develop construction documents;ESA is seeking a licensed engineer with 7-12 years of professional experience leading…
8,Protective Design Engineer (Entry Level,KPFF Consulting Engineers,"San Francisco, CA+1 location",,"As a Structural Project Engineer specializing in protective design, you will work individually and collaboratively in the design and analysis of federal and…"
9,IC Design Engineer,Lion Semiconductor,"San Francisco, CA (South of Market area)",,Experience with Cadence IC design tools.BS + MS degree in Electrical Engineering or related field.Experience taping out an IC.
10,newWeb Developer,Frontapp,"San Francisco, CA",,Strong experience with responsive web design.Partner closely with our brand/content and design teams on strategy and project outcomes.
11,Senior Product Design Engineer,Gantri,"San Francisco, CA",,Project-manage and assist designers through the design process.Prototype and test designs according to our quality assurance procedures.
12,Design Engineers,Pannu Larsen McCartney,"San Francisco, CA 94111 (Financial District/South Beach area)",,"M.S. degree in Civil/Structural Engineering; 0 to 5+ years of relevant experience; Knowledge of Building codes & construction practices; Proficiency in ETABS,…"
13,Software Designer,IDEO,"Remote in San Francisco, CA 94105",,"Along the way, IDEO provides a supportive and nurturing environment for you to pursue your professional development—whether you choose to broaden your skill-set…"
14,"UX Engineer, Design",Google,"San Francisco, CA+1 location",,Serve as a mentor for junior UX engineers and peers.Assist front-end engineers with final development of Google products.
