,title,company,location,salary,summary
0,"Design Engineer, DEG Competitive Analysis",Micron,"Seattle, WA 98104 (Downtown area)",,"The Design Engineer in DEG Competitive Analysis is accountable to derive, through engineering analysis, competitor DRAM design capabilities (die size, power,…"
1,R&D Engineer/Designer,Green Canopy NODE,"Remote in Seattle, WA",,"Ability to design for multiple prototyping and manufacturing processes.Work with interdisciplinary teams to design, prototype, and validate products."
2,3D Design Engineer,Amazon.com Services LLC,"Seattle, WA",,"2+ years of experience in a fast paced 3D design environment.The ability to work within and across large, independent teams is a must, so the right person will…"
3,2D Design Engineer,Amazon.com Services LLC,"Seattle, WA+2 locations",,2+ years’ experience in a fast-paced 2D or 3D design environment.This individual will be responsible for creating both detailed and high-level drawings of…
4,newAvionics Design Engineer II/III,Blue Origin,"Seattle, WA+7 locations",,"Develop analog, digital, and mixed-signal designs that interact with avionics systems (including sensors and electromechanical/electrohydraulic actuators);…"
5,"newPrincipal Innovation and Design Engineer, Worldwide Design E...",Amazon.com Services LLC,"Seattle, WA+1 location",,Experience must involve management of engineering design projects.Experience with process design based on Lean Principles.
6,Avionics Cable Harness Design Engineer,Blue Origin,"Seattle, WA+1 location",,"The design and integration of harness support brackets, support design configuration development and trade studies, create designs for hardware installation."
7,Research Lab Design Engineer,Oculus,"Seattle, WA 98109 (South Lake Union area)",,"Experience working within Research & Development, specifically research lab designs.Experience with EHS requirements in relation to lab building and equipment…"
8,PCB Design Layout Engineer-Remote,Hewlett Packard Enterprise,"Remote in Seattle, WA 98101",,"Ability to work with and if necessary drive, engagements with design partners such electrical engineers, mechanical engineers, signal integrity and power…"
9,Sr. Product Design Engineer,Amazon.com Services LLC,"Seattle, WA",,"Working with an interdisciplinary team to execute product designs from concept to production, including design, prototyping, validation, testing, and…"
10,newSoftware Design Engineer III-USD,"Enterprise Solutions, Inc. (ESI)","Seattle, WA",,Research and recommend frameworks and architectural/code design patterns.Advise on technical limitations of software design for products and provide…
11,Design Quality Engineer,Blue Origin,"Seattle, WA",,Identify opportunities for continuous improvement of design quality guidance and requirements.Lead effort to ensure manufacturing planning captures design and…
12,Robotics Design Engineer II,Amazon.com Services LLC,"Seattle, WA+3 locations",,Experience must involve management of engineering design projects. ·.Experience with process design based on Lean Principles.
