,title,company,location,salary,summary
0,newControls Actuation Design Engineer - Entry Level,,"Washington, DC 20011 (Catholic University-Brookland area)+1 location",,"Experience with design, building or testing control actuation systems.A minimum of two (2) years of experience in engineering design."
1,Jr Web Developer (Entry Level),,"Washington, DC",,"Strong understanding of user interface design principles, with proven track record of creative web site development in accordance with the design specifications…"
2,newBroadcast Recording Technician (Audio Engineer),,"Washington, DC 20002 (Capitol Hill area)",,"Audio for video, post-production, and sound design competence.This position will work directly with journalists, producers, and engineers at NPR and throughout…"
3,Design Engineer,,"Washington, DC 20016 (Spring Valley area)",,The successful candidate will work closely with a project engineer assisting/mentoring you in the performance of tasks associated with the preparation of…
4,"Engineer III, Civil Design- ( 21-DETS-4310-301)",,"Washington, DC 20032 (Anacostia area)+1 location",,"Prepares and reviews civil engineering designs.Prepares cost estimates for design services.Carries out established policies for civil engineering design work,…"
5,Web Design Engineer/Drupal specialist,,"Washington, DC",,Skill levels can range from junior design and support staff to highly specialized engineers and legacy application support personnel.What we're looking for.
6,newECAD Senior Design Engineer- Remote,,"Remote in Washington, DC 20011",,"Experience with the electrical design process.Working designs include full designs, re-spins, simple tasks, change notices, and process improvement projects…"
7,Design Engineer (Site-Civil Design),,"Washington, DC 20004 (Downtown area)",,"Enhance your technical site design knowledge with more advanced design concepts.Experience in site civil design.As a Design Engineer at Bohler, you will:"
8,Plumbing Designer/Engineer,,"Washington, DC 20036 (Dupont Circle area)",,"Developing knowledge of mechanical system design.Overview: At Page, we promise design that makes lives better.Will you join us? #li-."
9,newCustomer Experience Architect - Design Partner Program - Opp...,,"Remote in Washington, DC",,We look beyond the barriers of compromise to engineer new ways to make technologies work together seamlessly.The Design Partner program is intended to link new…
10,Front End Developer,,"Remote in Washington, DC",,Design and develop responsive front-end web application interfaces;Architect technical solutions and develop high-level designs based on business requirements;
11,Front End Developer,,"Washington, DC 20001 (Shaw area)",,Help bring our designs to “clickable” life.The successful applicant will help turn our beautiful designs into stunning interactive experiences.
12,Web Design and Drupal Theming Support,,"Washington, DC",,Excellent HTML/CSS skills; ability to plan and design responsive sites for multiple viewports.Solid knowledge of Photoshop or Fireworks; skilled at converting…
13,newElectrical Power Design Engineer,,"Washington, DC 20011 (Catholic University-Brookland area)+4 locations",,We are looking for senior level engineers who have power electronics knowledge to help design robust power systems for important national defense products.
14,Full-Stack Developer,,"Washington, DC+1 location",,"Experience with HTML and CSS, including cross-browser compatibility and responsive Web design.Experience with usability analysis, testing, and client-facing…"
15,Frontend Developer,,"Washington, DC",,3+ Years of Front-end design/development for the web.Intricate knowledge and experience with responsive design and its implementation nuances will be essential…
16,Design Engineer - Civil,,"Washington, DC",,Supporting project managers and senior engineers.Experience and proficiency in design work.We’re looking for someone who can assist engineers and project…
17,newUI Developer,,"Washington, DC 20001 (Swampoodle area)",,"Remain current on emerging design trends.Co-facilitate user experience design workshop sessions and illustrate design ideas using storyboards, process flows,…"
18,Media Broadcast Engineer,,"Washington, DC 20024 (Southwest Waterfront area)",,Provide broadcast media engineering support including;Technical assistance for broadcast and IT-related on-site equipment.
19,Web Developer - Healthcare,,"Washington, DC 20571 (Downtown area)",,Supporting the development of healthcare related visual communication and visualization of progress towards achieving objectives for internal and external…
20,LPD/LSD Design Integration Manager,,"Washington, DC",,Research new technology and design tools to remain informed of current technology with respect to ship design and systems engineering.
21,newWeb Developer,,"Washington, DC 20003 (Navy Yard area)",,Work closely with colleagues to constantly innovate app functionality and design.Clearance Level Must Be Able to Obtain: Public Trust.
22,"newAdvancement Coordinator, Schools of Architecture & Planning...",,"Washington, DC 20064 (Catholic University area)",,"Travel management preferred; experience with Raiser’s Edge, web design interface tools (iModules, WordPress, or similar), basic graphic design or desktop…"
23,Web Designer / Developer,,"Washington, DC",,Apply user-centered design techniques and best practices to design websites and create a positive user experience;Cross-browser and interface testing;
24,Web Site Developer,,"Washington, DC 20002 (Capitol Hill area)",,"Candidates must have at least 3 years of demonstrated web design/development experience, excellent communication and organization skills, and a self-directed…"
25,Solutions Design Engineer - Warehousing & Distribution (REMO...,,"Remote in Washington, DC 20080+3 locations",,"Execute design processes to create, re-design, or optimize logistics networks.Warehousing design and layout experience."
26,Software Design Manager - Remote,,"Remote in Washington, DC",,This position oversees staff responsible for the front and back-end design of our pharmacy network applications.Background in the Agile SDLC process.
27,Senior Solutions Design Engineer - Distribution & Warehousin...,,"Remote in Washington, DC 20080",,"Execute design processes to create, re-design, or optimize logistics networks.Specialize across multiple design disciplines."
