,title,company,location,salary,summary
0,Product Researcher,Canva,北京市,,Join us and design your future... Designers to help bring better experience for users. As researcher...
1,UX Researcher 2 - Studio8,Microsoft,北京市,,"design works... UX researcher... design and customer driven product, platform and technology design..."
2,Algorithm Researcher-ByteBrain,Byte Dance,北京市,,self-driving infra platform. 1. Responsible... design and optimization of ByteBrain algorithm...
3,Robotic Researcher - Mechanical Design,Byte Dance,北京市,,R&D and design... mechanical structure... robot 2. Provide the overall design scheme...
4,Senior UX Researcher,Microsoft,北京市,,Senior DesignResearcher... UX design teams in Beijing and Suzhou... Senior Design...
5,15851-Game AI Development Researcher (Beijing),Tencent Holdings Limited,北京市,,"patents Researching, designing, implementing, evaluating... Research, design, implement..."
6,R&D Researcher 5,Keysight Technologies,北京市,,items: 1) Design hardware... members can do the design and implementation 2) Design and develop...
7,5G Advisory Researcher,Lenovo,北京市,,"talented researchers to develop... world class researchers aimed at design, analysis, modeling..."
8,Senior Design Researcher,Microsoft,北京市,,Senior DesignResearcher... UX design teams in Beijing and Suzhou... Senior Design...
9,Senior Researcher in Recommendation System 高级推荐算法工程师,Disney+ Hotstar,北京市,,you’ll do: Design and develop... personalization. Tackle design and architectural challenges...
10,最新Greater China Powder Process Design and Delivery Associate S...,Procter & Gamble,北京市,,"product be designed and produced... You will have chance to coach researcher, practice and demonstrate..."
11,Researcher - Data Center Architecture - MSRA - Full Time - U...,Microsoft,北京市,,"looking for researcher... OS/Hyper-V software, Hardware design, etc.), especially to ensure..."
12,Research Engineer in Recommendation 推荐算法工程师,Disney+ Hotstar,北京市,,learning researchers to build... machine learning and product design to continuously improve over...
13,Intelligent Interaction Researcher (HCI) - Global Future Lea...,Lenovo,北京市,,"You will design Human-computer... other researchers, engineers, and designers. Provide expert advice..."
14,最新AI Pharma Researcher NLP/3D -Vision/CG/ML,Byte Dance,北京市,,"challenge the limits of drug design technology. Qualifications 1... problems, design, experiment..."
15,Researcher-Next Generation Data Center Architecture,Microsoft,北京市,,"looking for researcher... OS/Hyper-V software, Hardware design, etc.), especially to ensure..."
16,Beauty Microbiology Associate Researcher/ Researcher/ Resear...,Procter & Gamble,北京市,,"Our R&D Researcher-track roles... technologies, and product designs. Our Researchers perform..."
17,Machine Learning Engineer,Graphcore,北京市,,"whether you... medical researcher, roboticist or building... solution design for specific..."
18,Video Codec Standards Researcher- Multimedia Lab,Byte Dance,北京市,,JVET/MPEG/JPEG/AVS 3. Participate... design and implementation of ByteDance self-developed video...
19,Research developer in video coding 视频编码算法工程师,Disney+ Hotstar,北京市,,"an experienced researcher... things that you’ll do: Design and develop prototype, proof..."
20,Senior Software Engineer,Microsoft,北京市,,"work with Researcher and PM to design, develop, and deliver... proposals, design, implementation..."
21,Senior Researcher in Recommendation System 高级推荐算法工程师,Hotstar,北京市,,you’ll do: Design and develop... personalization. Tackle design and architectural challenges...
22,Principal Research Engineer in Recommendation System 资深推荐算法工...,Disney+ Hotstar,北京市,,"principal researcher... applications... senior researcher, you’ll be responsible..."
23,Senior Robotics Researcher/Engineer (Beijing),Baidu USA,北京市,,"applications. Key Responsibilities: Research, design, implement, and evaluate novel robotics..."
24,Research Engineer in Recommendation 推荐算法工程师,Hotstar,北京市,,learning researchers to build... machine learning and product design to continuously improve over...
25,Software Engineer 2,Microsoft,北京市,,"work with Researcher and PM to design, develop, and deliver... proposals, design, implementation..."
26,Research developer in video coding 视频编码算法工程师,HotStar,北京市,,"an experienced researcher... things that you'll do: . Design and develop prototype, proof..."
27,Lead Software Engineer - Forecasting (Ad Intelligence),Hulu,北京市,,"use of design patterns, CI/CD... product managers, SDET, and researchers in an open and innovative..."
28,Senior Game Data Analyst-Zhaoxiguangnian,Byte Dance,北京市,,"game design, development... mobile game has a deeper researcher is preferred 4. Master data..."
29,Cloud Software Engineer,Graphcore,北京市,,"medical researcher, roboticist... core function development, design test flow Enrich document..."
30,Senior Software Engineer - Forecasting (Ad Intelligence),Hulu,北京市,,"use of design patterns, CI/CD... product managers, SDET, and researchers in an open and innovative..."
31,Principal Research Engineer in Recommendation System 资深推荐算法工...,Hotstar,北京市,,"principal researcher... applications... senior researcher, you’ll be responsible..."
32,Software Development Engineer 2,Microsoft,北京市,,"work with Researcher and PM to design, develop, and deliver... proposals, design, implementation..."
33,Principal Research Engineer in Recommendation System Senior...,Hong Kong Disneyland,北京市,,"senior researcher, you'll... team and design team to create a good team atmosphere. Design..."
34,Platform Product Manager - Ancient Books Digital Platform/Hu...,Byte Dance,北京市,,"byte beating, design an ancient... researchers 2. To undertake part... product design work..."
35,Principal Software Engineering Manager,Microsoft Corporation,北京市,,"work with Researcher and PM to design, develop, and deliver... proposals, design, implementation..."
36,Market Evangelist,Adjust,北京市,,"Sales and Marketing functions Design & execution of programs... Avid researcher, succinct writer..."
37,Principal Research Engineer in Recommendation System 资深推荐算法工...,Disney+ Hotstar,北京市,,"principal researcher... applications... senior researcher, you’ll be responsible..."
38,Senior Robotics Researcher/Engineer (Beijing),Baidu USA,北京市,,"applications. Key Responsibilities: Research, design, implement, and evaluate novel robotics..."
39,Research Engineer in Recommendation 推荐算法工程师,Hotstar,北京市,,learning researchers to build... machine learning and product design to continuously improve over...
40,Software Engineer 2,Microsoft,北京市,,"work with Researcher and PM to design, develop, and deliver... proposals, design, implementation..."
41,Research developer in video coding 视频编码算法工程师,HotStar,北京市,,"an experienced researcher... things that you'll do: . Design and develop prototype, proof..."
42,Lead Software Engineer - Forecasting (Ad Intelligence),Hulu,北京市,,"use of design patterns, CI/CD... product managers, SDET, and researchers in an open and innovative..."
43,Senior Game Data Analyst-Zhaoxiguangnian,Byte Dance,北京市,,"game design, development... mobile game has a deeper researcher is preferred 4. Master data..."
44,Cloud Software Engineer,Graphcore,北京市,,"medical researcher, roboticist... core function development, design test flow Enrich document..."
