,title,company,location,salary,summary
0,Senior Lead Design Researcher,,"Bengaluru, Karnataka",,"Knowledge of the product design process and experience collaborating with other researchers, designers, content strategists, product managers, operations…"
1,Associate User Researcher,,"Bengaluru, Karnataka",,Encourage and promote UX and design thinking within the teams that you work with.Be responsible for conducting qualitative and quantitative user research.
2,newUX Researcher Manager,,"Remote in Bengaluru, Karnataka",,They possess a clear vision of the future of user experience and have the courage to pursue forward-thinking design.
3,User Experience Researcher,,"Bengaluru, Karnataka",,"Experience with research design utilizing various methods including but not limited to usability studies, contextual inquiry, and surveys."
4,Design Researcher,,"Bengaluru, Karnataka",,Find novel ways to build a sustainable culture of design and design thinking at IBM.Participate in the product design process to ensure the squad adheres to…
5,User Researcher,,"Bengaluru, Karnataka",,"Promote human-centric design principles and approaches across the organisation.Bachelors/Masters in fields related to user research like design, psychology,…"
6,User Experience Researcher,,"Temporarily Remote in Bengaluru, Karnataka",,"Mentor and coach junior UX researchers on the team.Have a portfolio/research case studies that demonstrate UX research, documentation and visual design skills."
7,Senior UX Researcher,,"Remote in Bengaluru, Karnataka",,"Experience conducting quantitative or mixed-methods research, A/B testing, design of experiments, statistical analyses, etc."
8,"UX Design Lead, Google Pay",,"Bengaluru, Karnataka",,"Portfolio of work demonstrating ability to design for mobile.Experience designing, implementing, or evolving design frameworks."
9,newUser Experience Design Specialist,,"Bengaluru, Karnataka",,"Work closely with other User Experience Designers and User Researchers covering the entire design led development lifecycle, including supporting user research,…"
10,User Researcher 2,,"Bengaluru, Karnataka",,"As researchers, we are customer-obsessed and advocate for them in the product design and development process.Experience with UI design best practices and agile…"
11,User Researcher,,"Bengaluru, Karnataka",,"This position will design and conduct research activities that inform concepts and design direction, and that ultimately improve the customer experience for…"
12,Product Designer III,,"Bengaluru, Karnataka",,4 to 6 years of experience in product design or user experience design for mobile and/or desktop form factors.
13,User Experience Design Associate,,"Bengaluru, Karnataka",,"Background in web and application design, ideally responsive design.Broad experience in user experience projects covering various stages of design life cycle…"
14,User Researcher,,"Bengaluru, Karnataka",,Easily apply insights and findings quickly to make design decisions.Work on multiple projects running concurrently and move quickly toward developing design…
15,DX/UX Researcher,,"Bengaluru, Karnataka",,"IoT Experiences is a team of user and developer experience architects, designers, researchers, and writers within Intel's Internet of Things Group."
16,Manager - UX Design,,"Bengaluru, Karnataka",,"Help establish the design language for visual design and brand guidelines.Strong portfolio of innovative, customer-centric design work that demonstrates…"
17,Lead - UX Design,,"Bengaluru, Karnataka",,"Help establish the design language for visual design and brand guidelines.6+ years of industry experience in design.Today, we are one of."
18,UX Researcher,,"Bengaluru, Karnataka",,"Experience in user-centered design methodologies.Work closely with cross-functional teams to identify and design research studies.Any graduation, and Any PG."
19,newProduct Designer - GoFood,,"Remote in Bengaluru, Karnataka",,"Good knowledge in design fundamentals, such as design thinking frameworks, and able to take on a structured approach in solving problems."
20,Head of UI/UX Design,,"Bengaluru, Karnataka",,"Experience design delivery plans and project workflows.Directly managing a team of interaction designers, visual designers, content strategists/editors, UX…"
21,Senior User Experience Researcher,,"Bengaluru, Karnataka",,"As researchers, we are customer obsessed and advocate for them in the product design & development process.We are a diverse team of researchers that come from…"
22,UX Designer,,"Bengaluru, Karnataka",,"Delivering designs through task flows, Information architecture, Wire-framing, Hi-Fidelity designs.Document the process and align them with existing design…"
23,UX Researcher,,"Remote in Bengaluru, Karnataka",,"We expect to hear stories of how your research influenced product and design team decision-making.Experience in applied product research, with a track record…"
24,UX Researcher I,,"Bengaluru, Karnataka",,"We partner with our clients in UX research and design by uncovering user needs, conceptualizing solutions and supporting product evolution."
25,UX Researcher,,"Bengaluru, Karnataka",,"Prior Experience: Research, UX design.Knowledge of research design, qualitative, and quantitative methodologies.Glance is a free-to-use, zero ad platform."
26,Developer Experience Researcher,,"Bengaluru, Karnataka",,"IoT Experiences is a team of UX architects, designers, researchers, and writers within Intel's Internet of Things Group.INSIDE THE INTERNET OF THINGS GROUP."
27,newUX Writer,,"Bengaluru, Karnataka",,"You work with people in a variety of UX design-related jobs including researchers, product managers, engineers, marketing and customer operations."
28,UX Researcher,,"Remote in Bengaluru, Karnataka",,Working closely with other researchers and data analysts to develop broad approaches to meeting partner needs.Department: Product Design + Creative Studio.
29,UX Researcher,,"Bengaluru, Karnataka",,We are looking for an experienced UX researcher to join our team to help define and drive the future of our platform.100x retail in 5 years.
30,newUI/UX Designer,,"Bengaluru, Karnataka",,"Your exceptional interaction design skills will help us define, design, deliver as well as communicate design solutions in an effective and tangible manner."
31,UX Designer,,"Remote in Bengaluru, Karnataka",,Understand delivering value of a good design today than a great design next year.Administer and collect user acceptance testing and perfect design if needed.
32,Senior Design Researcher,,"Temporarily Remote in Bengaluru, Karnataka",,"Support and lead the development of design research initiatives, including recruitment, fieldwork, analysis of findings, insight and opportunity development."
33,UX Researcher,,"Bengaluru, Karnataka",,"Working with product and design stakeholders as required to devise appropriate research strategies.Knowledge of qualitative and/or design research methods, and…"
34,newProduct Designer,,"Bengaluru, Karnataka",,Familiarity with modern screen design tools like Figma.This includes drawing on data and research to inform design concepts and decision making.
35,"User Experience Design Expert- Figma, Axure",,"Bengaluru, Karnataka",,"Broad experience in user experience projects covering various stages of the design life cycle from user-research through application design, culminating in…"
36,"UX Design Lead, Education",,"Bengaluru, Karnataka",,A design portfolio that demonstrates web and/or mobile platform design principles.10 years of experience in UX design.
37,User Experience Interaction Designer,,"Bengaluru, Karnataka",,"Create storyboards, wireframes, and high-fidelity designs to guide design and development.Guide product design decisions and outcomes to implement experiences,…"
38,User Experience (UX) Researcher,,"Bengaluru, Karnataka",,You are an experienced researcher and manager with expert understanding of a wide range of qualitative and quantitative research methodologies.
39,Designer 2,,"Bengaluru, Karnataka",,"Design craftsmanship and problem-solving skills, who will work collaboratively with UX researchers,.Passion for design and a strong command of interaction and…"
40,User Experience Designer,,"Bengaluru, Karnataka",,"A formal education in design or equivalent practical experience, with an emphasis on user experience, graphic design, or a related design field."
41,UX Researcher,,"Bengaluru, Karnataka",,"Bachelor’s / Master's degree in (cognitive) psychology, HCI, anthropology or design.Plan and execute independent research end-to-end."
42,Senior UX Manager,,"Bengaluru, Karnataka",,"As a design leader, you will.Proven track record building and managing high-performing design teams.Be responsible for and effectively advocate for users in a…"
43,"User Experience Researcher, Quantitative",,"Bengaluru, Karnataka",,"Experience in multivariate statistics and the design of experiments.In this role, you’ll combine skills in experimental design, statistical analysis,…"
44,newSenior User Researcher,,"Bengaluru, Karnataka",,User Researchers work closely together with key design and product team members to identify and explore discovery spaces.8+ years’ experience in User Research.
45,Director / Associate Director - UX Design,,"Bengaluru, Karnataka",,"As a design leader, you will.Proven track record building and managing high-performing design teams.Be responsible for and effectively advocate for users in a…"
46,newUser Researcher,,"Bengaluru, Karnataka",,Lead teams in design thinking and agile methodologies.Craft user experiences alongside key product stakeholders to understand and support product business…
47,Senior UX Researcher – Bangalore,,"Bengaluru, Karnataka",,"Plan, manage and execute all types of design research projects end-to-end thoroughly –.We enable our clients craft great user experiences by opening a window…"
48,Product Designer,,"Bengaluru, Karnataka",,"1+ year of product/UX design experience.Work closely with designers, researchers, and product managers to diagnose and solve problems that are in line with…"
49,"Senior User Researcher, Indian Experience Group",,"Bengaluru, Karnataka",,"This position will design and conduct research activities that inform concepts and design direction, and that ultimately improve the customer experience for…"
50,User Experience Designer,,"Bengaluru, Karnataka",,You will be a strong advocate of great product design by ensuring solutions set high visual and interaction design quality standards in alignment with our…
51,Product Designer,,"Bengaluru, Karnataka",,"1+ year of product/UX design experience.Work closely with designers, researchers, and product managers to diagnose and solve problems that are in line with…"
52,User Experience Engineer,,"Bengaluru, Karnataka",,"Excelling problem-solving and web design skills.UX Engineers are the synthesis of design and development.As a UX Engineer, you will be directly responsible…"
53,UX - Researcher,,"Bengaluru, Karnataka",,Great communication skills; the ability to clearly explain design decisions and process to anyone in the company.
54,Director - User Experience Design,,"Bengaluru, Karnataka",,"Build a collaborative environment and encourage deep partnership with cross-functional teams, setting a high bar for design craft, and define and execute design…"
55,Product Designer / Senior Product Designer,,"Bengaluru, Karnataka",,"Provide design thinking and leadership to develop the right product strategy.Constantly exploring concepts, tweaking flows, or refining designs that represent…"
56,Lead- User Experience Design ( UX Lead ),,"Temporarily Remote in Bengaluru, Karnataka",,"Has extensive experience in using UX design best practices to design solutions, and a deep understanding of mobile-first and responsive design."
57,Content Designer 2,,"Bengaluru, Karnataka",,"Join the team that’s setting the bar for human-centered design and customer-focused experiences.Aligning business, brand, naming, messaging, and design…"
58,newSenior User Experience Design Specialist,,"Bengaluru, Karnataka",,You feel responsible for your work and accompany your designs throughout the design driven development process.Creative and analytical thinking is required.
59,Sr User Experience Researcher,,"Bengaluru, Karnataka",,Experience with qualitative and user-centric design methodologies.Designers work with great understanding and depth in problem statement to deliver and…
60,newUX Designer II,,"Bengaluru, Karnataka",,"Understanding and applying customer feedback, research, and telemetry to the design process.You’ll work in a focused team collaborating with fellow designer,…"
61,Product Manager - Ticketing Platform,,"Temporarily Remote in Bengaluru, Karnataka",,"Engage cross-functionally, partnering with engineering, design, data, and other teams to ship major features and product improvements."
62,newSenior Product Designer - Gofood,,"Remote in Bengaluru, Karnataka",,"Good knowledge in design fundamentals, such as design thinking frameworks, and able to take on a structured approach in solving problems."
63,Senior Designer,,"Bengaluru, Karnataka",,"5+ years of industry experience in UX design.Experience with agile teams and supporting design operations.Fluent in current interaction design tools (Figma,…"
64,Lead Product Designer,,"Bengaluru, Karnataka",,Manage design processes that ensure a high bar for experience at all stages of the product design and development of the experiences from initial…
65,UX Manager,,"Bengaluru, Karnataka",,"As a design leader, you will.Proven track record building and managing high-performing design teams.Be responsible for and effectively advocate for users in a…"
66,newProduct Designer,,"Bengaluru, Karnataka",,"3+ years of experience in interaction design, product design, service design, or related field.Create user interface design, architecture and functionality…"
67,User Experience Designer,,"Bengaluru, Karnataka",,"Passion for design and a strong command over interaction and visual design capabilities.6+ years of experience in product design, service design, or a related…"
68,Sr User Experience Researcher,,"Bengaluru, Karnataka",,Experience with qualitative and user-centric design methodologies.Designers work with great understanding and depth in problem statement to deliver and…
69,newAssociate UX Designer,,"Bengaluru, Karnataka",,Share your designs to solicit constructive feedback.Leverage and contribute to our design system.Experience managing design initiatives/programs from…
70,Senior User Experience Researcher,,"Bengaluru, Karnataka",,Has a history of close collaboration with design and product development.Experience in interpreting insights into potential design and innovation opportunities…
71,UX Designer,,"Bengaluru, Karnataka",,Adopt (and champion) a user-centred design approach through rapidly testing and iterating on your concepts and designs.
