,title,company,location,salary,summary
0,UX Researcher (Remote),,"Remote in Boston, MA",,"You are a UX researcher with 2-3 years of experience conducting qualitative and quantitative research methods.Health, Dental and Vision Insurance."
1,Design Researcher / Design Strategist,,"Boston, MA 02116 (Back Bay area)",,"Study, and graphically document how design and the practice of design impacts society.Assist with synthesizing data findings and information into high quality…"
2,"Front-end Engineer (Denver, Boston, Seattle, Virtual)",,"Boston, MA",,"Bachelor's degree in computer science or related technical discipline or equivalent industry experience.2+ years of programming experience with HTML, CSS, JS,…"
3,Research & Development Product Research Associate Researcher...,,"Boston, MA 02108 (Back Bay-Beacon Hill area)",,"Analyzing, interpreting, and understanding results of consumer studies to inform product design.Designing and running consumer research where we speak directly…"
4,"newResearch Scientist, Language Technologies",,"Remote in Boston, MA",,"You will work in collaboration with other scientists, engineers, product managers, designers, user researchers, and analysts across Spotify to design creative…"
5,"User Researcher, Personalization",,"Remote in Boston, MA",,"This role works closely with a multidisciplinary team of data scientist, product teams, designers and data engineers.Identify and prioritize research studies."
6,UX Researcher,,"Boston, MA 02203 (Central area)",,As a UX researcher you’ll help advise and guide our product and technology teams to develop relevant products and experiences across all stages of the customer…
7,Researcher / Researcher Senior - Job Family,,"Boston, MA 02109 (Haymarket area)",,"Supports research activities for health outcomes projects in the following areas: research designs, methodologies, analysis, and presentation/reporting (with…"
8,Sr. User Research,,"Hybrid remote in Boston, MA 02116",,"Experience integrating user research into product design practices.Partner with design, product, and marketing colleagues to understand business needs, and…"
9,Postdoctoral Researcher,,"Boston, MA+3 locations",,We are seeking a Postdoctoral Associate to support research focused on mechanistic understanding and modeling of the effect of diet on the absorption of oral…
10,Direct Patient Liaison,,"Remote in Boston, MA 02215",,Provides administrative support and coordination for all aspects of patient care within the DFCI Direct program.Assists in the training and mentoring of staff.
11,UX Designer,,"Boston, MA 02116 (Back Bay area)",,"Will work as part of cross-functional team of studio/UX, visual design, copy/content, HCD researchers.Figma, Salesforce knowledge, human centered design."
12,newInpatient Physician Assistant,,"Boston, MA 02215 (Mission Hill area)+3 locations",,The Physician Assistant (PA) is responsible for assisting the Program Attending physicians in the medical management of hematologic (including BMT) and solid…
13,"Security Ambassador 1st shift Mon, Tue, Wed, Sat, Sun 6am -...",,"Boston, MA 02215 (Mission Hill area)+7 locations",,"Under the general direction of the Ambassador Program Supervisor, incumbent provides assistance, direction, concierge and other guest services to patients and…"
14,New Patient Coordinator - Gynecologic Oncology,,"Remote in Boston, MA 02215+1 location",,Provides administrative support and coordination for all aspects of patient care for both new and/or established patients.
15,newEvents Coordinator,,"Boston, MA",,"Takes ownership of events from planning to post-event stages, and works directly with faculty, administrative staff, and researchers to execute events."
16,Research Associate,,"Boston, MA",,HBS seeks a Research Associate (RA) to partner with a faculty member in the Organizational Behavior unit during the 2022 - 2023 academic year and possibly…
17,"Data Scientist, Growth",,"Remote in Boston, MA",,"Work closely with data scientists, user researchers, product managers, designers and engineers.The Freemium R&D team oversees the entire user journey on…"
18,UX Researcher,,"Remote in Boston, MA+1 location",,"You are an experienced researcher with a wide range of qualitative and quantitative research methods.You will design, plan and conduct human-centered research,…"
19,newOpen Rank: Associate/Senior/Principal Research Scientist,,"Boston, MA 02115 (Back Bay area)",,"Research scientists will have full access to computing resources, internal seed grants, active speaker series, professional development activities, and be…"
20,Research Development Officer,,"Boston, MA",,"Experience in academic research, business development, strategic planning, data design and analysis, and technical writing, a plus;"
21,User Experience Designer,,"Boston, MA",,"Develop processes for effective design practice.We also ask that you have a relevant academic education, e.g. psychology, visual design, computer science, etc."
22,newDesign Lead-Visual Design,,"Boston, MA 02109 (Downtown area)",,Advanced interaction and motion design.Create new visual design systems for clients.Deliver interaction design and illustrations for basic digital product…
23,Lead Scientist - Immunotherapy Platform for Antibody and CAR...,,"Boston, MA 02215 (Mission Hill area)+5 locations",,Lead the design and execution of experiments to screen antibodies and CARs to identify leads for clinical translation.Industry research experience a plus.
24,Data Scientist,,"Boston, MA",,"You will be working in a fast-paced, cross-disciplinary team of researchers who are leaders in the field.Currently enrolled or recently completed a graduate…"
25,newData Visualization Specialist,,"Boston, MA 02108 (Downtown area)",,"The Data Visualization Specialist will assist with the design, development, and maintenance of publicly accessible data visualization applications, available…"
26,newSenior UX Researcher,,"Remote in Boston, MA",,"Plan, design and execute user and product usability research studies and experiments aligned with business objectives.Generous Paid Time Off policy."
27,Sustainability Project Coordinator,,"Boston, MA 02114 (West End area)",,"Coordinate and supervise student research assistants, Center researchers, and staff volunteers.Update, improve, and assist with design of Center website, in…"
28,Scientist II,,"Remote in Boston, MA 02215+4 locations",,"The Center aims to redefine the cancer experience by precision prevention, early detection, and interception.The Scientist II will have the opportunity to work…"
29,Qualitative Researcher,,"Boston, MA 02116 (Back Bay area)",,The Qualitative Researcher works with Bain’s consultants and other expert groups (e.g. product design and digital marketing teams) to provide high quality…
30,newProtocol Scheduler - Sarcoma Center,,"Remote in Boston, MA 02215+3 locations",,"Responsible for effective and efficient scheduling of clinical trial or protocol patients and/or transplant donors for clinical services and other resources,…"
31,newResearch Assistant I - Center for Outcome/Policy Research (P...,,"Remote in Boston, MA 02215",,The research assistant will work with a medical oncology researcher who focuses on health services and outcomes for patients with hematologic malignancies.
32,Research Fellow,,"Boston, MA 02215 (Mission Hill area)+14 locations",,The Polizzi lab uses a mix of computational and experimental approaches to design and characterize ligand-binding proteins.
33,Research Specialist,,"Boston, MA",,"Experience in standard molecular biology techniques, including high-throughput plasmid design and cloning, PCR, RNA/DNA extraction and validation, qPCR."
34,Senior User Experience (UX) Researcher,,"Boston, MA",,Experience working with UX research and design teams throughout the product development process.You are guided by your passion for understanding customers and…
35,Evaluation Researcher,,"Boston, MA+1 location",,"Serve as a researcher for planning and conducting evaluations:Ability to identify and integrate equity strategies to the evaluation design, creation, and…"
36,Regulatory Coordinator - Multiple Myeloma,,"Remote in Boston, MA 02215+1 location",,"The Regulatory Coordinators (RC) works under the direction of the Principal Investigator(s), Clinical Research Manager and / or directly for the Clinical Trials…"
37,UXDR User Experience Design & Researcher,,"Boston, MA 02210 (South Boston area)+3 locations",,Demonstrated experience with design and strong interactive/digital work.Solid working knowledge of the latest versions of design programs.
38,55ip - Head of UX Design - Executive Director,,"Boston, MA",,Strong technical writing skills to facilitate the creation of product design documentation.Deep knowledge human-centered design including journey mapping and…
39,Senior Product Designer,,"Remote in Boston, MA 02116",,Contribute new controls or design improvements to our design system (Tide) to help ensure consistency across products.
40,Associate Director IT - Infrastructure and Architecture,,"Boston, MA",,"The role includes strategic leadership, infrastructure architecture and design including financial analysis, and project management."
41,newClinical Research Coordinator - Cantor Center,,"Boston, MA 02215 (Mission Hill area)+9 locations",,The Clinical Research Coordinator works within The Phyllis F. Cantor Center for Research in Nursing and Patient Care Services and supports the research team in…
