,title,company,location,salary,summary
0,Associate Researcher (Data Analytics),,"Remote in Chicago, IL 60637",,Participates in discussions regarding study design and methods.The individual will contribute to discussions regarding study design and methodology; develop…
1,Health Services Researcher,,"Chicago, IL+2 locations",,"Collaborate with senior staff to design rigorous methods for evaluating programs and policies, conduct analyses, draft reports, present findings to policy and…"
2,Human Services Researcher,,"Chicago, IL",,Our researchers support ongoing project teams in the planning and execution of research projects for clients such as: The U.S.
3,newVisual Design Lead,,"Chicago, IL 60601 (The Loop area)+1 location",,Advanced interaction and motion design.Create new visual design systems for clients.Deliver interaction design and illustrations for basic digital product…
4,"Senior Researcher, Education and Employment Division",,"Chicago, IL",,"The senior researcher will join our growing interdisciplinary staff of researchers in education measurement and policy, child development, sociology, economics,…"
5,Survey Researcher,,"Chicago, IL",,"Survey researchers usually work on more than one project at a time.Present findings and disseminate information to policy, practitioner, and researcher…"
6,newAdjunct Faculty in User Experience Design,,"Chicago, IL 60604 (The Loop area)",,"Students in the UxD program prepare to work in the expanding fields of design research, user experience design, and interaction design by developing their…"
7,Learning & Strategy Researcher - Advisory Services,,"Chicago, IL",,"Overseeing design, facilitation, and change management or continuous improvement processes that use participatory and human-centered design approaches."
8,Senior Postsecondary Education Researcher and Project Leader,,"Chicago, IL",,"The senior researcher will join our large and growing interdisciplinary staff of researchers in education measurement and policy, child development, sociology,…"
9,"newSnr UX Researcher, Customer Experience",,"Chicago, IL 60654 (Loop area)+2 locations",,"The researcher will be a part of a horizontal team consisting of product, design, content, and research whose charter is to eliminate those experiences that…"
10,Design Researcher (Remote Opportunity),,"Remote in Chicago, IL 60601",,Familiarity with design thinking and customer journey mapping.Visual design skills that help you communicate customer insights visually and compellingly.
11,UX Designer,,"Chicago, IL 60606 (The Loop area)",,"Will work as part of cross-functional team of studio/UX, visual design, copy/content, HCD researchers.Figma, Salesforce knowledge, human centered design."
12,Senior Researcher - Unemployment Insurance,,"Chicago, IL",,"Senior researchers contribute to continuing growth in the division by directing projects, identifying and obtaining new opportunities, and mentoring junior…"
