,title,company,location,salary,summary
0,Threat Researcher,TikTok,"Los Angeles, CA",,"Expertise in big data analysis, experimental design, survey-design, content analysis, and/or statistical analysis (multivariate analysis of variance,…"
1,"Senior Researcher, Series Content",Netflix,"Los Angeles, CA+1 location",,"Experience socializing insights across different departments, from content/creative to marketing/communications to other researchers, pivoting to different…"
2,Gaming User Experience Researcher (Contractor),ByteDance,"Los Angeles, CA+1 location",,"Ability to handle the end to end research process, design to analysis, will be a plus;This role will be payrolled through a third-party staffing agency."
3,"newLead Org Researcher, People Analytics & Reporting, Talent As...",Deloitte,"Los Angeles, CA 90013 (Downtown area)",,Assists in the conceptualization of analytical projects to ensure research is rigorous and based on up-to-date experimental design principles in behavioral…
4,UX Researcher,Emblaze One,"Los Angeles, CA",,Create functional and appealing product designs.You will design digital products in accordance with company standards.
5,Connectomics Researcher,UCLA Health,"Los Angeles, CA 90095",,"You will also work with the Principal Investigator and other researchers to plan, design and conduct highly technical and complex research projects to meet…"
6,UX Research Associate,TikTok,"Los Angeles, CA",,"Experience integrating user research into product designs and design practices.You will collaborate with design, product management, marketing, operations,…"
7,Graphic Designer,USC,"Los Angeles, CA",,"Demonstrated design conceptualization abilities, both when working within pre-determined style/formats and when creating original solutions."
8,"User Experience Researcher, Snap Lab",Snapchat,"Los Angeles, CA 90291 (Venice area)+2 locations",,"3+ years of experience delivering high impact UX Research for product and design teams.Bachelor's degree in a related field such as UX design, product design,…"
9,Laboratory Technician,UCLA Health,"Los Angeles, CA 90095",,"You will collaborate with the principal investigator and other researchers to plan, design and conduct highly technical and complex research projects and…"
10,User Researcher,"Discovery, Inc.","Los Angeles, CA 90045 (Westchester area)",,"Experience integrating user research into product design practices.1 - 3 years of UX research, testing experience and survey design with large, cross…"
11,Research Programmer I,USC,"Los Angeles, CA",,Writes computer programs to meet system design specifications.Interfaces with researchers to identify and determine requirements.
12,newResearch Associate II - Gayther Lab,CEDARS-SINAI,"Los Angeles, CA+15 locations",,Performs a variety of increasingly sophisticated experimental protocols and procedures and assist in the design of new complex or unusual protocols and…
13,Concept Artist,Genies,"Los Angeles, CA 90014 (Downtown area)",,Bachelor's degree in art/design.Create concept designs and sketches for characters and worlds.Effective researcher that understands how to successfully…
14,newResearch Lab Technician III / Supervisor - TRLab,USC,"Los Angeles, CA",,"Assist to design, develop and execute assays.Serve as a resource to train & assist researchers.The unique facility environment with the centralized equipment…"
15,newStatistical Computing Consultant,UCLA,"Remote in Los Angeles, CA",,"The consultant works with world-renowned faculty, graduate students, and staff researchers to provide general and advanced consultation on key topics such as…"
16,"newProduct Manager, Advertiser Intelligence",Snapchat,"Los Angeles, CA 90291 (Venice area)+1 location",,"Experience working on web sites, in partnership with design strongly preferred.Product design experience, specifically user-facing experiences on the web is a…"
17,newAssociate Admin Director,UCLA,"Los Angeles, CA",,"Advanced knowledge of a variety of administrative operational activities such as event planning, fundraising processes, risk management planning, website design…"
18,Project Manager,USC,"Los Angeles, CA",,The Manager should be able to develop independent research plans; coordinate faculty and staff researchers and others at multiple sites; report to and maintain…
19,Animal Research Integrity Specialist,USC,"Los Angeles, CA+1 location",,"In collaboration with the researcher, coaches on postoperative care and monitoring and other post approval monitoring (PAM) activities."
20,"Brand Designer, Creative X",Meta,"Los Angeles, CA 90066 (Del Rey area)+1 location",,"Portfolio featuring user-friendly product design, web design and branding work.Develop original breakthrough design thinking for a variety of marketing touch…"
21,"Design Program Manager, Manager",Facebook App,"Los Angeles, CA+2 locations",,"Experience in developing design standards and design operations.10+ years of experience in design operations or related fields establishing programs,…"
22,newSenior Research Associate,USC,"Los Angeles, CA",,"Serves as a senior researcher with expertise in field.Searches literature, utilizing all available resources including electronic, regarding new methodology…"
23,"newData Science Manager, Camera",Snapchat,"Los Angeles, CA 90291 (Venice area)+2 locations",,"Experience forming partnerships with cross-functional leaders in engineering, product, design, research, etc.Expertise in SQL and familiarity with Python."
24,Senior Market Researcher,Intuit,"Los Angeles, CA (Woodland Hills area)",,"Build relationships with marketers, market researchers and analysts across business units and locations.Ability to design approach and process for research…"
25,"Research Associate, USC Schaeffer Center",USC,"Los Angeles, CA+1 location",,"The position will be directly involved in all aspects of the research process, including idea generation, research design, research execution, publication and…"
26,UX Designer,USC,"Los Angeles, CA",,"Experience in design using Web Content Accessibility Guidelines (WCAG), with adherence to design and/or human interface guidelines."
27,Product Manager,MarketCast,"Los Angeles, CA 90036 (Mid Wilshire area)",,"Have experience with quantitative research, including survey design, sampling plans and analysis, and tracking programs (brand tracking, customer satisfaction,…"
28,DEN Software Development Manager,USC,"Los Angeles, CA",,Coordinates with faculty and researchers in the integration and development of educational research projects into DEN’s learning environment.
29,Postdoctoral Researcher - Smidt Heart Institute - Chen Lab,CEDARS-SINAI,"Los Angeles, CA+2 locations",,"Will design and perform experiments and develop, adapt, and implement new research techniques.The Postdoctoral Researcher will provide support research…"
30,"Design Engineer, Snap Lab",Snapchat,"Los Angeles, CA 90291 (Venice area)",,Work with user researchers to test new ideas and iterate on feedback.Work closely with the product design teams to create and iterate on new prototypes.
31,Associate Data Scientist,USC,"Los Angeles, CA",,"Interfaces with researchers to identify and determine requirements.Oversees the design, coding, testing, debugging and documentation activities of project…"
32,"newManager, Research & Insights (Remote)",Fuel Cycle,"Remote in Los Angeles, CA 90025",,"Translate business questions into research plans, utilize internal platform to design and program the research instruments."
33,Senior UX Researcher,Tinder,"Los Angeles, CA",,"4+ years of UX research experience with various methodologies, experience integrating user research findings into product designs and design practices, and…"
34,Marketing Insights Researcher- Instagram,Instagram,"Los Angeles, CA+1 location",,Experience with independently executing full-cycle research from research design to reporting.The Marketing Insights Researcher will be an integral part of the…
35,Programs Manager,UCLA,"Los Angeles, CA",,"Experience in scientific research and research project design.Experience with graphic design using tools such as Photoshop, and web publishing tools such as…"
36,newCRI Program Specialist,USC,"Los Angeles, CA",,Assists with short and long-term planning and design of project direction and objectives.The Clinical Research Informatics (CRI) is a core group at SC CTSI…
37,Game Designer - Metaverse,Oculus,"Los Angeles, CA 90230",,General design knowledge across a range of design specializations.Clearly articulate game design decisions to a vast set of internal stakeholders.
38,Postdoctoral Scholar - Research Associate,USC,"Los Angeles, CA",,"We currently collaborate with researchers with backgrounds ranging from theoretical physics, to computer science, to chromatin biology, and welcome researchers…"
39,Director of Product Design | Sydney-based,Canva,"Hybrid remote in Los Angeles, CA",,"Experience scaling a product design team.Sustain our existing culture of design simplicity.You hold a high bar for designing clean, elegant, and usable…"
40,newMobile App Development Manager,UCLA,"Los Angeles, CA",,"Demonstrated experience in web service API design.Manage the design of automated deployment systems in OIT's AWS environment, oversee the design and…"
41,Research Associate I - Smidt Heart Institute - Van Eyk Lab,CEDARS-SINAI,"Los Angeles, CA+1 location",,"Searches literature, utilizing all available resources including electronic, regarding new methodology and designs experiments accordingly."
42,Data Management Coordinator,USC,"Los Angeles, CA",,"Herman Ostrow School of Dentistry, Occupational Therapy division is looking for a data-driven and analytical Data Management Coordinator to join its team!"
43,Per Diem Registered Nurse,USC,"Los Angeles, CA",,"Provides input to principal investigators, staff nurses and patients that effects clinical research studies from the initial protocol design to completion of…"
44,CTSI Marketing Coordinator,USC,"Los Angeles, CA",,"Creates and designs print materials such as flyers and brochures for promotion of services, programs and events within SC CTSI."
45,"Research Lab Specialist, Analytical Biochemistry, Metabolomi...","Ellison Institute, LLC","Los Angeles, CA 90064",,"As part of the Ellison Institute, the Research Lab Specialist is responsible for collaborating with principal investigator and other researchers to plan, design…"
46,Data Scientist - IS Clinical Research,Keck Medical Center of USC,"Los Angeles, CA 90015 (Downtown area)",,"The incumbent will work closely with USC researcher teams to design analysis specifications, including input data specifications, data cleaning, algorithms, and…"
47,NERA Labor and Employment Researcher (2021 or earlier grads),Oliver Wyman Group,"Los Angeles, CA 90017 (Downtown area)",,Representative projects include investigations of wage suppression claims; identification of unpaid wages and missed meal/rest breaks; audits for compensation…
48,"Director, Strategic Relations",UCLA,"Los Angeles, CA",,"Specific responsibilities include but are not limited to: 1) analysis of trends and patterns (gathering intelligence) on potential partners, especially local…"
49,Staff UX Researcher - Pandora,SiriusXM,"Los Angeles, CA 90048 (Carthay area)",,"Experience with applied statistics, survey design and response effects.Proficient in a wide range of quantitative and qualitative research methods,…"
50,iOS Software Engineer - 100% Remote,Auto Club of Southern California,"Remote in Los Angeles, CA 90007",,"Strong understanding of multi-tier architectures, design patterns and good engineering practices.Collaborate with team members on the design and implementation…"
51,Senior Research Analyst,UCLA,"Los Angeles, CA",,"Experience with multiple research and evaluation methods, including strong quantitative and qualitative research skills, cultural and racial equity program…"
52,newUX/ UI Designer,Fashionphile,"Remote in Los Angeles, CA 90021",,"3+ years of experience in UI/UX design.Understands systems thinking and component-based design patterns.From Start to Finish - Facilitate, design, and execute…"
53,Software Engineer,USC,"Los Angeles, CA",,Collaborates with researchers to determine system requirements to support research and designs and builds systems to satisfy researchers’ needs.
54,"Visual Interaction Designer, Spatial UI",Snapchat,"Los Angeles, CA 90291 (Venice area)",,Coordinate with other visual design stakeholders to deliver consistent designs across teams.Expertise in developing system UI design.
55,"Software Engineer, Quantum Computing Service",Google,"Los Angeles, CA (Venice area)",,"Experience with circuit design or printed circuit board layout tools.Gather requirements and work closely with researchers to identify, develop, and produce…"
56,CTSI Marketing Coordinator,USC,"Los Angeles, CA",,"Creates and designs print materials such as flyers and brochures for promotion of services, programs and events within SC CTSI."
57,Postdoctoral Scientist - Smidt Heart Institute - Makkar Lab,CEDARS-SINAI,"Los Angeles, CA+6 locations",,Our Postdoctoral Researcher will provide support research conducted under the direction of Dr.Makkar and his research staff studying cardiovascular…
58,Senior UX Researcher,Allscripts,"Remote in Los Angeles, CA",,Experience with and interest in mentoring other UX researchers.Partner with product designers and product managers to validate and test design prototypes.
59,Lead User Experience Researcher,SprintRay,"Los Angeles, CA 90065 (Mount Washington area)",,"5+ years in user experience research, design research, product research, or the equivalent with strong theoretical and practical knowledge of both qualitative…"
60,"Designer, Digital - Reality Labs",Meta,"Los Angeles, CA 90066 (Del Rey area)+1 location",,"Experience with design and prototyping tools such as Adobe Creative Suite, Figma, etc.Work collaboratively with a cross-functional creative team to develop…"
61,"Research Associate, USC Schaeffer Center",USC,"Los Angeles, CA+1 location",,"The position will be directly involved in all aspects of the research process, including idea generation, research design, research execution, publication and…"
62,"newManager, Research & Insights (Remote)",Fuel Cycle,"Remote in Los Angeles, CA 90025",,"Translate business questions into research plans, utilize internal platform to design and program the research instruments."
63,DEN Software Development Manager,USC,"Los Angeles, CA",,Coordinates with faculty and researchers in the integration and development of educational research projects into DEN’s learning environment.
64,"Insights and Measurements Manager, Marketing, YouTube",YouTube,"Los Angeles, CA 90017 (Downtown area)",,"Experience managing primary researchers, data scientists, data strategists, and direct reports.Knowledge of research design and methods (e.g., in-depth…"
65,Open Rank Professor of Psychiatry and the Behavioral Science...,USC,"Los Angeles, CA",,The Department of Psychiatry and the Behavioral Sciences in the Keck School of Medicine of USC is soliciting applications for several new research faculty…
66,"System Administrator, Augmented Reality Data Capture Infrast...",Google,"Los Angeles, CA (Venice area)",,"Network, design, and configure for personal computer communication and computer to camera communication.Googlers rely on your guidance when it comes to design…"
67,Design Manager,Tia,"Remote in Los Angeles, CA",,"Responsible for keeping the design of new spaces on schedule and under budget.Help develop Tia's design standards guide, setting Tia up for success to scale 15…"
68,Research Scientist,RWS,"Los Angeles, CA 90045 (Westchester area)",,"Ability to design and develop system prototypes in simulation.PhD or equivalent experience in computer science, engineering, statistics, machine learning,…"
69,newSocial Worker (Senior),US Veterans Health Administration,"Los Angeles, CA 90073 (Sawtelle area)",,"(c) Knowledge in developing and implementing methods for measuring effectiveness of social work practice and services in the specialty area, utilizing outcome…"
70,"Scientific Sales Representative, Cell Culture Products",STEMCELL Technologies,"Los Angeles, CA",,The Scientific Sales Representative’s primary responsibility is to identify and acquire new customers while managing existing accounts and relationships for…
71,"Director, Strategic Relations",UCLA,"Los Angeles, CA",,"Specific responsibilities include but are not limited to: 1) analysis of trends and patterns (gathering intelligence) on potential partners, especially local…"
72,newSenior Product Designer - Opportunity for Working Remotely L...,VMware,"Remote in Los Angeles, CA+1 location",,Closely collaborate with a geographically diverse design team to co-design while ensuring consistency across the suite of products and services.
