,title,company,location,salary,summary
0,newCreative Researcher,Selfridges,London,,"BA graduate or relevant experience in a creative field eg. art, design, advertising or fashion.To provide creative research, assist with design presentations,…"
1,newUSER RESEARCHER,LEGO,Hybrid remote in London,,"Demonstrate the creative freedom within the role to improve decision making and problem solving through design sprints, conceptualisation workshops and design…"
2,newResearcher,The Body Shop International Limited,Hybrid remote in London SE1,,The main purpose is to collect and analyse qualitative and quantitative data to drive improvements in the E2E Consultant Experience.
3,Researcher,"Office for Standards in Education, Children's...",Remote in London,,Advise the research/evaluation leads on the appropriate research instruments and assist with the design of evidence collection tools.
4,"User Experience Researcher, Accessibility, Fitbit Mobile",Google,London,,Experience working with qualitative methods and integrating user research into product designs and design practices.
5,Senior Experience Design Researcher,Sainsburys,London EC1N,,"Champion the voice of the user and a user-centric design approach.Help your team and wider stakeholders understand and empathise with users, and bring research…"
6,Researcher,ICF,Hybrid remote in London,,"University qualification relevant to social policy (graduate or postgraduate, for example social sciences, economics or health economics, applied statistics,…"
7,Market Researcher - Innovation & Design,CAPCO,London,,"Understanding of the design thinking process and the role of research in new product development.As part of Capco’s Innovation & Design team, the Design team…"
8,"User Experience Researcher, Associate","JPMorgan Chase Bank, N.A.",London,,"Evaluate existing and to-be-developed features and design ideas.Your insights will have real and immediate impact on business processes, digital product…"
9,Qualitative Social Researcher - STRAT950,Crown Prosecution Service,London,,"Study design, hypothesis formation, testing and evaluation – optional.Quantitative methods, including research design, data collection (i.e. questionnaire…"
10,Intermediate User Researcher,Hippo Digital Limited,London SW1V,,"User researchers design, plan and conduct research into what people need from a service and produce recommendations for user-centred service design."
11,newUser Researcher,Justice Digital and Technology,London,,"Work closely with product managers, designers and developers to turn user research findings into actions that lead to valuable product and service designs."
12,User Researcher - London,Monese,London WC2N,,"A passion for finding customer problems to solve, through user-centric design.Work closely with the design team, developers, product leads and other cross…"
13,newSenior Researcher,Ripple,London,,"Work with the teams across the broader organization, including engineering, product, legal, compliance, finance, and business development to think beyond the…"
14,newV&A East Project Coordinator,Victoria and Albert Museum,London,,"They will have day to day responsibility for liaising with all V&A project stakeholders as well as design teams, contractors and consultants."
15,"Design Researcher, Deloitte Ventures, Tax, London",Deloitte,London,,"Continuously learn through self-development and feed your passion for design, engagement, technology, and research."
16,newUser Researcher,The House of Lords,London,"£30,001 - £40,000 a year",You will be working with colleagues with varying degrees of familiarity with user research or user-centred approaches to product and service design and will be…
17,UX Researcher - Innovation & Design,CAPCO,London,,"Lead the planning, design and execution of qualitative and quantitative research in a wide range of settings.We are looking for a UX Researcher with at least 3…"
18,Lead User Researcher,Monzo,London,"£85,000 a year","Work closely with Product Managers, Product Designers, Engineers and other User Researchers to generate hypotheses and plans for high-impact research that helps…"
19,"Researcher, Health Experience",Twitter,Hybrid remote in London,,"Design Foundation is a cross-functional team of designers, creative specialists, and design engineers helping to set Twitter's strategic design vision."
20,User Experience Researcher,Globant,London EC1N,,"This Studio focuses on bringing quality, design, strategy, and production to worldwide digital challenges.Through understanding our service offering, able to…"
21,Lead Qualitative Design Researcher (Manager) - Research & In...,EY,London SE1,,"Project knowledge of design thinking techniques and the ability to solve complex business problems with simple, industry-leading design solutions."
22,Qualitative Design Researcher,RMG Digital,London,"£55,000 a year","You will be proficient in qualitative research, able to plan and deliver design research projects.You will be a passionate researcher, with an instinct to…"
23,Senior Design Researcher,Spotless Interactive,Remote in London,,We are looking for an experienced Design Researcher to work closely with our team of consultants across a range of sectors where you’ll be involved with…
24,newUser Researcher,Version 1,London,,"User researchers plan, design and carry out research activities with users that help teams get a deep understanding of the end users."
25,"Software Engineer, Apprenticeship",Meta,London,,"Collaborate with other engineers, product managers, designers, data scientists and user researchers to build and improve products."
