,title,company,location,salary,summary
0,Quantitative Researcher,,"New York, NY 10017 (Midtown area)",,Contribute with global teams on data lake designs for regional best practices.TikTok is looking for a full-time Ads Data Scientist in our Global Business…
1,UX Researcher,,"New York, NY",,"Guide researchers in planning, conducting, and tailoring research studies to provide actionable insights that dramatically shape product and technology…"
2,Quantitative Researcher,,"New York, NY+1 location",,We are looking for an associate/VP level quantitative researcher for our algorithm trading and analytics engines.Knowledge of C++/Java is an advantage.
3,Junior Building Energy Researcher,,"New York, NY",,At least one (1) year of experience with the design and construction of energy efficiency retrofit projects in existing buildings.
4,newDesign Researcher,,"New York, NY",,"Plan, facilitate and produce deliverables from design thinking workshops.Quickly propose possible solutions to UX issues to guide design."
5,newQuantitative Researcher Manager,,"New York, NY 10017 (Midtown area)",,Manage a team of quantitative researchers.This role will call for a quantitative thought leader with a specific focus on leading a team of quant researchers to…
6,newDesign Recruiter III (Contingent),,"New York, NY",,"Experience recruiting for design related roles such as UX Designers, UX Researchers, content strategy, Art Directors, and other types of design."
7,UX Researcher,,"New York, NY",,Your insights will drive and support evidence-based design and product decisions throughout the product development process.Ability to execute with autonomy.
8,"Product Designer, Spotify for Artists",,"Remote in New York, NY+2 locations",,Provide design thinking and leadership to develop the right product strategy.Lead design projects across the entire product lifecycle and multiple product…
9,newArchivist,,"Hybrid remote in New York, NY 10017",,"Conduct timely archival research to support the work of senior leadership and departments within MSK and outside researchers, in person and remotely."
10,"User Researcher, Content Experiences",,"Remote in New York, NY+3 locations",,Deliver compelling insights to help drive evidence-based product and design decisions.Have strong interpersonal skills and can easily connect with your…
11,Sr. Design Researcher,,"Phoenix, NY",,Partner closely with design and development team leadership to deeply understand and inform product goals and strategies.
12,RESEARCH ASSISTANT,,"Remote in Brooklyn, NY 11232",,Our effectiveness as researchers and advisors rests on their informed judgment and ability to execute.In addition to rigorous designs and multiple research…
13,"newSnr UX Researcher, Customer Experience",,"Remote in New York, NY 10018",,"The researcher will be a part of a horizontal team consisting of product, design, content, and research whose charter is to eliminate those experiences that…"
14,Senior UX Researcher,,"Remote in New York, NY",,"Experience with data analysis + experiment design.Evaluate new ideas, design concepts and existing features using a variety of quantitative and qualitative…"
15,Insights Researcher,,"New York, NY 10014 (West Village area)",,Quantitative survey design and programming experience.Squarespace is looking for an Insights Researcher to support research and strategy development within the…
16,newVisual Design Lead,,"New York, NY 10014 (SoHo area)+2 locations",,Advanced interaction and motion design.Create new visual design systems for clients.Deliver interaction design and illustrations for basic digital product…
17,newUX Researcher,,"New York, NY 10112 (Midtown area)",,"Work independently as well as cross-functionally with other teams including design, product, analytics, audience engagement, and others."
18,newPostdoc Researcher,,"Yorktown Heights, NY+2 locations",,The postdoc researcher is responsible for modeling realistic biological networks (both biochemical networks and neural networks) that underlie information…
19,"newUser Experience Writer, Design Systems, Fitbit",,"New York, NY",,"Collaborate with designers, researchers, legal, marketing, product managers, and engineers while influencing and adapting to stakeholders and their feedback."
20,Head of Music Expression Product,,"Remote in New York, NY",,"Ensure healthy teams of PMs, designers, researchers, analysts.Develop a deep understanding of both artist and listener needs that informs the systems we design…"
21,"Coordinator, Fan Research",,"New York, NY",,"Collaborate with MLB's researchers, product, and business owners to execute projects and analyze findings from large scale research efforts."
22,"UX Researcher, Data Experience Design",,"New York, NY 10011 (Flatiron area)+5 locations",,Advocate for the customer through human-centered design methodologies.Champion prioritization of design centered product enhancements grounded in research and…
23,"UX Research Manager, Kids & Family",,"Hybrid remote in New York, NY+4 locations",,They possess a clear vision of the future of user experience and have the courage to pursue forward-thinking design.
24,Quantitative Researcher - AMD Strats,,"New York, NY 10282 (Battery Park area)",,Knowledge of modern software design for managing and exploring very large datasets.AMD Technology is directly aligned to the business.
25,Market Researcher,,"New York, NY 10014 (West Village area)",,"Quantitative survey design and survey programming experience.You will leverage your research experience to contribute to survey design and programming, data…"
26,"Researcher, Health Care Coverage and Access",,"New York, NY 10021 (Upper East Side area)",,Experience in survey design and methodology is preferable.Conduct background research and literature reviews; review proposals for design and methodology;…
27,Senior XD Researcher,,"New York, NY 10012",,Contribute to a community of design research practice across Intuit and beyond.Ability to oversee/support research study design and data interpretation by…
28,Design Researcher,,"New York, NY 10013 (Tribeca area)",,"This position reports into the Product group and plays a pivotal role in our product roadmap and strategy.Prepare study plans, surveys, and interview scripts…"
29,Senior UX Researcher (Qualitative),,"Remote in New York, NY",,"UI flows, sketching, brainstorming, low/mid/high-fidelity designs.As the first decentralized talent network, our revolutionary Web3 model ensures the community…"
30,Something in Residence,,"New York, NY",,Experience doing art installations or design projects.Open for creative collaborations with researchers and programmers.
31,"Product Designer, Search Experience",,"Remote in Brooklyn, NY 11201+1 location",,You contribute to strategy and design direction.You use our design system proficiently and consistently.Translation of quantitative & qualitative insights…
32,newSenior User Researcher - Slack,,"New York, NY 10036 (Garment District area)",,"Gather and prioritize key research questions from product, design, engineering, and marketing partners.They will help us understand how to improve foundational…"
33,User Experience Researcher,,"New York, NY",,"Work cross-functionally with researchers from different disciplines to tell a holistic story of customers' needs, values, and experiences."
34,"Quantitative UX Researcher, University Grad",,"New York, NY+9 locations",,"Work closely with product teams, as well as other researchers, to identify important research questions.Work cross-functionally with design, product management…"
35,"Quant Algo Trading Researcher, Algorithmic Execution",,"New York, NY",,"Quantitative research contributes to design and management of execution algorithms for global equities, futures, and foreign exchange with the aim of…"
36,"UX Writer, Early Career",,"New York, NY (Chelsea area)+8 locations",,"You work with people in a variety of UX design-related jobs including researchers, product managers, engineers, marketing and customer operations."
37,UX Researcher,,"New York, NY 10012 (Little Italy area)",,"A design culture where talking to customers sits at the forefront of every project.An avid story-teller, skilled in effectively communicating their process to…"
38,newSenior Design Strategist,,"New York, NY",,"5+ years of experience with user experience, service design, design thinking and/or design research.Excellent written and verbal communication skills,…"
39,newDigital Technology Product Design Researcher,,"New York, NY",,"Strong portfolio that illustrates end-to-end research process in product design (ex. study design, test creation, recruiting, moderation, analysis, reporting)…"
40,"Program Lead SDG16+ (Researcher): Pathfinders for Peaceful,...",,"New York, NY 10012 (Greenwich Village area)",,"The Program Lead SDG16+ (Researcher) will lead the work on building peaceful, just and inclusive societies and international action for the achievement of…"
41,newSenior Quantitative Researcher - Slack,,"New York, NY 10036 (Garment District area)",,"Experience with survey research—questionnaire design, advanced sampling design, survey statistics, analysis, and reporting.2*+ years of industry experience."
42,Sr. Design Researcher,,"New York, NY 10012 (SoHo area)",,"Great research breeds great design.Ability to both provide and receive design criticism constructively, and appreciation for its importance within the design…"
43,Due Diligence Researcher - 6863,,"New York, NY",,You will receive extensive training and mentoring that will familiarize you with industry practices and advanced research methodologies.
44,"Junior Project Manager, University Facilities Design and Con...",,"Buffalo, NY 14260+1 location",,"Coordination and communication regarding a variety of projects including in-house design/build renovation work, critical maintenance projects, and capital…"
45,newData Reporter,,"New York, NY (Midtown area)",,"The successful candidate will help shape the overall data visualization strategy for two well-respected publications, FundFire and Financial Advisor IQ."
46,Senior UX Researcher (Qualitative),,"Remote in New York, NY",,"UI flows, sketching, brainstorming, low/mid/high-fidelity designs.As the first decentralized talent network, our revolutionary Web3 model ensures the community…"
47,Design Researcher & Strategist,,"New York, NY",,"Lead design research projects, synthesize insights, translate these findings to catalyze design and strategic decisions, and collaborate with the team to turn…"
48,Associate Bioinformatician,,"New York, NY",,"May conducts analysis of microarray and high-throughput sequencing data, genome sequence analysis, experimental design and statistical analysis."
49,Senior Associate Researcher - Oncological Sciences,,"New York, NY+1 location",,"Regularly keeps up to date on relevant literature, and incorporates new techniques into experimental design when appropriate."
50,Research Data and Statistical Analyst,,"New York, NY 10021 (Upper East Side area)",,"Communicate regularly with researchers, clinicians, and other hospital personnel to effectively manage multiple, concurrent research projects."
51,"Creative Director – Experience, Brand, and Digital Creative",,"New York, NY+1 location",,"Example projects we tackle every day include: innovation concepting & mockups, social media campaigns, UX/UI/web design, pitch/proposal presentation design,…"
52,newHead of Market Intelligence and Insights,,"New York, NY",,12+ years of experience as a researcher.Build and lead a team of exceptional and highly analytical team of quantitative analysts and researchers.
53,POSTDOCTORAL RESEARCHER,,"Brooklyn, NY+3 locations",,"Optimization and analytics, engineering design, and development of a risk dashboard for.School of Engineering is seeking to hire a Postdoctoral Researcher…"
54,"Design Manager, Global Design Innovation",,"New York, NY",,"They pollinate design thinking within the organization through practical design methodologies, solving complex branding problems and uncovering transformation…"
55,Contracts Counsel,,"New York, NY 10036 (Midtown area)",,"Our medical and dental data are used to inform statutes and regulations, healthcare cost indices, fee schedules, benefit and provider network design, practice…"
56,Head of Brand Design Quantum (NYC area or Remote),,"Remote in Yorktown Heights, NY",,"Direct brand decisions with qualified rationale that is justified through experience and design research, or through findings from other experience and design…"
57,Something in Residence,,"New York, NY",,Experience doing art installations or design projects.Open for creative collaborations with researchers and programmers.
58,Applied Scientist,,"New York, NY+1 location",,"Are you excited about developing state-of-the-art Scientific, Machine Learning, Natural Language Processing, Deep Learning and Computer Vision algorithms and…"
59,Processing Archivist,,"New York, NY",,"Collaborate on making recommendations for access and use by future researchers.This is a two year, full time position located in Manhattan at Creatd."
60,Trainee - Pharmacological Sciences,,"New York, NY 10003 (East Village area)",,Trainee may design and implement bioinformatics tools and processes in order to analyze large-scale datasets.The research trainee will conduct faculty-mentored…
61,RESEARCHER– C2SMART Center,,"Brooklyn, NY",,"Experience with database design, implementation, and performance tuning,.C2SMART Center is seeking a Researcher to work on faculty-led research projects on big…"
62,"Mixed Methods Researcher, People Research Team",,"New York, NY+2 locations",,"Collaborate cross-functionally with quantitative researchers, program managers and HR business partners to align on priorities."
63,Head of Brand Design Quantum (NYC area or Remote),,"Remote in Yorktown Heights, NY",,"Direct brand decisions with qualified rationale that is justified through experience and design research, or through findings from other experience and design…"
64,"Senior Manager, UX Researcher - Upwise",,"New York, NY",,"Reports to Upwise’s head of design.Knowledge of a set of qualitative, quantitative and user-centered design methods.Create and own Upwise’s research roadmap."
