,title,company,location,salary,summary
0,UX Researcher II,,"San Francisco, CA",,"2+ years experience in applied product/design research, or equivalent education.Work with other researchers to create strategic customer frameworks curated…"
1,Senior UX Researcher – Inclusive Design - Reimagine Tomorrow,,"San Francisco, CA",,"An expert in participatory design & research methods, including co-design and trauma-informed design.Spearhead inclusive design practices through developing…"
2,Artist,,"San Francisco, CA",,Create concept designs and sketches for characters and worlds.Effective researcher that understands how to navigate through search engines to discover the best…
3,UX Researcher,,"San Francisco, CA",,"A design culture where talking to customers sits at the forefront of every project.An avid story-teller, skilled in effectively communicating their process to…"
4,"newSenior Design Researcher, Digital Services (9976/1054)",,"Temporarily Remote in San Francisco, CA 94103",,"You will partner with product, design, and engineering teams to define strategy and priorities, and shape roadmaps."
5,"UX Researcher, Wearables, Fitbit",,"San Francisco, CA 94105 (Financial District/South Beach area)+4 locations",,"Support project team members in transforming research findings and insights into innovative design solutions, often through multiple design cycles."
6,"Design Manager, Outcomes",,"Remote in San Francisco, CA 94104",,"In this role, you will primarily work with the Grammarly product designers, product managers, researchers, and product marketers to design features that address…"
7,newData Researcher (Project Bound),,"San Francisco, CA",,Assists with process design and modification for continuous business improvement.Technical and economic characteristics of EV/EV chargers on the market through…
8,User Researcher,,"Remote in San Francisco, CA",,"Knowledge of lean startup and/or human-centered design methods.Experience with quantitative research methods including survey design, A/B testing, Excel, and…"
9,"Minted, UX Designer",,"San Francisco, CA",,Hone your instincts around mobile-first and responsive design.Experience working with mobile-first and responsive design is a plus.
10,Research Assistant,,"San Francisco, CA 94143 (Inner Sunset area)",,Contribute to ongoing evaluation design and writing activities.Training in qualitative and quantitative research design and methods.
11,UX RESEARCHER,,"San Francisco, CA+3 locations",,"Familiarity with inclusive design principles and practices.Plan, facilitate and produce deliverables from design thinking workshops."
12,"UX Researcher, Conversations",,"San Francisco, CA",,"Provide guidance and training on research tools and techniques to help non-researchers to conduct ""self-service"" research activities."
13,"Photo Curator & Researcher, Global Trends and Foresight, Dev...",,"San Francisco, CA",,"Support designers requests for inspirational imagery to be used for internal design presentations, trend forecasting newsletters and other design development…"
14,UX Researcher,,"Remote in San Francisco, CA 94105+2 locations",,"We are seeking a researcher who is passionate about being customer-centric, skilled in communicating crisp research findings, and skilled in driving impact…"
15,newCreative Director,,"San Francisco, CA",,Proven track record of outstanding visual and creative design work.The ideal candidate will have a proven eye for design and a drive to build dynamic ideas…
16,Visa Garage Researcher,,"San Francisco, CA",,Lead concept sessions leveraging ethnographic research and design thinking.Partner with engineering to ensure designs are properly implemented.
17,"newUX Researcher, Mixed Methods",,"San Francisco, CA 94105 (Financial District/South Beach area)+8 locations",,"Generate insights that both fuel ideation and evaluate designs.Work cross-functionally with design, product management, content strategy, engineering and…"
18,Visual Designer,,"San Francisco, CA",,"Ability to act as a leader in communicating conceptual ideas and design rationale, all within a user-centered design process."
19,newResearcher - Future Technologies R&D Associate Principal,,"San Francisco, CA+2 locations",,"With close ties to startups, universities, and enterprise teams, our work involves identifying the latest technology trends and deriving real value that goes…"
20,newDesigner,,"San Francisco, CA",,Have a solid foundation in visual design.Have a portfolio showcasing design work across a range of mediums.Care deeply about aesthetics and user experience.
21,newVisual Designer,,"San Francisco, CA",,"Understanding of design and information architecture principles and trends.6+ years of work experience in creative design, with experience across multiple…"
22,"newAccount Coordinator, Food Ag + Ingredient",,"San Francisco, CA",,"Act as liaison between account team and internal/external vendors and services, such as copy center, design, video production and promotions."
23,newHealth Provider-in-Residence Fellowship 2022-2023,,"San Francisco, CA 94105 (Financial District/South Beach area)",,Calling all health professionals with a strong background and/or interest in design research for a 1-year paid fellowship (August 2022-2023) as a design…
24,User Experience Researcher,,"Remote in San Francisco, CA",,Participate in the product design process to ensure the needs of UnitedMasters users are accurately reflected in the end product.
25,Product Design Lead - Remote,,"Remote in San Francisco, CA",,Conceptualize design solutions to address member and provider challenges.Understanding of web UI frameworks and familiarity with iOS design principles.
26,"Mixed Methods Researcher, People Research Team",,"San Francisco, CA 94105 (Financial District/South Beach area)+3 locations",,"Collaborate cross-functionally with quantitative researchers, program managers and HR business partners to align on priorities."
27,"Experience Design Manager, Genuine Team",,"San Francisco, CA+2 locations",,"You will build an impactful collaborative environment and encourage deep partnership with cross-functional teams, setting a high bar for design craft;…"
28,"Sr Design Technologist, Developer Center",,"Remote in San Francisco, CA+1 location",,"6+ years of UX/UI design experience.Bachelor's degree in a design related field or equivalent experience.Excellent interpersonal skills, including an ability…"
29,UX Researcher,,"Remote in San Francisco, CA+2 locations",,"You will bring the power of insights to design and business decisions.Advocate research findings to diverse audiences through written reports, in-person…"
30,Senior Quantitative Researcher,,"San Francisco, CA",,"Experience with survey research—questionnaire design, advanced sampling design, survey statistics, analysis, and reporting.2*+ years of industry experience."
31,User Experience Researcher,,"Remote in San Francisco, CA",,"Advocate for research findings to diverse audiences (researchers and non-researchers, all the way to executives) by communicating research insights and…"
32,Designer - Graphic Artist,,"San Francisco, CA 94107 (South of Market area)",,Strong graphic design and illustration skills.Strong document design and layout skills.A minimum of 5 years as a graphic artist to bridge content with design.
33,Quantitative User Experience Researcher II,,"San Francisco, CA+2 locations",,"You will collaborate with business partners and design teams to outline research plans, execute research, consolidate findings, and present meaningful insights."
34,Quantitative Researcher,,"San Francisco, CA",,"Collaborate with UX, product, marketing, analytics, support and customer success teams to influence product design and innovation."
35,"Software Engineer, Front-End",,"Remote in San Francisco, CA 94104",,"Grammarly’s engineers and researchers have the freedom to innovate and uncover breakthroughs—and, in turn, influence our product roadmap."
36,Senior Market Researcher,,"San Francisco, CA",,"Able to moderate or field research studies, analyze data, report on research, and design research studies independently."
37,Senior Experience Researcher,,"San Francisco, CA+2 locations",,"Can collaborate effectively across all project roles (design, research, product management, engineering, etc.Engage with different roles across the company and…"
38,Staff UX Researcher,,"Remote in San Francisco, CA 94105",,"Demonstrated rigor in study design, data collection, and analysis processes.Fluency with core design tools (Adobe products, Figma, etc.)."
39,Product Manager - Link Platform,,"San Francisco, CA",,"Experience building products with a cross-functional team of engineers, designers, data scientists and user researchers, and taking those products to market in…"
40,Design Research Manager - QuickBooks,,"San Francisco, CA 94103 (South of Market area)",,"2+ years of experience directly managing, coaching and developing researchers.Nurture a psychologically safe environment for learning and sharing among…"
41,Senior User Researcher,,"San Francisco, CA",,"Gather and prioritize key research questions from product, design, engineering, and marketing partners.They will help us understand how to improve foundational…"
42,"UX Researcher, Hardware SAN FRANCISCO, CAPRODUCT – PRODUCT D...",,"San Francisco, CA",,"Collaborate with other researchers on research methods and priorities.Collaborate with partners (hardware engineering, industrial design, product management,…"
